date,base,quote,rate
2021-01-28,KGS,RUB,0.896745
2021-01-29,KGS,RUB,0.895538
2021-01-30,KGS,RUB,0.895604
2021-01-31,KGS,RUB,0.895556
2021-02-01,KGS,RUB,0.89487
2021-02-02,KGS,RUB,0.895292
2021-02-03,KGS,RUB,0.89633
2021-02-04,KGS,RUB,0.892612
2021-02-05,KGS,RUB,0.884464
2021-02-06,KGS,RUB,0.880301
2021-02-07,KGS,RUB,0.880315
2021-02-08,KGS,RUB,0.877871
2021-02-09,KGS,RUB,0.874203
2021-02-10,KGS,RUB,0.875036
2021-02-11,KGS,RUB,0.875913
2021-02-12,KGS,RUB,0.875711
2021-02-13,KGS,RUB,0.871517
2021-02-14,KGS,RUB,0.871518
2021-02-15,KGS,RUB,0.86867
2021-02-16,KGS,RUB,0.870528
2021-02-17,KGS,RUB,0.87443
2021-02-18,KGS,RUB,0.873515
2021-02-19,KGS,RUB,0.87457
2021-02-20,KGS,RUB,0.874726
2021-02-21,KGS,RUB,0.874794
2021-02-22,KGS,RUB,0.878546
2021-02-23,KGS,RUB,0.875316
2021-02-24,KGS,RUB,0.871636
2021-02-25,KGS,RUB,0.873243
2021-02-26,KGS,RUB,0.880461
2021-02-27,KGS,RUB,0.879702
2021-02-28,KGS,RUB,0.879759
2021-03-01,KGS,RUB,0.87549
2021-03-02,KGS,RUB,0.873919
2021-03-03,KGS,RUB,0.870761
2021-03-04,KGS,RUB,0.872132
2021-03-05,KGS,RUB,0.877755
2021-03-06,KGS,RUB,0.876854
2021-03-07,KGS,RUB,0.87682
2021-03-08,KGS,RUB,0.877548
2021-03-09,KGS,RUB,0.874232
2021-03-10,KGS,RUB,0.871076
2021-03-11,KGS,RUB,0.866746
2021-03-12,KGS,RUB,0.8658
2021-03-13,KGS,RUB,0.863916
2021-03-14,KGS,RUB,0.864056
2021-03-15,KGS,RUB,0.862204
2021-03-16,KGS,RUB,0.85894
2021-03-17,KGS,RUB,0.866029
2021-03-18,KGS,RUB,0.871905
2021-03-19,KGS,RUB,0.874672
2021-03-20,KGS,RUB,0.873728
2021-03-21,KGS,RUB,0.87373
2021-03-22,KGS,RUB,0.87987
2021-03-23,KGS,RUB,0.893216
2021-03-24,KGS,RUB,0.900443
2021-03-25,KGS,RUB,0.899644
2021-03-26,KGS,RUB,0.89527
2021-03-27,KGS,RUB,0.894454
2021-03-28,KGS,RUB,0.894354
2021-03-29,KGS,RUB,0.89405
