date,base,quote,rate
2021-01-28,KGS,USD,0.0117925
2021-01-29,KGS,USD,0.0117925
2021-01-30,KGS,USD,0.0117925
2021-01-31,KGS,USD,0.0117925
2021-02-01,KGS,USD,0.0117926
2021-02-02,KGS,USD,0.0117929
2021-02-03,KGS,USD,0.011793
2021-02-04,KGS,USD,0.0117931
2021-02-05,KGS,USD,0.0117928
2021-02-06,KGS,USD,0.0117925
2021-02-07,KGS,USD,0.0117925
2021-02-08,KGS,USD,0.0117928
2021-02-09,KGS,USD,0.0118027
2021-02-10,KGS,USD,0.0118482
2021-02-11,KGS,USD,0.0118765
2021-02-12,KGS,USD,0.0118521
2021-02-13,KGS,USD,0.0118329
2021-02-14,KGS,USD,0.0118329
2021-02-15,KGS,USD,0.0118365
2021-02-16,KGS,USD,0.0118461
2021-02-17,KGS,USD,0.0118486
2021-02-18,KGS,USD,0.0118361
2021-02-19,KGS,USD,0.0118209
2021-02-20,KGS,USD,0.0118154
2021-02-21,KGS,USD,0.0118154
2021-02-22,KGS,USD,0.0118146
2021-02-23,KGS,USD,0.0118139
2021-02-24,KGS,USD,0.0118161
2021-02-25,KGS,USD,0.011813
2021-02-26,KGS,USD,0.0118037
2021-02-27,KGS,USD,0.0117994
2021-02-28,KGS,USD,0.0117994
2021-03-01,KGS,USD,0.0117967
2021-03-02,KGS,USD,0.0117925
2021-03-03,KGS,USD,0.0117918
2021-03-04,KGS,USD,0.0117925
2021-03-05,KGS,USD,0.0117925
2021-03-06,KGS,USD,0.0117925
2021-03-07,KGS,USD,0.0117925
2021-03-08,KGS,USD,0.0117925
2021-03-09,KGS,USD,0.0117925
2021-03-10,KGS,USD,0.0117925
2021-03-11,KGS,USD,0.0117925
2021-03-12,KGS,USD,0.0117925
2021-03-13,KGS,USD,0.0117925
2021-03-14,KGS,USD,0.0117925
2021-03-15,KGS,USD,0.0117925
2021-03-16,KGS,USD,0.0117925
2021-03-17,KGS,USD,0.0117925
2021-03-18,KGS,USD,0.0117925
2021-03-19,KGS,USD,0.0117925
2021-03-20,KGS,USD,0.0117925
2021-03-21,KGS,USD,0.0117925
2021-03-22,KGS,USD,0.0117925
2021-03-23,KGS,USD,0.0117925
2021-03-24,KGS,USD,0.0117925
2021-03-25,KGS,USD,0.0117925
2021-03-26,KGS,USD,0.0117925
2021-03-27,KGS,USD,0.0117926
2021-03-28,KGS,USD,0.0117926
2021-03-29,KGS,USD,0.0117942
2021-03-30,KGS,USD,0.0117953
2021-03-31,KGS,USD,0.0117941
2021-04-01,KGS,USD,0.0117928
2021-04-02,KGS,USD,0.0117925
2021-04-03,KGS,USD,0.0117926
2021-04-04,KGS,USD,0.0117926
2021-04-05,KGS,USD,0.0117926
