date,base,quote,rate
2020-12-20,KZT,CNY,0.0155778
2020-12-21,KZT,CNY,0.0155632
2020-12-22,KZT,CNY,0.015573
2020-12-23,KZT,CNY,0.0155146
2020-12-24,KZT,CNY,0.0155294
2020-12-25,KZT,CNY,0.015554
2020-12-26,KZT,CNY,0.0155718
2020-12-27,KZT,CNY,0.015572
2020-12-28,KZT,CNY,0.0155604
2020-12-29,KZT,CNY,0.0155415
2020-12-30,KZT,CNY,0.0155039
2020-12-31,KZT,CNY,0.0155116
2021-01-01,KZT,CNY,0.0154607
2021-01-02,KZT,CNY,0.0154611
2021-01-03,KZT,CNY,0.0154624
2021-01-04,KZT,CNY,0.0153448
2021-01-05,KZT,CNY,0.0153046
2021-01-06,KZT,CNY,0.015384
2021-01-07,KZT,CNY,0.0154246
2021-01-08,KZT,CNY,0.0154291
2021-01-09,KZT,CNY,0.015443
2021-01-10,KZT,CNY,0.015443
2021-01-11,KZT,CNY,0.0154204
2021-01-12,KZT,CNY,0.0153866
2021-01-13,KZT,CNY,0.015431
2021-01-14,KZT,CNY,0.0154206
2021-01-15,KZT,CNY,0.0154327
2021-01-16,KZT,CNY,0.0154531
2021-01-17,KZT,CNY,0.0154531
2021-01-18,KZT,CNY,0.0154279
2021-01-19,KZT,CNY,0.0154312
2021-01-20,KZT,CNY,0.015432
2021-01-21,KZT,CNY,0.015429
2021-01-22,KZT,CNY,0.0154236
2021-01-23,KZT,CNY,0.0153982
2021-01-24,KZT,CNY,0.0153982
2021-01-25,KZT,CNY,0.0153894
2021-01-26,KZT,CNY,0.0153358
2021-01-27,KZT,CNY,0.0153356
2021-01-28,KZT,CNY,0.0152636
2021-01-29,KZT,CNY,0.0152006
2021-01-30,KZT,CNY,0.0151806
2021-01-31,KZT,CNY,0.0151806
2021-02-01,KZT,CNY,0.0152372
2021-02-02,KZT,CNY,0.015239
2021-02-03,KZT,CNY,0.0152548
2021-02-04,KZT,CNY,0.0153101
2021-02-05,KZT,CNY,0.0153616
2021-02-06,KZT,CNY,0.0153788
2021-02-07,KZT,CNY,0.0153788
2021-02-08,KZT,CNY,0.0154052
2021-02-09,KZT,CNY,0.0153963
2021-02-10,KZT,CNY,0.0154222
2021-02-11,KZT,CNY,0.0154458
2021-02-12,KZT,CNY,0.0154129
2021-02-13,KZT,CNY,0.0153989
2021-02-14,KZT,CNY,0.015399
2021-02-15,KZT,CNY,0.0154572
2021-02-16,KZT,CNY,0.0154921
2021-02-17,KZT,CNY,0.0154662
2021-02-18,KZT,CNY,0.0155266
2021-02-19,KZT,CNY,0.015555
2021-02-20,KZT,CNY,0.0155389
2021-02-21,KZT,CNY,0.0155388
2021-02-22,KZT,CNY,0.015506
2021-02-23,KZT,CNY,0.0155502
2021-02-24,KZT,CNY,0.0155488
2021-02-25,KZT,CNY,0.0155422
2021-02-26,KZT,CNY,0.015523
2021-02-27,KZT,CNY,0.0155097
2021-02-28,KZT,CNY,0.0155097
2021-03-01,KZT,CNY,0.0154564
2021-03-02,KZT,CNY,0.015417
2021-03-03,KZT,CNY,0.015418
2021-03-04,KZT,CNY,0.0154059
2021-03-05,KZT,CNY,0.0154338
2021-03-06,KZT,CNY,0.0155019
2021-03-07,KZT,CNY,0.0155019
2021-03-08,KZT,CNY,0.0155239
2021-03-09,KZT,CNY,0.0155078
2021-03-10,KZT,CNY,0.0154884
2021-03-11,KZT,CNY,0.0154788
2021-03-12,KZT,CNY,0.0155134
2021-03-13,KZT,CNY,0.0155362
2021-03-14,KZT,CNY,0.0155348
2021-03-15,KZT,CNY,0.015522
2021-03-16,KZT,CNY,0.0155212
2021-03-17,KZT,CNY,0.015516
2021-03-18,KZT,CNY,0.0155092
2021-03-19,KZT,CNY,0.0154746
2021-03-20,KZT,CNY,0.0154674
2021-03-21,KZT,CNY,0.0154671
2021-03-22,KZT,CNY,0.0154506
2021-03-23,KZT,CNY,0.0154731
2021-03-24,KZT,CNY,0.0154794
2021-03-25,KZT,CNY,0.0154505
2021-03-26,KZT,CNY,0.0154102
2021-03-27,KZT,CNY,0.0154152
2021-03-28,KZT,CNY,0.0154152
2021-03-29,KZT,CNY,0.0154607
2021-03-30,KZT,CNY,0.0154687
2021-03-31,KZT,CNY,0.0154092
2021-04-01,KZT,CNY,0.015384
2021-04-02,KZT,CNY,0.0153876
2021-04-03,KZT,CNY,0.01539
2021-04-04,KZT,CNY,0.0153901
2021-04-05,KZT,CNY,0.015367
2021-04-06,KZT,CNY,0.0152797
2021-04-07,KZT,CNY,0.0151685
2021-04-08,KZT,CNY,0.0151016
2021-04-09,KZT,CNY,0.0151381
2021-04-10,KZT,CNY,0.015126
2021-04-11,KZT,CNY,0.015126
2021-04-12,KZT,CNY,0.0151164
2021-04-13,KZT,CNY,0.0150948
2021-04-14,KZT,CNY,0.0151226
2021-04-15,KZT,CNY,0.0151252
2021-04-16,KZT,CNY,0.0151452
2021-04-17,KZT,CNY,0.0151561
2021-04-18,KZT,CNY,0.0151549
2021-04-19,KZT,CNY,0.0151164
2021-04-20,KZT,CNY,0.015096
2021-04-21,KZT,CNY,0.0150472
2021-04-22,KZT,CNY,0.0150166
2021-04-23,KZT,CNY,0.0150678
2021-04-24,KZT,CNY,0.0150899
2021-04-25,KZT,CNY,0.0150899
2021-04-26,KZT,CNY,0.0150734
2021-04-27,KZT,CNY,0.0150795
2021-04-28,KZT,CNY,0.0150922
2021-04-29,KZT,CNY,0.0151222
2021-04-30,KZT,CNY,0.0150706
2021-05-01,KZT,CNY,0.0150558
2021-05-02,KZT,CNY,0.0150558
2021-05-03,KZT,CNY,0.015028
2021-05-04,KZT,CNY,0.0150904
2021-05-05,KZT,CNY,0.0151552
2021-05-06,KZT,CNY,0.0151642
2021-05-07,KZT,CNY,0.015107
2021-05-08,KZT,CNY,0.0150811
2021-05-09,KZT,CNY,0.0150811
2021-05-10,KZT,CNY,0.0150826
2021-05-11,KZT,CNY,0.0150414
2021-05-12,KZT,CNY,0.0150942
2021-05-13,KZT,CNY,0.0150678
2021-05-14,KZT,CNY,0.0150292
2021-05-15,KZT,CNY,0.0150318
2021-05-16,KZT,CNY,0.0150322
2021-05-17,KZT,CNY,0.0150566
2021-05-18,KZT,CNY,0.0150518
2021-05-19,KZT,CNY,0.015039
2021-05-20,KZT,CNY,0.0150134
2021-05-21,KZT,CNY,0.0150048
2021-05-22,KZT,CNY,0.0150089
2021-05-23,KZT,CNY,0.0150088
2021-05-24,KZT,CNY,0.0150024
2021-05-25,KZT,CNY,0.0149995
2021-05-26,KZT,CNY,0.0149459
2021-05-27,KZT,CNY,0.0148758
2021-05-28,KZT,CNY,0.0148578
2021-05-29,KZT,CNY,0.0148637
2021-05-30,KZT,CNY,0.0148637
2021-05-31,KZT,CNY,0.0148683
2021-06-01,KZT,CNY,0.0149098
2021-06-02,KZT,CNY,0.0148961
2021-06-03,KZT,CNY,0.0149464
2021-06-04,KZT,CNY,0.0149486
2021-06-05,KZT,CNY,0.0149583
2021-06-06,KZT,CNY,0.0149583
2021-06-07,KZT,CNY,0.0149877
2021-06-08,KZT,CNY,0.0149667
2021-06-09,KZT,CNY,0.0149546
2021-06-10,KZT,CNY,0.014948
2021-06-11,KZT,CNY,0.0149626
2021-06-12,KZT,CNY,0.0149746
2021-06-13,KZT,CNY,0.0149744
2021-06-14,KZT,CNY,0.0149586
2021-06-15,KZT,CNY,0.0149888
2021-06-16,KZT,CNY,0.0150014
2021-06-17,KZT,CNY,0.0150214
2021-06-18,KZT,CNY,0.0150621
2021-06-19,KZT,CNY,0.0150737
2021-06-20,KZT,CNY,0.0150742
