date,base,quote,rate
2020-12-20,KZT,GBP,0.00176352
2020-12-21,KZT,GBP,0.0017798
2020-12-22,KZT,GBP,0.00177646
2020-12-23,KZT,GBP,0.00176328
2020-12-24,KZT,GBP,0.00175358
2020-12-25,KZT,GBP,0.0017547
2020-12-26,KZT,GBP,0.00175492
2020-12-27,KZT,GBP,0.00175502
2020-12-28,KZT,GBP,0.00176234
2020-12-29,KZT,GBP,0.00176337
2020-12-30,KZT,GBP,0.00174972
2020-12-31,KZT,GBP,0.00173953
2021-01-01,KZT,GBP,0.00173239
2021-01-02,KZT,GBP,0.00173247
2021-01-03,KZT,GBP,0.00173261
2021-01-04,KZT,GBP,0.00173946
2021-01-05,KZT,GBP,0.00174276
2021-01-06,KZT,GBP,0.00174932
2021-01-07,KZT,GBP,0.00175576
2021-01-08,KZT,GBP,0.0017567
2021-01-09,KZT,GBP,0.00175771
2021-01-10,KZT,GBP,0.00175791
2021-01-11,KZT,GBP,0.0017621
2021-01-12,KZT,GBP,0.00175113
2021-01-13,KZT,GBP,0.001747
2021-01-14,KZT,GBP,0.0017449
2021-01-15,KZT,GBP,0.00174826
2021-01-16,KZT,GBP,0.00175472
2021-01-17,KZT,GBP,0.0017547
2021-01-18,KZT,GBP,0.00175217
2021-01-19,KZT,GBP,0.00174836
2021-01-20,KZT,GBP,0.00174662
2021-01-21,KZT,GBP,0.00174146
2021-01-22,KZT,GBP,0.00174018
2021-01-23,KZT,GBP,0.00173614
2021-01-24,KZT,GBP,0.00173613
2021-01-25,KZT,GBP,0.00173586
2021-01-26,KZT,GBP,0.00173145
2021-01-27,KZT,GBP,0.0017274
2021-01-28,KZT,GBP,0.00172454
2021-01-29,KZT,GBP,0.00172136
2021-01-30,KZT,GBP,0.00172322
2021-01-31,KZT,GBP,0.00172326
2021-02-01,KZT,GBP,0.00172074
2021-02-02,KZT,GBP,0.00172616
2021-02-03,KZT,GBP,0.00172976
2021-02-04,KZT,GBP,0.00173641
2021-02-05,KZT,GBP,0.00173249
2021-02-06,KZT,GBP,0.00173108
2021-02-07,KZT,GBP,0.00173115
2021-02-08,KZT,GBP,0.00173895
2021-02-09,KZT,GBP,0.00173404
2021-02-10,KZT,GBP,0.00172922
2021-02-11,KZT,GBP,0.00172986
2021-02-12,KZT,GBP,0.00172738
2021-02-13,KZT,GBP,0.00172152
2021-02-14,KZT,GBP,0.00172144
2021-02-15,KZT,GBP,0.00172165
2021-02-16,KZT,GBP,0.0017235
2021-02-17,KZT,GBP,0.00172662
2021-02-18,KZT,GBP,0.00172364
2021-02-19,KZT,GBP,0.00171346
2021-02-20,KZT,GBP,0.00170964
2021-02-21,KZT,GBP,0.00170958
2021-02-22,KZT,GBP,0.00170756
2021-02-23,KZT,GBP,0.00170764
2021-02-24,KZT,GBP,0.00170278
2021-02-25,KZT,GBP,0.00170628
2021-02-26,KZT,GBP,0.00172
2021-02-27,KZT,GBP,0.0017193
2021-02-28,KZT,GBP,0.00171909
2021-03-01,KZT,GBP,0.00171351
2021-03-02,KZT,GBP,0.0017116
2021-03-03,KZT,GBP,0.00170781
2021-03-04,KZT,GBP,0.00170857
2021-03-05,KZT,GBP,0.00171832
