date,base,quote,rate
2025-06-22,KZT,INR,0.16618
2025-06-23,KZT,INR,0.165814
2025-06-24,KZT,INR,0.166094
2025-06-25,KZT,INR,0.165913
2025-06-26,KZT,INR,0.165624
2025-06-27,KZT,INR,0.164566
2025-06-28,KZT,INR,0.164594
2025-06-29,KZT,INR,0.164591
2025-06-30,KZT,INR,0.164732
2025-07-01,KZT,INR,0.164847
2025-07-02,KZT,INR,0.165117
2025-07-03,KZT,INR,0.164688
2025-07-04,KZT,INR,0.16449
2025-07-05,KZT,INR,0.164898
2025-07-06,KZT,INR,0.164898
2025-07-07,KZT,INR,0.165152
2025-07-08,KZT,INR,0.165102
2025-07-09,KZT,INR,0.165192
2025-07-10,KZT,INR,0.165262
2025-07-11,KZT,INR,0.164568
2025-07-12,KZT,INR,0.164074
2025-07-13,KZT,INR,0.164074
2025-07-14,KZT,INR,0.164014
2025-07-15,KZT,INR,0.163454
2025-07-16,KZT,INR,0.162745
2025-07-17,KZT,INR,0.161846
2025-07-18,KZT,INR,0.161694
2025-07-19,KZT,INR,0.16179
2025-07-20,KZT,INR,0.161788
2025-07-21,KZT,INR,0.162362
2025-07-22,KZT,INR,0.162277
2025-07-23,KZT,INR,0.161002
2025-07-24,KZT,INR,0.159718
2025-07-25,KZT,INR,0.158928
2025-07-26,KZT,INR,0.158682
2025-07-27,KZT,INR,0.158682
2025-07-28,KZT,INR,0.159478
2025-07-29,KZT,INR,0.159945
2025-07-30,KZT,INR,0.16083
2025-07-31,KZT,INR,0.161769
2025-08-01,KZT,INR,0.161182
2025-08-02,KZT,INR,0.1607
2025-08-03,KZT,INR,0.160822
2025-08-04,KZT,INR,0.162413
2025-08-05,KZT,INR,0.163056
2025-08-06,KZT,INR,0.163246
2025-08-07,KZT,INR,0.162756
2025-08-08,KZT,INR,0.162244
2025-08-09,KZT,INR,0.162302
2025-08-10,KZT,INR,0.162286
2025-08-11,KZT,INR,0.161535
2025-08-12,KZT,INR,0.161585
2025-08-13,KZT,INR,0.16229
2025-08-14,KZT,INR,0.162549
2025-08-15,KZT,INR,0.161976
2025-08-16,KZT,INR,0.161714
2025-08-17,KZT,INR,0.161716
2025-08-18,KZT,INR,0.161894
2025-08-19,KZT,INR,0.161748
2025-08-20,KZT,INR,0.161706
2025-08-21,KZT,INR,0.162138
2025-08-22,KZT,INR,0.162467
2025-08-23,KZT,INR,0.16254
2025-08-24,KZT,INR,0.162542
2025-08-25,KZT,INR,0.163644
2025-08-26,KZT,INR,0.163686
2025-08-27,KZT,INR,0.163197
2025-08-28,KZT,INR,0.162772
2025-08-29,KZT,INR,0.16355
2025-08-30,KZT,INR,0.163674
2025-08-31,KZT,INR,0.16368
2025-09-01,KZT,INR,0.163733
2025-09-02,KZT,INR,0.163216
2025-09-03,KZT,INR,0.163106
2025-09-04,KZT,INR,0.163283
2025-09-05,KZT,INR,0.163864
2025-09-06,KZT,INR,0.164232
2025-09-07,KZT,INR,0.164235
2025-09-08,KZT,INR,0.164488
2025-09-09,KZT,INR,0.164537
2025-09-10,KZT,INR,0.163609
2025-09-11,KZT,INR,0.163779
2025-09-12,KZT,INR,0.163607
2025-09-13,KZT,INR,0.163218
2025-09-14,KZT,INR,0.163218
2025-09-15,KZT,INR,0.163082
2025-09-16,KZT,INR,0.162844
2025-09-17,KZT,INR,0.16248
2025-09-18,KZT,INR,0.162717
2025-09-19,KZT,INR,0.162759
2025-09-20,KZT,INR,0.162726
2025-09-21,KZT,INR,0.162726
2025-09-22,KZT,INR,0.162497
2025-09-23,KZT,INR,0.162898
2025-09-24,KZT,INR,0.163404
2025-09-25,KZT,INR,0.163592
2025-09-26,KZT,INR,0.162882
2025-09-27,KZT,INR,0.163053
2025-09-28,KZT,INR,0.163051
2025-09-29,KZT,INR,0.162314
2025-09-30,KZT,INR,0.161758
2025-10-01,KZT,INR,0.161728
2025-10-02,KZT,INR,0.162126
2025-10-03,KZT,INR,0.162176
2025-10-04,KZT,INR,0.16212
2025-10-05,KZT,INR,0.162118
2025-10-06,KZT,INR,0.162676
2025-10-07,KZT,INR,0.163822
2025-10-08,KZT,INR,0.164193
2025-10-09,KZT,INR,0.163992
2025-10-10,KZT,INR,0.164372
2025-10-11,KZT,INR,0.165356
2025-10-12,KZT,INR,0.165343
2025-10-13,KZT,INR,0.165078
2025-10-14,KZT,INR,0.164707
2025-10-15,KZT,INR,0.163711
2025-10-16,KZT,INR,0.163526
2025-10-17,KZT,INR,0.163846
2025-10-18,KZT,INR,0.163128
2025-10-19,KZT,INR,0.163125
2025-10-20,KZT,INR,0.163253
2025-10-21,KZT,INR,0.163396
2025-10-22,KZT,INR,0.162924
2025-10-23,KZT,INR,0.163285
2025-10-24,KZT,INR,0.163258
2025-10-25,KZT,INR,0.163208
2025-10-26,KZT,INR,0.16322
2025-10-27,KZT,INR,0.163929
2025-10-28,KZT,INR,0.164882
2025-10-29,KZT,INR,0.166352
2025-10-30,KZT,INR,0.167182
2025-10-31,KZT,INR,0.16728
2025-11-01,KZT,INR,0.16754
2025-11-02,KZT,INR,0.167559
2025-11-03,KZT,INR,0.16827
2025-11-04,KZT,INR,0.16907
2025-11-05,KZT,INR,0.168938
2025-11-06,KZT,INR,0.168539
2025-11-07,KZT,INR,0.168808
2025-11-08,KZT,INR,0.168922
2025-11-09,KZT,INR,0.168924
2025-11-10,KZT,INR,0.169256
2025-11-11,KZT,INR,0.168808
2025-11-12,KZT,INR,0.168828
2025-11-13,KZT,INR,0.169352
