date,base,quote,rate
2025-06-24,KZT,RUB,0.15145
2025-06-25,KZT,RUB,0.151051
2025-06-26,KZT,RUB,0.151627
2025-06-27,KZT,RUB,0.15126
2025-06-28,KZT,RUB,0.151111
2025-06-29,KZT,RUB,0.151121
2025-06-30,KZT,RUB,0.150795
2025-07-01,KZT,RUB,0.15093
2025-07-02,KZT,RUB,0.151794
2025-07-03,KZT,RUB,0.152175
2025-07-04,KZT,RUB,0.151922
2025-07-05,KZT,RUB,0.15165
2025-07-06,KZT,RUB,0.151658
2025-07-07,KZT,RUB,0.15156
2025-07-08,KZT,RUB,0.151078
2025-07-09,KZT,RUB,0.150772
2025-07-10,KZT,RUB,0.148863
2025-07-11,KZT,RUB,0.149324
2025-07-12,KZT,RUB,0.149105
2025-07-13,KZT,RUB,0.14913
2025-07-14,KZT,RUB,0.149108
2025-07-15,KZT,RUB,0.148448
2025-07-16,KZT,RUB,0.148078
2025-07-17,KZT,RUB,0.147036
2025-07-18,KZT,RUB,0.147004
2025-07-19,KZT,RUB,0.147426
2025-07-20,KZT,RUB,0.14744
2025-07-21,KZT,RUB,0.147472
2025-07-22,KZT,RUB,0.147237
2025-07-23,KZT,RUB,0.146238
2025-07-24,KZT,RUB,0.146028
2025-07-25,KZT,RUB,0.145936
2025-07-26,KZT,RUB,0.145552
2025-07-27,KZT,RUB,0.145525
2025-07-28,KZT,RUB,0.14779
2025-07-29,KZT,RUB,0.150241
2025-07-30,KZT,RUB,0.149547
2025-07-31,KZT,RUB,0.149104
2025-08-01,KZT,RUB,0.14837
2025-08-02,KZT,RUB,0.1474
2025-08-03,KZT,RUB,0.147412
2025-08-04,KZT,RUB,0.147832
2025-08-05,KZT,RUB,0.14848
2025-08-06,KZT,RUB,0.148995
2025-08-07,KZT,RUB,0.147736
2025-08-08,KZT,RUB,0.147579
2025-08-09,KZT,RUB,0.14805
2025-08-10,KZT,RUB,0.147994
2025-08-11,KZT,RUB,0.14687
2025-08-12,KZT,RUB,0.146806
2025-08-13,KZT,RUB,0.147468
2025-08-14,KZT,RUB,0.147842
2025-08-15,KZT,RUB,0.148004
2025-08-16,KZT,RUB,0.148062
2025-08-17,KZT,RUB,0.148002
2025-08-18,KZT,RUB,0.148732
2025-08-19,KZT,RUB,0.149769
2025-08-20,KZT,RUB,0.149602
2025-08-21,KZT,RUB,0.149784
2025-08-22,KZT,RUB,0.149808
2025-08-23,KZT,RUB,0.149884
2025-08-24,KZT,RUB,0.149732
2025-08-25,KZT,RUB,0.15054
2025-08-26,KZT,RUB,0.150366
2025-08-27,KZT,RUB,0.149563
2025-08-28,KZT,RUB,0.149394
2025-08-29,KZT,RUB,0.149408
2025-08-30,KZT,RUB,0.148632
2025-08-31,KZT,RUB,0.148492
2025-09-01,KZT,RUB,0.149592
2025-09-02,KZT,RUB,0.149359
2025-09-03,KZT,RUB,0.1497
2025-09-04,KZT,RUB,0.1504
2025-09-05,KZT,RUB,0.15108
2025-09-06,KZT,RUB,0.151274
2025-09-07,KZT,RUB,0.151276
2025-09-08,KZT,RUB,0.153168
2025-09-09,KZT,RUB,0.155439
2025-09-10,KZT,RUB,0.156664
2025-09-11,KZT,RUB,0.157172
2025-09-12,KZT,RUB,0.155945
2025-09-13,KZT,RUB,0.15531
2025-09-14,KZT,RUB,0.155226
2025-09-15,KZT,RUB,0.153526
2025-09-16,KZT,RUB,0.153524
2025-09-17,KZT,RUB,0.15444
2025-09-18,KZT,RUB,0.154108
2025-09-19,KZT,RUB,0.153994
2025-09-20,KZT,RUB,0.154242
2025-09-21,KZT,RUB,0.154268
2025-09-22,KZT,RUB,0.154018
2025-09-23,KZT,RUB,0.153592
2025-09-24,KZT,RUB,0.15417
2025-09-25,KZT,RUB,0.154577
2025-09-26,KZT,RUB,0.153602
2025-09-27,KZT,RUB,0.153299
2025-09-28,KZT,RUB,0.153288
2025-09-29,KZT,RUB,0.15204
2025-09-30,KZT,RUB,0.150794
2025-10-01,KZT,RUB,0.149716
2025-10-02,KZT,RUB,0.149778
2025-10-03,KZT,RUB,0.150242
2025-10-04,KZT,RUB,0.150251
2025-10-05,KZT,RUB,0.15027
2025-10-06,KZT,RUB,0.151807
2025-10-07,KZT,RUB,0.151968
2025-10-08,KZT,RUB,0.15104
2025-10-09,KZT,RUB,0.150133
2025-10-10,KZT,RUB,0.150776
2025-10-11,KZT,RUB,0.152075
2025-10-12,KZT,RUB,0.151892
2025-10-13,KZT,RUB,0.150585
2025-10-14,KZT,RUB,0.148514
2025-10-15,KZT,RUB,0.146582
2025-10-16,KZT,RUB,0.14812
2025-10-17,KZT,RUB,0.150846
2025-10-18,KZT,RUB,0.150442
2025-10-19,KZT,RUB,0.150474
2025-10-20,KZT,RUB,0.150508
2025-10-21,KZT,RUB,0.150708
2025-10-22,KZT,RUB,0.151404
2025-10-23,KZT,RUB,0.151321
2025-10-24,KZT,RUB,0.149898
2025-10-25,KZT,RUB,0.148198
2025-10-26,KZT,RUB,0.148225
2025-10-27,KZT,RUB,0.148232
2025-10-28,KZT,RUB,0.148478
2025-10-29,KZT,RUB,0.150056
