date,base,quote,rate
2020-12-20,PLN,CHF,0.242118
2020-12-21,PLN,CHF,0.24068
2020-12-22,PLN,CHF,0.240577
2020-12-23,PLN,CHF,0.24043
2020-12-24,PLN,CHF,0.240866
2020-12-25,PLN,CHF,0.241056
2020-12-26,PLN,CHF,0.241056
2020-12-27,PLN,CHF,0.241052
2020-12-28,PLN,CHF,0.241633
2020-12-29,PLN,CHF,0.240168
2020-12-30,PLN,CHF,0.238216
2020-12-31,PLN,CHF,0.236792
2021-01-01,PLN,CHF,0.237122
2021-01-02,PLN,CHF,0.237122
2021-01-03,PLN,CHF,0.237118
2021-01-04,PLN,CHF,0.237552
2021-01-05,PLN,CHF,0.237708
2021-01-06,PLN,CHF,0.239096
2021-01-07,PLN,CHF,0.240058
2021-01-08,PLN,CHF,0.240127
2021-01-09,PLN,CHF,0.239802
2021-01-10,PLN,CHF,0.239803
2021-01-11,PLN,CHF,0.239335
2021-01-12,PLN,CHF,0.239154
2021-01-13,PLN,CHF,0.238616
2021-01-14,PLN,CHF,0.237571
2021-01-15,PLN,CHF,0.237218
2021-01-16,PLN,CHF,0.237318
2021-01-17,PLN,CHF,0.237308
2021-01-18,PLN,CHF,0.237132
2021-01-19,PLN,CHF,0.237702
2021-01-20,PLN,CHF,0.237725
2021-01-21,PLN,CHF,0.237698
2021-01-22,PLN,CHF,0.23747
2021-01-23,PLN,CHF,0.237438
2021-01-24,PLN,CHF,0.237431
2021-01-25,PLN,CHF,0.23744
2021-01-26,PLN,CHF,0.237291
2021-01-27,PLN,CHF,0.236805
2021-01-28,PLN,CHF,0.236868
2021-01-29,PLN,CHF,0.238027
2021-01-30,PLN,CHF,0.239062
2021-01-31,PLN,CHF,0.239065
2021-02-01,PLN,CHF,0.23965
2021-02-02,PLN,CHF,0.240568
2021-02-03,PLN,CHF,0.241054
2021-02-04,PLN,CHF,0.240662
2021-02-05,PLN,CHF,0.24081
2021-02-06,PLN,CHF,0.24152
2021-02-07,PLN,CHF,0.241502
2021-02-08,PLN,CHF,0.241672
2021-02-09,PLN,CHF,0.241657
2021-02-10,PLN,CHF,0.240998
2021-02-11,PLN,CHF,0.239928
2021-02-12,PLN,CHF,0.239991
2021-02-13,PLN,CHF,0.24038
2021-02-14,PLN,CHF,0.240374
2021-02-15,PLN,CHF,0.240733
2021-02-16,PLN,CHF,0.240458
2021-02-17,PLN,CHF,0.240261
2021-02-18,PLN,CHF,0.241098
2021-02-19,PLN,CHF,0.241881
2021-02-20,PLN,CHF,0.242156
2021-02-21,PLN,CHF,0.242168
2021-02-22,PLN,CHF,0.242466
2021-02-23,PLN,CHF,0.242946
2021-02-24,PLN,CHF,0.244344
2021-02-25,PLN,CHF,0.244747
2021-02-26,PLN,CHF,0.243044
2021-02-27,PLN,CHF,0.24259
2021-02-28,PLN,CHF,0.242596
2021-03-01,PLN,CHF,0.243058
2021-03-02,PLN,CHF,0.243194
2021-03-03,PLN,CHF,0.243814
2021-03-04,PLN,CHF,0.243984
2021-03-05,PLN,CHF,0.242356
2021-03-06,PLN,CHF,0.241664
2021-03-07,PLN,CHF,0.241678
2021-03-08,PLN,CHF,0.24153
2021-03-09,PLN,CHF,0.241638
2021-03-10,PLN,CHF,0.241955
2021-03-11,PLN,CHF,0.241973
2021-03-12,PLN,CHF,0.241986
2021-03-13,PLN,CHF,0.242443
2021-03-14,PLN,CHF,0.242434
2021-03-15,PLN,CHF,0.24172
2021-03-16,PLN,CHF,0.24035
2021-03-17,PLN,CHF,0.239786
2021-03-18,PLN,CHF,0.239698
2021-03-19,PLN,CHF,0.239396
2021-03-20,PLN,CHF,0.239722
2021-03-21,PLN,CHF,0.239632
2021-03-22,PLN,CHF,0.239478
2021-03-23,PLN,CHF,0.239806
2021-03-24,PLN,CHF,0.239208
2021-03-25,PLN,CHF,0.238652
2021-03-26,PLN,CHF,0.238852
2021-03-27,PLN,CHF,0.238588
2021-03-28,PLN,CHF,0.238614
2021-03-29,PLN,CHF,0.237603
2021-03-30,PLN,CHF,0.237138
2021-03-31,PLN,CHF,0.237968
2021-04-01,PLN,CHF,0.24056
2021-04-02,PLN,CHF,0.241188
2021-04-03,PLN,CHF,0.240603
2021-04-04,PLN,CHF,0.240634
2021-04-05,PLN,CHF,0.24093
