date,base,quote,rate
2020-12-20,RUB,CNY,0.089006
2020-12-21,RUB,CNY,0.0877531
2020-12-22,RUB,CNY,0.0868674
2020-12-23,RUB,CNY,0.0868145
2020-12-24,RUB,CNY,0.0876642
2020-12-25,RUB,CNY,0.088278
2020-12-26,RUB,CNY,0.0883308
2020-12-27,RUB,CNY,0.0883474
2020-12-28,RUB,CNY,0.0884972
2020-12-29,RUB,CNY,0.0884627
2020-12-30,RUB,CNY,0.0879222
2020-12-31,RUB,CNY,0.0878162
2021-01-01,RUB,CNY,0.0882758
2021-01-02,RUB,CNY,0.0882971
2021-01-03,RUB,CNY,0.0882965
2021-01-04,RUB,CNY,0.0875024
2021-01-05,RUB,CNY,0.086841
2021-01-06,RUB,CNY,0.0873854
2021-01-07,RUB,CNY,0.0870372
2021-01-08,RUB,CNY,0.0870891
2021-01-09,RUB,CNY,0.0874068
2021-01-10,RUB,CNY,0.0874068
2021-01-11,RUB,CNY,0.0869037
2021-01-12,RUB,CNY,0.087284
2021-01-13,RUB,CNY,0.0877608
2021-01-14,RUB,CNY,0.0880524
2021-01-15,RUB,CNY,0.0881175
2021-01-16,RUB,CNY,0.0881452
2021-01-17,RUB,CNY,0.0881358
2021-01-18,RUB,CNY,0.0877299
2021-01-19,RUB,CNY,0.087858
2021-01-20,RUB,CNY,0.087941
2021-01-21,RUB,CNY,0.0877344
2021-01-22,RUB,CNY,0.0867205
2021-01-23,RUB,CNY,0.0861013
2021-01-24,RUB,CNY,0.0860938
2021-01-25,RUB,CNY,0.0859889
2021-01-26,RUB,CNY,0.085923
2021-01-27,RUB,CNY,0.0858046
2021-01-28,RUB,CNY,0.0850295
2021-01-29,RUB,CNY,0.0848228
2021-01-30,RUB,CNY,0.0846338
2021-01-31,RUB,CNY,0.0846384
2021-02-01,RUB,CNY,0.0851629
2021-02-02,RUB,CNY,0.0850724
2021-02-03,RUB,CNY,0.0849903
2021-02-04,RUB,CNY,0.085419
2021-02-05,RUB,CNY,0.0862698
2021-02-06,RUB,CNY,0.0866276
2021-02-07,RUB,CNY,0.0866262
2021-02-08,RUB,CNY,0.0867024
2021-02-09,RUB,CNY,0.0869578
2021-02-10,RUB,CNY,0.087295
2021-02-11,RUB,CNY,0.0875627
2021-02-12,RUB,CNY,0.0874069
2021-02-13,RUB,CNY,0.0876848
2021-02-14,RUB,CNY,0.0876846
2021-02-15,RUB,CNY,0.0880026
2021-02-16,RUB,CNY,0.0878778
2021-02-17,RUB,CNY,0.087513
2021-02-18,RUB,CNY,0.0876872
2021-02-19,RUB,CNY,0.0876818
2021-02-20,RUB,CNY,0.0876224
2021-02-21,RUB,CNY,0.0876156
2021-02-22,RUB,CNY,0.0869847
2021-02-23,RUB,CNY,0.0872404
2021-02-24,RUB,CNY,0.0875323
2021-02-25,RUB,CNY,0.0873024
2021-02-26,RUB,CNY,0.0867302
2021-02-27,RUB,CNY,0.0868764
2021-02-28,RUB,CNY,0.0868708
2021-03-01,RUB,CNY,0.0871236
2021-03-02,RUB,CNY,0.0873178
2021-03-03,RUB,CNY,0.0875661
2021-03-04,RUB,CNY,0.0874753
2021-03-05,RUB,CNY,0.0871416
2021-03-06,RUB,CNY,0.0873728
2021-03-07,RUB,CNY,0.0873763
2021-03-08,RUB,CNY,0.0876106
2021-03-09,RUB,CNY,0.0878834
2021-03-10,RUB,CNY,0.0881092
2021-03-11,RUB,CNY,0.0883591
2021-03-12,RUB,CNY,0.0885592
2021-03-13,RUB,CNY,0.0888411
2021-03-14,RUB,CNY,0.0888268
2021-03-15,RUB,CNY,0.0889306
2021-03-16,RUB,CNY,0.0892658
2021-03-17,RUB,CNY,0.0885546
2021-03-18,RUB,CNY,0.0879488
2021-03-19,RUB,CNY,0.087758
2021-03-20,RUB,CNY,0.08785
2021-03-21,RUB,CNY,0.0878499
2021-03-22,RUB,CNY,0.087228
2021-03-23,RUB,CNY,0.0859858
2021-03-24,RUB,CNY,0.085427
2021-03-25,RUB,CNY,0.0857206
2021-03-26,RUB,CNY,0.0861716
2021-03-27,RUB,CNY,0.0862436
2021-03-28,RUB,CNY,0.0862532
2021-03-29,RUB,CNY,0.086545
2021-03-30,RUB,CNY,0.0866692
2021-03-31,RUB,CNY,0.0866714
2021-04-01,RUB,CNY,0.0863842
2021-04-02,RUB,CNY,0.0860322
2021-04-03,RUB,CNY,0.0859219
2021-04-04,RUB,CNY,0.0859212
2021-04-05,RUB,CNY,0.0859851
2021-04-06,RUB,CNY,0.085277
2021-04-07,RUB,CNY,0.084626
2021-04-08,RUB,CNY,0.0851366
2021-04-09,RUB,CNY,0.0848727
2021-04-10,RUB,CNY,0.0846364
2021-04-11,RUB,CNY,0.0846351
2021-04-12,RUB,CNY,0.0846379
2021-04-13,RUB,CNY,0.0852424
2021-04-14,RUB,CNY,0.0862044
2021-04-15,RUB,CNY,0.0853847
2021-04-16,RUB,CNY,0.0859588
2021-04-17,RUB,CNY,0.086245
2021-04-18,RUB,CNY,0.086238
2021-04-19,RUB,CNY,0.0854655
2021-04-20,RUB,CNY,0.0848823
2021-04-21,RUB,CNY,0.0846294
2021-04-22,RUB,CNY,0.0853645
2021-04-23,RUB,CNY,0.0864686
2021-04-24,RUB,CNY,0.0867533
2021-04-25,RUB,CNY,0.0867494
2021-04-26,RUB,CNY,0.0865786
2021-04-27,RUB,CNY,0.0865324
2021-04-28,RUB,CNY,0.0867748
2021-04-29,RUB,CNY,0.0868993
2021-04-30,RUB,CNY,0.0862888
2021-05-01,RUB,CNY,0.0859927
2021-05-02,RUB,CNY,0.086012
2021-05-03,RUB,CNY,0.0860972
2021-05-04,RUB,CNY,0.0863383
2021-05-05,RUB,CNY,0.0865554
2021-05-06,RUB,CNY,0.0868395
2021-05-07,RUB,CNY,0.087128
2021-05-08,RUB,CNY,0.087216
