date,base,quote,rate
2025-06-24,RUB,INR,1.09669
2025-06-25,RUB,INR,1.0984
2025-06-26,RUB,INR,1.09232
2025-06-27,RUB,INR,1.08797
2025-06-28,RUB,INR,1.08922
2025-06-29,RUB,INR,1.08914
2025-06-30,RUB,INR,1.09245
2025-07-01,RUB,INR,1.0922
2025-07-02,RUB,INR,1.08778
2025-07-03,RUB,INR,1.08223
2025-07-04,RUB,INR,1.08272
2025-07-05,RUB,INR,1.08734
2025-07-06,RUB,INR,1.08728
2025-07-07,RUB,INR,1.0897
2025-07-08,RUB,INR,1.09282
2025-07-09,RUB,INR,1.09564
2025-07-10,RUB,INR,1.11016
2025-07-11,RUB,INR,1.10208
2025-07-12,RUB,INR,1.1004
2025-07-13,RUB,INR,1.1002
2025-07-14,RUB,INR,1.09998
2025-07-15,RUB,INR,1.10108
2025-07-16,RUB,INR,1.09905
2025-07-17,RUB,INR,1.10072
2025-07-18,RUB,INR,1.09993
2025-07-19,RUB,INR,1.09743
2025-07-20,RUB,INR,1.09732
2025-07-21,RUB,INR,1.10099
2025-07-22,RUB,INR,1.10215
2025-07-23,RUB,INR,1.10096
2025-07-24,RUB,INR,1.09375
2025-07-25,RUB,INR,1.08902
2025-07-26,RUB,INR,1.0902
2025-07-27,RUB,INR,1.09041
2025-07-28,RUB,INR,1.0791
2025-07-29,RUB,INR,1.06459
2025-07-30,RUB,INR,1.07545
2025-07-31,RUB,INR,1.08494
2025-08-01,RUB,INR,1.08636
2025-08-02,RUB,INR,1.09022
2025-08-03,RUB,INR,1.09098
2025-08-04,RUB,INR,1.09864
2025-08-05,RUB,INR,1.09818
2025-08-06,RUB,INR,1.09565
2025-08-07,RUB,INR,1.10168
2025-08-08,RUB,INR,1.09937
2025-08-09,RUB,INR,1.09628
2025-08-10,RUB,INR,1.09656
2025-08-11,RUB,INR,1.09987
2025-08-12,RUB,INR,1.10068
2025-08-13,RUB,INR,1.1005
2025-08-14,RUB,INR,1.09948
2025-08-15,RUB,INR,1.09441
2025-08-16,RUB,INR,1.09221
2025-08-17,RUB,INR,1.09266
2025-08-18,RUB,INR,1.08852
2025-08-19,RUB,INR,1.07998
2025-08-20,RUB,INR,1.08091
2025-08-21,RUB,INR,1.08248
2025-08-22,RUB,INR,1.0845
2025-08-23,RUB,INR,1.08444
2025-08-24,RUB,INR,1.08556
2025-08-25,RUB,INR,1.08708
2025-08-26,RUB,INR,1.08859
2025-08-27,RUB,INR,1.09116
2025-08-28,RUB,INR,1.08955
2025-08-29,RUB,INR,1.09466
2025-08-30,RUB,INR,1.1012
2025-08-31,RUB,INR,1.10228
2025-09-01,RUB,INR,1.09456
2025-09-02,RUB,INR,1.09278
2025-09-03,RUB,INR,1.08955
2025-09-04,RUB,INR,1.08566
