date,base,quote,rate
2020-12-20,RUB,KZT,5.7137
2020-12-21,RUB,KZT,5.63858
2020-12-22,RUB,KZT,5.57816
2020-12-23,RUB,KZT,5.59574
2020-12-24,RUB,KZT,5.64514
2020-12-25,RUB,KZT,5.67566
2020-12-26,RUB,KZT,5.67257
2020-12-27,RUB,KZT,5.67356
2020-12-28,RUB,KZT,5.68742
2020-12-29,RUB,KZT,5.69212
2020-12-30,RUB,KZT,5.67105
2020-12-31,RUB,KZT,5.66142
2021-01-01,RUB,KZT,5.70978
2021-01-02,RUB,KZT,5.71099
2021-01-03,RUB,KZT,5.71048
2021-01-04,RUB,KZT,5.70252
2021-01-05,RUB,KZT,5.6743
2021-01-06,RUB,KZT,5.68036
2021-01-07,RUB,KZT,5.64285
2021-01-08,RUB,KZT,5.64456
2021-01-09,RUB,KZT,5.66003
2021-01-10,RUB,KZT,5.66003
2021-01-11,RUB,KZT,5.63574
2021-01-12,RUB,KZT,5.67282
2021-01-13,RUB,KZT,5.68736
2021-01-14,RUB,KZT,5.71014
2021-01-15,RUB,KZT,5.70988
2021-01-16,RUB,KZT,5.70412
2021-01-17,RUB,KZT,5.70351
2021-01-18,RUB,KZT,5.68652
2021-01-19,RUB,KZT,5.69364
2021-01-20,RUB,KZT,5.69871
2021-01-21,RUB,KZT,5.68642
2021-01-22,RUB,KZT,5.62267
2021-01-23,RUB,KZT,5.59173
2021-01-24,RUB,KZT,5.59124
2021-01-25,RUB,KZT,5.58764
2021-01-26,RUB,KZT,5.60284
2021-01-27,RUB,KZT,5.59519
2021-01-28,RUB,KZT,5.5708
2021-01-29,RUB,KZT,5.5803
2021-01-30,RUB,KZT,5.57522
2021-01-31,RUB,KZT,5.57552
2021-02-01,RUB,KZT,5.58921
2021-02-02,RUB,KZT,5.58261
2021-02-03,RUB,KZT,5.57149
2021-02-04,RUB,KZT,5.57934
2021-02-05,RUB,KZT,5.61601
2021-02-06,RUB,KZT,5.63302
2021-02-07,RUB,KZT,5.63294
2021-02-08,RUB,KZT,5.62818
2021-02-09,RUB,KZT,5.64806
2021-02-10,RUB,KZT,5.66042
2021-02-11,RUB,KZT,5.66913
2021-02-12,RUB,KZT,5.6711
2021-02-13,RUB,KZT,5.6943
2021-02-14,RUB,KZT,5.69424
2021-02-15,RUB,KZT,5.69342
2021-02-16,RUB,KZT,5.67249
2021-02-17,RUB,KZT,5.65845
2021-02-18,RUB,KZT,5.64762
2021-02-19,RUB,KZT,5.63694
2021-02-20,RUB,KZT,5.639
2021-02-21,RUB,KZT,5.63856
2021-02-22,RUB,KZT,5.60984
2021-02-23,RUB,KZT,5.61035
2021-02-24,RUB,KZT,5.62962
2021-02-25,RUB,KZT,5.61724
2021-02-26,RUB,KZT,5.5873
2021-02-27,RUB,KZT,5.6015
2021-02-28,RUB,KZT,5.60114
2021-03-01,RUB,KZT,5.63686
2021-03-02,RUB,KZT,5.66381
2021-03-03,RUB,KZT,5.67952
2021-03-04,RUB,KZT,5.67813
2021-03-05,RUB,KZT,5.64626
2021-03-06,RUB,KZT,5.63652
2021-03-07,RUB,KZT,5.63674
2021-03-08,RUB,KZT,5.64371
2021-03-09,RUB,KZT,5.66712
2021-03-10,RUB,KZT,5.6888
2021-03-11,RUB,KZT,5.70849
2021-03-12,RUB,KZT,5.70864
2021-03-13,RUB,KZT,5.71842
2021-03-14,RUB,KZT,5.71802
2021-03-15,RUB,KZT,5.7294
2021-03-16,RUB,KZT,5.75134
2021-03-17,RUB,KZT,5.7074
2021-03-18,RUB,KZT,5.67082
2021-03-19,RUB,KZT,5.67118
2021-03-20,RUB,KZT,5.6798
2021-03-21,RUB,KZT,5.67988
2021-03-22,RUB,KZT,5.64569
2021-03-23,RUB,KZT,5.55724
