date,base,quote,rate
2020-12-20,RUB,USD,0.0136157
2020-12-21,RUB,USD,0.0133982
2020-12-22,RUB,USD,0.0132712
2020-12-23,RUB,USD,0.0132704
2020-12-24,RUB,USD,0.0134224
2020-12-25,RUB,USD,0.0135084
2020-12-26,RUB,USD,0.0135026
2020-12-27,RUB,USD,0.0135051
2020-12-28,RUB,USD,0.0135392
2020-12-29,RUB,USD,0.0135434
2020-12-30,RUB,USD,0.0134732
2020-12-31,RUB,USD,0.0134426
2021-01-01,RUB,USD,0.0135172
2021-01-02,RUB,USD,0.0135207
2021-01-03,RUB,USD,0.0135204
2021-01-04,RUB,USD,0.0135236
2021-01-05,RUB,USD,0.0134464
2021-01-06,RUB,USD,0.0135297
2021-01-07,RUB,USD,0.0134572
2021-01-08,RUB,USD,0.0134595
2021-01-09,RUB,USD,0.0134983
2021-01-10,RUB,USD,0.0134983
2021-01-11,RUB,USD,0.0134098
2021-01-12,RUB,USD,0.0134989
2021-01-13,RUB,USD,0.0135753
2021-01-14,RUB,USD,0.0136086
2021-01-15,RUB,USD,0.0136086
2021-01-16,RUB,USD,0.013601
2021-01-17,RUB,USD,0.0135995
2021-01-18,RUB,USD,0.0135179
2021-01-19,RUB,USD,0.0135524
2021-01-20,RUB,USD,0.0135958
2021-01-21,RUB,USD,0.0135768
2021-01-22,RUB,USD,0.0133897
2021-01-23,RUB,USD,0.0132834
2021-01-24,RUB,USD,0.0132822
2021-01-25,RUB,USD,0.0132725
2021-01-26,RUB,USD,0.0132813
2021-01-27,RUB,USD,0.0132558
2021-01-28,RUB,USD,0.0131503
2021-01-29,RUB,USD,0.013168
2021-01-30,RUB,USD,0.013167
2021-01-31,RUB,USD,0.0131678
2021-02-01,RUB,USD,0.013178
2021-02-02,RUB,USD,0.0131721
2021-02-03,RUB,USD,0.013157
2021-02-04,RUB,USD,0.0132119
2021-02-05,RUB,USD,0.0133332
2021-02-06,RUB,USD,0.013396
2021-02-07,RUB,USD,0.0133958
2021-02-08,RUB,USD,0.0134335
2021-02-09,RUB,USD,0.0135011
2021-02-10,RUB,USD,0.0135403
2021-02-11,RUB,USD,0.013559
2021-02-12,RUB,USD,0.0135343
2021-02-13,RUB,USD,0.0135774
2021-02-14,RUB,USD,0.0135773
2021-02-15,RUB,USD,0.013626
2021-02-16,RUB,USD,0.013608
2021-02-17,RUB,USD,0.01355
2021-02-18,RUB,USD,0.01355
2021-02-19,RUB,USD,0.0135162
2021-02-20,RUB,USD,0.0135076
2021-02-21,RUB,USD,0.0135066
2021-02-22,RUB,USD,0.0134478
2021-02-23,RUB,USD,0.0134968
2021-02-24,RUB,USD,0.0135562
2021-02-25,RUB,USD,0.0135277
2021-02-26,RUB,USD,0.0134063
2021-02-27,RUB,USD,0.013413
2021-02-28,RUB,USD,0.0134121
2021-03-01,RUB,USD,0.0134744
2021-03-02,RUB,USD,0.0134939
2021-03-03,RUB,USD,0.0135419
2021-03-04,RUB,USD,0.0135214
2021-03-05,RUB,USD,0.0134348
