date,base,quote,rate
2025-01-01,SOL,USD,192.561
2025-01-02,SOL,USD,190.744
2025-01-03,SOL,USD,204.77
2025-01-04,SOL,USD,212.442
2025-01-05,SOL,USD,216.153
2025-01-06,SOL,USD,214.579
2025-01-07,SOL,USD,216.866
2025-01-08,SOL,USD,211.857
2025-01-09,SOL,USD,196.838
2025-01-10,SOL,USD,190.854
2025-01-11,SOL,USD,189.056
2025-01-12,SOL,USD,186.912
2025-01-13,SOL,USD,187.633
2025-01-14,SOL,USD,180.916
2025-01-15,SOL,USD,186.244
2025-01-16,SOL,USD,193.338
2025-01-17,SOL,USD,207.245
2025-01-18,SOL,USD,216.324
2025-01-19,SOL,USD,240.247
2025-01-20,SOL,USD,268.572
2025-01-21,SOL,USD,250.469
2025-01-22,SOL,USD,242.187
2025-01-23,SOL,USD,257.191
2025-01-24,SOL,USD,249.056
2025-01-25,SOL,USD,260.01
2025-01-26,SOL,USD,252.349
2025-01-27,SOL,USD,255.094
2025-01-28,SOL,USD,230.929
2025-01-29,SOL,USD,235.411
2025-01-30,SOL,USD,230.639
2025-01-31,SOL,USD,239.317
2025-02-01,SOL,USD,235.793
2025-02-02,SOL,USD,226.867
2025-02-03,SOL,USD,209.349
2025-02-04,SOL,USD,201.313
2025-02-05,SOL,USD,210.738
2025-02-06,SOL,USD,203.191
2025-02-07,SOL,USD,196.948
2025-02-08,SOL,USD,194.747
2025-02-09,SOL,USD,194.403
2025-02-10,SOL,USD,201.33
2025-02-11,SOL,USD,202.65
2025-02-12,SOL,USD,200.825
2025-02-13,SOL,USD,195.1
2025-02-14,SOL,USD,193.68
2025-02-15,SOL,USD,198.664
2025-02-16,SOL,USD,195.699
2025-02-17,SOL,USD,191.98
2025-02-18,SOL,USD,182.81
2025-02-19,SOL,USD,169.355
2025-02-20,SOL,USD,169.332
2025-02-21,SOL,USD,172.763
2025-02-22,SOL,USD,174.269
2025-02-23,SOL,USD,172.403
2025-02-24,SOL,USD,169.669
2025-02-25,SOL,USD,156.795
2025-02-26,SOL,USD,140.125
2025-02-27,SOL,USD,138.679
2025-02-28,SOL,USD,138.488
2025-03-01,SOL,USD,137.243
2025-03-02,SOL,USD,142.656
2025-03-03,SOL,USD,153.435
2025-03-04,SOL,USD,159.648
2025-03-05,SOL,USD,138.646
2025-03-06,SOL,USD,144.173
2025-03-07,SOL,USD,147.253
2025-03-08,SOL,USD,143.044
2025-03-09,SOL,USD,138.138
2025-03-10,SOL,USD,133.956
2025-03-11,SOL,USD,124.284
2025-03-12,SOL,USD,123.307
2025-03-13,SOL,USD,124.715
2025-03-14,SOL,USD,124.32
2025-03-15,SOL,USD,128.488
2025-03-16,SOL,USD,134.312
2025-03-17,SOL,USD,131.374
2025-03-18,SOL,USD,128.353
2025-03-19,SOL,USD,124.289
2025-03-20,SOL,USD,128.927
2025-03-21,SOL,USD,131.031
2025-03-22,SOL,USD,127.542
2025-03-23,SOL,USD,129.296
2025-03-24,SOL,USD,131.188
2025-03-25,SOL,USD,140.131
2025-03-26,SOL,USD,142.463
2025-03-27,SOL,USD,141.434
2025-03-28,SOL,USD,138.515
2025-03-29,SOL,USD,132.013
2025-03-30,SOL,USD,126.29
2025-03-31,SOL,USD,125.23
2025-04-01,SOL,USD,125.413
2025-04-02,SOL,USD,126.824
2025-04-03,SOL,USD,126.12
2025-04-04,SOL,USD,116.898
2025-04-05,SOL,USD,118.343
2025-04-06,SOL,USD,119.854
2025-04-07,SOL,USD,115.407
2025-04-08,SOL,USD,104.035
2025-04-09,SOL,USD,108.039
