date,base,quote,rate
2020-12-20,TRY,AED,0.481254
2020-12-21,TRY,AED,0.4789
2020-12-22,TRY,AED,0.480229
2020-12-23,TRY,AED,0.480502
2020-12-24,TRY,AED,0.482514
2020-12-25,TRY,AED,0.483084
2020-12-26,TRY,AED,0.483074
2020-12-27,TRY,AED,0.483194
2020-12-28,TRY,AED,0.490646
2020-12-29,TRY,AED,0.495822
2020-12-30,TRY,AED,0.498465
2020-12-31,TRY,AED,0.495342
2021-01-01,TRY,AED,0.493915
2021-01-02,TRY,AED,0.493917
2021-01-03,TRY,AED,0.4939
2021-01-04,TRY,AED,0.49641
2021-01-05,TRY,AED,0.496176
2021-01-06,TRY,AED,0.500416
2021-01-07,TRY,AED,0.501912
2021-01-08,TRY,AED,0.499414
2021-01-09,TRY,AED,0.499158
2021-01-10,TRY,AED,0.499154
2021-01-11,TRY,AED,0.493343
2021-01-12,TRY,AED,0.491414
2021-01-13,TRY,AED,0.494382
2021-01-14,TRY,AED,0.497256
2021-01-15,TRY,AED,0.494968
2021-01-16,TRY,AED,0.491584
2021-01-17,TRY,AED,0.491595
2021-01-18,TRY,AED,0.490536
2021-01-19,TRY,AED,0.492132
2021-01-20,TRY,AED,0.493827
2021-01-21,TRY,AED,0.497
2021-01-22,TRY,AED,0.496348
2021-01-23,TRY,AED,0.495612
2021-01-24,TRY,AED,0.495571
2021-01-25,TRY,AED,0.49616
2021-01-26,TRY,AED,0.49794
2021-01-27,TRY,AED,0.498031
2021-01-28,TRY,AED,0.49798
2021-01-29,TRY,AED,0.501056
2021-01-30,TRY,AED,0.50206
2021-01-31,TRY,AED,0.502123
2021-02-01,TRY,AED,0.508724
2021-02-02,TRY,AED,0.511752
2021-02-03,TRY,AED,0.512379
2021-02-04,TRY,AED,0.51421
2021-02-05,TRY,AED,0.51806
2021-02-06,TRY,AED,0.52073
2021-02-07,TRY,AED,0.520694
2021-02-08,TRY,AED,0.51904
2021-02-09,TRY,AED,0.518821
2021-02-10,TRY,AED,0.520414
2021-02-11,TRY,AED,0.521671
2021-02-12,TRY,AED,0.522404
2021-02-13,TRY,AED,0.521865
2021-02-14,TRY,AED,0.521894
2021-02-15,TRY,AED,0.525878
2021-02-16,TRY,AED,0.527388
2021-02-17,TRY,AED,0.525362
2021-02-18,TRY,AED,0.526782
2021-02-19,TRY,AED,0.52674
2021-02-20,TRY,AED,0.527918
2021-02-21,TRY,AED,0.527732
2021-02-22,TRY,AED,0.52396
2021-02-23,TRY,AED,0.520612
2021-02-24,TRY,AED,0.513763
2021-02-25,TRY,AED,0.507546
2021-02-26,TRY,AED,0.495958
2021-02-27,TRY,AED,0.49502
2021-02-28,TRY,AED,0.494999
2021-03-01,TRY,AED,0.501937
2021-03-02,TRY,AED,0.50099
2021-03-03,TRY,AED,0.497034
2021-03-04,TRY,AED,0.49191
2021-03-05,TRY,AED,0.487851
2021-03-06,TRY,AED,0.486946
2021-03-07,TRY,AED,0.487015
2021-03-08,TRY,AED,0.480436
2021-03-09,TRY,AED,0.478966
2021-03-10,TRY,AED,0.485044
2021-03-11,TRY,AED,0.49096
2021-03-12,TRY,AED,0.486294
2021-03-13,TRY,AED,0.485286
2021-03-14,TRY,AED,0.485316
2021-03-15,TRY,AED,0.486411
2021-03-16,TRY,AED,0.488976
2021-03-17,TRY,AED,0.488864
2021-03-18,TRY,AED,0.49615
2021-03-19,TRY,AED,0.505484
2021-03-20,TRY,AED,0.509158
2021-03-21,TRY,AED,0.509156
2021-03-22,TRY,AED,0.509142
2021-03-23,TRY,AED,0.492594
2021-03-24,TRY,AED,0.462887
2021-03-25,TRY,AED,0.462282
2021-03-26,TRY,AED,0.45766
2021-03-27,TRY,AED,0.454076
2021-03-28,TRY,AED,0.453967
2021-03-29,TRY,AED,0.450228
2021-03-30,TRY,AED,0.441496
2021-03-31,TRY,AED,0.442781
2021-04-01,TRY,AED,0.449296
2021-04-02,TRY,AED,0.45261
2021-04-03,TRY,AED,0.450436
2021-04-04,TRY,AED,0.450182
2021-04-05,TRY,AED,0.450865
2021-04-06,TRY,AED,0.451336
2021-04-07,TRY,AED,0.449955
2021-04-08,TRY,AED,0.450456
2021-04-09,TRY,AED,0.450202
2021-04-10,TRY,AED,0.44958
2021-04-11,TRY,AED,0.449498
2021-04-12,TRY,AED,0.449742
2021-04-13,TRY,AED,0.451156
2021-04-14,TRY,AED,0.453918
2021-04-15,TRY,AED,0.455774
2021-04-16,TRY,AED,0.455558
2021-04-17,TRY,AED,0.454744
2021-04-18,TRY,AED,0.45475
2021-04-19,TRY,AED,0.454322
2021-04-20,TRY,AED,0.45293
2021-04-21,TRY,AED,0.450002
2021-04-22,TRY,AED,0.443744
2021-04-23,TRY,AED,0.439575
2021-04-24,TRY,AED,0.437447
2021-04-25,TRY,AED,0.437255
2021-04-26,TRY,AED,0.440482
2021-04-27,TRY,AED,0.44572
2021-04-28,TRY,AED,0.447412
2021-04-29,TRY,AED,0.447612
2021-04-30,TRY,AED,0.444793
2021-05-01,TRY,AED,0.44274
2021-05-02,TRY,AED,0.442766
2021-05-03,TRY,AED,0.443528
2021-05-04,TRY,AED,0.442196
2021-05-05,TRY,AED,0.440931
2021-05-06,TRY,AED,0.442175
2021-05-07,TRY,AED,0.444394
2021-05-08,TRY,AED,0.445586
2021-05-09,TRY,AED,0.445564
2021-05-10,TRY,AED,0.444623
2021-05-11,TRY,AED,0.442956
2021-05-12,TRY,AED,0.438863
2021-05-13,TRY,AED,0.432894
2021-05-14,TRY,AED,0.433928
2021-05-15,TRY,AED,0.434834
2021-05-16,TRY,AED,0.434803
2021-05-17,TRY,AED,0.439245
2021-05-18,TRY,AED,0.440408
2021-05-19,TRY,AED,0.437685
2021-05-20,TRY,AED,0.438108
2021-05-21,TRY,AED,0.43775
2021-05-22,TRY,AED,0.43633
2021-05-23,TRY,AED,0.436298
2021-05-24,TRY,AED,0.437378
2021-05-25,TRY,AED,0.435933
2021-05-26,TRY,AED,0.434796
2021-05-27,TRY,AED,0.433496
2021-05-28,TRY,AED,0.429414
2021-05-29,TRY,AED,0.428778
2021-05-30,TRY,AED,0.428719
2021-05-31,TRY,AED,0.431234
2021-06-01,TRY,AED,0.43086
2021-06-02,TRY,AED,0.426606
2021-06-03,TRY,AED,0.424284
