date,base,quote,rate
2020-12-20,TRY,CHF,0.115728
2020-12-21,TRY,CHF,0.115589
2020-12-22,TRY,CHF,0.116014
2020-12-23,TRY,CHF,0.116258
2020-12-24,TRY,CHF,0.116836
2020-12-25,TRY,CHF,0.117218
2020-12-26,TRY,CHF,0.117218
2020-12-27,TRY,CHF,0.117232
2020-12-28,TRY,CHF,0.118832
2020-12-29,TRY,CHF,0.119581
2020-12-30,TRY,CHF,0.119824
2020-12-31,TRY,CHF,0.119009
2021-01-01,TRY,CHF,0.118984
2021-01-02,TRY,CHF,0.118984
2021-01-03,TRY,CHF,0.118967
2021-01-04,TRY,CHF,0.119148
2021-01-05,TRY,CHF,0.11883
2021-01-06,TRY,CHF,0.11968
2021-01-07,TRY,CHF,0.120559
2021-01-08,TRY,CHF,0.120401
2021-01-09,TRY,CHF,0.120312
2021-01-10,TRY,CHF,0.120321
2021-01-11,TRY,CHF,0.119449
2021-01-12,TRY,CHF,0.118994
2021-01-13,TRY,CHF,0.119394
2021-01-14,TRY,CHF,0.120232
2021-01-15,TRY,CHF,0.119814
2021-01-16,TRY,CHF,0.11929
2021-01-17,TRY,CHF,0.11929
2021-01-18,TRY,CHF,0.119016
2021-01-19,TRY,CHF,0.119132
2021-01-20,TRY,CHF,0.119528
2021-01-21,TRY,CHF,0.120038
2021-01-22,TRY,CHF,0.119632
2021-01-23,TRY,CHF,0.119482
2021-01-24,TRY,CHF,0.119472
2021-01-25,TRY,CHF,0.119792
2021-01-26,TRY,CHF,0.120374
2021-01-27,TRY,CHF,0.120402
2021-01-28,TRY,CHF,0.120544
2021-01-29,TRY,CHF,0.121355
2021-01-30,TRY,CHF,0.121739
2021-01-31,TRY,CHF,0.12176
2021-02-01,TRY,CHF,0.123871
2021-02-02,TRY,CHF,0.125032
2021-02-03,TRY,CHF,0.125355
2021-02-04,TRY,CHF,0.126268
2021-02-05,TRY,CHF,0.12721
2021-02-06,TRY,CHF,0.127458
2021-02-07,TRY,CHF,0.12745
2021-02-08,TRY,CHF,0.127131
2021-02-09,TRY,CHF,0.12635
2021-02-10,TRY,CHF,0.126228
2021-02-11,TRY,CHF,0.12643
2021-02-12,TRY,CHF,0.126798
2021-02-13,TRY,CHF,0.126722
2021-02-14,TRY,CHF,0.126726
2021-02-15,TRY,CHF,0.127522
2021-02-16,TRY,CHF,0.127832
2021-02-17,TRY,CHF,0.128166
2021-02-18,TRY,CHF,0.128698
2021-02-19,TRY,CHF,0.128446
2021-02-20,TRY,CHF,0.128832
2021-02-21,TRY,CHF,0.128788
2021-02-22,TRY,CHF,0.127986
2021-02-23,TRY,CHF,0.127557
2021-02-24,TRY,CHF,0.126854
2021-02-25,TRY,CHF,0.125136
2021-02-26,TRY,CHF,0.122413
2021-02-27,TRY,CHF,0.122458
2021-02-28,TRY,CHF,0.122448
2021-03-01,TRY,CHF,0.124627
2021-03-02,TRY,CHF,0.124936
2021-03-03,TRY,CHF,0.124092
2021-03-04,TRY,CHF,0.12372
2021-03-05,TRY,CHF,0.12346
2021-03-06,TRY,CHF,0.123368
2021-03-07,TRY,CHF,0.123386
2021-03-08,TRY,CHF,0.122118
2021-03-09,TRY,CHF,0.121552
2021-03-10,TRY,CHF,0.12281
2021-03-11,TRY,CHF,0.123882
2021-03-12,TRY,CHF,0.122948
2021-03-13,TRY,CHF,0.122804
2021-03-14,TRY,CHF,0.122808
2021-03-15,TRY,CHF,0.123004
2021-03-16,TRY,CHF,0.123296
2021-03-17,TRY,CHF,0.12321
2021-03-18,TRY,CHF,0.1251
2021-03-19,TRY,CHF,0.127792
2021-03-20,TRY,CHF,0.1288
2021-03-21,TRY,CHF,0.128806
2021-03-22,TRY,CHF,0.1284
2021-03-23,TRY,CHF,0.124658
2021-03-24,TRY,CHF,0.11786
2021-03-25,TRY,CHF,0.11796
2021-03-26,TRY,CHF,0.117108
2021-03-27,TRY,CHF,0.11609
2021-03-28,TRY,CHF,0.116065
2021-03-29,TRY,CHF,0.115106
2021-03-30,TRY,CHF,0.113154
2021-03-31,TRY,CHF,0.113708
2021-04-01,TRY,CHF,0.11546
2021-04-02,TRY,CHF,0.116073
2021-04-03,TRY,CHF,0.11563
2021-04-04,TRY,CHF,0.115562
2021-04-05,TRY,CHF,0.11537
2021-04-06,TRY,CHF,0.114908
2021-04-07,TRY,CHF,0.113875
2021-04-08,TRY,CHF,0.113664
2021-04-09,TRY,CHF,0.113391
2021-04-10,TRY,CHF,0.113158
2021-04-11,TRY,CHF,0.113148
2021-04-12,TRY,CHF,0.113136
2021-04-13,TRY,CHF,0.113348
2021-04-14,TRY,CHF,0.11388
2021-04-15,TRY,CHF,0.114486
2021-04-16,TRY,CHF,0.114163
2021-04-17,TRY,CHF,0.113894
2021-04-18,TRY,CHF,0.1139
2021-04-19,TRY,CHF,0.11339
2021-04-20,TRY,CHF,0.112861
2021-04-21,TRY,CHF,0.11234
2021-04-22,TRY,CHF,0.110748
2021-04-23,TRY,CHF,0.109544
2021-04-24,TRY,CHF,0.108817
2021-04-25,TRY,CHF,0.108769
2021-04-26,TRY,CHF,0.109614
2021-04-27,TRY,CHF,0.11098
2021-04-28,TRY,CHF,0.111285
2021-04-29,TRY,CHF,0.110824
2021-04-30,TRY,CHF,0.11028
2021-05-01,TRY,CHF,0.11006
2021-05-02,TRY,CHF,0.110064
2021-05-03,TRY,CHF,0.110175
2021-05-04,TRY,CHF,0.10999
2021-05-05,TRY,CHF,0.109676
2021-05-06,TRY,CHF,0.109582
2021-05-07,TRY,CHF,0.109469
2021-05-08,TRY,CHF,0.109244
2021-05-09,TRY,CHF,0.10924
2021-05-10,TRY,CHF,0.109011
2021-05-11,TRY,CHF,0.108798
2021-05-12,TRY,CHF,0.108298
2021-05-13,TRY,CHF,0.106923
2021-05-14,TRY,CHF,0.106736
2021-05-15,TRY,CHF,0.106728
2021-05-16,TRY,CHF,0.106722
2021-05-17,TRY,CHF,0.107868
2021-05-18,TRY,CHF,0.107772
2021-05-19,TRY,CHF,0.107308
2021-05-20,TRY,CHF,0.107433
2021-05-21,TRY,CHF,0.106964
2021-05-22,TRY,CHF,0.106659
2021-05-23,TRY,CHF,0.106651
2021-05-24,TRY,CHF,0.106852
2021-05-25,TRY,CHF,0.106297
2021-05-26,TRY,CHF,0.106082
2021-05-27,TRY,CHF,0.10595
2021-05-28,TRY,CHF,0.105122
2021-05-29,TRY,CHF,0.105048
2021-05-30,TRY,CHF,0.105031
2021-05-31,TRY,CHF,0.105597
2021-06-01,TRY,CHF,0.105314
2021-06-02,TRY,CHF,0.104362
2021-06-03,TRY,CHF,0.104114
2021-06-04,TRY,CHF,0.103832
2021-06-05,TRY,CHF,0.1037
2021-06-06,TRY,CHF,0.103704
2021-06-07,TRY,CHF,0.104016
2021-06-08,TRY,CHF,0.104197
2021-06-09,TRY,CHF,0.104266
2021-06-10,TRY,CHF,0.105304
2021-06-11,TRY,CHF,0.106823
2021-06-12,TRY,CHF,0.106941
2021-06-13,TRY,CHF,0.106955
2021-06-14,TRY,CHF,0.107044
2021-06-15,TRY,CHF,0.10534
2021-06-16,TRY,CHF,0.105273
2021-06-17,TRY,CHF,0.105472
2021-06-18,TRY,CHF,0.105536
2021-06-19,TRY,CHF,0.105495
2021-06-20,TRY,CHF,0.105472
2021-06-21,TRY,CHF,0.10496
2021-06-22,TRY,CHF,0.105504
2021-06-23,TRY,CHF,0.106262
2021-06-24,TRY,CHF,0.105798
2021-06-25,TRY,CHF,0.10511
2021-06-26,TRY,CHF,0.104699
