date,base,quote,rate
2020-12-20,TRY,CNY,0.856506
2020-12-21,TRY,CNY,0.85395
2020-12-22,TRY,CNY,0.855788
2020-12-23,TRY,CNY,0.855818
2020-12-24,TRY,CNY,0.857978
2020-12-25,TRY,CNY,0.859536
2020-12-26,TRY,CNY,0.860418
2020-12-27,TRY,CNY,0.86063
2020-12-28,TRY,CNY,0.873141
2020-12-29,TRY,CNY,0.881743
2020-12-30,TRY,CNY,0.88562
2020-12-31,TRY,CNY,0.880976
2021-01-01,TRY,CNY,0.87814
2021-01-02,TRY,CNY,0.878124
2021-01-03,TRY,CNY,0.878106
2021-01-04,TRY,CNY,0.874446
2021-01-05,TRY,CNY,0.872411
2021-01-06,TRY,CNY,0.879932
2021-01-07,TRY,CNY,0.883776
2021-01-08,TRY,CNY,0.879763
2021-01-09,TRY,CNY,0.879978
2021-01-10,TRY,CNY,0.87997
2021-01-11,TRY,CNY,0.870413
2021-01-12,TRY,CNY,0.865068
2021-01-13,TRY,CNY,0.870121
2021-01-14,TRY,CNY,0.875944
2021-01-15,TRY,CNY,0.87256
2021-01-16,TRY,CNY,0.867366
2021-01-17,TRY,CNY,0.867386
2021-01-18,TRY,CNY,0.866718
2021-01-19,TRY,CNY,0.868596
2021-01-20,TRY,CNY,0.86962
2021-01-21,TRY,CNY,0.874378
2021-01-22,TRY,CNY,0.875199
2021-01-23,TRY,CNY,0.874616
2021-01-24,TRY,CNY,0.874545
2021-01-25,TRY,CNY,0.875141
2021-01-26,TRY,CNY,0.877033
2021-01-27,TRY,CNY,0.877669
2021-01-28,TRY,CNY,0.876632
2021-01-29,TRY,CNY,0.878716
2021-01-30,TRY,CNY,0.878588
2021-01-31,TRY,CNY,0.878697
2021-02-01,TRY,CNY,0.895061
2021-02-02,TRY,CNY,0.899834
2021-02-03,TRY,CNY,0.901097
2021-02-04,TRY,CNY,0.905106
2021-02-05,TRY,CNY,0.912579
2021-02-06,TRY,CNY,0.916788
2021-02-07,TRY,CNY,0.916724
2021-02-08,TRY,CNY,0.912028
2021-02-09,TRY,CNY,0.909766
2021-02-10,TRY,CNY,0.913442
2021-02-11,TRY,CNY,0.917176
2021-02-12,TRY,CNY,0.918516
2021-02-13,TRY,CNY,0.91758
2021-02-14,TRY,CNY,0.917632
2021-02-15,TRY,CNY,0.924652
2021-02-16,TRY,CNY,0.92724
2021-02-17,TRY,CNY,0.923764
2021-02-18,TRY,CNY,0.928105
2021-02-19,TRY,CNY,0.930282
2021-02-20,TRY,CNY,0.932333
2021-02-21,TRY,CNY,0.932004
2021-02-22,TRY,CNY,0.922696
2021-02-23,TRY,CNY,0.916162
2021-02-24,TRY,CNY,0.903155
2021-02-25,TRY,CNY,0.891756
2021-02-26,TRY,CNY,0.87352
2021-02-27,TRY,CNY,0.872918
2021-02-28,TRY,CNY,0.87288
2021-03-01,TRY,CNY,0.883574
2021-03-02,TRY,CNY,0.882595
2021-03-03,TRY,CNY,0.875008
2021-03-04,TRY,CNY,0.866396
2021-03-05,TRY,CNY,0.86149
2021-03-06,TRY,CNY,0.861299
2021-03-07,TRY,CNY,0.861422
2021-03-08,TRY,CNY,0.852758
2021-03-09,TRY,CNY,0.849581
2021-03-10,TRY,CNY,0.859454
2021-03-11,TRY,CNY,0.86807
2021-03-12,TRY,CNY,0.860824
2021-03-13,TRY,CNY,0.859908
2021-03-14,TRY,CNY,0.859961
2021-03-15,TRY,CNY,0.86105
2021-03-16,TRY,CNY,0.865566
2021-03-17,TRY,CNY,0.865558
2021-03-18,TRY,CNY,0.878374
2021-03-19,TRY,CNY,0.895788
2021-03-20,TRY,CNY,0.902278
2021-03-21,TRY,CNY,0.902273
2021-03-22,TRY,CNY,0.902146
2021-03-23,TRY,CNY,0.87345
2021-03-24,TRY,CNY,0.822036
2021-03-25,TRY,CNY,0.82306
2021-03-26,TRY,CNY,0.815137
2021-03-27,TRY,CNY,0.808684
2021-03-28,TRY,CNY,0.808491
2021-03-29,TRY,CNY,0.804156
2021-03-30,TRY,CNY,0.789786
2021-03-31,TRY,CNY,0.790362
2021-04-01,TRY,CNY,0.803341
2021-04-02,TRY,CNY,0.808967
2021-04-03,TRY,CNY,0.805391
2021-04-04,TRY,CNY,0.804938
2021-04-05,TRY,CNY,0.806099
2021-04-06,TRY,CNY,0.804604
2021-04-07,TRY,CNY,0.801419
2021-04-08,TRY,CNY,0.803188
2021-04-09,TRY,CNY,0.803328
2021-04-10,TRY,CNY,0.802084
2021-04-11,TRY,CNY,0.801936
2021-04-12,TRY,CNY,0.802049
2021-04-13,TRY,CNY,0.80413
2021-04-14,TRY,CNY,0.807436
2021-04-15,TRY,CNY,0.810052
2021-04-16,TRY,CNY,0.809046
2021-04-17,TRY,CNY,0.807291
2021-04-18,TRY,CNY,0.807302
2021-04-19,TRY,CNY,0.805737
2021-04-20,TRY,CNY,0.801378
2021-04-21,TRY,CNY,0.7957
2021-04-22,TRY,CNY,0.78397
2021-04-23,TRY,CNY,0.777217
2021-04-24,TRY,CNY,0.773548
2021-04-25,TRY,CNY,0.773208
2021-04-26,TRY,CNY,0.77794
2021-04-27,TRY,CNY,0.786866
2021-04-28,TRY,CNY,0.789644
2021-04-29,TRY,CNY,0.788636
2021-04-30,TRY,CNY,0.783606
2021-05-01,TRY,CNY,0.780421
2021-05-02,TRY,CNY,0.780465
2021-05-03,TRY,CNY,0.781704
2021-05-04,TRY,CNY,0.77936
2021-05-05,TRY,CNY,0.777116
2021-05-06,TRY,CNY,0.779025
2021-05-07,TRY,CNY,0.779982
2021-05-08,TRY,CNY,0.780342
2021-05-09,TRY,CNY,0.780302
2021-05-10,TRY,CNY,0.777199
2021-05-11,TRY,CNY,0.774992
2021-05-12,TRY,CNY,0.770147
2021-05-13,TRY,CNY,0.760548
2021-05-14,TRY,CNY,0.760688
2021-05-15,TRY,CNY,0.762046
2021-05-16,TRY,CNY,0.761994
2021-05-17,TRY,CNY,0.770045
2021-05-18,TRY,CNY,0.770577
2021-05-19,TRY,CNY,0.766546
2021-05-20,TRY,CNY,0.767734
2021-05-21,TRY,CNY,0.766738
2021-05-22,TRY,CNY,0.764335
2021-05-23,TRY,CNY,0.764278
2021-05-24,TRY,CNY,0.765241
2021-05-25,TRY,CNY,0.760758
2021-05-26,TRY,CNY,0.756971
2021-05-27,TRY,CNY,0.753305
2021-05-28,TRY,CNY,0.74478
2021-05-29,TRY,CNY,0.743394
2021-05-30,TRY,CNY,0.743291
2021-05-31,TRY,CNY,0.747684
2021-06-01,TRY,CNY,0.748129
2021-06-02,TRY,CNY,0.741356
2021-06-03,TRY,CNY,0.738699
2021-06-04,TRY,CNY,0.736956
2021-06-05,TRY,CNY,0.737606
2021-06-06,TRY,CNY,0.737604
2021-06-07,TRY,CNY,0.740628
2021-06-08,TRY,CNY,0.743075
2021-06-09,TRY,CNY,0.743684
2021-06-10,TRY,CNY,0.751368
2021-06-11,TRY,CNY,0.761782
2021-06-12,TRY,CNY,0.762092
2021-06-13,TRY,CNY,0.762158
2021-06-14,TRY,CNY,0.761817
2021-06-15,TRY,CNY,0.750528
2021-06-16,TRY,CNY,0.747666
2021-06-17,TRY,CNY,0.742702
2021-06-18,TRY,CNY,0.739654
2021-06-19,TRY,CNY,0.737792
2021-06-20,TRY,CNY,0.73767
2021-06-21,TRY,CNY,0.73737
2021-06-22,TRY,CNY,0.743031
2021-06-23,TRY,CNY,0.749533
2021-06-24,TRY,CNY,0.745506
2021-06-25,TRY,CNY,0.740114
2021-06-26,TRY,CNY,0.73712
2021-06-27,TRY,CNY,0.737144
2021-06-28,TRY,CNY,0.740202
2021-06-29,TRY,CNY,0.741182
2021-06-30,TRY,CNY,0.741666
2021-07-01,TRY,CNY,0.744502
2021-07-02,TRY,CNY,0.745048
2021-07-03,TRY,CNY,0.743918
2021-07-04,TRY,CNY,0.744029
2021-07-05,TRY,CNY,0.74502
2021-07-06,TRY,CNY,0.745795
2021-07-07,TRY,CNY,0.745024
2021-07-08,TRY,CNY,0.746052
2021-07-09,TRY,CNY,0.747264
2021-07-10,TRY,CNY,0.747868
2021-07-11,TRY,CNY,0.747876
2021-07-12,TRY,CNY,0.748946
2021-07-13,TRY,CNY,0.750446
2021-07-14,TRY,CNY,0.751258
2021-07-15,TRY,CNY,0.75358
2021-07-16,TRY,CNY,0.758192
2021-07-17,TRY,CNY,0.759829
2021-07-18,TRY,CNY,0.759788
2021-07-19,TRY,CNY,0.756843
2021-07-20,TRY,CNY,0.75637
2021-07-21,TRY,CNY,0.754356
2021-07-22,TRY,CNY,0.755534
2021-07-23,TRY,CNY,0.756752
2021-07-24,TRY,CNY,0.757075
2021-07-25,TRY,CNY,0.757134
2021-07-26,TRY,CNY,0.756861
2021-07-27,TRY,CNY,0.758818
2021-07-28,TRY,CNY,0.759128
2021-07-29,TRY,CNY,0.760551
2021-07-30,TRY,CNY,0.765338
2021-07-31,TRY,CNY,0.764156
2021-08-01,TRY,CNY,0.764288
2021-08-02,TRY,CNY,0.769949
2021-08-03,TRY,CNY,0.772018
2021-08-04,TRY,CNY,0.765522
2021-08-05,TRY,CNY,0.758362
2021-08-06,TRY,CNY,0.753547
2021-08-07,TRY,CNY,0.750804
2021-08-08,TRY,CNY,0.750867
2021-08-09,TRY,CNY,0.74966
2021-08-10,TRY,CNY,0.751438
2021-08-11,TRY,CNY,0.750759
2021-08-12,TRY,CNY,0.754304
2021-08-13,TRY,CNY,0.758074
2021-08-14,TRY,CNY,0.760691
2021-08-15,TRY,CNY,0.760616
2021-08-16,TRY,CNY,0.763376
2021-08-17,TRY,CNY,0.767975
2021-08-18,TRY,CNY,0.766147
2021-08-19,TRY,CNY,0.762586
2021-08-20,TRY,CNY,0.763166
2021-08-21,TRY,CNY,0.765178
2021-08-22,TRY,CNY,0.765191
2021-08-23,TRY,CNY,0.766642
2021-08-24,TRY,CNY,0.768918
2021-08-25,TRY,CNY,0.771417
2021-08-26,TRY,CNY,0.773413
2021-08-27,TRY,CNY,0.773476
2021-08-28,TRY,CNY,0.775444
2021-08-29,TRY,CNY,0.775313
2021-08-30,TRY,CNY,0.772774
2021-08-31,TRY,CNY,0.775337
2021-09-01,TRY,CNY,0.778202
2021-09-02,TRY,CNY,0.779707
2021-09-03,TRY,CNY,0.776722
2021-09-04,TRY,CNY,0.774866
2021-09-05,TRY,CNY,0.774941
2021-09-06,TRY,CNY,0.778522
2021-09-07,TRY,CNY,0.776769
2021-09-08,TRY,CNY,0.767144
2021-09-09,TRY,CNY,0.763102
2021-09-10,TRY,CNY,0.763106
2021-09-11,TRY,CNY,0.760178
2021-09-12,TRY,CNY,0.760302
2021-09-13,TRY,CNY,0.763655
2021-09-14,TRY,CNY,0.763389
2021-09-15,TRY,CNY,0.762664
2021-09-16,TRY,CNY,0.759861
2021-09-17,TRY,CNY,0.751476
2021-09-18,TRY,CNY,0.747965
2021-09-19,TRY,CNY,0.747952
2021-09-20,TRY,CNY,0.745995
2021-09-21,TRY,CNY,0.748182
2021-09-22,TRY,CNY,0.748242
2021-09-23,TRY,CNY,0.74135
2021-09-24,TRY,CNY,0.731826
2021-09-25,TRY,CNY,0.727319
2021-09-26,TRY,CNY,0.727542
2021-09-27,TRY,CNY,0.730462
2021-09-28,TRY,CNY,0.728929
2021-09-29,TRY,CNY,0.72781
2021-09-30,TRY,CNY,0.72572
2021-10-01,TRY,CNY,0.7271
2021-10-02,TRY,CNY,0.728669
2021-10-03,TRY,CNY,0.728535
2021-10-04,TRY,CNY,0.72762
2021-10-05,TRY,CNY,0.7275
2021-10-06,TRY,CNY,0.725725
2021-10-07,TRY,CNY,0.726372
2021-10-08,TRY,CNY,0.721928
2021-10-09,TRY,CNY,0.717724
2021-10-10,TRY,CNY,0.717872
2021-10-11,TRY,CNY,0.718388
2021-10-12,TRY,CNY,0.71504
2021-10-13,TRY,CNY,0.710155
2021-10-14,TRY,CNY,0.702212
2021-10-15,TRY,CNY,0.697684
2021-10-16,TRY,CNY,0.694102
2021-10-17,TRY,CNY,0.694205
2021-10-18,TRY,CNY,0.69181
2021-10-19,TRY,CNY,0.686286
2021-10-20,TRY,CNY,0.689392
2021-10-21,TRY,CNY,0.68183
2021-10-22,TRY,CNY,0.666622
2021-10-23,TRY,CNY,0.664901
2021-10-24,TRY,CNY,0.663381
2021-10-25,TRY,CNY,0.660494
2021-10-26,TRY,CNY,0.669347
2021-10-27,TRY,CNY,0.671611
2021-10-28,TRY,CNY,0.669833
2021-10-29,TRY,CNY,0.667668
2021-10-30,TRY,CNY,0.667628
2021-10-31,TRY,CNY,0.66762
2021-11-01,TRY,CNY,0.670236
2021-11-02,TRY,CNY,0.669028
2021-11-03,TRY,CNY,0.663279
2021-11-04,TRY,CNY,0.660094
2021-11-05,TRY,CNY,0.659418
2021-11-06,TRY,CNY,0.660102
2021-11-07,TRY,CNY,0.660043
2021-11-08,TRY,CNY,0.65954
2021-11-09,TRY,CNY,0.657822
2021-11-10,TRY,CNY,0.65213
2021-11-11,TRY,CNY,0.645897
2021-11-12,TRY,CNY,0.640761
2021-11-13,TRY,CNY,0.637903
2021-11-14,TRY,CNY,0.63779
2021-11-15,TRY,CNY,0.635972
2021-11-16,TRY,CNY,0.625316
2021-11-17,TRY,CNY,0.607448
2021-11-18,TRY,CNY,0.584918
2021-11-19,TRY,CNY,0.573489
2021-11-20,TRY,CNY,0.56877
2021-11-21,TRY,CNY,0.56877
2021-11-22,TRY,CNY,0.567103
2021-11-23,TRY,CNY,0.52174
2021-11-24,TRY,CNY,0.515354
2021-11-25,TRY,CNY,0.532546
2021-11-26,TRY,CNY,0.522986
2021-11-27,TRY,CNY,0.518576
2021-11-28,TRY,CNY,0.518407
2021-11-29,TRY,CNY,0.504845
2021-11-30,TRY,CNY,0.486516
