date,base,quote,rate
2020-12-20,TRY,EUR,0.106926
2020-12-21,TRY,EUR,0.106814
2020-12-22,TRY,EUR,0.107114
2020-12-23,TRY,EUR,0.10735
2020-12-24,TRY,EUR,0.107723
2020-12-25,TRY,EUR,0.107942
2020-12-26,TRY,EUR,0.107942
2020-12-27,TRY,EUR,0.107961
2020-12-28,TRY,EUR,0.10936
2020-12-29,TRY,EUR,0.110237
2020-12-30,TRY,EUR,0.110486
2020-12-31,TRY,EUR,0.109956
2021-01-01,TRY,EUR,0.110077
2021-01-02,TRY,EUR,0.110077
2021-01-03,TRY,EUR,0.110056
2021-01-04,TRY,EUR,0.110196
2021-01-05,TRY,EUR,0.110019
2021-01-06,TRY,EUR,0.110636
2021-01-07,TRY,EUR,0.1112
2021-01-08,TRY,EUR,0.111064
2021-01-09,TRY,EUR,0.111199
2021-01-10,TRY,EUR,0.111207
2021-01-11,TRY,EUR,0.110382
2021-01-12,TRY,EUR,0.109972
2021-01-13,TRY,EUR,0.110478
2021-01-14,TRY,EUR,0.111418
2021-01-15,TRY,EUR,0.111208
2021-01-16,TRY,EUR,0.110795
2021-01-17,TRY,EUR,0.110798
2021-01-18,TRY,EUR,0.110616
2021-01-19,TRY,EUR,0.110592
2021-01-20,TRY,EUR,0.110908
2021-01-21,TRY,EUR,0.111428
2021-01-22,TRY,EUR,0.111034
2021-01-23,TRY,EUR,0.110856
2021-01-24,TRY,EUR,0.11085
2021-01-25,TRY,EUR,0.111131
2021-01-26,TRY,EUR,0.11161
2021-01-27,TRY,EUR,0.111806
2021-01-28,TRY,EUR,0.111948
2021-01-29,TRY,EUR,0.11252
2021-01-30,TRY,EUR,0.112616
2021-01-31,TRY,EUR,0.112637
2021-02-01,TRY,EUR,0.114507
2021-02-02,TRY,EUR,0.115617
2021-02-03,TRY,EUR,0.115946
2021-02-04,TRY,EUR,0.116732
2021-02-05,TRY,EUR,0.117548
2021-02-06,TRY,EUR,0.117662
2021-02-07,TRY,EUR,0.117658
2021-02-08,TRY,EUR,0.117356
2021-02-09,TRY,EUR,0.11679
2021-02-10,TRY,EUR,0.116848
2021-02-11,TRY,EUR,0.117104
2021-02-12,TRY,EUR,0.117383
2021-02-13,TRY,EUR,0.117224
2021-02-14,TRY,EUR,0.117228
2021-02-15,TRY,EUR,0.118014
2021-02-16,TRY,EUR,0.118375
2021-02-17,TRY,EUR,0.118578
2021-02-18,TRY,EUR,0.118852
2021-02-19,TRY,EUR,0.118376
2021-02-20,TRY,EUR,0.118601
2021-02-21,TRY,EUR,0.118556
2021-02-22,TRY,EUR,0.117536
2021-02-23,TRY,EUR,0.11659
2021-02-24,TRY,EUR,0.115094
2021-02-25,TRY,EUR,0.113319
2021-02-26,TRY,EUR,0.111401
2021-02-27,TRY,EUR,0.111638
2021-02-28,TRY,EUR,0.111628
2021-03-01,TRY,EUR,0.11331
2021-03-02,TRY,EUR,0.113236
2021-03-03,TRY,EUR,0.112063
2021-03-04,TRY,EUR,0.111356
2021-03-05,TRY,EUR,0.111294
2021-03-06,TRY,EUR,0.111284
2021-03-07,TRY,EUR,0.111292
2021-03-08,TRY,EUR,0.110111
2021-03-09,TRY,EUR,0.10974
2021-03-10,TRY,EUR,0.110982
2021-03-11,TRY,EUR,0.111808
2021-03-12,TRY,EUR,0.110808
2021-03-13,TRY,EUR,0.110538
2021-03-14,TRY,EUR,0.110549
2021-03-15,TRY,EUR,0.110972
2021-03-16,TRY,EUR,0.11169
2021-03-17,TRY,EUR,0.111643
2021-03-18,TRY,EUR,0.113124
2021-03-19,TRY,EUR,0.11558
2021-03-20,TRY,EUR,0.116446
2021-03-21,TRY,EUR,0.11647
2021-03-22,TRY,EUR,0.11635
2021-03-23,TRY,EUR,0.112809
2021-03-24,TRY,EUR,0.106528
2021-03-25,TRY,EUR,0.106676
2021-03-26,TRY,EUR,0.105716
2021-03-27,TRY,EUR,0.104816
2021-03-28,TRY,EUR,0.104795
2021-03-29,TRY,EUR,0.104086
2021-03-30,TRY,EUR,0.102396
2021-03-31,TRY,EUR,0.102788
2021-04-01,TRY,EUR,0.104112
2021-04-02,TRY,EUR,0.104698
2021-04-03,TRY,EUR,0.104278
2021-04-04,TRY,EUR,0.104218
2021-04-05,TRY,EUR,0.104188
2021-04-06,TRY,EUR,0.103843
2021-04-07,TRY,EUR,0.103132
2021-04-08,TRY,EUR,0.103136
2021-04-09,TRY,EUR,0.103016
2021-04-10,TRY,EUR,0.102858
2021-04-11,TRY,EUR,0.10284
2021-04-12,TRY,EUR,0.102876
2021-04-13,TRY,EUR,0.103059
2021-04-14,TRY,EUR,0.103262
2021-04-15,TRY,EUR,0.103636
2021-04-16,TRY,EUR,0.103572
2021-04-17,TRY,EUR,0.10332
2021-04-18,TRY,EUR,0.103332
2021-04-19,TRY,EUR,0.102987
2021-04-20,TRY,EUR,0.10236
2021-04-21,TRY,EUR,0.10188
2021-04-22,TRY,EUR,0.10043
2021-04-23,TRY,EUR,0.09924
2021-04-24,TRY,EUR,0.0984464
2021-04-25,TRY,EUR,0.098407
2021-04-26,TRY,EUR,0.0991644
2021-04-27,TRY,EUR,0.100469
2021-04-28,TRY,EUR,0.100762
2021-04-29,TRY,EUR,0.10051
2021-04-30,TRY,EUR,0.100301
2021-05-01,TRY,EUR,0.100282
2021-05-02,TRY,EUR,0.100278
2021-05-03,TRY,EUR,0.100234
2021-05-04,TRY,EUR,0.10012
2021-05-05,TRY,EUR,0.0999807
2021-05-06,TRY,EUR,0.0999966
2021-05-07,TRY,EUR,0.0999094
2021-05-08,TRY,EUR,0.0997376
2021-05-09,TRY,EUR,0.0997264
2021-05-10,TRY,EUR,0.0995886
2021-05-11,TRY,EUR,0.099241
2021-05-12,TRY,EUR,0.0986909
2021-05-13,TRY,EUR,0.0975676
2021-05-14,TRY,EUR,0.0974837
2021-05-15,TRY,EUR,0.0974694
2021-05-16,TRY,EUR,0.0974619
2021-05-17,TRY,EUR,0.09845
2021-05-18,TRY,EUR,0.098262
2021-05-19,TRY,EUR,0.0975942
2021-05-20,TRY,EUR,0.0977452
2021-05-21,TRY,EUR,0.0976422
2021-05-22,TRY,EUR,0.097517
2021-05-23,TRY,EUR,0.0975118
2021-05-24,TRY,EUR,0.0975774
2021-05-25,TRY,EUR,0.0969384
2021-05-26,TRY,EUR,0.0968248
2021-05-27,TRY,EUR,0.0967788
2021-05-28,TRY,EUR,0.0959449
2021-05-29,TRY,EUR,0.0957436
2021-05-30,TRY,EUR,0.095728
2021-05-31,TRY,EUR,0.0961734
2021-06-01,TRY,EUR,0.0959324
2021-06-02,TRY,EUR,0.0951508
2021-06-03,TRY,EUR,0.0949469
2021-06-04,TRY,EUR,0.0948308
2021-06-05,TRY,EUR,0.0947988
2021-06-06,TRY,EUR,0.0948006
2021-06-07,TRY,EUR,0.0950789
2021-06-08,TRY,EUR,0.0953784
2021-06-09,TRY,EUR,0.0955196
2021-06-10,TRY,EUR,0.0966032
2021-06-11,TRY,EUR,0.0981288
2021-06-12,TRY,EUR,0.0983574
2021-06-13,TRY,EUR,0.0983659
2021-06-14,TRY,EUR,0.0982807
2021-06-15,TRY,EUR,0.096666
2021-06-16,TRY,EUR,0.0966096
2021-06-17,TRY,EUR,0.0966177
2021-06-18,TRY,EUR,0.0964695
2021-06-19,TRY,EUR,0.0963668
2021-06-20,TRY,EUR,0.096348
2021-06-21,TRY,EUR,0.095888
2021-06-22,TRY,EUR,0.096332
2021-06-23,TRY,EUR,0.0969551
2021-06-24,TRY,EUR,0.0965208
2021-06-25,TRY,EUR,0.0959728
2021-06-26,TRY,EUR,0.0956522
2021-06-27,TRY,EUR,0.0956536
2021-06-28,TRY,EUR,0.0960978
2021-06-29,TRY,EUR,0.0963481
2021-06-30,TRY,EUR,0.0966842
2021-07-01,TRY,EUR,0.0971396
2021-07-02,TRY,EUR,0.0971286
2021-07-03,TRY,EUR,0.0968596
2021-07-04,TRY,EUR,0.0968772
2021-07-05,TRY,EUR,0.0971526
2021-07-06,TRY,EUR,0.0973305
2021-07-07,TRY,EUR,0.097474
2021-07-08,TRY,EUR,0.0972822
2021-07-09,TRY,EUR,0.0972242
2021-07-10,TRY,EUR,0.0971927
2021-07-11,TRY,EUR,0.0971965
2021-07-12,TRY,EUR,0.0974986
2021-07-13,TRY,EUR,0.0980966
2021-07-14,TRY,EUR,0.0983522
2021-07-15,TRY,EUR,0.0986466
2021-07-16,TRY,EUR,0.099218
2021-07-17,TRY,EUR,0.0993392
2021-07-18,TRY,EUR,0.0993293
2021-07-19,TRY,EUR,0.0989224
2021-07-20,TRY,EUR,0.0989944
2021-07-21,TRY,EUR,0.0989274
2021-07-22,TRY,EUR,0.0991065
2021-07-23,TRY,EUR,0.0992605
2021-07-24,TRY,EUR,0.0992268
