date,base,quote,rate
2020-12-20,TRY,GBP,0.096962
2020-12-21,TRY,GBP,0.0976572
2020-12-22,TRY,GBP,0.0976222
2020-12-23,TRY,GBP,0.0972666
2020-12-24,TRY,GBP,0.096883
2020-12-25,TRY,GBP,0.0969674
2020-12-26,TRY,GBP,0.0969674
2020-12-27,TRY,GBP,0.096996
2020-12-28,TRY,GBP,0.0988902
2020-12-29,TRY,GBP,0.100044
2020-12-30,TRY,GBP,0.0999482
2020-12-31,TRY,GBP,0.0987961
2021-01-01,TRY,GBP,0.0983967
2021-01-02,TRY,GBP,0.0983967
2021-01-03,TRY,GBP,0.0983944
2021-01-04,TRY,GBP,0.099126
2021-01-05,TRY,GBP,0.0993428
2021-01-06,TRY,GBP,0.100058
2021-01-07,TRY,GBP,0.100599
2021-01-08,TRY,GBP,0.100167
2021-01-09,TRY,GBP,0.100158
2021-01-10,TRY,GBP,0.100169
2021-01-11,TRY,GBP,0.0994632
2021-01-12,TRY,GBP,0.0984526
2021-01-13,TRY,GBP,0.098509
2021-01-14,TRY,GBP,0.0991164
2021-01-15,TRY,GBP,0.098846
2021-01-16,TRY,GBP,0.0984902
2021-01-17,TRY,GBP,0.0984918
2021-01-18,TRY,GBP,0.0984344
2021-01-19,TRY,GBP,0.0984122
2021-01-20,TRY,GBP,0.0984251
2021-01-21,TRY,GBP,0.0986902
2021-01-22,TRY,GBP,0.0987452
2021-01-23,TRY,GBP,0.0986128
2021-01-24,TRY,GBP,0.0986042
2021-01-25,TRY,GBP,0.0987121
2021-01-26,TRY,GBP,0.0990191
2021-01-27,TRY,GBP,0.0988604
2021-01-28,TRY,GBP,0.099045
2021-01-29,TRY,GBP,0.0995088
2021-01-30,TRY,GBP,0.0997332
2021-01-31,TRY,GBP,0.0997476
2021-02-01,TRY,GBP,0.10108
2021-02-02,TRY,GBP,0.101927
2021-02-03,TRY,GBP,0.102178
2021-02-04,TRY,GBP,0.102654
2021-02-05,TRY,GBP,0.102921
2021-02-06,TRY,GBP,0.103196
2021-02-07,TRY,GBP,0.103193
2021-02-08,TRY,GBP,0.10295
