date,base,quote,rate
2020-12-20,TRY,HKD,1.01574
2020-12-21,TRY,HKD,1.01084
2020-12-22,TRY,HKD,1.01364
2020-12-23,TRY,HKD,1.01421
2020-12-24,TRY,HKD,1.01848
2020-12-25,TRY,HKD,1.01978
2020-12-26,TRY,HKD,1.01978
2020-12-27,TRY,HKD,1.02004
2020-12-28,TRY,HKD,1.03568
2020-12-29,TRY,HKD,1.04668
2020-12-30,TRY,HKD,1.05212
2020-12-31,TRY,HKD,1.04551
2021-01-01,TRY,HKD,1.04244
2021-01-02,TRY,HKD,1.04244
2021-01-03,TRY,HKD,1.04242
2021-01-04,TRY,HKD,1.04781
2021-01-05,TRY,HKD,1.0473
2021-01-06,TRY,HKD,1.05626
2021-01-07,TRY,HKD,1.05944
2021-01-08,TRY,HKD,1.0543
2021-01-09,TRY,HKD,1.05406
2021-01-10,TRY,HKD,1.05404
2021-01-11,TRY,HKD,1.04158
2021-01-12,TRY,HKD,1.03749
2021-01-13,TRY,HKD,1.04364
2021-01-14,TRY,HKD,1.04966
2021-01-15,TRY,HKD,1.04485
2021-01-16,TRY,HKD,1.03772
2021-01-17,TRY,HKD,1.03774
2021-01-18,TRY,HKD,1.03546
2021-01-19,TRY,HKD,1.03869
2021-01-20,TRY,HKD,1.04217
2021-01-21,TRY,HKD,1.04888
2021-01-22,TRY,HKD,1.04755
2021-01-23,TRY,HKD,1.046
2021-01-24,TRY,HKD,1.04592
2021-01-25,TRY,HKD,1.04709
2021-01-26,TRY,HKD,1.05087
2021-01-27,TRY,HKD,1.05108
2021-01-28,TRY,HKD,1.05109
2021-01-29,TRY,HKD,1.05762
2021-01-30,TRY,HKD,1.05976
2021-01-31,TRY,HKD,1.0599
2021-02-01,TRY,HKD,1.07378
2021-02-02,TRY,HKD,1.08006
2021-02-03,TRY,HKD,1.08128
2021-02-04,TRY,HKD,1.08528
2021-02-05,TRY,HKD,1.09345
2021-02-06,TRY,HKD,1.09916
2021-02-07,TRY,HKD,1.09908
2021-02-08,TRY,HKD,1.09548
2021-02-09,TRY,HKD,1.09496
2021-02-10,TRY,HKD,1.09837
2021-02-11,TRY,HKD,1.10107
2021-02-12,TRY,HKD,1.10266
2021-02-13,TRY,HKD,1.10155
2021-02-14,TRY,HKD,1.10161
2021-02-15,TRY,HKD,1.10996
2021-02-16,TRY,HKD,1.11312
2021-02-17,TRY,HKD,1.10886
2021-02-18,TRY,HKD,1.11186
2021-02-19,TRY,HKD,1.11184
2021-02-20,TRY,HKD,1.11433
2021-02-21,TRY,HKD,1.11394
2021-02-22,TRY,HKD,1.10602
2021-02-23,TRY,HKD,1.09897
2021-02-24,TRY,HKD,1.08465
2021-02-25,TRY,HKD,1.07146
2021-02-26,TRY,HKD,1.04726
2021-02-27,TRY,HKD,1.04534
2021-02-28,TRY,HKD,1.04529
2021-03-01,TRY,HKD,1.05999
2021-03-02,TRY,HKD,1.05806
2021-03-03,TRY,HKD,1.04966
2021-03-04,TRY,HKD,1.03902
2021-03-05,TRY,HKD,1.03102
2021-03-06,TRY,HKD,1.02919
2021-03-07,TRY,HKD,1.02934
2021-03-08,TRY,HKD,1.01601
2021-03-09,TRY,HKD,1.01244
2021-03-10,TRY,HKD,1.02501
2021-03-11,TRY,HKD,1.0372
2021-03-12,TRY,HKD,1.02771
2021-03-13,TRY,HKD,1.02564
2021-03-14,TRY,HKD,1.02572
2021-03-15,TRY,HKD,1.0282
2021-03-16,TRY,HKD,1.03376
2021-03-17,TRY,HKD,1.03359
2021-03-18,TRY,HKD,1.04884
2021-03-19,TRY,HKD,1.06872
2021-03-20,TRY,HKD,1.07638
2021-03-21,TRY,HKD,1.07638
2021-03-22,TRY,HKD,1.07646
2021-03-23,TRY,HKD,1.04162
2021-03-24,TRY,HKD,0.97898
2021-03-25,TRY,HKD,0.977782
2021-03-26,TRY,HKD,0.968022
2021-03-27,TRY,HKD,0.960439
2021-03-28,TRY,HKD,0.960212
2021-03-29,TRY,HKD,0.95274
2021-03-30,TRY,HKD,0.934476
2021-03-31,TRY,HKD,0.937177
2021-04-01,TRY,HKD,0.951094
2021-04-02,TRY,HKD,0.958162
2021-04-03,TRY,HKD,0.953622
2021-04-04,TRY,HKD,0.95308
2021-04-05,TRY,HKD,0.954474
2021-04-06,TRY,HKD,0.955534
2021-04-07,TRY,HKD,0.953422
2021-04-08,TRY,HKD,0.954078
2021-04-09,TRY,HKD,0.953331
2021-04-10,TRY,HKD,0.952023
2021-04-11,TRY,HKD,0.951846
2021-04-12,TRY,HKD,0.952046
2021-04-13,TRY,HKD,0.95478
2021-04-14,TRY,HKD,0.959974
2021-04-15,TRY,HKD,0.963775
2021-04-16,TRY,HKD,0.96364
2021-04-17,TRY,HKD,0.962118
2021-04-18,TRY,HKD,0.962125
2021-04-19,TRY,HKD,0.960832
2021-04-20,TRY,HKD,0.95732
2021-04-21,TRY,HKD,0.951064
2021-04-22,TRY,HKD,0.937535
2021-04-23,TRY,HKD,0.928774
2021-04-24,TRY,HKD,0.92408
2021-04-25,TRY,HKD,0.923691
2021-04-26,TRY,HKD,0.930592
2021-04-27,TRY,HKD,0.941836
2021-04-28,TRY,HKD,0.94555
2021-04-29,TRY,HKD,0.946007
2021-04-30,TRY,HKD,0.940369
2021-05-01,TRY,HKD,0.936264
2021-05-02,TRY,HKD,0.936308
2021-05-03,TRY,HKD,0.937848
2021-05-04,TRY,HKD,0.935077
2021-05-05,TRY,HKD,0.932612
2021-05-06,TRY,HKD,0.935192
2021-05-07,TRY,HKD,0.939657
2021-05-08,TRY,HKD,0.942116
2021-05-09,TRY,HKD,0.942066
2021-05-10,TRY,HKD,0.940048
2021-05-11,TRY,HKD,0.93668
2021-05-12,TRY,HKD,0.927948
2021-05-13,TRY,HKD,0.91544
2021-05-14,TRY,HKD,0.917556
2021-05-15,TRY,HKD,0.919535
2021-05-16,TRY,HKD,0.91947
2021-05-17,TRY,HKD,0.928794
2021-05-18,TRY,HKD,0.931104
2021-05-19,TRY,HKD,0.925228
2021-05-20,TRY,HKD,0.925964
2021-05-21,TRY,HKD,0.925274
2021-05-22,TRY,HKD,0.922303
2021-05-23,TRY,HKD,0.922236
2021-05-24,TRY,HKD,0.924614
2021-05-25,TRY,HKD,0.921324
2021-05-26,TRY,HKD,0.918852
2021-05-27,TRY,HKD,0.915969
2021-05-28,TRY,HKD,0.90728
2021-05-29,TRY,HKD,0.906019
2021-05-30,TRY,HKD,0.905896
2021-05-31,TRY,HKD,0.911208
2021-06-01,TRY,HKD,0.910205
2021-06-02,TRY,HKD,0.901171
2021-06-03,TRY,HKD,0.89615
2021-06-04,TRY,HKD,0.893081
2021-06-05,TRY,HKD,0.894668
2021-06-06,TRY,HKD,0.894664
2021-06-07,TRY,HKD,0.898092
2021-06-08,TRY,HKD,0.901302
2021-06-09,TRY,HKD,0.903027
2021-06-10,TRY,HKD,0.912408
2021-06-11,TRY,HKD,0.92462
2021-06-12,TRY,HKD,0.924366
2021-06-13,TRY,HKD,0.924448
2021-06-14,TRY,HKD,0.924085
2021-06-15,TRY,HKD,0.909764
2021-06-16,TRY,HKD,0.90688
2021-06-17,TRY,HKD,0.896138
2021-06-18,TRY,HKD,0.890582
2021-06-19,TRY,HKD,0.887504
2021-06-20,TRY,HKD,0.887364
2021-06-21,TRY,HKD,0.885494
2021-06-22,TRY,HKD,0.891254
2021-06-23,TRY,HKD,0.898572
2021-06-24,TRY,HKD,0.894209
2021-06-25,TRY,HKD,0.889528
2021-06-26,TRY,HKD,0.886142
2021-06-27,TRY,HKD,0.886172
2021-06-28,TRY,HKD,0.889725
2021-06-29,TRY,HKD,0.890456
2021-06-30,TRY,HKD,0.891812
2021-07-01,TRY,HKD,0.894063
2021-07-02,TRY,HKD,0.89364
2021-07-03,TRY,HKD,0.892564
2021-07-04,TRY,HKD,0.892696
2021-07-05,TRY,HKD,0.895291
2021-07-06,TRY,HKD,0.89542
2021-07-07,TRY,HKD,0.894369
2021-07-08,TRY,HKD,0.893694
2021-07-09,TRY,HKD,0.895358
2021-07-10,TRY,HKD,0.896586
2021-07-11,TRY,HKD,0.8966
2021-07-12,TRY,HKD,0.898348
2021-07-13,TRY,HKD,0.900986
2021-07-14,TRY,HKD,0.901998
2021-07-15,TRY,HKD,0.90582
2021-07-16,TRY,HKD,0.91006
2021-07-17,TRY,HKD,0.910955
2021-07-18,TRY,HKD,0.910907
2021-07-19,TRY,HKD,0.906613
2021-07-20,TRY,HKD,0.906596
2021-07-21,TRY,HKD,0.905972
2021-07-22,TRY,HKD,0.907786
2021-07-23,TRY,HKD,0.907811
2021-07-24,TRY,HKD,0.907555
2021-07-25,TRY,HKD,0.907628
2021-07-26,TRY,HKD,0.907771
2021-07-27,TRY,HKD,0.908624
2021-07-28,TRY,HKD,0.908982
2021-07-29,TRY,HKD,0.914542
2021-07-30,TRY,HKD,0.920834
2021-07-31,TRY,HKD,0.91902
2021-08-01,TRY,HKD,0.919192
2021-08-02,TRY,HKD,0.92618
2021-08-03,TRY,HKD,0.928443
2021-08-04,TRY,HKD,0.920872
2021-08-05,TRY,HKD,0.912589
2021-08-06,TRY,HKD,0.9054
2021-08-07,TRY,HKD,0.900926
2021-08-08,TRY,HKD,0.900998
2021-08-09,TRY,HKD,0.900084
2021-08-10,TRY,HKD,0.901943
2021-08-11,TRY,HKD,0.901194
2021-08-12,TRY,HKD,0.906018
2021-08-13,TRY,HKD,0.910668
2021-08-14,TRY,HKD,0.91398
2021-08-15,TRY,HKD,0.91389
2021-08-16,TRY,HKD,0.917554
2021-08-17,TRY,HKD,0.922904
2021-08-18,TRY,HKD,0.920417
2021-08-19,TRY,HKD,0.914995
2021-08-20,TRY,HKD,0.914598
2021-08-21,TRY,HKD,0.916924
2021-08-22,TRY,HKD,0.916936
2021-08-23,TRY,HKD,0.920829
2021-08-24,TRY,HKD,0.924811
2021-08-25,TRY,HKD,0.927276
2021-08-26,TRY,HKD,0.929064
2021-08-27,TRY,HKD,0.929979
2021-08-28,TRY,HKD,0.933107
2021-08-29,TRY,HKD,0.93295
2021-08-30,TRY,HKD,0.93044
2021-08-31,TRY,HKD,0.933519
2021-09-01,TRY,HKD,0.936528
2021-09-02,TRY,HKD,0.938389
2021-09-03,TRY,HKD,0.935461
2021-09-04,TRY,HKD,0.933122
2021-09-05,TRY,HKD,0.93321
2021-09-06,TRY,HKD,0.937354
2021-09-07,TRY,HKD,0.934419
2021-09-08,TRY,HKD,0.92312
2021-09-09,TRY,HKD,0.9191
2021-09-10,TRY,HKD,0.920958
2021-09-11,TRY,HKD,0.917488
2021-09-12,TRY,HKD,0.917638
2021-09-13,TRY,HKD,0.920658
2021-09-14,TRY,HKD,0.921564
2021-09-15,TRY,HKD,0.922042
