date,base,quote,rate
2025-06-22,TRY,INR,2.18102
2025-06-23,TRY,INR,2.1822
2025-06-24,TRY,INR,2.1713
2025-06-25,TRY,INR,2.16592
2025-06-26,TRY,INR,2.15556
2025-06-27,TRY,INR,2.14434
2025-06-28,TRY,INR,2.141
2025-06-29,TRY,INR,2.14135
2025-06-30,TRY,INR,2.15013
2025-07-01,TRY,INR,2.14876
2025-07-02,TRY,INR,2.15096
2025-07-03,TRY,INR,2.14392
2025-07-04,TRY,INR,2.14468
2025-07-05,TRY,INR,2.14823
2025-07-06,TRY,INR,2.14766
2025-07-07,TRY,INR,2.14603
2025-07-08,TRY,INR,2.14227
2025-07-09,TRY,INR,2.14097
2025-07-10,TRY,INR,2.13822
2025-07-11,TRY,INR,2.13625
2025-07-12,TRY,INR,2.13636
2025-07-13,TRY,INR,2.13612
2025-07-14,TRY,INR,2.1363
2025-07-15,TRY,INR,2.13582
2025-07-16,TRY,INR,2.1344
2025-07-17,TRY,INR,2.13512
2025-07-18,TRY,INR,2.13324
2025-07-19,TRY,INR,2.13249
2025-07-20,TRY,INR,2.1325
2025-07-21,TRY,INR,2.135
2025-07-22,TRY,INR,2.1357
2025-07-23,TRY,INR,2.13542
2025-07-24,TRY,INR,2.13378
2025-07-25,TRY,INR,2.13342
2025-07-26,TRY,INR,2.13252
2025-07-27,TRY,INR,2.1327
2025-07-28,TRY,INR,2.13616
2025-07-29,TRY,INR,2.1424
2025-07-30,TRY,INR,2.15508
2025-07-31,TRY,INR,2.15696
2025-08-01,TRY,INR,2.14836
2025-08-02,TRY,INR,2.14606
2025-08-03,TRY,INR,2.14606
2025-08-04,TRY,INR,2.1545
2025-08-05,TRY,INR,2.15914
2025-08-06,TRY,INR,2.15732
2025-08-07,TRY,INR,2.15468
2025-08-08,TRY,INR,2.1528
2025-08-09,TRY,INR,2.15774
2025-08-10,TRY,INR,2.15751
2025-08-11,TRY,INR,2.15351
2025-08-12,TRY,INR,2.15222
2025-08-13,TRY,INR,2.1478
2025-08-14,TRY,INR,2.14744
2025-08-15,TRY,INR,2.14211
2025-08-16,TRY,INR,2.13996
2025-08-17,TRY,INR,2.14
2025-08-18,TRY,INR,2.13706
2025-08-19,TRY,INR,2.13061
2025-08-20,TRY,INR,2.12764
2025-08-21,TRY,INR,2.1296
2025-08-22,TRY,INR,2.13151
2025-08-23,TRY,INR,2.12984
2025-08-24,TRY,INR,2.12986
2025-08-25,TRY,INR,2.13448
2025-08-26,TRY,INR,2.13706
2025-08-27,TRY,INR,2.13728
2025-08-28,TRY,INR,2.13374
2025-08-29,TRY,INR,2.14052
2025-08-30,TRY,INR,2.14252
2025-08-31,TRY,INR,2.14257
2025-09-01,TRY,INR,2.14278
2025-09-02,TRY,INR,2.14034
2025-09-03,TRY,INR,2.13942
