date,base,quote,rate
2020-12-20,TRY,KZT,54.9832
2020-12-21,TRY,KZT,54.8707
2020-12-22,TRY,KZT,54.9542
2020-12-23,TRY,KZT,55.163
2020-12-24,TRY,KZT,55.2498
2020-12-25,TRY,KZT,55.2632
2020-12-26,TRY,KZT,55.2567
2020-12-27,TRY,KZT,55.2696
2020-12-28,TRY,KZT,56.114
2020-12-29,TRY,KZT,56.7356
2020-12-30,TRY,KZT,57.1234
2020-12-31,TRY,KZT,56.7958
2021-01-01,TRY,KZT,56.7993
2021-01-02,TRY,KZT,56.7966
2021-01-03,TRY,KZT,56.7907
2021-01-04,TRY,KZT,56.9876
2021-01-05,TRY,KZT,57.0045
2021-01-06,TRY,KZT,57.1986
2021-01-07,TRY,KZT,57.2976
2021-01-08,TRY,KZT,57.0206
2021-01-09,TRY,KZT,56.9831
2021-01-10,TRY,KZT,56.9826
2021-01-11,TRY,KZT,56.4467
2021-01-12,TRY,KZT,56.2232
2021-01-13,TRY,KZT,56.3885
2021-01-14,TRY,KZT,56.8044
2021-01-15,TRY,KZT,56.5406
2021-01-16,TRY,KZT,56.1299
2021-01-17,TRY,KZT,56.1312
2021-01-18,TRY,KZT,56.1796
2021-01-19,TRY,KZT,56.2895
2021-01-20,TRY,KZT,56.3526
2021-01-21,TRY,KZT,56.672
2021-01-22,TRY,KZT,56.745
2021-01-23,TRY,KZT,56.8012
2021-01-24,TRY,KZT,56.7965
2021-01-25,TRY,KZT,56.8676
2021-01-26,TRY,KZT,57.1894
2021-01-27,TRY,KZT,57.2316
2021-01-28,TRY,KZT,57.4336
2021-01-29,TRY,KZT,57.8088
2021-01-30,TRY,KZT,57.8768
2021-01-31,TRY,KZT,57.884
2021-02-01,TRY,KZT,58.7426
2021-02-02,TRY,KZT,59.0489
2021-02-03,TRY,KZT,59.071
2021-02-04,TRY,KZT,59.1191
2021-02-05,TRY,KZT,59.4074
2021-02-06,TRY,KZT,59.615
2021-02-07,TRY,KZT,59.6108
2021-02-08,TRY,KZT,59.2034
2021-02-09,TRY,KZT,59.091
2021-02-10,TRY,KZT,59.2298
2021-02-11,TRY,KZT,59.3814
2021-02-12,TRY,KZT,59.5948
2021-02-13,TRY,KZT,59.5884
2021-02-14,TRY,KZT,59.5912
2021-02-15,TRY,KZT,59.8213
2021-02-16,TRY,KZT,59.8532
2021-02-17,TRY,KZT,59.7292
2021-02-18,TRY,KZT,59.7761
2021-02-19,TRY,KZT,59.8068
2021-02-20,TRY,KZT,60.0014
