date,base,quote,rate
2020-12-20,TRY,RUB,9.62302
2020-12-21,TRY,RUB,9.7313
2020-12-22,TRY,RUB,9.85166
2020-12-23,TRY,RUB,9.85802
2020-12-24,TRY,RUB,9.7871
2020-12-25,TRY,RUB,9.7367
2020-12-26,TRY,RUB,9.74087
2020-12-27,TRY,RUB,9.74146
2020-12-28,TRY,RUB,9.86632
2020-12-29,TRY,RUB,9.9674
2020-12-30,TRY,RUB,10.0728
2020-12-31,TRY,RUB,10.0321
2021-01-01,TRY,RUB,9.9477
2021-01-02,TRY,RUB,9.94511
2021-01-03,TRY,RUB,9.94497
2021-01-04,TRY,RUB,9.99338
2021-01-05,TRY,RUB,10.0461
2021-01-06,TRY,RUB,10.0696
2021-01-07,TRY,RUB,10.154
2021-01-08,TRY,RUB,10.1018
2021-01-09,TRY,RUB,10.0676
2021-01-10,TRY,RUB,10.0675
2021-01-11,TRY,RUB,10.0158
2021-01-12,TRY,RUB,9.91096
2021-01-13,TRY,RUB,9.91469
2021-01-14,TRY,RUB,9.94798
2021-01-15,TRY,RUB,9.90222
2021-01-16,TRY,RUB,9.8402
2021-01-17,TRY,RUB,9.84148
2021-01-18,TRY,RUB,9.8794
2021-01-19,TRY,RUB,9.88636
2021-01-20,TRY,RUB,9.88866
2021-01-21,TRY,RUB,9.96618
2021-01-22,TRY,RUB,10.0922
2021-01-23,TRY,RUB,10.158
2021-01-24,TRY,RUB,10.158
2021-01-25,TRY,RUB,10.1774
2021-01-26,TRY,RUB,10.2072
2021-01-27,TRY,RUB,10.2287
2021-01-28,TRY,RUB,10.3098
2021-01-29,TRY,RUB,10.3594
2021-01-30,TRY,RUB,10.381
2021-01-31,TRY,RUB,10.3818
2021-02-01,TRY,RUB,10.51
2021-02-02,TRY,RUB,10.5772
2021-02-03,TRY,RUB,10.6024
2021-02-04,TRY,RUB,10.596
2021-02-05,TRY,RUB,10.5782
2021-02-06,TRY,RUB,10.5832
2021-02-07,TRY,RUB,10.5826
2021-02-08,TRY,RUB,10.5191
2021-02-09,TRY,RUB,10.4622
2021-02-10,TRY,RUB,10.4638
2021-02-11,TRY,RUB,10.4745
2021-02-12,TRY,RUB,10.5085
2021-02-13,TRY,RUB,10.4646
2021-02-14,TRY,RUB,10.4652
2021-02-15,TRY,RUB,10.5071
2021-02-16,TRY,RUB,10.5514
2021-02-17,TRY,RUB,10.5558
2021-02-18,TRY,RUB,10.5842
2021-02-19,TRY,RUB,10.6098
2021-02-20,TRY,RUB,10.6404
2021-02-21,TRY,RUB,10.6374
2021-02-22,TRY,RUB,10.6076
2021-02-23,TRY,RUB,10.5016
2021-02-24,TRY,RUB,10.318
2021-02-25,TRY,RUB,10.2146
2021-02-26,TRY,RUB,10.0717
2021-02-27,TRY,RUB,10.0478
2021-02-28,TRY,RUB,10.048
2021-03-01,TRY,RUB,10.1416
2021-03-02,TRY,RUB,10.1078
2021-03-03,TRY,RUB,9.99256
2021-03-04,TRY,RUB,9.90448
2021-03-05,TRY,RUB,9.8861
2021-03-06,TRY,RUB,9.85774
2021-03-07,TRY,RUB,9.85876
2021-03-08,TRY,RUB,9.7335
2021-03-09,TRY,RUB,9.66715
2021-03-10,TRY,RUB,9.75442
2021-03-11,TRY,RUB,9.82434
2021-03-12,TRY,RUB,9.72034
2021-03-13,TRY,RUB,9.67916
2021-03-14,TRY,RUB,9.68133
2021-03-15,TRY,RUB,9.68227
2021-03-16,TRY,RUB,9.69652
2021-03-17,TRY,RUB,9.7743
2021-03-18,TRY,RUB,9.98734
2021-03-19,TRY,RUB,10.2075
2021-03-20,TRY,RUB,10.2706
2021-03-21,TRY,RUB,10.2706
2021-03-22,TRY,RUB,10.3424
2021-03-23,TRY,RUB,10.1581
2021-03-24,TRY,RUB,9.62267
2021-03-25,TRY,RUB,9.60164
2021-03-26,TRY,RUB,9.45946
2021-03-27,TRY,RUB,9.37676
2021-03-28,TRY,RUB,9.37348
2021-03-29,TRY,RUB,9.29176
2021-03-30,TRY,RUB,9.11265
2021-03-31,TRY,RUB,9.11907
2021-04-01,TRY,RUB,9.29962
2021-04-02,TRY,RUB,9.40308
2021-04-03,TRY,RUB,9.37354
2021-04-04,TRY,RUB,9.36834
2021-04-05,TRY,RUB,9.37487
2021-04-06,TRY,RUB,9.43518
2021-04-07,TRY,RUB,9.47014
2021-04-08,TRY,RUB,9.4341
2021-04-09,TRY,RUB,9.46508
2021-04-10,TRY,RUB,9.47684
2021-04-11,TRY,RUB,9.47523
2021-04-12,TRY,RUB,9.47624
2021-04-13,TRY,RUB,9.43346
2021-04-14,TRY,RUB,9.36654
2021-04-15,TRY,RUB,9.48708
2021-04-16,TRY,RUB,9.41203
2021-04-17,TRY,RUB,9.36045
2021-04-18,TRY,RUB,9.36134
2021-04-19,TRY,RUB,9.42764
2021-04-20,TRY,RUB,9.44104
2021-04-21,TRY,RUB,9.40219
2021-04-22,TRY,RUB,9.18379
2021-04-23,TRY,RUB,8.98843
2021-04-24,TRY,RUB,8.91664
2021-04-25,TRY,RUB,8.91313
2021-04-26,TRY,RUB,8.98536
2021-04-27,TRY,RUB,9.09333
2021-04-28,TRY,RUB,9.09994
2021-04-29,TRY,RUB,9.0753
2021-04-30,TRY,RUB,9.08121
2021-05-01,TRY,RUB,9.07544
2021-05-02,TRY,RUB,9.07392
2021-05-03,TRY,RUB,9.07934
2021-05-04,TRY,RUB,9.02682
2021-05-05,TRY,RUB,8.97826
