date,base,quote,rate
2021-01-28,UAH,CHF,0.0315226
2021-01-29,UAH,CHF,0.0316176
2021-01-30,UAH,CHF,0.0316776
2021-01-31,UAH,CHF,0.031679
2021-02-01,UAH,CHF,0.0318228
2021-02-02,UAH,CHF,0.0319905
2021-02-03,UAH,CHF,0.0320908
2021-02-04,UAH,CHF,0.0323246
2021-02-05,UAH,CHF,0.0324474
2021-02-06,UAH,CHF,0.0323942
2021-02-07,UAH,CHF,0.0323958
2021-02-08,UAH,CHF,0.0325248
2021-02-09,UAH,CHF,0.032357
2021-02-10,UAH,CHF,0.0320748
2021-02-11,UAH,CHF,0.0319908
2021-02-12,UAH,CHF,0.0319892
2021-02-13,UAH,CHF,0.0319586
2021-02-14,UAH,CHF,0.0319578
2021-02-15,UAH,CHF,0.0319568
2021-02-16,UAH,CHF,0.031993
2021-02-17,UAH,CHF,0.0320898
2021-02-18,UAH,CHF,0.0321888
2021-02-19,UAH,CHF,0.0321417
2021-02-20,UAH,CHF,0.03213
2021-02-21,UAH,CHF,0.0321329
2021-02-22,UAH,CHF,0.0321516
2021-02-23,UAH,CHF,0.0322536
2021-02-24,UAH,CHF,0.0324283
2021-02-25,UAH,CHF,0.0323937
2021-02-26,UAH,CHF,0.032427
2021-02-27,UAH,CHF,0.032455
2021-02-28,UAH,CHF,0.0324536
2021-03-01,UAH,CHF,0.0325544
2021-03-02,UAH,CHF,0.0327331
2021-03-03,UAH,CHF,0.03294
2021-03-04,UAH,CHF,0.0332748
2021-03-05,UAH,CHF,0.0334194
2021-03-06,UAH,CHF,0.0334772
2021-03-07,UAH,CHF,0.033477
2021-03-08,UAH,CHF,0.033613
2021-03-09,UAH,CHF,0.0335727
2021-03-10,UAH,CHF,0.0335148
2021-03-11,UAH,CHF,0.0334016
2021-03-12,UAH,CHF,0.0334712
2021-03-13,UAH,CHF,0.0335274
2021-03-14,UAH,CHF,0.0335266
2021-03-15,UAH,CHF,0.0335777
2021-03-16,UAH,CHF,0.0334596
2021-03-17,UAH,CHF,0.0334026
2021-03-18,UAH,CHF,0.0334324
2021-03-19,UAH,CHF,0.033473
2021-03-20,UAH,CHF,0.0335042
2021-03-21,UAH,CHF,0.0335054
2021-03-22,UAH,CHF,0.0334044
2021-03-23,UAH,CHF,0.0335256
2021-03-24,UAH,CHF,0.0335174
2021-03-25,UAH,CHF,0.0335308
2021-03-26,UAH,CHF,0.0335598
2021-03-27,UAH,CHF,0.0335324
2021-03-28,UAH,CHF,0.0335329
2021-03-29,UAH,CHF,0.0335195
2021-03-30,UAH,CHF,0.0337196
2021-03-31,UAH,CHF,0.033845
2021-04-01,UAH,CHF,0.0338576
2021-04-02,UAH,CHF,0.0337868
2021-04-03,UAH,CHF,0.0337856
2021-04-04,UAH,CHF,0.0337861
2021-04-05,UAH,CHF,0.0337365
2021-04-06,UAH,CHF,0.033653
2021-04-07,UAH,CHF,0.0333581
2021-04-08,UAH,CHF,0.0331412
2021-04-09,UAH,CHF,0.0331774
2021-04-10,UAH,CHF,0.0331106
2021-04-11,UAH,CHF,0.0331139
2021-04-12,UAH,CHF,0.033068
2021-04-13,UAH,CHF,0.0329146
2021-04-14,UAH,CHF,0.0329156
2021-04-15,UAH,CHF,0.0329779
2021-04-16,UAH,CHF,0.0328698
2021-04-17,UAH,CHF,0.0328362
2021-04-18,UAH,CHF,0.0328384
2021-04-19,UAH,CHF,0.0326988
2021-04-20,UAH,CHF,0.0326614
2021-04-21,UAH,CHF,0.0326358
2021-04-22,UAH,CHF,0.0326588
2021-04-23,UAH,CHF,0.0327432
2021-04-24,UAH,CHF,0.0327242
2021-04-25,UAH,CHF,0.0327242
2021-04-26,UAH,CHF,0.0328534
2021-04-27,UAH,CHF,0.0328726
2021-04-28,UAH,CHF,0.0328751
2021-04-29,UAH,CHF,0.0328389
2021-04-30,UAH,CHF,0.0327837
2021-05-01,UAH,CHF,0.0328463
2021-05-02,UAH,CHF,0.0328456
2021-05-03,UAH,CHF,0.0327721
2021-05-04,UAH,CHF,0.0328454
2021-05-05,UAH,CHF,0.0329121
2021-05-06,UAH,CHF,0.0327932
2021-05-07,UAH,CHF,0.0325958
2021-05-08,UAH,CHF,0.0324526
2021-05-09,UAH,CHF,0.0324532
2021-05-10,UAH,CHF,0.0325439
2021-05-11,UAH,CHF,0.0325798
2021-05-12,UAH,CHF,0.0327641
2021-05-13,UAH,CHF,0.0327726
2021-05-14,UAH,CHF,0.032731
2021-05-15,UAH,CHF,0.0326816
2021-05-16,UAH,CHF,0.032678
2021-05-17,UAH,CHF,0.0327254
2021-05-18,UAH,CHF,0.032725
2021-05-19,UAH,CHF,0.0328318
2021-05-20,UAH,CHF,0.032801
2021-05-21,UAH,CHF,0.0326982
2021-05-22,UAH,CHF,0.0327313
2021-05-23,UAH,CHF,0.0327313
2021-05-24,UAH,CHF,0.0326612
2021-05-25,UAH,CHF,0.0325914
2021-05-26,UAH,CHF,0.032556
2021-05-27,UAH,CHF,0.0325431
2021-05-28,UAH,CHF,0.0326756
2021-05-29,UAH,CHF,0.0327248
2021-05-30,UAH,CHF,0.0327228
2021-05-31,UAH,CHF,0.0327293
2021-06-01,UAH,CHF,0.0327311
2021-06-02,UAH,CHF,0.0328243
2021-06-03,UAH,CHF,0.033011
2021-06-04,UAH,CHF,0.0330321
