date,base,quote,rate
2021-01-28,UAH,EUR,0.0292746
2021-01-29,UAH,EUR,0.0293155
2021-01-30,UAH,EUR,0.0293034
2021-01-31,UAH,EUR,0.0293055
2021-02-01,UAH,EUR,0.0294171
2021-02-02,UAH,EUR,0.0295814
2021-02-03,UAH,EUR,0.0296818
2021-02-04,UAH,EUR,0.0298836
2021-02-05,UAH,EUR,0.0299832
2021-02-06,UAH,EUR,0.0299046
2021-02-07,UAH,EUR,0.0299066
2021-02-08,UAH,EUR,0.030024
2021-02-09,UAH,EUR,0.0299086
2021-02-10,UAH,EUR,0.0296916
2021-02-11,UAH,EUR,0.0296308
2021-02-12,UAH,EUR,0.029614
2021-02-13,UAH,EUR,0.0295634
2021-02-14,UAH,EUR,0.0295626
2021-02-15,UAH,EUR,0.0295742
2021-02-16,UAH,EUR,0.029626
2021-02-17,UAH,EUR,0.0296889
2021-02-18,UAH,EUR,0.0297263
2021-02-19,UAH,EUR,0.0296218
2021-02-20,UAH,EUR,0.0295786
2021-02-21,UAH,EUR,0.02958
2021-02-22,UAH,EUR,0.029526
2021-02-23,UAH,EUR,0.0294805
2021-02-24,UAH,EUR,0.0294218
2021-02-25,UAH,EUR,0.0293346
2021-02-26,UAH,EUR,0.02951
2021-02-27,UAH,EUR,0.0295874
2021-02-28,UAH,EUR,0.029586
2021-03-01,UAH,EUR,0.0295984
2021-03-02,UAH,EUR,0.0296676
2021-03-03,UAH,EUR,0.029747
2021-03-04,UAH,EUR,0.0299492
2021-03-05,UAH,EUR,0.030126
2021-03-06,UAH,EUR,0.0301978
2021-03-07,UAH,EUR,0.0301958
2021-03-08,UAH,EUR,0.0303082
2021-03-09,UAH,EUR,0.0303102
2021-03-10,UAH,EUR,0.0302873
2021-03-11,UAH,EUR,0.0301464
2021-03-12,UAH,EUR,0.0301662
2021-03-13,UAH,EUR,0.0301786
2021-03-14,UAH,EUR,0.0301799
2021-03-15,UAH,EUR,0.0302933
2021-03-16,UAH,EUR,0.0303104
2021-03-17,UAH,EUR,0.0302668
2021-03-18,UAH,EUR,0.030232
2021-03-19,UAH,EUR,0.0302742
2021-03-20,UAH,EUR,0.0302906
2021-03-21,UAH,EUR,0.0302966
2021-03-22,UAH,EUR,0.0302692
2021-03-23,UAH,EUR,0.030339
2021-03-24,UAH,EUR,0.0302946
2021-03-25,UAH,EUR,0.0303229
2021-03-26,UAH,EUR,0.0302952
2021-03-27,UAH,EUR,0.0302756
2021-03-28,UAH,EUR,0.0302768
2021-03-29,UAH,EUR,0.0303104
2021-03-30,UAH,EUR,0.0305137
2021-03-31,UAH,EUR,0.0305946
2021-04-01,UAH,EUR,0.03053
2021-04-02,UAH,EUR,0.0304756
2021-04-03,UAH,EUR,0.0304688
2021-04-04,UAH,EUR,0.0304694
2021-04-05,UAH,EUR,0.0304666
2021-04-06,UAH,EUR,0.0304122
2021-04-07,UAH,EUR,0.030211
2021-04-08,UAH,EUR,0.0300718
2021-04-09,UAH,EUR,0.030142
2021-04-10,UAH,EUR,0.030097
2021-04-11,UAH,EUR,0.0300972
2021-04-12,UAH,EUR,0.0300692
2021-04-13,UAH,EUR,0.0299268
2021-04-14,UAH,EUR,0.0298467
2021-04-15,UAH,EUR,0.0298523
2021-04-16,UAH,EUR,0.0298204
2021-04-17,UAH,EUR,0.0297876
2021-04-18,UAH,EUR,0.0297913
2021-04-19,UAH,EUR,0.029699
2021-04-20,UAH,EUR,0.0296224
2021-04-21,UAH,EUR,0.029597
2021-04-22,UAH,EUR,0.0296164
2021-04-23,UAH,EUR,0.0296632
2021-04-24,UAH,EUR,0.0296056
2021-04-25,UAH,EUR,0.0296067
2021-04-26,UAH,EUR,0.0297214
2021-04-27,UAH,EUR,0.0297592
2021-04-28,UAH,EUR,0.0297668
2021-04-29,UAH,EUR,0.0297828
2021-04-30,UAH,EUR,0.0298172
2021-05-01,UAH,EUR,0.029928
2021-05-02,UAH,EUR,0.0299254
2021-05-03,UAH,EUR,0.0298152
2021-05-04,UAH,EUR,0.0298978
2021-05-05,UAH,EUR,0.0300028
2021-05-06,UAH,EUR,0.0299246
2021-05-07,UAH,EUR,0.0297493
2021-05-08,UAH,EUR,0.0296287
2021-05-09,UAH,EUR,0.0296269
2021-05-10,UAH,EUR,0.029731
2021-05-11,UAH,EUR,0.0297179
2021-05-12,UAH,EUR,0.0298576
2021-05-13,UAH,EUR,0.029905
2021-05-14,UAH,EUR,0.0298937
2021-05-15,UAH,EUR,0.0298466
2021-05-16,UAH,EUR,0.0298424
2021-05-17,UAH,EUR,0.029868
2021-05-18,UAH,EUR,0.0298374
2021-05-19,UAH,EUR,0.02986
2021-05-20,UAH,EUR,0.0298431
2021-05-21,UAH,EUR,0.0298485
2021-05-22,UAH,EUR,0.0299258
2021-05-23,UAH,EUR,0.0299265
2021-05-24,UAH,EUR,0.0298263
2021-05-25,UAH,EUR,0.029722
2021-05-26,UAH,EUR,0.0297151
2021-05-27,UAH,EUR,0.0297264
2021-05-28,UAH,EUR,0.029823
2021-05-29,UAH,EUR,0.0298262
2021-05-30,UAH,EUR,0.0298243
2021-05-31,UAH,EUR,0.0298084
2021-06-01,UAH,EUR,0.0298154
2021-06-02,UAH,EUR,0.0299272
2021-06-03,UAH,EUR,0.0301046
2021-06-04,UAH,EUR,0.0301685
2021-06-05,UAH,EUR,0.030171
2021-06-06,UAH,EUR,0.0301718
2021-06-07,UAH,EUR,0.0302093
2021-06-08,UAH,EUR,0.030232
2021-06-09,UAH,EUR,0.030257
2021-06-10,UAH,EUR,0.0302846
2021-06-11,UAH,EUR,0.0304227
2021-06-12,UAH,EUR,0.0305364
2021-06-13,UAH,EUR,0.0305278
2021-06-14,UAH,EUR,0.0305502
2021-06-15,UAH,EUR,0.0305612
2021-06-16,UAH,EUR,0.0305784
2021-06-17,UAH,EUR,0.0307128
2021-06-18,UAH,EUR,0.0308974
2021-06-19,UAH,EUR,0.0309068
2021-06-20,UAH,EUR,0.0309116
2021-06-21,UAH,EUR,0.0308316
2021-06-22,UAH,EUR,0.030705
2021-06-23,UAH,EUR,0.0306671
2021-06-24,UAH,EUR,0.030535
2021-06-25,UAH,EUR,0.0305572
2021-06-26,UAH,EUR,0.0306412
2021-06-27,UAH,EUR,0.0306394
2021-06-28,UAH,EUR,0.0306454
2021-06-29,UAH,EUR,0.0308068
2021-06-30,UAH,EUR,0.0308732
2021-07-01,UAH,EUR,0.0308166
2021-07-02,UAH,EUR,0.0307824
2021-07-03,UAH,EUR,0.0307258
2021-07-04,UAH,EUR,0.0307268
2021-07-05,UAH,EUR,0.0308417
2021-07-06,UAH,EUR,0.0309128
2021-07-07,UAH,EUR,0.0310152
2021-07-08,UAH,EUR,0.0309476
2021-07-09,UAH,EUR,0.0308828
2021-07-10,UAH,EUR,0.0308234
2021-07-11,UAH,EUR,0.0308244
2021-07-12,UAH,EUR,0.0308892
2021-07-13,UAH,EUR,0.0309472
2021-07-14,UAH,EUR,0.0309912
2021-07-15,UAH,EUR,0.0310204
2021-07-16,UAH,EUR,0.0310751
2021-07-17,UAH,EUR,0.0311018
2021-07-18,UAH,EUR,0.0311005
2021-07-19,UAH,EUR,0.0311385
2021-07-20,UAH,EUR,0.0311808
2021-07-21,UAH,EUR,0.0311674
2021-07-22,UAH,EUR,0.0311976
2021-07-23,UAH,EUR,0.0313372
2021-07-24,UAH,EUR,0.031414
2021-07-25,UAH,EUR,0.0314136
2021-07-26,UAH,EUR,0.0313957
2021-07-27,UAH,EUR,0.0314305
2021-07-28,UAH,EUR,0.0314779
2021-07-29,UAH,EUR,0.0313687
2021-07-30,UAH,EUR,0.03135
2021-07-31,UAH,EUR,0.0313981
2021-08-01,UAH,EUR,0.0313984
2021-08-02,UAH,EUR,0.0313128
2021-08-03,UAH,EUR,0.031341
2021-08-04,UAH,EUR,0.031338
2021-08-05,UAH,EUR,0.0313271
2021-08-06,UAH,EUR,0.0315262
2021-08-07,UAH,EUR,0.0316868
2021-08-08,UAH,EUR,0.0316889
2021-08-09,UAH,EUR,0.0317084
2021-08-10,UAH,EUR,0.0318062
2021-08-11,UAH,EUR,0.031776
2021-08-12,UAH,EUR,0.0318186
2021-08-13,UAH,EUR,0.0317773
2021-08-14,UAH,EUR,0.0317347
2021-08-15,UAH,EUR,0.0317347
2021-08-16,UAH,EUR,0.0317957
2021-08-17,UAH,EUR,0.031866
2021-08-18,UAH,EUR,0.0320192
2021-08-19,UAH,EUR,0.0320893
2021-08-20,UAH,EUR,0.0320506
2021-08-21,UAH,EUR,0.0320096
2021-08-22,UAH,EUR,0.0320107
2021-08-23,UAH,EUR,0.0319472
2021-08-24,UAH,EUR,0.0319295
2021-08-25,UAH,EUR,0.0318566
2021-08-26,UAH,EUR,0.0317256
2021-08-27,UAH,EUR,0.0315666
2021-08-28,UAH,EUR,0.0315
2021-08-29,UAH,EUR,0.0314992
2021-08-30,UAH,EUR,0.0315522
2021-08-31,UAH,EUR,0.0314788
2021-09-01,UAH,EUR,0.0313
2021-09-02,UAH,EUR,0.0312378
2021-09-03,UAH,EUR,0.0312707
2021-09-04,UAH,EUR,0.0312977
2021-09-05,UAH,EUR,0.0312968
2021-09-06,UAH,EUR,0.0314195
2021-09-07,UAH,EUR,0.0315433
2021-09-08,UAH,EUR,0.0316292
2021-09-09,UAH,EUR,0.0316491
2021-09-10,UAH,EUR,0.031651
2021-09-11,UAH,EUR,0.0316699
2021-09-12,UAH,EUR,0.0316692
2021-09-13,UAH,EUR,0.0317293
2021-09-14,UAH,EUR,0.0317579
2021-09-15,UAH,EUR,0.0317751
2021-09-16,UAH,EUR,0.031825
2021-09-17,UAH,EUR,0.0318731
2021-09-18,UAH,EUR,0.0319666
2021-09-19,UAH,EUR,0.0319654
2021-09-20,UAH,EUR,0.0319318
2021-09-21,UAH,EUR,0.0319183
2021-09-22,UAH,EUR,0.0320044
2021-09-23,UAH,EUR,0.032018
2021-09-24,UAH,EUR,0.0319764
2021-09-25,UAH,EUR,0.0319245
2021-09-26,UAH,EUR,0.0319249
2021-09-27,UAH,EUR,0.0320281
2021-09-28,UAH,EUR,0.0321444
2021-09-29,UAH,EUR,0.0322706
2021-09-30,UAH,EUR,0.032401
2021-10-01,UAH,EUR,0.0324008
2021-10-02,UAH,EUR,0.0323848
2021-10-03,UAH,EUR,0.0323814
2021-10-04,UAH,EUR,0.0324166
2021-10-05,UAH,EUR,0.0325454
2021-10-06,UAH,EUR,0.0327738
2021-10-07,UAH,EUR,0.0328578
2021-10-08,UAH,EUR,0.0327721
2021-10-09,UAH,EUR,0.0327297
2021-10-10,UAH,EUR,0.0327312
2021-10-11,UAH,EUR,0.0327727
2021-10-12,UAH,EUR,0.0328182
2021-10-13,UAH,EUR,0.0327765
2021-10-14,UAH,EUR,0.0327066
2021-10-15,UAH,EUR,0.032663
2021-10-16,UAH,EUR,0.0326832
2021-10-17,UAH,EUR,0.0326822
2021-10-18,UAH,EUR,0.0327121
2021-10-19,UAH,EUR,0.0326756
2021-10-20,UAH,EUR,0.0327172
2021-10-21,UAH,EUR,0.0327416
2021-10-22,UAH,EUR,0.0326765
2021-10-23,UAH,EUR,0.0326398
2021-10-24,UAH,EUR,0.0326415
2021-10-25,UAH,EUR,0.0326241
2021-10-26,UAH,EUR,0.0325769
2021-10-27,UAH,EUR,0.0325917
2021-10-28,UAH,EUR,0.0326026
2021-10-29,UAH,EUR,0.0327808
2021-10-30,UAH,EUR,0.032945
2021-10-31,UAH,EUR,0.0329453
2021-11-01,UAH,EUR,0.032749
2021-11-02,UAH,EUR,0.0327987
2021-11-03,UAH,EUR,0.0328086
2021-11-04,UAH,EUR,0.0329914
2021-11-05,UAH,EUR,0.0330984
2021-11-06,UAH,EUR,0.0330912
2021-11-07,UAH,EUR,0.0330919
2021-11-08,UAH,EUR,0.0331016
2021-11-09,UAH,EUR,0.0330526
2021-11-10,UAH,EUR,0.0332044
2021-11-11,UAH,EUR,0.0333474
2021-11-12,UAH,EUR,0.0333482
2021-11-13,UAH,EUR,0.0332836
2021-11-14,UAH,EUR,0.0332836
2021-11-15,UAH,EUR,0.0332968
2021-11-16,UAH,EUR,0.0333256
2021-11-17,UAH,EUR,0.0333406
2021-11-18,UAH,EUR,0.0332484
2021-11-19,UAH,EUR,0.0332568
2021-11-20,UAH,EUR,0.0333095
2021-11-21,UAH,EUR,0.0333112
2021-11-22,UAH,EUR,0.033294
2021-11-23,UAH,EUR,0.033099
2021-11-24,UAH,EUR,0.0330725
2021-11-25,UAH,EUR,0.0329834
2021-11-26,UAH,EUR,0.0327468
2021-11-27,UAH,EUR,0.0326022
2021-11-28,UAH,EUR,0.0326048
2021-11-29,UAH,EUR,0.0326252
2021-11-30,UAH,EUR,0.0324386
2021-12-01,UAH,EUR,0.032363
2021-12-02,UAH,EUR,0.0323572
2021-12-03,UAH,EUR,0.0323604
2021-12-04,UAH,EUR,0.0323636
2021-12-05,UAH,EUR,0.0323646
2021-12-06,UAH,EUR,0.0323842
2021-12-07,UAH,EUR,0.0324266
2021-12-08,UAH,EUR,0.0324372
2021-12-09,UAH,EUR,0.0326316
2021-12-10,UAH,EUR,0.032722
2021-12-11,UAH,EUR,0.0327607
2021-12-12,UAH,EUR,0.0327616
2021-12-13,UAH,EUR,0.032866
2021-12-14,UAH,EUR,0.032827
2021-12-15,UAH,EUR,0.0326398
2021-12-16,UAH,EUR,0.0324808
2021-12-17,UAH,EUR,0.0324858
2021-12-18,UAH,EUR,0.0325997
2021-12-19,UAH,EUR,0.0325989
2021-12-20,UAH,EUR,0.0324486
2021-12-21,UAH,EUR,0.032508
2021-12-22,UAH,EUR,0.0324203
2021-12-23,UAH,EUR,0.0324352
2021-12-24,UAH,EUR,0.0324194
2021-12-25,UAH,EUR,0.03241
2021-12-26,UAH,EUR,0.0324079
2021-12-27,UAH,EUR,0.0323751
2021-12-28,UAH,EUR,0.0324411
2021-12-29,UAH,EUR,0.0324408
2021-12-30,UAH,EUR,0.0324028
