date,base,quote,rate
2021-01-28,UAH,GBP,0.0259006
2021-01-29,UAH,GBP,0.0259258
2021-01-30,UAH,GBP,0.0259514
2021-01-31,UAH,GBP,0.025952
2021-02-01,UAH,GBP,0.0259676
2021-02-02,UAH,GBP,0.0260787
2021-02-03,UAH,GBP,0.0261572
2021-02-04,UAH,GBP,0.0262792
2021-02-05,UAH,GBP,0.0262521
2021-02-06,UAH,GBP,0.0262281
2021-02-07,UAH,GBP,0.02623
2021-02-08,UAH,GBP,0.0263386
2021-02-09,UAH,GBP,0.02624
2021-02-10,UAH,GBP,0.026025
2021-02-11,UAH,GBP,0.0259914
2021-02-12,UAH,GBP,0.0259706
2021-02-13,UAH,GBP,0.0258704
2021-02-14,UAH,GBP,0.0258686
2021-02-15,UAH,GBP,0.0258093
2021-02-16,UAH,GBP,0.0258172
2021-02-17,UAH,GBP,0.0258206
2021-02-18,UAH,GBP,0.0257692
2021-02-19,UAH,GBP,0.025643
2021-02-20,UAH,GBP,0.0255826
2021-02-21,UAH,GBP,0.0255836
2021-02-22,UAH,GBP,0.0255253
2021-02-23,UAH,GBP,0.0254394
2021-02-24,UAH,GBP,0.0252838
2021-02-25,UAH,GBP,0.0253433
2021-02-26,UAH,GBP,0.0256394
2021-02-27,UAH,GBP,0.0256456
2021-02-28,UAH,GBP,0.0256426
2021-03-01,UAH,GBP,0.025587
2021-03-02,UAH,GBP,0.0256723
2021-03-03,UAH,GBP,0.0257277
2021-03-04,UAH,GBP,0.0258428
2021-03-05,UAH,GBP,0.0259629
2021-03-06,UAH,GBP,0.0260048
2021-03-07,UAH,GBP,0.026003
2021-03-08,UAH,GBP,0.0260332
2021-03-09,UAH,GBP,0.0259655
2021-03-10,UAH,GBP,0.0259374
2021-03-11,UAH,GBP,0.0258212
2021-03-12,UAH,GBP,0.0258658
2021-03-13,UAH,GBP,0.025912
2021-03-14,UAH,GBP,0.0259114
2021-03-15,UAH,GBP,0.0259846
2021-03-16,UAH,GBP,0.0260366
2021-03-17,UAH,GBP,0.0259402
2021-03-18,UAH,GBP,0.0258848
2021-03-19,UAH,GBP,0.025942
2021-03-20,UAH,GBP,0.026002
2021-03-21,UAH,GBP,0.026008
2021-03-22,UAH,GBP,0.0260334
2021-03-23,UAH,GBP,0.0261442
2021-03-24,UAH,GBP,0.0261409
2021-03-25,UAH,GBP,0.0260886
2021-03-26,UAH,GBP,0.0259192
2021-03-27,UAH,GBP,0.0258897
2021-03-28,UAH,GBP,0.02589
2021-03-29,UAH,GBP,0.02589
2021-03-30,UAH,GBP,0.0260528
2021-03-31,UAH,GBP,0.0260635
2021-04-01,UAH,GBP,0.0259914
2021-04-02,UAH,GBP,0.0259277
2021-04-03,UAH,GBP,0.0258988
2021-04-04,UAH,GBP,0.025902
2021-04-05,UAH,GBP,0.0258776
2021-04-06,UAH,GBP,0.0259722
2021-04-07,UAH,GBP,0.0260324
2021-04-08,UAH,GBP,0.0260114
2021-04-09,UAH,GBP,0.02614
2021-04-10,UAH,GBP,0.0261308
2021-04-11,UAH,GBP,0.0261304
2021-04-12,UAH,GBP,0.0260651
2021-04-13,UAH,GBP,0.0259529
2021-04-14,UAH,GBP,0.0259264
2021-04-15,UAH,GBP,0.0259318
2021-04-16,UAH,GBP,0.0258868
2021-04-17,UAH,GBP,0.0257866
2021-04-18,UAH,GBP,0.0257902
2021-04-19,UAH,GBP,0.0256288
2021-04-20,UAH,GBP,0.0255487
2021-04-21,UAH,GBP,0.0255508
2021-04-22,UAH,GBP,0.0256568
2021-04-23,UAH,GBP,0.0257954
2021-04-24,UAH,GBP,0.0258108
2021-04-25,UAH,GBP,0.0258108
2021-04-26,UAH,GBP,0.0258608
