date,base,quote,rate
2025-08-05,UAH,KZT,12.9198
2025-08-06,UAH,KZT,12.9278
2025-08-07,UAH,KZT,12.9694
2025-08-08,UAH,KZT,13.0284
2025-08-09,UAH,KZT,13.0557
2025-08-10,UAH,KZT,13.0558
2025-08-11,UAH,KZT,13.0936
2025-08-12,UAH,KZT,13.0608
2025-08-13,UAH,KZT,12.984
2025-08-14,UAH,KZT,12.9755
2025-08-15,UAH,KZT,13.0542
2025-08-16,UAH,KZT,13.0768
2025-08-17,UAH,KZT,13.081
2025-08-18,UAH,KZT,13.0765
2025-08-19,UAH,KZT,13.0248
2025-08-20,UAH,KZT,13.011
2025-08-21,UAH,KZT,13.0313
2025-08-22,UAH,KZT,13.0159
2025-08-23,UAH,KZT,13.0034
2025-08-24,UAH,KZT,13.0044
2025-08-25,UAH,KZT,12.9444
2025-08-26,UAH,KZT,12.9116
2025-08-27,UAH,KZT,12.9934
2025-08-28,UAH,KZT,13.0315
2025-08-29,UAH,KZT,13.0193
2025-08-30,UAH,KZT,13.007
2025-08-31,UAH,KZT,13.0078
2025-09-01,UAH,KZT,13.0235
2025-09-02,UAH,KZT,13.0288
2025-09-03,UAH,KZT,13.0486
2025-09-04,UAH,KZT,13.059
2025-09-05,UAH,KZT,13.0421
2025-09-06,UAH,KZT,13.0229
2025-09-07,UAH,KZT,13.0224
2025-09-08,UAH,KZT,12.9885
2025-09-09,UAH,KZT,12.9999
2025-09-10,UAH,KZT,13.0318
2025-09-11,UAH,KZT,13.0386
2025-09-12,UAH,KZT,13.0816
2025-09-13,UAH,KZT,13.1076
2025-09-14,UAH,KZT,13.1085
2025-09-15,UAH,KZT,13.1139
2025-09-16,UAH,KZT,13.1208
2025-09-17,UAH,KZT,13.1506
2025-09-18,UAH,KZT,13.1246
2025-09-19,UAH,KZT,13.1074
2025-09-20,UAH,KZT,13.1002
2025-09-21,UAH,KZT,13.1
2025-09-22,UAH,KZT,13.1278
2025-09-23,UAH,KZT,13.1588
2025-09-24,UAH,KZT,13.1106
2025-09-25,UAH,KZT,13.0686
2025-09-26,UAH,KZT,13.1119
2025-09-27,UAH,KZT,13.1394
2025-09-28,UAH,KZT,13.1404
2025-09-29,UAH,KZT,13.2291
