date,base,quote,rate
2021-01-28,UAH,RUB,2.69604
2021-01-29,UAH,RUB,2.69903
2021-01-30,UAH,RUB,2.70124
2021-01-31,UAH,RUB,2.7011
2021-02-01,UAH,RUB,2.70006
2021-02-02,UAH,RUB,2.70628
2021-02-03,UAH,RUB,2.71419
2021-02-04,UAH,RUB,2.7126
2021-02-05,UAH,RUB,2.6982
2021-02-06,UAH,RUB,2.68978
2021-02-07,UAH,RUB,2.68992
2021-02-08,UAH,RUB,2.69118
2021-02-09,UAH,RUB,2.67926
2021-02-10,UAH,RUB,2.6589
2021-02-11,UAH,RUB,2.65038
2021-02-12,UAH,RUB,2.65116
2021-02-13,UAH,RUB,2.63912
2021-02-14,UAH,RUB,2.63909
2021-02-15,UAH,RUB,2.63309
2021-02-16,UAH,RUB,2.64076
2021-02-17,UAH,RUB,2.64291
2021-02-18,UAH,RUB,2.64724
2021-02-19,UAH,RUB,2.65494
2021-02-20,UAH,RUB,2.65366
2021-02-21,UAH,RUB,2.65406
2021-02-22,UAH,RUB,2.66472
2021-02-23,UAH,RUB,2.65541
2021-02-24,UAH,RUB,2.63762
2021-02-25,UAH,RUB,2.64423
2021-02-26,UAH,RUB,2.66799
2021-02-27,UAH,RUB,2.66296
2021-02-28,UAH,RUB,2.66314
2021-03-01,UAH,RUB,2.64915
2021-03-02,UAH,RUB,2.64826
2021-03-03,UAH,RUB,2.65251
2021-03-04,UAH,RUB,2.66383
2021-03-05,UAH,RUB,2.67607
2021-03-06,UAH,RUB,2.67498
2021-03-07,UAH,RUB,2.67488
2021-03-08,UAH,RUB,2.67916
2021-03-09,UAH,RUB,2.67008
2021-03-10,UAH,RUB,2.662
2021-03-11,UAH,RUB,2.6489
2021-03-12,UAH,RUB,2.64626
2021-03-13,UAH,RUB,2.64256
2021-03-14,UAH,RUB,2.64301
2021-03-15,UAH,RUB,2.64308
2021-03-16,UAH,RUB,2.63142
2021-03-17,UAH,RUB,2.64985
2021-03-18,UAH,RUB,2.66908
2021-03-19,UAH,RUB,2.67368
2021-03-20,UAH,RUB,2.67166
2021-03-21,UAH,RUB,2.67164
2021-03-22,UAH,RUB,2.69066
2021-03-23,UAH,RUB,2.73193
2021-03-24,UAH,RUB,2.73653
2021-03-25,UAH,RUB,2.72932
2021-03-26,UAH,RUB,2.71082
2021-03-27,UAH,RUB,2.70844
2021-03-28,UAH,RUB,2.70814
2021-03-29,UAH,RUB,2.70582
2021-03-30,UAH,RUB,2.71554
2021-03-31,UAH,RUB,2.71428
2021-04-01,UAH,RUB,2.72704
2021-04-02,UAH,RUB,2.73707
2021-04-03,UAH,RUB,2.73884
2021-04-04,UAH,RUB,2.73896
2021-04-05,UAH,RUB,2.7414
2021-04-06,UAH,RUB,2.76326
2021-04-07,UAH,RUB,2.77414
2021-04-08,UAH,RUB,2.75074
2021-04-09,UAH,RUB,2.76943
2021-04-10,UAH,RUB,2.77298
2021-04-11,UAH,RUB,2.77302
2021-04-12,UAH,RUB,2.7698
2021-04-13,UAH,RUB,2.73936
2021-04-14,UAH,RUB,2.7073
2021-04-15,UAH,RUB,2.73276
2021-04-16,UAH,RUB,2.70992
2021-04-17,UAH,RUB,2.69866
2021-04-18,UAH,RUB,2.69896
2021-04-19,UAH,RUB,2.7187
2021-04-20,UAH,RUB,2.73221
2021-04-21,UAH,RUB,2.7314
2021-04-22,UAH,RUB,2.70826
2021-04-23,UAH,RUB,2.68668
2021-04-24,UAH,RUB,2.68148
2021-04-25,UAH,RUB,2.68161
2021-04-26,UAH,RUB,2.69308
2021-04-27,UAH,RUB,2.69346
2021-04-28,UAH,RUB,2.68826
2021-04-29,UAH,RUB,2.68917
2021-04-30,UAH,RUB,2.69965
2021-05-01,UAH,RUB,2.70848
2021-05-02,UAH,RUB,2.70788
2021-05-03,UAH,RUB,2.7007
