date,base,quote,rate
2021-01-28,UAH,USD,0.0354536
2021-01-29,UAH,USD,0.0355408
2021-01-30,UAH,USD,0.0355672
2021-01-31,UAH,USD,0.0355672
2021-02-01,UAH,USD,0.0355811
2021-02-02,UAH,USD,0.0356472
2021-02-03,UAH,USD,0.0357104
2021-02-04,UAH,USD,0.0358385
2021-02-05,UAH,USD,0.0359756
2021-02-06,UAH,USD,0.0360318
2021-02-07,UAH,USD,0.036033
2021-02-08,UAH,USD,0.0361518
2021-02-09,UAH,USD,0.0361728
2021-02-10,UAH,USD,0.0360021
2021-02-11,UAH,USD,0.0359363
2021-02-12,UAH,USD,0.0358814
2021-02-13,UAH,USD,0.035832
2021-02-14,UAH,USD,0.0358316
2021-02-15,UAH,USD,0.0358785
2021-02-16,UAH,USD,0.0359351
2021-02-17,UAH,USD,0.0358114
2021-02-18,UAH,USD,0.03587
2021-02-19,UAH,USD,0.0358846
2021-02-20,UAH,USD,0.0358444
2021-02-21,UAH,USD,0.035847
2021-02-22,UAH,USD,0.0358348
2021-02-23,UAH,USD,0.0358392
2021-02-24,UAH,USD,0.0357561
2021-02-25,UAH,USD,0.0357702
2021-02-26,UAH,USD,0.0357677
2021-02-27,UAH,USD,0.0357181
2021-02-28,UAH,USD,0.0357181
2021-03-01,UAH,USD,0.0356956
2021-03-02,UAH,USD,0.0357352
2021-03-03,UAH,USD,0.03592
2021-03-04,UAH,USD,0.0360187
2021-03-05,UAH,USD,0.0359523
2021-03-06,UAH,USD,0.0359746
2021-03-07,UAH,USD,0.0359746
2021-03-08,UAH,USD,0.0360023
2021-03-09,UAH,USD,0.0360164
2021-03-10,UAH,USD,0.0360376
2021-03-11,UAH,USD,0.0360394
2021-03-12,UAH,USD,0.0360428
2021-03-13,UAH,USD,0.0360708
2021-03-14,UAH,USD,0.0360712
2021-03-15,UAH,USD,0.0361496
2021-03-16,UAH,USD,0.0361268
2021-03-17,UAH,USD,0.0360821
2021-03-18,UAH,USD,0.036099
2021-03-19,UAH,USD,0.0360468
2021-03-20,UAH,USD,0.0360586
2021-03-21,UAH,USD,0.036058
2021-03-22,UAH,USD,0.0360614
