date,base,quote,rate
2020-12-19,USD,CHF,0.88309
2020-12-20,USD,CHF,0.883256
2020-12-21,USD,CHF,0.886545
2020-12-22,USD,CHF,0.88734
2020-12-23,USD,CHF,0.888696
2020-12-24,USD,CHF,0.889399
2020-12-25,USD,CHF,0.89121
2020-12-26,USD,CHF,0.89121
2020-12-27,USD,CHF,0.891096
2020-12-28,USD,CHF,0.889585
2020-12-29,USD,CHF,0.885838
2020-12-30,USD,CHF,0.882931
2020-12-31,USD,CHF,0.882482
2021-01-01,USD,CHF,0.884875
2021-01-02,USD,CHF,0.884875
2021-01-03,USD,CHF,0.88477
2021-01-04,USD,CHF,0.881611
2021-01-05,USD,CHF,0.879674
2021-01-06,USD,CHF,0.878462
2021-01-07,USD,CHF,0.882281
2021-01-08,USD,CHF,0.885525
2021-01-09,USD,CHF,0.88533
2021-01-10,USD,CHF,0.8854
2021-01-11,USD,CHF,0.889343
2021-01-12,USD,CHF,0.889426
2021-01-13,USD,CHF,0.887057
2021-01-14,USD,CHF,0.888124
2021-01-15,USD,CHF,0.88912
2021-01-16,USD,CHF,0.891315
2021-01-17,USD,CHF,0.891291
2021-01-18,USD,CHF,0.891183
2021-01-19,USD,CHF,0.889154
2021-01-20,USD,CHF,0.889045
2021-01-21,USD,CHF,0.887138
2021-01-22,USD,CHF,0.885306
2021-01-23,USD,CHF,0.8855
2021-01-24,USD,CHF,0.885492
2021-01-25,USD,CHF,0.886835
2021-01-26,USD,CHF,0.88794
2021-01-27,USD,CHF,0.88799
2021-01-28,USD,CHF,0.889123
2021-01-29,USD,CHF,0.889612
2021-01-30,USD,CHF,0.890635
2021-01-31,USD,CHF,0.890675
2021-02-01,USD,CHF,0.89437
2021-02-02,USD,CHF,0.897419
2021-02-03,USD,CHF,0.898636
2021-02-04,USD,CHF,0.901949
2021-02-05,USD,CHF,0.901928
2021-02-06,USD,CHF,0.89904
2021-02-07,USD,CHF,0.899052
2021-02-08,USD,CHF,0.899674
2021-02-09,USD,CHF,0.894512
2021-02-10,USD,CHF,0.890913
2021-02-11,USD,CHF,0.890206
2021-02-12,USD,CHF,0.891526
2021-02-13,USD,CHF,0.8919
2021-02-14,USD,CHF,0.891886
2021-02-15,USD,CHF,0.890695
2021-02-16,USD,CHF,0.890298
2021-02-17,USD,CHF,0.896075
2021-02-18,USD,CHF,0.897374
2021-02-19,USD,CHF,0.895694
2021-02-20,USD,CHF,0.89637
2021-02-21,USD,CHF,0.896388
2021-02-22,USD,CHF,0.897214
2021-02-23,USD,CHF,0.899956
2021-02-24,USD,CHF,0.90693
2021-02-25,USD,CHF,0.905604
2021-02-26,USD,CHF,0.906598
2021-02-27,USD,CHF,0.90864
2021-02-28,USD,CHF,0.908604
2021-03-01,USD,CHF,0.912
2021-03-02,USD,CHF,0.915992
2021-03-03,USD,CHF,0.917038
2021-03-04,USD,CHF,0.92382
2021-03-05,USD,CHF,0.929548
2021-03-06,USD,CHF,0.93057
2021-03-07,USD,CHF,0.930566
2021-03-08,USD,CHF,0.933634
2021-03-09,USD,CHF,0.93215
2021-03-10,USD,CHF,0.929996
2021-03-11,USD,CHF,0.926808
2021-03-12,USD,CHF,0.928651
2021-03-13,USD,CHF,0.929485
2021-03-14,USD,CHF,0.929454
2021-03-15,USD,CHF,0.928853
2021-03-16,USD,CHF,0.926168
2021-03-17,USD,CHF,0.925737
2021-03-18,USD,CHF,0.92613
2021-03-19,USD,CHF,0.928596
2021-03-20,USD,CHF,0.92916
2021-03-21,USD,CHF,0.929206
2021-03-22,USD,CHF,0.926322
