date,base,quote,rate
2020-12-19,USD,CNY,6.537
2020-12-20,USD,CNY,6.537
2020-12-21,USD,CNY,6.54963
2020-12-22,USD,CNY,6.54556
2020-12-23,USD,CNY,6.54198
2020-12-24,USD,CNY,6.53121
2020-12-25,USD,CNY,6.53508
2020-12-26,USD,CNY,6.54178
2020-12-27,USD,CNY,6.54178
2020-12-28,USD,CNY,6.5364
2020-12-29,USD,CNY,6.53181
2020-12-30,USD,CNY,6.52574
2020-12-31,USD,CNY,6.53264
2021-01-01,USD,CNY,6.53062
2021-01-02,USD,CNY,6.5305
2021-01-03,USD,CNY,6.53058
2021-01-04,USD,CNY,6.47032
2021-01-05,USD,CNY,6.4583
2021-01-06,USD,CNY,6.45877
2021-01-07,USD,CNY,6.46767
2021-01-08,USD,CNY,6.47046
2021-01-09,USD,CNY,6.4754
2021-01-10,USD,CNY,6.4754
2021-01-11,USD,CNY,6.48058
2021-01-12,USD,CNY,6.466
2021-01-13,USD,CNY,6.46474
2021-01-14,USD,CNY,6.47038
2021-01-15,USD,CNY,6.47511
2021-01-16,USD,CNY,6.4808
2021-01-17,USD,CNY,6.4808
2021-01-18,USD,CNY,6.4899
2021-01-19,USD,CNY,6.48286
2021-01-20,USD,CNY,6.46823
2021-01-21,USD,CNY,6.46208
2021-01-22,USD,CNY,6.47664
2021-01-23,USD,CNY,6.4819
2021-01-24,USD,CNY,6.4819
2021-01-25,USD,CNY,6.47874
2021-01-26,USD,CNY,6.46946
2021-01-27,USD,CNY,6.47296
2021-01-28,USD,CNY,6.46598
2021-01-29,USD,CNY,6.44158
2021-01-30,USD,CNY,6.4277
2021-01-31,USD,CNY,6.4277
2021-02-01,USD,CNY,6.46251
2021-02-02,USD,CNY,6.45854
2021-02-03,USD,CNY,6.45971
2021-02-04,USD,CNY,6.46531
2021-02-05,USD,CNY,6.47028
2021-02-06,USD,CNY,6.4667
2021-02-07,USD,CNY,6.4667
2021-02-08,USD,CNY,6.4542
2021-02-09,USD,CNY,6.44081
2021-02-10,USD,CNY,6.44708
2021-02-11,USD,CNY,6.45791
2021-02-12,USD,CNY,6.45818
2021-02-13,USD,CNY,6.45818
2021-02-14,USD,CNY,6.45818
2021-02-15,USD,CNY,6.4584
2021-02-16,USD,CNY,6.45784
2021-02-17,USD,CNY,6.4585
2021-02-18,USD,CNY,6.4714
2021-02-19,USD,CNY,6.48715
2021-02-20,USD,CNY,6.4869
2021-02-21,USD,CNY,6.4869
2021-02-22,USD,CNY,6.46828
2021-02-23,USD,CNY,6.46383
2021-02-24,USD,CNY,6.45698
2021-02-25,USD,CNY,6.4536
2021-02-26,USD,CNY,6.46936
2021-02-27,USD,CNY,6.47705
2021-02-28,USD,CNY,6.47705
2021-03-01,USD,CNY,6.46585
2021-03-02,USD,CNY,6.47092
2021-03-03,USD,CNY,6.4663
2021-03-04,USD,CNY,6.46939
2021-03-05,USD,CNY,6.48626
2021-03-06,USD,CNY,6.4968
2021-03-07,USD,CNY,6.4968
2021-03-08,USD,CNY,6.51963
2021-03-09,USD,CNY,6.51522
2021-03-10,USD,CNY,6.50838
2021-03-11,USD,CNY,6.49439
2021-03-12,USD,CNY,6.50199
2021-03-13,USD,CNY,6.5085
2021-03-14,USD,CNY,6.5085
2021-03-15,USD,CNY,6.50216
2021-03-16,USD,CNY,6.50194
2021-03-17,USD,CNY,6.50338
2021-03-18,USD,CNY,6.50272
2021-03-19,USD,CNY,6.5092
2021-03-20,USD,CNY,6.509
2021-03-21,USD,CNY,6.509
2021-03-22,USD,CNY,6.50834
2021-03-23,USD,CNY,6.51297
2021-03-24,USD,CNY,6.523
2021-03-25,USD,CNY,6.5396
2021-03-26,USD,CNY,6.54204
2021-03-27,USD,CNY,6.5415
2021-03-28,USD,CNY,6.5415
2021-03-29,USD,CNY,6.5605
2021-03-30,USD,CNY,6.5708
2021-03-31,USD,CNY,6.55648
2021-04-01,USD,CNY,6.56745
2021-04-02,USD,CNY,6.565
2021-04-03,USD,CNY,6.5675
2021-04-04,USD,CNY,6.5675
2021-04-05,USD,CNY,6.56712
2021-04-06,USD,CNY,6.54804
2021-04-07,USD,CNY,6.54217
2021-04-08,USD,CNY,6.54938
2021-04-09,USD,CNY,6.55419
2021-04-10,USD,CNY,6.553
2021-04-11,USD,CNY,6.553
2021-04-12,USD,CNY,6.55044
2021-04-13,USD,CNY,6.54692
2021-04-14,USD,CNY,6.53376
2021-04-15,USD,CNY,6.52822
2021-04-16,USD,CNY,6.5233
2021-04-17,USD,CNY,6.5209
2021-04-18,USD,CNY,6.52091
2021-04-19,USD,CNY,6.5143
2021-04-20,USD,CNY,6.4989
2021-04-21,USD,CNY,6.49489
2021-04-22,USD,CNY,6.48932
2021-04-23,USD,CNY,6.4945
2021-04-24,USD,CNY,6.4954
2021-04-25,USD,CNY,6.4954
2021-04-26,USD,CNY,6.48712
2021-04-27,USD,CNY,6.4844
2021-04-28,USD,CNY,6.48273
2021-04-29,USD,CNY,6.47149
2021-04-30,USD,CNY,6.47097
2021-05-01,USD,CNY,6.4745
2021-05-02,USD,CNY,6.4745
2021-05-03,USD,CNY,6.47379
2021-05-04,USD,CNY,6.4738
2021-05-05,USD,CNY,6.47363
2021-05-06,USD,CNY,6.47132
2021-05-07,USD,CNY,6.44693
2021-05-08,USD,CNY,6.4325
2021-05-09,USD,CNY,6.4325
2021-05-10,USD,CNY,6.42058
2021-05-11,USD,CNY,6.42651
2021-05-12,USD,CNY,6.44593
