date,base,quote,rate
2020-12-19,USD,INR,73.506
2020-12-20,USD,INR,73.506
2020-12-21,USD,INR,73.7968
2020-12-22,USD,INR,73.8982
2020-12-23,USD,INR,73.795
2020-12-24,USD,INR,73.5631
2020-12-25,USD,INR,73.536
2020-12-26,USD,INR,73.536
2020-12-27,USD,INR,73.5372
2020-12-28,USD,INR,73.506
2020-12-29,USD,INR,73.37
2020-12-30,USD,INR,73.216
2020-12-31,USD,INR,73.0224
2021-01-01,USD,INR,73.012
2021-01-02,USD,INR,73.012
2021-01-03,USD,INR,73.012
2021-01-04,USD,INR,73.0002
2021-01-05,USD,INR,73.133
2021-01-06,USD,INR,73.1262
2021-01-07,USD,INR,73.299
2021-01-08,USD,INR,73.3496
2021-01-09,USD,INR,73.375
2021-01-10,USD,INR,73.375
2021-01-11,USD,INR,73.4728
2021-01-12,USD,INR,73.3254
2021-01-13,USD,INR,73.1846
2021-01-14,USD,INR,73.131
2021-01-15,USD,INR,73.1418
2021-01-16,USD,INR,73.237
2021-01-17,USD,INR,73.237
2021-01-18,USD,INR,73.2758
2021-01-19,USD,INR,73.2164
2021-01-20,USD,INR,73.0426
2021-01-21,USD,INR,72.9788
2021-01-22,USD,INR,73.0244
2021-01-23,USD,INR,73.028
2021-01-24,USD,INR,73.028
2021-01-25,USD,INR,72.998
2021-01-26,USD,INR,73.0028
2021-01-27,USD,INR,73.0116
2021-01-28,USD,INR,73.091
2021-01-29,USD,INR,72.9942
2021-01-30,USD,INR,73.001
2021-01-31,USD,INR,73.001
2021-02-01,USD,INR,73.1367
2021-02-02,USD,INR,73.0642
2021-02-03,USD,INR,72.9576
2021-02-04,USD,INR,72.959
2021-02-05,USD,INR,72.9148
2021-02-06,USD,INR,72.819
2021-02-07,USD,INR,72.819
2021-02-08,USD,INR,72.9408
2021-02-09,USD,INR,72.9252
2021-02-10,USD,INR,72.8738
2021-02-11,USD,INR,72.7798
2021-02-12,USD,INR,72.6984
2021-02-13,USD,INR,72.615
2021-02-14,USD,INR,72.615
2021-02-15,USD,INR,72.645
2021-02-16,USD,INR,72.8038
2021-02-17,USD,INR,72.8276
2021-02-18,USD,INR,72.6664
2021-02-19,USD,INR,72.5502
2021-02-20,USD,INR,72.575
2021-02-21,USD,INR,72.575
2021-02-22,USD,INR,72.4952
2021-02-23,USD,INR,72.4423
2021-02-24,USD,INR,72.3618
2021-02-25,USD,INR,72.6274
2021-02-26,USD,INR,73.6106
2021-02-27,USD,INR,73.81
2021-02-28,USD,INR,73.81
2021-03-01,USD,INR,73.516
2021-03-02,USD,INR,73.3818
2021-03-03,USD,INR,73.034
2021-03-04,USD,INR,72.9038
2021-03-05,USD,INR,73.0796
2021-03-06,USD,INR,73.18
2021-03-07,USD,INR,73.18
2021-03-08,USD,INR,73.285
2021-03-09,USD,INR,73.0116
2021-03-10,USD,INR,72.8236
2021-03-11,USD,INR,72.6584
2021-03-12,USD,INR,72.758
2021-03-13,USD,INR,72.733
2021-03-14,USD,INR,72.733
2021-03-15,USD,INR,72.6654
2021-03-16,USD,INR,72.622
2021-03-17,USD,INR,72.6153
2021-03-18,USD,INR,72.6824
2021-03-19,USD,INR,72.6562
2021-03-20,USD,INR,72.594
2021-03-21,USD,INR,72.594
2021-03-22,USD,INR,72.5442
2021-03-23,USD,INR,72.6413
2021-03-24,USD,INR,72.8516
2021-03-25,USD,INR,72.824
2021-03-26,USD,INR,72.6556
2021-03-27,USD,INR,72.624
2021-03-28,USD,INR,72.624
2021-03-29,USD,INR,72.8102
2021-03-30,USD,INR,73.3036
2021-03-31,USD,INR,73.2973
2021-04-01,USD,INR,73.326
2021-04-02,USD,INR,73.3634
2021-04-03,USD,INR,73.412
2021-04-04,USD,INR,73.412
2021-04-05,USD,INR,73.321
2021-04-06,USD,INR,73.3928
2021-04-07,USD,INR,74.1904
2021-04-08,USD,INR,74.5238
2021-04-09,USD,INR,74.6956
2021-04-10,USD,INR,74.703
2021-04-11,USD,INR,74.703
2021-04-12,USD,INR,74.969
2021-04-13,USD,INR,75.2672
2021-04-14,USD,INR,75.162
2021-04-15,USD,INR,74.9903
2021-04-16,USD,INR,74.5908
2021-04-17,USD,INR,74.602
2021-04-18,USD,INR,74.602
2021-04-19,USD,INR,74.881
2021-04-20,USD,INR,75.1419
2021-04-21,USD,INR,75.458
2021-04-22,USD,INR,75.1454
2021-04-23,USD,INR,75.0007
2021-04-24,USD,INR,74.912
2021-04-25,USD,INR,74.912
2021-04-26,USD,INR,74.8458
2021-04-27,USD,INR,74.6904
2021-04-28,USD,INR,74.5015
2021-04-29,USD,INR,74.1482
2021-04-30,USD,INR,74.1303
2021-05-01,USD,INR,74.191
2021-05-02,USD,INR,74.191
2021-05-03,USD,INR,74.2292
2021-05-04,USD,INR,74.1282
2021-05-05,USD,INR,74.0148
2021-05-06,USD,INR,73.8072
2021-05-07,USD,INR,73.4734
2021-05-08,USD,INR,73.33
2021-05-09,USD,INR,73.33
2021-05-10,USD,INR,73.4479
2021-05-11,USD,INR,73.4626
2021-05-12,USD,INR,73.564
2021-05-13,USD,INR,73.6004
2021-05-14,USD,INR,73.348
2021-05-15,USD,INR,73.302
2021-05-16,USD,INR,73.302
2021-05-17,USD,INR,73.3324
2021-05-18,USD,INR,73.1596
2021-05-19,USD,INR,73.212
2021-05-20,USD,INR,73.1283
2021-05-21,USD,INR,72.9451
2021-05-22,USD,INR,72.915
2021-05-23,USD,INR,72.915
2021-05-24,USD,INR,72.9146
2021-05-25,USD,INR,72.8212
2021-05-26,USD,INR,72.7256
2021-05-27,USD,INR,72.6356
2021-05-28,USD,INR,72.4588
2021-05-29,USD,INR,72.4
2021-05-30,USD,INR,72.4
2021-05-31,USD,INR,72.5047
2021-06-01,USD,INR,72.7496
2021-06-02,USD,INR,72.9817
2021-06-03,USD,INR,72.9642
2021-06-04,USD,INR,72.8926
2021-06-05,USD,INR,72.828
2021-06-06,USD,INR,72.828
2021-06-07,USD,INR,72.772
2021-06-08,USD,INR,72.8534
2021-06-09,USD,INR,72.9318
2021-06-10,USD,INR,72.9778
2021-06-11,USD,INR,73.056
2021-06-12,USD,INR,73.122
2021-06-13,USD,INR,73.122
2021-06-14,USD,INR,73.18
2021-06-15,USD,INR,73.2927
2021-06-16,USD,INR,73.4102
2021-06-17,USD,INR,74.0112
2021-06-18,USD,INR,74.065
2021-06-19,USD,INR,74.079
2021-06-20,USD,INR,74.079
2021-06-21,USD,INR,74.121
2021-06-22,USD,INR,74.1909
2021-06-23,USD,INR,74.1867
2021-06-24,USD,INR,74.1271
2021-06-25,USD,INR,74.1222
2021-06-26,USD,INR,74.178
2021-06-27,USD,INR,74.178
2021-06-28,USD,INR,74.1914
2021-06-29,USD,INR,74.1941
2021-06-30,USD,INR,74.2844
2021-07-01,USD,INR,74.4369
2021-07-02,USD,INR,74.566
2021-07-03,USD,INR,74.457
2021-07-04,USD,INR,74.457
2021-07-05,USD,INR,74.3313
2021-07-06,USD,INR,74.5177
2021-07-07,USD,INR,74.7032
2021-07-08,USD,INR,74.7228
2021-07-09,USD,INR,74.5516
2021-07-10,USD,INR,74.46
2021-07-11,USD,INR,74.46
2021-07-12,USD,INR,74.4993
2021-07-13,USD,INR,74.5077
2021-07-14,USD,INR,74.5105
2021-07-15,USD,INR,74.4787
2021-07-16,USD,INR,74.5476
2021-07-17,USD,INR,74.605
2021-07-18,USD,INR,74.605
2021-07-19,USD,INR,74.8228
2021-07-20,USD,INR,74.6418
2021-07-21,USD,INR,74.4648
2021-07-22,USD,INR,74.3636
2021-07-23,USD,INR,74.355
2021-07-24,USD,INR,74.352
2021-07-25,USD,INR,74.352
2021-07-26,USD,INR,74.3197
2021-07-27,USD,INR,74.3792
2021-07-28,USD,INR,74.3616
2021-07-29,USD,INR,74.186
2021-07-30,USD,INR,74.2578
2021-07-31,USD,INR,74.289
2021-08-01,USD,INR,74.289
2021-08-02,USD,INR,74.2762
2021-08-03,USD,INR,74.1779
2021-08-04,USD,INR,74.0914
2021-08-05,USD,INR,74.0518
2021-08-06,USD,INR,74.0752
2021-08-07,USD,INR,74.136
2021-08-08,USD,INR,74.136
2021-08-09,USD,INR,74.257
2021-08-10,USD,INR,74.3547
2021-08-11,USD,INR,74.2568
2021-08-12,USD,INR,74.1728
2021-08-13,USD,INR,74.1525
2021-08-14,USD,INR,74.119
2021-08-15,USD,INR,74.119
2021-08-16,USD,INR,74.1203
2021-08-17,USD,INR,74.24
2021-08-18,USD,INR,74.2036
2021-08-19,USD,INR,74.2936
2021-08-20,USD,INR,74.2897
2021-08-21,USD,INR,74.225
2021-08-22,USD,INR,74.225
2021-08-23,USD,INR,74.131
2021-08-24,USD,INR,74.0906
2021-08-25,USD,INR,74.1283
2021-08-26,USD,INR,74.1088
2021-08-27,USD,INR,73.724
2021-08-28,USD,INR,73.468
2021-08-29,USD,INR,73.468
2021-08-30,USD,INR,73.2886
2021-08-31,USD,INR,73.0232
2021-09-01,USD,INR,72.9616
2021-09-02,USD,INR,72.9606
2021-09-03,USD,INR,72.9606
2021-09-04,USD,INR,72.917
2021-09-05,USD,INR,72.917
2021-09-06,USD,INR,73.0343
2021-09-07,USD,INR,73.2912
2021-09-08,USD,INR,73.5852
2021-09-09,USD,INR,73.5648
2021-09-10,USD,INR,73.4
2021-09-11,USD,INR,73.439
2021-09-12,USD,INR,73.439
2021-09-13,USD,INR,73.5484
2021-09-14,USD,INR,73.5766
2021-09-15,USD,INR,73.4998
2021-09-16,USD,INR,73.4479
2021-09-17,USD,INR,73.4985
2021-09-18,USD,INR,73.594
2021-09-19,USD,INR,73.594
2021-09-20,USD,INR,73.6368
2021-09-21,USD,INR,73.6492
2021-09-22,USD,INR,73.781
2021-09-23,USD,INR,73.7327
2021-09-24,USD,INR,73.7314
2021-09-25,USD,INR,73.765
2021-09-26,USD,INR,73.765
2021-09-27,USD,INR,73.7564
2021-09-28,USD,INR,74.0358
2021-09-29,USD,INR,74.2249
2021-09-30,USD,INR,74.2106
2021-10-01,USD,INR,74.1288
2021-10-02,USD,INR,74.059
2021-10-03,USD,INR,74.059
2021-10-04,USD,INR,74.3202
2021-10-05,USD,INR,74.5074
2021-10-06,USD,INR,74.7424
2021-10-07,USD,INR,74.7732
2021-10-08,USD,INR,74.9754
2021-10-09,USD,INR,74.975
2021-10-10,USD,INR,74.975
2021-10-11,USD,INR,75.2704
2021-10-12,USD,INR,75.441
2021-10-13,USD,INR,75.3122
2021-10-14,USD,INR,75.1258
2021-10-15,USD,INR,74.9598
2021-10-16,USD,INR,75.001
2021-10-17,USD,INR,75.001
2021-10-18,USD,INR,75.2347
2021-10-19,USD,INR,75.068
2021-10-20,USD,INR,74.9054
2021-10-21,USD,INR,74.8202
2021-10-22,USD,INR,74.8544
2021-10-23,USD,INR,74.983
2021-10-24,USD,INR,74.983
2021-10-25,USD,INR,75.0414
2021-10-26,USD,INR,75.0229
