date,base,quote,rate
2020-12-19,USD,RUB,73.4285
2020-12-20,USD,RUB,73.4445
2020-12-21,USD,RUB,74.637
2020-12-22,USD,RUB,75.3512
2020-12-23,USD,RUB,75.356
2020-12-24,USD,RUB,74.5027
2020-12-25,USD,RUB,74.0284
2020-12-26,USD,RUB,74.06
2020-12-27,USD,RUB,74.0461
2020-12-28,USD,RUB,73.86
2020-12-29,USD,RUB,73.8369
2020-12-30,USD,RUB,74.2216
2020-12-31,USD,RUB,74.39
2021-01-01,USD,RUB,73.9798
2021-01-02,USD,RUB,73.9606
2021-01-03,USD,RUB,73.9618
2021-01-04,USD,RUB,73.9444
2021-01-05,USD,RUB,74.3693
2021-01-06,USD,RUB,73.9113
2021-01-07,USD,RUB,74.3094
2021-01-08,USD,RUB,74.297
2021-01-09,USD,RUB,74.0835
2021-01-10,USD,RUB,74.0836
2021-01-11,USD,RUB,74.5719
2021-01-12,USD,RUB,74.08
2021-01-13,USD,RUB,73.6632
2021-01-14,USD,RUB,73.4832
2021-01-15,USD,RUB,73.4827
2021-01-16,USD,RUB,73.5242
2021-01-17,USD,RUB,73.532
2021-01-18,USD,RUB,73.976
2021-01-19,USD,RUB,73.788
2021-01-20,USD,RUB,73.5518
2021-01-21,USD,RUB,73.655
2021-01-22,USD,RUB,74.6842
2021-01-23,USD,RUB,75.2823
2021-01-24,USD,RUB,75.2889
2021-01-25,USD,RUB,75.3439
2021-01-26,USD,RUB,75.2938
2021-01-27,USD,RUB,75.4384
2021-01-28,USD,RUB,76.044
2021-01-29,USD,RUB,75.9416
2021-01-30,USD,RUB,75.9472
2021-01-31,USD,RUB,75.9432
2021-02-01,USD,RUB,75.8841
2021-02-02,USD,RUB,75.9182
2021-02-03,USD,RUB,76.0052
2021-02-04,USD,RUB,75.6892
2021-02-05,USD,RUB,75.0006
2021-02-06,USD,RUB,74.6495
2021-02-07,USD,RUB,74.6507
2021-02-08,USD,RUB,74.441
2021-02-09,USD,RUB,74.0682
2021-02-10,USD,RUB,73.8538
2021-02-11,USD,RUB,73.7519
2021-02-12,USD,RUB,73.8864
2021-02-13,USD,RUB,73.6522
2021-02-14,USD,RUB,73.6524
2021-02-15,USD,RUB,73.3888
2021-02-16,USD,RUB,73.4866
2021-02-17,USD,RUB,73.8004
2021-02-18,USD,RUB,73.801
2021-02-19,USD,RUB,73.9852
2021-02-20,USD,RUB,74.0325
2021-02-21,USD,RUB,74.0382
2021-02-22,USD,RUB,74.3612
2021-02-23,USD,RUB,74.0922
2021-02-24,USD,RUB,73.7669
2021-02-25,USD,RUB,73.9224
2021-02-26,USD,RUB,74.5918
2021-02-27,USD,RUB,74.5547
2021-02-28,USD,RUB,74.5596
2021-03-01,USD,RUB,74.2146
2021-03-02,USD,RUB,74.1078
2021-03-03,USD,RUB,73.8449
2021-03-04,USD,RUB,73.9568
2021-03-05,USD,RUB,74.4336
2021-03-06,USD,RUB,74.3572
2021-03-07,USD,RUB,74.3543
2021-03-08,USD,RUB,74.416
2021-03-09,USD,RUB,74.135
2021-03-10,USD,RUB,73.8672
2021-03-11,USD,RUB,73.5
2021-03-12,USD,RUB,73.4198
2021-03-13,USD,RUB,73.26
2021-03-14,USD,RUB,73.2718
2021-03-15,USD,RUB,73.1149
2021-03-16,USD,RUB,72.838
2021-03-17,USD,RUB,73.4392
2021-03-18,USD,RUB,73.9376
2021-03-19,USD,RUB,74.1722
2021-03-20,USD,RUB,74.0922
2021-03-21,USD,RUB,74.0924
2021-03-22,USD,RUB,74.613
2021-03-23,USD,RUB,75.7446
2021-03-24,USD,RUB,76.3576
2021-03-25,USD,RUB,76.2898
2021-03-26,USD,RUB,75.9186
2021-03-27,USD,RUB,75.8491
2021-03-28,USD,RUB,75.8407
2021-03-29,USD,RUB,75.8046
2021-03-30,USD,RUB,75.8148
2021-03-31,USD,RUB,75.6476
2021-04-01,USD,RUB,76.026
2021-04-02,USD,RUB,76.3087
2021-04-03,USD,RUB,76.4357
2021-04-04,USD,RUB,76.4364
2021-04-05,USD,RUB,76.3751
2021-04-06,USD,RUB,76.7856
2021-04-07,USD,RUB,77.307
2021-04-08,USD,RUB,76.9279
2021-04-09,USD,RUB,77.2238
2021-04-10,USD,RUB,77.4253
2021-04-11,USD,RUB,77.4265
2021-04-12,USD,RUB,77.3936
2021-04-13,USD,RUB,76.8036
2021-04-14,USD,RUB,75.794
2021-04-15,USD,RUB,76.4566
2021-04-16,USD,RUB,75.8886
2021-04-17,USD,RUB,75.6091
2021-04-18,USD,RUB,75.6154
2021-04-19,USD,RUB,76.2214
2021-04-20,USD,RUB,76.5638
2021-04-21,USD,RUB,76.7452
2021-04-22,USD,RUB,76.019
2021-04-23,USD,RUB,75.1082
2021-04-24,USD,RUB,74.8721
2021-04-25,USD,RUB,74.8755
2021-04-26,USD,RUB,74.9275
2021-04-27,USD,RUB,74.9362
2021-04-28,USD,RUB,74.7076
2021-04-29,USD,RUB,74.4712
2021-04-30,USD,RUB,74.9921
2021-05-01,USD,RUB,75.2913
2021-05-02,USD,RUB,75.2745
2021-05-03,USD,RUB,75.1917
2021-05-04,USD,RUB,74.9818
2021-05-05,USD,RUB,74.7918
2021-05-06,USD,RUB,74.5204
2021-05-07,USD,RUB,73.9938
2021-05-08,USD,RUB,73.7537
2021-05-09,USD,RUB,73.7514
2021-05-10,USD,RUB,73.983
2021-05-11,USD,RUB,74.1485
2021-05-12,USD,RUB,74.356
2021-05-13,USD,RUB,74.2616
2021-05-14,USD,RUB,73.9916
2021-05-15,USD,RUB,73.9947
2021-05-16,USD,RUB,73.9974
2021-05-17,USD,RUB,73.9488
2021-05-18,USD,RUB,73.7427
2021-05-19,USD,RUB,73.7273
2021-05-20,USD,RUB,73.6435
2021-05-21,USD,RUB,73.5295
2021-05-22,USD,RUB,73.6243
2021-05-23,USD,RUB,73.6245
2021-05-24,USD,RUB,73.5717
2021-05-25,USD,RUB,73.445
2021-05-26,USD,RUB,73.5024
2021-05-27,USD,RUB,73.4987
2021-05-28,USD,RUB,73.4092
2021-05-29,USD,RUB,73.1928
2021-05-30,USD,RUB,73.192
2021-05-31,USD,RUB,73.3749
2021-06-01,USD,RUB,73.4518
2021-06-02,USD,RUB,73.3814
2021-06-03,USD,RUB,73.212
2021-06-04,USD,RUB,73.0618
2021-06-05,USD,RUB,72.8433
2021-06-06,USD,RUB,72.8466
2021-06-07,USD,RUB,72.85
2021-06-08,USD,RUB,72.5614
2021-06-09,USD,RUB,72.2197
2021-06-10,USD,RUB,72.0652
2021-06-11,USD,RUB,71.8716
2021-06-12,USD,RUB,71.949
2021-06-13,USD,RUB,71.9551
2021-06-14,USD,RUB,72.137
2021-06-15,USD,RUB,72.0964
2021-06-16,USD,RUB,72.1664
2021-06-17,USD,RUB,72.4354
2021-06-18,USD,RUB,72.4992
2021-06-19,USD,RUB,72.7995
2021-06-20,USD,RUB,72.7947
2021-06-21,USD,RUB,73.0642
2021-06-22,USD,RUB,73.0767
2021-06-23,USD,RUB,72.7106
2021-06-24,USD,RUB,72.3728
2021-06-25,USD,RUB,72.2137
2021-06-26,USD,RUB,72.199
2021-06-27,USD,RUB,72.203
2021-06-28,USD,RUB,72.2034
2021-06-29,USD,RUB,72.5668
2021-06-30,USD,RUB,72.9746
2021-07-01,USD,RUB,73.2024
2021-07-02,USD,RUB,73.4003
2021-07-03,USD,RUB,73.1942
2021-07-04,USD,RUB,73.1986
2021-07-05,USD,RUB,73.3849
2021-07-06,USD,RUB,73.804
2021-07-07,USD,RUB,74.4735
2021-07-08,USD,RUB,74.8622
2021-07-09,USD,RUB,74.4484
2021-07-10,USD,RUB,74.4162
2021-07-11,USD,RUB,74.4073
2021-07-12,USD,RUB,74.4693
2021-07-13,USD,RUB,74.2445
2021-07-14,USD,RUB,74.1866
2021-07-15,USD,RUB,74.2499
2021-07-16,USD,RUB,74.1864
2021-07-17,USD,RUB,74.0774
2021-07-18,USD,RUB,74.0822
2021-07-19,USD,RUB,74.5012
2021-07-20,USD,RUB,74.5054
2021-07-21,USD,RUB,74.228
2021-07-22,USD,RUB,73.831
2021-07-23,USD,RUB,73.733
2021-07-24,USD,RUB,73.9289
2021-07-25,USD,RUB,73.9022
2021-07-26,USD,RUB,73.8446
2021-07-27,USD,RUB,73.7418
2021-07-28,USD,RUB,73.6049
2021-07-29,USD,RUB,73.2508
2021-07-30,USD,RUB,73.1322
2021-07-31,USD,RUB,73.1432
2021-08-01,USD,RUB,73.1432
2021-08-02,USD,RUB,73.0188
2021-08-03,USD,RUB,72.9682
2021-08-04,USD,RUB,73.0162
2021-08-05,USD,RUB,73.136
2021-08-06,USD,RUB,73.2672
2021-08-07,USD,RUB,73.2944
2021-08-08,USD,RUB,73.2785
2021-08-09,USD,RUB,73.5497
2021-08-10,USD,RUB,73.7836
2021-08-11,USD,RUB,73.7916
2021-08-12,USD,RUB,73.5136
2021-08-13,USD,RUB,73.395
2021-08-14,USD,RUB,73.3144
2021-08-15,USD,RUB,73.3136
2021-08-16,USD,RUB,73.3337
2021-08-17,USD,RUB,73.4838
2021-08-18,USD,RUB,73.6664
2021-08-19,USD,RUB,74.1386
2021-08-20,USD,RUB,74.327
2021-08-21,USD,RUB,74.2788
2021-08-22,USD,RUB,74.2754
2021-08-23,USD,RUB,74.1075
2021-08-24,USD,RUB,73.9044
2021-08-25,USD,RUB,73.8706
2021-08-26,USD,RUB,74.1148
2021-08-27,USD,RUB,73.8684
2021-08-28,USD,RUB,73.2486
2021-08-29,USD,RUB,73.2669
2021-08-30,USD,RUB,73.5164
2021-08-31,USD,RUB,73.3208
2021-09-01,USD,RUB,73.1123
2021-09-02,USD,RUB,72.9038
2021-09-03,USD,RUB,72.8124
2021-09-04,USD,RUB,72.8287
2021-09-05,USD,RUB,72.8268
2021-09-06,USD,RUB,72.955
2021-09-07,USD,RUB,73.1946
2021-09-08,USD,RUB,73.314
2021-09-09,USD,RUB,73.0604
2021-09-10,USD,RUB,72.9492
2021-09-11,USD,RUB,73.1866
2021-09-12,USD,RUB,73.1851
2021-09-13,USD,RUB,72.9074
2021-09-14,USD,RUB,72.8076
2021-09-15,USD,RUB,72.6336
2021-09-16,USD,RUB,72.4448
2021-09-17,USD,RUB,72.6798
2021-09-18,USD,RUB,72.8853
2021-09-19,USD,RUB,72.8805
2021-09-20,USD,RUB,73.3128
2021-09-21,USD,RUB,73.2056
2021-09-22,USD,RUB,72.8838
2021-09-23,USD,RUB,72.7968
2021-09-24,USD,RUB,72.7904
2021-09-25,USD,RUB,72.5136
2021-09-26,USD,RUB,72.5342
2021-09-27,USD,RUB,72.6132
2021-09-28,USD,RUB,72.6978
2021-09-29,USD,RUB,72.8154
2021-09-30,USD,RUB,72.7661
2021-10-01,USD,RUB,72.8446
2021-10-02,USD,RUB,72.671
2021-10-03,USD,RUB,72.6827
2021-10-04,USD,RUB,72.6974
2021-10-05,USD,RUB,72.473
2021-10-06,USD,RUB,72.4586
2021-10-07,USD,RUB,72.0624
2021-10-08,USD,RUB,71.8672
2021-10-09,USD,RUB,71.8316
2021-10-10,USD,RUB,71.8233
2021-10-11,USD,RUB,71.764
2021-10-12,USD,RUB,71.8566
2021-10-13,USD,RUB,71.9089
2021-10-14,USD,RUB,71.65
2021-10-15,USD,RUB,71.1826
2021-10-16,USD,RUB,70.9857
2021-10-17,USD,RUB,70.9874
2021-10-18,USD,RUB,71.2102
2021-10-19,USD,RUB,70.9606
2021-10-20,USD,RUB,70.9094
2021-10-21,USD,RUB,71.0576
2021-10-22,USD,RUB,70.6022
2021-10-23,USD,RUB,70.2955
2021-10-24,USD,RUB,70.3057
2021-10-25,USD,RUB,70.0222
2021-10-26,USD,RUB,69.5819
2021-10-27,USD,RUB,70.1004
2021-10-28,USD,RUB,70.417
2021-10-29,USD,RUB,70.6453
2021-10-30,USD,RUB,70.9399
2021-10-31,USD,RUB,70.9389
2021-11-01,USD,RUB,71.1886
2021-11-02,USD,RUB,71.631
2021-11-03,USD,RUB,71.818
2021-11-04,USD,RUB,71.563
2021-11-05,USD,RUB,71.4266
2021-11-06,USD,RUB,71.1486
2021-11-07,USD,RUB,71.1466
2021-11-08,USD,RUB,71.2996
2021-11-09,USD,RUB,71.0058
2021-11-10,USD,RUB,70.9124
2021-11-11,USD,RUB,71.3088
2021-11-12,USD,RUB,72.2709
2021-11-13,USD,RUB,72.8862
2021-11-14,USD,RUB,72.8778
2021-11-15,USD,RUB,72.5379
2021-11-16,USD,RUB,72.8662
2021-11-17,USD,RUB,72.776
2021-11-18,USD,RUB,72.8918
2021-11-19,USD,RUB,73.2542
2021-11-20,USD,RUB,73.4958
2021-11-21,USD,RUB,73.4958
2021-11-22,USD,RUB,74.244
2021-11-23,USD,RUB,74.7388
2021-11-24,USD,RUB,74.6382
2021-11-25,USD,RUB,74.6996
2021-11-26,USD,RUB,75.4194
2021-11-27,USD,RUB,75.5915
2021-11-28,USD,RUB,75.5871
2021-11-29,USD,RUB,74.7715
2021-11-30,USD,RUB,74.467
2021-12-01,USD,RUB,74.0339
2021-12-02,USD,RUB,73.88
2021-12-03,USD,RUB,73.7762
2021-12-04,USD,RUB,73.973
2021-12-05,USD,RUB,73.9634
2021-12-06,USD,RUB,73.9528
2021-12-07,USD,RUB,74.2274
2021-12-08,USD,RUB,73.7448
2021-12-09,USD,RUB,73.6417
2021-12-10,USD,RUB,73.5274
2021-12-11,USD,RUB,73.4172
2021-12-12,USD,RUB,73.4178
2021-12-13,USD,RUB,73.4466
2021-12-14,USD,RUB,73.619
2021-12-15,USD,RUB,73.8634
2021-12-16,USD,RUB,73.6412
2021-12-17,USD,RUB,73.9191
2021-12-18,USD,RUB,74.1684
2021-12-19,USD,RUB,74.1686
2021-12-20,USD,RUB,74.2703
2021-12-21,USD,RUB,73.9896
2021-12-22,USD,RUB,73.8301
2021-12-23,USD,RUB,73.4591
2021-12-24,USD,RUB,73.4914
2021-12-25,USD,RUB,73.6625
2021-12-26,USD,RUB,73.6628
2021-12-27,USD,RUB,73.4789
2021-12-28,USD,RUB,73.608
2021-12-29,USD,RUB,73.8812
2021-12-30,USD,RUB,74.5036
2021-12-31,USD,RUB,74.8732
2022-01-01,USD,RUB,74.7916
2022-01-02,USD,RUB,74.7949
2022-01-03,USD,RUB,74.657
2022-01-04,USD,RUB,74.98
2022-01-05,USD,RUB,75.868
2022-01-06,USD,RUB,76.5738
2022-01-07,USD,RUB,75.8144
2022-01-08,USD,RUB,75.7236
2022-01-09,USD,RUB,75.7228
2022-01-10,USD,RUB,75.2244
2022-01-11,USD,RUB,74.7674
2022-01-12,USD,RUB,74.5735
2022-01-13,USD,RUB,75.3746
2022-01-14,USD,RUB,76.2469
2022-01-15,USD,RUB,76.2351
2022-01-16,USD,RUB,76.2456
2022-01-17,USD,RUB,76.2608
2022-01-18,USD,RUB,76.5236
2022-01-19,USD,RUB,76.557
2022-01-20,USD,RUB,76.427
2022-01-21,USD,RUB,76.9832
2022-01-22,USD,RUB,77.5902
2022-01-23,USD,RUB,77.5902
2022-01-24,USD,RUB,78.256
2022-01-25,USD,RUB,78.7548
2022-01-26,USD,RUB,79.1232
2022-01-27,USD,RUB,78.5825
2022-01-28,USD,RUB,77.9125
2022-01-29,USD,RUB,78.1696
2022-01-30,USD,RUB,78.1626
2022-01-31,USD,RUB,77.5598
2022-02-01,USD,RUB,76.9693
2022-02-02,USD,RUB,76.3404
2022-02-03,USD,RUB,76.4118
2022-02-04,USD,RUB,76.0668
2022-02-05,USD,RUB,75.7508
2022-02-06,USD,RUB,75.7508
2022-02-07,USD,RUB,75.649
2022-02-08,USD,RUB,75.2378
2022-02-09,USD,RUB,74.7996
2022-02-10,USD,RUB,74.7822
2022-02-11,USD,RUB,75.7437
2022-02-12,USD,RUB,76.7934
2022-02-13,USD,RUB,76.7934
2022-02-14,USD,RUB,76.9454
2022-02-15,USD,RUB,75.8705
2022-02-16,USD,RUB,75.2022
2022-02-17,USD,RUB,75.9022
2022-02-18,USD,RUB,76.4616
2022-02-19,USD,RUB,77.3516
2022-02-20,USD,RUB,77.362
2022-02-21,USD,RUB,78.3161
2022-02-22,USD,RUB,79.544
2022-02-23,USD,RUB,79.919
2022-02-24,USD,RUB,85.2562
2022-02-25,USD,RUB,83.8458
2022-02-26,USD,RUB,83.8818
2022-02-27,USD,RUB,83.8802
2022-02-28,USD,RUB,96.0288
2022-03-01,USD,RUB,106.293
2022-03-02,USD,RUB,107.334
2022-03-03,USD,RUB,107.838
2022-03-04,USD,RUB,111.268
2022-03-05,USD,RUB,123.0
2022-03-06,USD,RUB,123.012
2022-03-07,USD,RUB,128.426
2022-03-08,USD,RUB,131.814
2022-03-09,USD,RUB,129.22
2022-03-10,USD,RUB,130.217
2022-03-11,USD,RUB,128.25
2022-03-12,USD,RUB,134.188
2022-03-13,USD,RUB,133.786
2022-03-14,USD,RUB,121.145
2022-03-15,USD,RUB,112.299
2022-03-16,USD,RUB,105.349
2022-03-17,USD,RUB,101.911
2022-03-18,USD,RUB,104.788
2022-03-19,USD,RUB,106.875
2022-03-20,USD,RUB,106.834
2022-03-21,USD,RUB,105.258
2022-03-22,USD,RUB,105.493
2022-03-23,USD,RUB,101.562
2022-03-24,USD,RUB,99.3066
2022-03-25,USD,RUB,100.606
2022-03-26,USD,RUB,102.0
2022-03-27,USD,RUB,102.129
2022-03-28,USD,RUB,98.2648
2022-03-29,USD,RUB,90.2612
2022-03-30,USD,RUB,85.5481
2022-03-31,USD,RUB,82.3938
2022-04-01,USD,RUB,83.799
2022-04-02,USD,RUB,85.75
2022-04-03,USD,RUB,85.7358
2022-04-04,USD,RUB,84.5912
2022-04-05,USD,RUB,83.927
2022-04-06,USD,RUB,83.533
2022-04-07,USD,RUB,80.1598
2022-04-08,USD,RUB,79.4784
2022-04-09,USD,RUB,80.25
2022-04-10,USD,RUB,80.3027
2022-04-11,USD,RUB,82.7471
2022-04-12,USD,RUB,84.3484
2022-04-13,USD,RUB,83.324
2022-04-14,USD,RUB,82.5034
2022-04-15,USD,RUB,82.2104
2022-04-16,USD,RUB,80.75
2022-04-17,USD,RUB,80.75
2022-04-18,USD,RUB,81.8385
2022-04-19,USD,RUB,80.6022
2022-04-20,USD,RUB,81.6072
2022-04-21,USD,RUB,80.9014
2022-04-22,USD,RUB,78.5046
2022-04-23,USD,RUB,77.3275
2022-04-24,USD,RUB,77.3278
2022-04-25,USD,RUB,75.5814
2022-04-26,USD,RUB,74.8168
2022-04-27,USD,RUB,74.5572
2022-04-28,USD,RUB,73.0394
2022-04-29,USD,RUB,71.6227
2022-04-30,USD,RUB,71.35
2022-05-01,USD,RUB,71.509
2022-05-02,USD,RUB,71.1222
2022-05-03,USD,RUB,69.2914
2022-05-04,USD,RUB,67.0592
2022-05-05,USD,RUB,65.5706
2022-05-06,USD,RUB,66.9933
2022-05-07,USD,RUB,69.0
2022-05-08,USD,RUB,69.0
2022-05-09,USD,RUB,69.5148
2022-05-10,USD,RUB,69.6948
2022-05-11,USD,RUB,68.2464
2022-05-12,USD,RUB,65.6762
2022-05-13,USD,RUB,65.0632
2022-05-14,USD,RUB,66.0
2022-05-15,USD,RUB,66.0171
2022-05-16,USD,RUB,64.9576
2022-05-17,USD,RUB,65.0334
2022-05-18,USD,RUB,64.3442
2022-05-19,USD,RUB,62.7354
2022-05-20,USD,RUB,61.3912
2022-05-21,USD,RUB,62.0
2022-05-22,USD,RUB,62.0048
2022-05-23,USD,RUB,59.1172
2022-05-24,USD,RUB,57.4018
2022-05-25,USD,RUB,58.3706
2022-05-26,USD,RUB,62.5456
2022-05-27,USD,RUB,65.8918
2022-05-28,USD,RUB,66.125
2022-05-29,USD,RUB,66.1379
2022-05-30,USD,RUB,64.6514
2022-05-31,USD,RUB,62.532
2022-06-01,USD,RUB,62.6511
2022-06-02,USD,RUB,62.8178
2022-06-03,USD,RUB,62.8459
2022-06-04,USD,RUB,63.36
2022-06-05,USD,RUB,63.359
2022-06-06,USD,RUB,61.5336
2022-06-07,USD,RUB,61.5298
2022-06-08,USD,RUB,60.7279
2022-06-09,USD,RUB,58.7318
2022-06-10,USD,RUB,58.1796
2022-06-11,USD,RUB,57.9374
2022-06-12,USD,RUB,57.943
2022-06-13,USD,RUB,57.4246
2022-06-14,USD,RUB,57.7964
2022-06-15,USD,RUB,57.352
2022-06-16,USD,RUB,57.2498
2022-06-17,USD,RUB,57.0372
2022-06-18,USD,RUB,57.25
2022-06-19,USD,RUB,57.1814
2022-06-20,USD,RUB,56.0253
2022-06-21,USD,RUB,54.5811
2022-06-22,USD,RUB,53.9562
2022-06-23,USD,RUB,54.2544
2022-06-24,USD,RUB,53.8965
2022-06-25,USD,RUB,54.1999
2022-06-26,USD,RUB,54.1363
2022-06-27,USD,RUB,53.2768
2022-06-28,USD,RUB,53.4662
2022-06-29,USD,RUB,52.6626
2022-06-30,USD,RUB,53.512
2022-07-01,USD,RUB,54.7202
2022-07-02,USD,RUB,55.5
2022-07-03,USD,RUB,55.4732
2022-07-04,USD,RUB,55.2874
2022-07-05,USD,RUB,60.0322
2022-07-06,USD,RUB,63.0634
2022-07-07,USD,RUB,63.1909
2022-07-08,USD,RUB,62.8914
2022-07-09,USD,RUB,64.375
2022-07-10,USD,RUB,64.4521
2022-07-11,USD,RUB,62.5568
2022-07-12,USD,RUB,59.7222
2022-07-13,USD,RUB,58.5838
2022-07-14,USD,RUB,58.3232
2022-07-15,USD,RUB,57.8945
2022-07-16,USD,RUB,57.0
2022-07-17,USD,RUB,57.0
