date,base,quote,rate
2021-01-28,UZS,CHF,8.48736e-05
2021-01-29,UZS,CHF,8.49756e-05
2021-01-30,UZS,CHF,8.4643e-05
2021-01-31,UZS,CHF,8.46468e-05
2021-02-01,UZS,CHF,8.51976e-05
2021-02-02,UZS,CHF,8.52766e-05
2021-02-03,UZS,CHF,8.55716e-05
2021-02-04,UZS,CHF,8.57039e-05
2021-02-05,UZS,CHF,8.57857e-05
2021-02-06,UZS,CHF,8.5306e-05
2021-02-07,UZS,CHF,8.53072e-05
2021-02-08,UZS,CHF,8.5562e-05
2021-02-09,UZS,CHF,8.50776e-05
2021-02-10,UZS,CHF,8.48653e-05
2021-02-11,UZS,CHF,8.45125e-05
2021-02-12,UZS,CHF,8.4626e-05
2021-02-13,UZS,CHF,8.46283e-05
2021-02-14,UZS,CHF,8.4627e-05
2021-02-15,UZS,CHF,8.45399e-05
2021-02-16,UZS,CHF,8.45029e-05
2021-02-17,UZS,CHF,8.48918e-05
2021-02-18,UZS,CHF,8.52636e-05
2021-02-19,UZS,CHF,8.51778e-05
2021-02-20,UZS,CHF,8.5117e-05
2021-02-21,UZS,CHF,8.51188e-05
2021-02-22,UZS,CHF,8.50974e-05
2021-02-23,UZS,CHF,8.54474e-05
2021-02-24,UZS,CHF,8.60023e-05
2021-02-25,UZS,CHF,8.58842e-05
2021-02-26,UZS,CHF,8.61059e-05
2021-02-27,UZS,CHF,8.63532e-05
2021-02-28,UZS,CHF,8.63498e-05
2021-03-01,UZS,CHF,8.662e-05
2021-03-02,UZS,CHF,8.71254e-05
2021-03-03,UZS,CHF,8.75758e-05
2021-03-04,UZS,CHF,8.82312e-05
2021-03-05,UZS,CHF,8.865e-05
2021-03-06,UZS,CHF,8.8719e-05
2021-03-07,UZS,CHF,8.87185e-05
2021-03-08,UZS,CHF,8.9141e-05
2021-03-09,UZS,CHF,8.87837e-05
2021-03-10,UZS,CHF,8.85206e-05
2021-03-11,UZS,CHF,8.82878e-05
2021-03-12,UZS,CHF,8.84292e-05
2021-03-13,UZS,CHF,8.85435e-05
2021-03-14,UZS,CHF,8.85405e-05
2021-03-15,UZS,CHF,8.84372e-05
2021-03-16,UZS,CHF,8.8047e-05
2021-03-17,UZS,CHF,8.78834e-05
2021-03-18,UZS,CHF,8.80044e-05
2021-03-19,UZS,CHF,8.82656e-05
2021-03-20,UZS,CHF,8.84996e-05
2021-03-21,UZS,CHF,8.85012e-05
2021-03-22,UZS,CHF,8.8177e-05
2021-03-23,UZS,CHF,8.85709e-05
2021-03-24,UZS,CHF,8.89638e-05
2021-03-25,UZS,CHF,8.91454e-05
2021-03-26,UZS,CHF,8.94742e-05
2021-03-27,UZS,CHF,8.9351e-05
2021-03-28,UZS,CHF,8.93523e-05
2021-03-29,UZS,CHF,8.95422e-05
2021-03-30,UZS,CHF,8.97842e-05
2021-03-31,UZS,CHF,8.99468e-05
2021-04-01,UZS,CHF,8.9992e-05
2021-04-02,UZS,CHF,8.99944e-05
2021-04-03,UZS,CHF,8.99124e-05
2021-04-04,UZS,CHF,8.99105e-05
2021-04-05,UZS,CHF,8.97641e-05
2021-04-06,UZS,CHF,8.94947e-05
2021-04-07,UZS,CHF,8.89176e-05
2021-04-08,UZS,CHF,8.83658e-05
2021-04-09,UZS,CHF,8.84998e-05
2021-04-10,UZS,CHF,8.82928e-05
2021-04-11,UZS,CHF,8.83016e-05
2021-04-12,UZS,CHF,8.8237e-05
2021-04-13,UZS,CHF,8.79936e-05
2021-04-14,UZS,CHF,8.77405e-05
2021-04-15,UZS,CHF,8.78316e-05
2021-04-16,UZS,CHF,8.75954e-05
2021-04-17,UZS,CHF,8.7536e-05
2021-04-18,UZS,CHF,8.75288e-05
2021-04-19,UZS,CHF,8.70665e-05
2021-04-20,UZS,CHF,8.69904e-05
2021-04-21,UZS,CHF,8.71378e-05
2021-04-22,UZS,CHF,8.7119e-05
2021-04-23,UZS,CHF,8.69666e-05
2021-04-24,UZS,CHF,8.6858e-05
2021-04-25,UZS,CHF,8.68579e-05
2021-04-26,UZS,CHF,8.68306e-05
2021-04-27,UZS,CHF,8.67011e-05
2021-04-28,UZS,CHF,8.67092e-05
2021-04-29,UZS,CHF,8.66324e-05
2021-04-30,UZS,CHF,8.65292e-05
2021-05-01,UZS,CHF,8.66138e-05
2021-05-02,UZS,CHF,8.66118e-05
2021-05-03,UZS,CHF,8.65489e-05
2021-05-04,UZS,CHF,8.68231e-05
2021-05-05,UZS,CHF,8.69255e-05
2021-05-06,UZS,CHF,8.66108e-05
2021-05-07,UZS,CHF,8.60915e-05
2021-05-08,UZS,CHF,8.56422e-05
2021-05-09,UZS,CHF,8.56438e-05
2021-05-10,UZS,CHF,8.59449e-05
2021-05-11,UZS,CHF,8.55317e-05
2021-05-12,UZS,CHF,8.59113e-05
2021-05-13,UZS,CHF,8.5881e-05
2021-05-14,UZS,CHF,8.56514e-05
2021-05-15,UZS,CHF,8.54566e-05
2021-05-16,UZS,CHF,8.54578e-05
2021-05-17,UZS,CHF,8.54999e-05
2021-05-18,UZS,CHF,8.506e-05
2021-05-19,UZS,CHF,8.51713e-05
2021-05-20,UZS,CHF,8.51728e-05
2021-05-21,UZS,CHF,8.48046e-05
2021-05-22,UZS,CHF,8.48276e-05
2021-05-23,UZS,CHF,8.48274e-05
2021-05-24,UZS,CHF,8.46573e-05
2021-05-25,UZS,CHF,8.46451e-05
2021-05-26,UZS,CHF,8.45602e-05
2021-05-27,UZS,CHF,8.45588e-05
2021-05-28,UZS,CHF,8.48542e-05
2021-05-29,UZS,CHF,8.49412e-05
2021-05-30,UZS,CHF,8.49394e-05
2021-05-31,UZS,CHF,8.50912e-05
2021-06-01,UZS,CHF,8.50494e-05
2021-06-02,UZS,CHF,8.50885e-05
2021-06-03,UZS,CHF,8.55466e-05
2021-06-04,UZS,CHF,8.53654e-05
2021-06-05,UZS,CHF,8.52552e-05
2021-06-06,UZS,CHF,8.52582e-05
2021-06-07,UZS,CHF,8.53788e-05
2021-06-08,UZS,CHF,8.51364e-05
2021-06-09,UZS,CHF,8.4885e-05
2021-06-10,UZS,CHF,8.45888e-05
2021-06-11,UZS,CHF,8.48898e-05
