date,base,quote,rate
2021-01-28,UZS,CNY,0.000617228
2021-01-29,UZS,CNY,0.000615298
2021-01-30,UZS,CNY,0.000610866
2021-01-31,UZS,CNY,0.000610866
2021-02-01,UZS,CNY,0.000615618
2021-02-02,UZS,CNY,0.000613718
2021-02-03,UZS,CNY,0.000615118
2021-02-04,UZS,CNY,0.000614339
2021-02-05,UZS,CNY,0.000615412
2021-02-06,UZS,CNY,0.000613595
2021-02-07,UZS,CNY,0.000613595
2021-02-08,UZS,CNY,0.000613817
2021-02-09,UZS,CNY,0.00061259
2021-02-10,UZS,CNY,0.000614127
2021-02-11,UZS,CNY,0.000613088
2021-02-12,UZS,CNY,0.000613028
2021-02-13,UZS,CNY,0.000612788
2021-02-14,UZS,CNY,0.000612788
2021-02-15,UZS,CNY,0.000612996
2021-02-16,UZS,CNY,0.000612948
2021-02-17,UZS,CNY,0.000611863
2021-02-18,UZS,CNY,0.000614878
2021-02-19,UZS,CNY,0.000616909
2021-02-20,UZS,CNY,0.00061598
2021-02-21,UZS,CNY,0.00061598
2021-02-22,UZS,CNY,0.000613494
2021-02-23,UZS,CNY,0.000613716
2021-02-24,UZS,CNY,0.000612302
2021-02-25,UZS,CNY,0.000612037
2021-02-26,UZS,CNY,0.000614441
2021-02-27,UZS,CNY,0.00061555
2021-02-28,UZS,CNY,0.00061555
2021-03-01,UZS,CNY,0.000614114
2021-03-02,UZS,CNY,0.000615488
2021-03-03,UZS,CNY,0.000617524
2021-03-04,UZS,CNY,0.000617873
2021-03-05,UZS,CNY,0.000618588
2021-03-06,UZS,CNY,0.000619394
2021-03-07,UZS,CNY,0.000619394
2021-03-08,UZS,CNY,0.000622478
2021-03-09,UZS,CNY,0.00062055
2021-03-10,UZS,CNY,0.000619494
2021-03-11,UZS,CNY,0.000618658
2021-03-12,UZS,CNY,0.000619141
2021-03-13,UZS,CNY,0.000620004
2021-03-14,UZS,CNY,0.000620004
2021-03-15,UZS,CNY,0.000619078
2021-03-16,UZS,CNY,0.000618114
2021-03-17,UZS,CNY,0.00061739
2021-03-18,UZS,CNY,0.000617914
2021-03-19,UZS,CNY,0.000618719
2021-03-20,UZS,CNY,0.000619966
2021-03-21,UZS,CNY,0.000619946
2021-03-22,UZS,CNY,0.000619532
2021-03-23,UZS,CNY,0.000620598
2021-03-24,UZS,CNY,0.000620494
2021-03-25,UZS,CNY,0.000622006
2021-03-26,UZS,CNY,0.000622792
2021-03-27,UZS,CNY,0.000622417
2021-03-28,UZS,CNY,0.000622417
2021-03-29,UZS,CNY,0.000625561
2021-03-30,UZS,CNY,0.000626668
2021-03-31,UZS,CNY,0.000625203
2021-04-01,UZS,CNY,0.000626141
2021-04-02,UZS,CNY,0.000627212
2021-04-03,UZS,CNY,0.000626264
2021-04-04,UZS,CNY,0.000626264
2021-04-05,UZS,CNY,0.000627188
2021-04-06,UZS,CNY,0.000626652
2021-04-07,UZS,CNY,0.000625774
2021-04-08,UZS,CNY,0.000624424
2021-04-09,UZS,CNY,0.000626986
2021-04-10,UZS,CNY,0.000625836
2021-04-11,UZS,CNY,0.000625836
2021-04-12,UZS,CNY,0.00062554
2021-04-13,UZS,CNY,0.00062426
2021-04-14,UZS,CNY,0.000622106
2021-04-15,UZS,CNY,0.000621455
2021-04-16,UZS,CNY,0.000620768
2021-04-17,UZS,CNY,0.000620459
2021-04-18,UZS,CNY,0.000620386
2021-04-19,UZS,CNY,0.000618687
2021-04-20,UZS,CNY,0.000617684
2021-04-21,UZS,CNY,0.00061719
2021-04-22,UZS,CNY,0.000616708
2021-04-23,UZS,CNY,0.00061703
2021-04-24,UZS,CNY,0.000617448
2021-04-25,UZS,CNY,0.000617448
2021-04-26,UZS,CNY,0.000616246
2021-04-27,UZS,CNY,0.000614723
2021-04-28,UZS,CNY,0.000615263
2021-04-29,UZS,CNY,0.000616488
2021-04-30,UZS,CNY,0.000614844
2021-05-01,UZS,CNY,0.000614167
2021-05-02,UZS,CNY,0.000614167
2021-05-03,UZS,CNY,0.000614076
2021-05-04,UZS,CNY,0.000615204
2021-05-05,UZS,CNY,0.000615915
2021-05-06,UZS,CNY,0.000615718
2021-05-07,UZS,CNY,0.000613414
2021-05-08,UZS,CNY,0.000611757
2021-05-09,UZS,CNY,0.000611757
2021-05-10,UZS,CNY,0.00061275
2021-05-11,UZS,CNY,0.000609262
2021-05-12,UZS,CNY,0.000610946
2021-05-13,UZS,CNY,0.000610876
2021-05-14,UZS,CNY,0.000610422
2021-05-15,UZS,CNY,0.000610168
2021-05-16,UZS,CNY,0.000610168
2021-05-17,UZS,CNY,0.000610362
2021-05-18,UZS,CNY,0.000608189
2021-05-19,UZS,CNY,0.00060842
2021-05-20,UZS,CNY,0.000608656
2021-05-21,UZS,CNY,0.000607894
2021-05-22,UZS,CNY,0.00060789
2021-05-23,UZS,CNY,0.00060789
2021-05-24,UZS,CNY,0.000606292
2021-05-25,UZS,CNY,0.000605796
2021-05-26,UZS,CNY,0.000603401
2021-05-27,UZS,CNY,0.000601219
2021-05-28,UZS,CNY,0.000601184
2021-05-29,UZS,CNY,0.000601103
2021-05-30,UZS,CNY,0.000601103
2021-05-31,UZS,CNY,0.000602489
2021-06-01,UZS,CNY,0.000604174
2021-06-02,UZS,CNY,0.000604442
2021-06-03,UZS,CNY,0.000606963
2021-06-04,UZS,CNY,0.000605886
2021-06-05,UZS,CNY,0.000606408
2021-06-06,UZS,CNY,0.000606408
2021-06-07,UZS,CNY,0.000607928
2021-06-08,UZS,CNY,0.000607146
2021-06-09,UZS,CNY,0.000605446
2021-06-10,UZS,CNY,0.000603562
2021-06-11,UZS,CNY,0.000605371
2021-06-12,UZS,CNY,0.000604132
2021-06-13,UZS,CNY,0.000604133
2021-06-14,UZS,CNY,0.000602676
2021-06-15,UZS,CNY,0.000603403
2021-06-16,UZS,CNY,0.00060279
2021-06-17,UZS,CNY,0.000604099
2021-06-18,UZS,CNY,0.000608522
2021-06-19,UZS,CNY,0.000608822
2021-06-20,UZS,CNY,0.000608822
2021-06-21,UZS,CNY,0.000610028
2021-06-22,UZS,CNY,0.000611358
2021-06-23,UZS,CNY,0.000612952
2021-06-24,UZS,CNY,0.000611836
2021-06-25,UZS,CNY,0.000611
2021-06-26,UZS,CNY,0.000611172
2021-06-27,UZS,CNY,0.000611118
2021-06-28,UZS,CNY,0.000610192
2021-06-29,UZS,CNY,0.000609792
2021-06-30,UZS,CNY,0.000609342
2021-07-01,UZS,CNY,0.000610635
2021-07-02,UZS,CNY,0.000611331
2021-07-03,UZS,CNY,0.000609656
2021-07-04,UZS,CNY,0.000609656
2021-07-05,UZS,CNY,0.000610353
2021-07-06,UZS,CNY,0.00061005
2021-07-07,UZS,CNY,0.000609999
2021-07-08,UZS,CNY,0.000610223
2021-07-09,UZS,CNY,0.00060994
2021-07-10,UZS,CNY,0.000609547
2021-07-11,UZS,CNY,0.000609547
2021-07-12,UZS,CNY,0.000609944
2021-07-13,UZS,CNY,0.000608278
2021-07-14,UZS,CNY,0.000607964
2021-07-15,UZS,CNY,0.000607688
2021-07-16,UZS,CNY,0.000608062
2021-07-17,UZS,CNY,0.000609701
2021-07-18,UZS,CNY,0.0006097
2021-07-19,UZS,CNY,0.000611425
2021-07-20,UZS,CNY,0.000612274
2021-07-21,UZS,CNY,0.00061064
2021-07-22,UZS,CNY,0.000610606
2021-07-23,UZS,CNY,0.000610358
2021-07-24,UZS,CNY,0.000610648
2021-07-25,UZS,CNY,0.000610647
2021-07-26,UZS,CNY,0.000610294
2021-07-27,UZS,CNY,0.000610336
2021-07-28,UZS,CNY,0.000610016
2021-07-29,UZS,CNY,0.000608588
2021-07-30,UZS,CNY,0.000607691
2021-07-31,UZS,CNY,0.00060719
2021-08-01,UZS,CNY,0.00060719
2021-08-02,UZS,CNY,0.000606217
2021-08-03,UZS,CNY,0.000606812
2021-08-04,UZS,CNY,0.00060664
2021-08-05,UZS,CNY,0.000606838
2021-08-06,UZS,CNY,0.000609162
2021-08-07,UZS,CNY,0.000610644
2021-08-08,UZS,CNY,0.000610644
2021-08-09,UZS,CNY,0.000608664
2021-08-10,UZS,CNY,0.000609339
2021-08-11,UZS,CNY,0.000608524
2021-08-12,UZS,CNY,0.000607952
2021-08-13,UZS,CNY,0.000606817
2021-08-14,UZS,CNY,0.000606436
2021-08-15,UZS,CNY,0.000606436
2021-08-16,UZS,CNY,0.00060721
2021-08-17,UZS,CNY,0.000607547
2021-08-18,UZS,CNY,0.00060859
2021-08-19,UZS,CNY,0.000609912
2021-08-20,UZS,CNY,0.00061051
2021-08-21,UZS,CNY,0.000610786
2021-08-22,UZS,CNY,0.000610786
2021-08-23,UZS,CNY,0.000609356
2021-08-24,UZS,CNY,0.000608614
2021-08-25,UZS,CNY,0.000608495
2021-08-26,UZS,CNY,0.000608932
2021-08-27,UZS,CNY,0.000607814
2021-08-28,UZS,CNY,0.000608254
2021-08-29,UZS,CNY,0.000608254
2021-08-30,UZS,CNY,0.000608456
2021-08-31,UZS,CNY,0.00060712
2021-09-01,UZS,CNY,0.000605442
2021-09-02,UZS,CNY,0.000605758
2021-09-03,UZS,CNY,0.000605452
2021-09-04,UZS,CNY,0.000604989
2021-09-05,UZS,CNY,0.000604988
2021-09-06,UZS,CNY,0.000604852
2021-09-07,UZS,CNY,0.00060448
2021-09-08,UZS,CNY,0.000604574
2021-09-09,UZS,CNY,0.000604426
2021-09-10,UZS,CNY,0.000603662
2021-09-11,UZS,CNY,0.000604169
2021-09-12,UZS,CNY,0.00060417
2021-09-13,UZS,CNY,0.000604786
2021-09-14,UZS,CNY,0.00060518
2021-09-15,UZS,CNY,0.00060113
2021-09-16,UZS,CNY,0.000602286
2021-09-17,UZS,CNY,0.000603772
2021-09-18,UZS,CNY,0.000604684
2021-09-19,UZS,CNY,0.000604684
2021-09-20,UZS,CNY,0.00060392
2021-09-21,UZS,CNY,0.000605632
2021-09-22,UZS,CNY,0.000605237
2021-09-23,UZS,CNY,0.000604234
2021-09-24,UZS,CNY,0.000606266
2021-09-25,UZS,CNY,0.00060581
