date,base,quote,rate
2021-01-28,UZS,GBP,6.97366e-05
2021-01-29,UZS,GBP,6.96786e-05
2021-01-30,UZS,GBP,6.93428e-05
2021-01-31,UZS,GBP,6.93442e-05
2021-02-01,UZS,GBP,6.9522e-05
2021-02-02,UZS,GBP,6.95176e-05
2021-02-03,UZS,GBP,6.97496e-05
2021-02-04,UZS,GBP,6.96758e-05
2021-02-05,UZS,GBP,6.94064e-05
2021-02-06,UZS,GBP,6.90684e-05
2021-02-07,UZS,GBP,6.9071e-05
2021-02-08,UZS,GBP,6.92879e-05
2021-02-09,UZS,GBP,6.89941e-05
2021-02-10,UZS,GBP,6.88586e-05
2021-02-11,UZS,GBP,6.86634e-05
2021-02-12,UZS,GBP,6.8704e-05
2021-02-13,UZS,GBP,6.85066e-05
2021-02-14,UZS,GBP,6.85026e-05
2021-02-15,UZS,GBP,6.82768e-05
2021-02-16,UZS,GBP,6.81908e-05
2021-02-17,UZS,GBP,6.83072e-05
2021-02-18,UZS,GBP,6.82588e-05
2021-02-19,UZS,GBP,6.79556e-05
2021-02-20,UZS,GBP,6.77723e-05
2021-02-21,UZS,GBP,6.777e-05
2021-02-22,UZS,GBP,6.75594e-05
2021-02-23,UZS,GBP,6.7395e-05
2021-02-24,UZS,GBP,6.70544e-05
2021-02-25,UZS,GBP,6.71918e-05
2021-02-26,UZS,GBP,6.80824e-05
2021-02-27,UZS,GBP,6.82356e-05
2021-02-28,UZS,GBP,6.82274e-05
2021-03-01,UZS,GBP,6.80814e-05
2021-03-02,UZS,GBP,6.83316e-05
2021-03-03,UZS,GBP,6.8401e-05
2021-03-04,UZS,GBP,6.85245e-05
2021-03-05,UZS,GBP,6.88704e-05
2021-03-06,UZS,GBP,6.89162e-05
2021-03-07,UZS,GBP,6.89116e-05
2021-03-08,UZS,GBP,6.90396e-05
2021-03-09,UZS,GBP,6.86663e-05
2021-03-10,UZS,GBP,6.8507e-05
2021-03-11,UZS,GBP,6.82511e-05
2021-03-12,UZS,GBP,6.83362e-05
2021-03-13,UZS,GBP,6.84316e-05
2021-03-14,UZS,GBP,6.84294e-05
2021-03-15,UZS,GBP,6.84384e-05
2021-03-16,UZS,GBP,6.85137e-05
2021-03-17,UZS,GBP,6.82495e-05
2021-03-18,UZS,GBP,6.81366e-05
2021-03-19,UZS,GBP,6.8407e-05
2021-03-20,UZS,GBP,6.86828e-05
2021-03-21,UZS,GBP,6.86976e-05
2021-03-22,UZS,GBP,6.87198e-05
2021-03-23,UZS,GBP,6.907e-05
2021-03-24,UZS,GBP,6.93846e-05
2021-03-25,UZS,GBP,6.93598e-05
2021-03-26,UZS,GBP,6.91036e-05
2021-03-27,UZS,GBP,6.89861e-05
2021-03-28,UZS,GBP,6.89868e-05
2021-03-29,UZS,GBP,6.91612e-05
2021-03-30,UZS,GBP,6.93698e-05
2021-03-31,UZS,GBP,6.92667e-05
2021-04-01,UZS,GBP,6.90842e-05
2021-04-02,UZS,GBP,6.90609e-05
2021-04-03,UZS,GBP,6.89233e-05
2021-04-04,UZS,GBP,6.89294e-05
2021-04-05,UZS,GBP,6.88534e-05
2021-04-06,UZS,GBP,6.90688e-05
2021-04-07,UZS,GBP,6.93906e-05
2021-04-08,UZS,GBP,6.93554e-05
2021-04-09,UZS,GBP,6.97278e-05
2021-04-10,UZS,GBP,6.96804e-05
2021-04-11,UZS,GBP,6.96793e-05
2021-04-12,UZS,GBP,6.95506e-05
2021-04-13,UZS,GBP,6.93822e-05
2021-04-14,UZS,GBP,6.91102e-05
2021-04-15,UZS,GBP,6.90654e-05
2021-04-16,UZS,GBP,6.89862e-05
2021-04-17,UZS,GBP,6.87426e-05
2021-04-18,UZS,GBP,6.87422e-05
2021-04-19,UZS,GBP,6.82414e-05
2021-04-20,UZS,GBP,6.80463e-05
2021-04-21,UZS,GBP,6.82208e-05
2021-04-22,UZS,GBP,6.84409e-05
2021-04-23,UZS,GBP,6.8513e-05
2021-04-24,UZS,GBP,6.85078e-05
2021-04-25,UZS,GBP,6.8508e-05
2021-04-26,UZS,GBP,6.83495e-05
2021-04-27,UZS,GBP,6.82174e-05
2021-04-28,UZS,GBP,6.82784e-05
2021-04-29,UZS,GBP,6.82875e-05
2021-04-30,UZS,GBP,6.8441e-05
2021-05-01,UZS,GBP,6.86508e-05
2021-05-02,UZS,GBP,6.86504e-05
2021-05-03,UZS,GBP,6.83858e-05
2021-05-04,UZS,GBP,6.84678e-05
2021-05-05,UZS,GBP,6.84259e-05
2021-05-06,UZS,GBP,6.84578e-05
2021-05-07,UZS,GBP,6.82386e-05
2021-05-08,UZS,GBP,6.79991e-05
2021-05-09,UZS,GBP,6.79791e-05
2021-05-10,UZS,GBP,6.77116e-05
2021-05-11,UZS,GBP,6.70645e-05
2021-05-12,UZS,GBP,6.7208e-05
2021-05-13,UZS,GBP,6.73884e-05
2021-05-14,UZS,GBP,6.7356e-05
2021-05-15,UZS,GBP,6.72416e-05
2021-05-16,UZS,GBP,6.72396e-05
2021-05-17,UZS,GBP,6.7171e-05
2021-05-18,UZS,GBP,6.67026e-05
2021-05-19,UZS,GBP,6.6797e-05
2021-05-20,UZS,GBP,6.68444e-05
2021-05-21,UZS,GBP,6.66535e-05
2021-05-22,UZS,GBP,6.67726e-05
2021-05-23,UZS,GBP,6.67735e-05
2021-05-24,UZS,GBP,6.66781e-05
2021-05-25,UZS,GBP,6.6741e-05
2021-05-26,UZS,GBP,6.67224e-05
2021-05-27,UZS,GBP,6.65414e-05
2021-05-28,UZS,GBP,6.65261e-05
2021-05-29,UZS,GBP,6.65154e-05
2021-05-30,UZS,GBP,6.65174e-05
2021-05-31,UZS,GBP,6.66576e-05
2021-06-01,UZS,GBP,6.6763e-05
2021-06-02,UZS,GBP,6.688e-05
2021-06-03,UZS,GBP,6.71176e-05
2021-06-04,UZS,GBP,6.6953e-05
