date,base,quote,rate
2021-01-28,UZS,HKD,0.000740062
2021-01-29,UZS,HKD,0.000740568
2021-01-30,UZS,HKD,0.000736837
2021-01-31,UZS,HKD,0.000736836
2021-02-01,UZS,HKD,0.000738544
2021-02-02,UZS,HKD,0.00073664
2021-02-03,UZS,HKD,0.000738116
2021-02-04,UZS,HKD,0.000736633
2021-02-05,UZS,HKD,0.000737384
2021-02-06,UZS,HKD,0.000735656
2021-02-07,UZS,HKD,0.000735654
2021-02-08,UZS,HKD,0.000737286
2021-02-09,UZS,HKD,0.000737288
2021-02-10,UZS,HKD,0.000738456
2021-02-11,UZS,HKD,0.00073601
2021-02-12,UZS,HKD,0.000735924
2021-02-13,UZS,HKD,0.000735646
2021-02-14,UZS,HKD,0.000735646
2021-02-15,UZS,HKD,0.000735846
2021-02-16,UZS,HKD,0.000735828
2021-02-17,UZS,HKD,0.000734458
2021-02-18,UZS,HKD,0.000736614
2021-02-19,UZS,HKD,0.000737302
2021-02-20,UZS,HKD,0.000736224
2021-02-21,UZS,HKD,0.000736224
2021-02-22,UZS,HKD,0.000735382
2021-02-23,UZS,HKD,0.000736172
2021-02-24,UZS,HKD,0.000735347
2021-02-25,UZS,HKD,0.000735366
2021-02-26,UZS,HKD,0.000736646
2021-02-27,UZS,HKD,0.000737134
2021-02-28,UZS,HKD,0.000737135
2021-03-01,UZS,HKD,0.00073673
2021-03-02,UZS,HKD,0.000737852
2021-03-03,UZS,HKD,0.000740784
2021-03-04,UZS,HKD,0.00074098
2021-03-05,UZS,HKD,0.00074032
2021-03-06,UZS,HKD,0.000740128
2021-03-07,UZS,HKD,0.000740134
2021-03-08,UZS,HKD,0.000741647
2021-03-09,UZS,HKD,0.0007395
2021-03-10,UZS,HKD,0.000738825
2021-03-11,UZS,HKD,0.000739192
2021-03-12,UZS,HKD,0.000739172
2021-03-13,UZS,HKD,0.000739503
2021-03-14,UZS,HKD,0.000739508
2021-03-15,UZS,HKD,0.00073926
2021-03-16,UZS,HKD,0.000738224
2021-03-17,UZS,HKD,0.000737242
2021-03-18,UZS,HKD,0.000737836
2021-03-19,UZS,HKD,0.00073816
2021-03-20,UZS,HKD,0.000739592
2021-03-21,UZS,HKD,0.000739573
2021-03-22,UZS,HKD,0.000739235
2021-03-23,UZS,HKD,0.000740083
2021-03-24,UZS,HKD,0.000738958
2021-03-25,UZS,HKD,0.000738934
2021-03-26,UZS,HKD,0.000739602
2021-03-27,UZS,HKD,0.000739216
2021-03-28,UZS,HKD,0.000739219
2021-03-29,UZS,HKD,0.000741147
2021-03-30,UZS,HKD,0.000741474
2021-03-31,UZS,HKD,0.000741338
2021-04-01,UZS,HKD,0.000741302
