date,base,quote,rate
2025-08-05,UZS,INR,0.0069295
2025-08-06,UZS,INR,0.00697628
2025-08-07,UZS,INR,0.00700394
2025-08-08,UZS,INR,0.00697649
2025-08-09,UZS,INR,0.00696933
2025-08-10,UZS,INR,0.00696861
2025-08-11,UZS,INR,0.00694417
2025-08-12,UZS,INR,0.00693704
2025-08-13,UZS,INR,0.00698352
2025-08-14,UZS,INR,0.00698626
2025-08-15,UZS,INR,0.00696048
2025-08-16,UZS,INR,0.0069732
2025-08-17,UZS,INR,0.00697335
2025-08-18,UZS,INR,0.00696246
2025-08-19,UZS,INR,0.00695905
2025-08-20,UZS,INR,0.00695367
2025-08-21,UZS,INR,0.00698177
2025-08-22,UZS,INR,0.0070181
2025-08-23,UZS,INR,0.0070396
2025-08-24,UZS,INR,0.00703972
2025-08-25,UZS,INR,0.00708894
2025-08-26,UZS,INR,0.00709208
2025-08-27,UZS,INR,0.00710326
2025-08-28,UZS,INR,0.00704588
2025-08-29,UZS,INR,0.00707251
2025-08-30,UZS,INR,0.00706735
2025-08-31,UZS,INR,0.00706756
2025-09-01,UZS,INR,0.0070757
2025-09-02,UZS,INR,0.0070657
2025-09-03,UZS,INR,0.00708811
2025-09-04,UZS,INR,0.00710841
2025-09-05,UZS,INR,0.0071059
2025-09-06,UZS,INR,0.00709144
2025-09-07,UZS,INR,0.00709154
2025-09-08,UZS,INR,0.00706818
2025-09-09,UZS,INR,0.00708877
2025-09-10,UZS,INR,0.00709108
2025-09-11,UZS,INR,0.00713065
2025-09-12,UZS,INR,0.00712776
2025-09-13,UZS,INR,0.00709928
2025-09-14,UZS,INR,0.0070985
2025-09-15,UZS,INR,0.00709518
2025-09-16,UZS,INR,0.00712067
2025-09-17,UZS,INR,0.00714709
2025-09-18,UZS,INR,0.00716477
2025-09-19,UZS,INR,0.00714986
2025-09-20,UZS,INR,0.00715192
2025-09-21,UZS,INR,0.0071519
2025-09-22,UZS,INR,0.00716082
2025-09-23,UZS,INR,0.00723554
2025-09-24,UZS,INR,0.00727464
2025-09-25,UZS,INR,0.00727136
2025-09-26,UZS,INR,0.00725176
2025-09-27,UZS,INR,0.0072924
2025-09-28,UZS,INR,0.00729232
2025-09-29,UZS,INR,0.00730983
2025-09-30,UZS,INR,0.00732906
2025-10-01,UZS,INR,0.00732763
2025-10-02,UZS,INR,0.00733252
2025-10-03,UZS,INR,0.00733024
2025-10-04,UZS,INR,0.00732766
2025-10-05,UZS,INR,0.00732754
2025-10-06,UZS,INR,0.00734034
2025-10-07,UZS,INR,0.00736688
2025-10-08,UZS,INR,0.0073677
2025-10-09,UZS,INR,0.00735518
2025-10-10,UZS,INR,0.00732088
2025-10-11,UZS,INR,0.00734498
2025-10-12,UZS,INR,0.00734517
2025-10-13,UZS,INR,0.00732292
2025-10-14,UZS,INR,0.00729807
2025-10-15,UZS,INR,0.00725312
2025-10-16,UZS,INR,0.00719105
2025-10-17,UZS,INR,0.00722218
2025-10-18,UZS,INR,0.00721629
2025-10-19,UZS,INR,0.00721616
2025-10-20,UZS,INR,0.00723496
2025-10-21,UZS,INR,0.00727207
2025-10-22,UZS,INR,0.00729238
2025-10-23,UZS,INR,0.00728619
2025-10-24,UZS,INR,0.00725319
2025-10-25,UZS,INR,0.00724004
2025-10-26,UZS,INR,0.00724082
2025-10-27,UZS,INR,0.00728412
2025-10-28,UZS,INR,0.00732165
2025-10-29,UZS,INR,0.00733696
2025-10-30,UZS,INR,0.0073771
2025-10-31,UZS,INR,0.00738163
2025-11-01,UZS,INR,0.00738104
2025-11-02,UZS,INR,0.00738112
2025-11-03,UZS,INR,0.00738866
2025-11-04,UZS,INR,0.0074046
2025-11-05,UZS,INR,0.00739877
2025-11-06,UZS,INR,0.00739746
2025-11-07,UZS,INR,0.00738486
2025-11-08,UZS,INR,0.00735458
2025-11-09,UZS,INR,0.00735458
2025-11-10,UZS,INR,0.0073701
2025-11-11,UZS,INR,0.00737735
2025-11-12,UZS,INR,0.00739236
2025-11-13,UZS,INR,0.00739771
2025-11-14,UZS,INR,0.00738034
2025-11-15,UZS,INR,0.00735976
2025-11-16,UZS,INR,0.00735958
2025-11-17,UZS,INR,0.00735962
2025-11-18,UZS,INR,0.00736997
2025-11-19,UZS,INR,0.00739124
2025-11-20,UZS,INR,0.00741506
2025-11-21,UZS,INR,0.00748409
2025-11-22,UZS,INR,0.0075001
2025-11-23,UZS,INR,0.00749998
2025-11-24,UZS,INR,0.00744672
2025-11-25,UZS,INR,0.00742769
2025-11-26,UZS,INR,0.00747911
2025-11-27,UZS,INR,0.00750402
2025-11-28,UZS,INR,0.00750682
2025-11-29,UZS,INR,0.00748034
2025-11-30,UZS,INR,0.00748008
2025-12-01,UZS,INR,0.00752371
2025-12-02,UZS,INR,0.00753218
2025-12-03,UZS,INR,0.00754968
2025-12-04,UZS,INR,0.00755672
2025-12-05,UZS,INR,0.00752078
2025-12-06,UZS,INR,0.00749343
2025-12-07,UZS,INR,0.00749314
2025-12-08,UZS,INR,0.00752154
2025-12-09,UZS,INR,0.00749347
2025-12-10,UZS,INR,0.00748606
2025-12-11,UZS,INR,0.00752857
2025-12-12,UZS,INR,0.00752559
2025-12-13,UZS,INR,0.00754468
2025-12-14,UZS,INR,0.00754414
2025-12-15,UZS,INR,0.0075145
2025-12-16,UZS,INR,0.00750621
2025-12-17,UZS,INR,0.00746646
2025-12-18,UZS,INR,0.00748358
2025-12-19,UZS,INR,0.00746383
2025-12-20,UZS,INR,0.0074547
2025-12-21,UZS,INR,0.0074547
2025-12-22,UZS,INR,0.00746336
2025-12-23,UZS,INR,0.00746568
2025-12-24,UZS,INR,0.00744798
2025-12-25,UZS,INR,0.00745433
2025-12-26,UZS,INR,0.00745358
2025-12-27,UZS,INR,0.00745133
2025-12-28,UZS,INR,0.00745138
2025-12-29,UZS,INR,0.00745842
2025-12-30,UZS,INR,0.0074612
2025-12-31,UZS,INR,0.0074705
2026-01-01,UZS,INR,0.00749124
2026-01-02,UZS,INR,0.0074998
2026-01-03,UZS,INR,0.00748564
2026-01-04,UZS,INR,0.0074858
2026-01-05,UZS,INR,0.00751025
2026-01-06,UZS,INR,0.00753892
2026-01-07,UZS,INR,0.00750886
2026-01-08,UZS,INR,0.00749051
2026-01-09,UZS,INR,0.00745928
2026-01-10,UZS,INR,0.00744087
2026-01-11,UZS,INR,0.00744086
2026-01-12,UZS,INR,0.00744394
2026-01-13,UZS,INR,0.00744522
2026-01-14,UZS,INR,0.00746956
