date,base,quote,rate
2025-08-05,UZS,KZT,0.0424984
2025-08-06,UZS,KZT,0.0427357
2025-08-07,UZS,KZT,0.043034
2025-08-08,UZS,KZT,0.0430006
2025-08-09,UZS,KZT,0.042941
2025-08-10,UZS,KZT,0.0429411
2025-08-11,UZS,KZT,0.0429892
2025-08-12,UZS,KZT,0.0429317
2025-08-13,UZS,KZT,0.0430317
2025-08-14,UZS,KZT,0.04298
2025-08-15,UZS,KZT,0.0429728
2025-08-16,UZS,KZT,0.0431214
2025-08-17,UZS,KZT,0.0431218
2025-08-18,UZS,KZT,0.043007
2025-08-19,UZS,KZT,0.0430247
2025-08-20,UZS,KZT,0.0430026
2025-08-21,UZS,KZT,0.0430614
2025-08-22,UZS,KZT,0.0431977
2025-08-23,UZS,KZT,0.0433104
2025-08-24,UZS,KZT,0.0433106
2025-08-25,UZS,KZT,0.0433198
2025-08-26,UZS,KZT,0.043328
2025-08-27,UZS,KZT,0.0435264
2025-08-28,UZS,KZT,0.0432874
2025-08-29,UZS,KZT,0.0432442
2025-08-30,UZS,KZT,0.04318
2025-08-31,UZS,KZT,0.0431798
2025-09-01,UZS,KZT,0.0432154
2025-09-02,UZS,KZT,0.043291
2025-09-03,UZS,KZT,0.0434577
2025-09-04,UZS,KZT,0.043535
2025-09-05,UZS,KZT,0.0433652
2025-09-06,UZS,KZT,0.04318
2025-09-07,UZS,KZT,0.04318
2025-09-08,UZS,KZT,0.0429717
2025-09-09,UZS,KZT,0.043084
2025-09-10,UZS,KZT,0.0433423
2025-09-11,UZS,KZT,0.0435388
2025-09-12,UZS,KZT,0.043567
2025-09-13,UZS,KZT,0.0434966
2025-09-14,UZS,KZT,0.0434917
2025-09-15,UZS,KZT,0.0435074
2025-09-16,UZS,KZT,0.0437277
2025-09-17,UZS,KZT,0.0439884
2025-09-18,UZS,KZT,0.0440326
2025-09-19,UZS,KZT,0.0439298
2025-09-20,UZS,KZT,0.0439515
2025-09-21,UZS,KZT,0.0439515
2025-09-22,UZS,KZT,0.0440683
2025-09-23,UZS,KZT,0.0444182
2025-09-24,UZS,KZT,0.0445198
2025-09-25,UZS,KZT,0.0444488
2025-09-26,UZS,KZT,0.0445223
2025-09-27,UZS,KZT,0.0447248
2025-09-28,UZS,KZT,0.044725
2025-09-29,UZS,KZT,0.0450358
2025-09-30,UZS,KZT,0.0453096
2025-10-01,UZS,KZT,0.0453094
2025-10-02,UZS,KZT,0.0452281
2025-10-03,UZS,KZT,0.0452001
2025-10-04,UZS,KZT,0.0451996
2025-10-05,UZS,KZT,0.0451996
2025-10-06,UZS,KZT,0.045123
2025-10-07,UZS,KZT,0.0449693
2025-10-08,UZS,KZT,0.0448728
2025-10-09,UZS,KZT,0.0448513
2025-10-10,UZS,KZT,0.0445391
2025-10-11,UZS,KZT,0.0444198
2025-10-12,UZS,KZT,0.0444246
2025-10-13,UZS,KZT,0.0443609
2025-10-14,UZS,KZT,0.0443101
2025-10-15,UZS,KZT,0.0443051
2025-10-16,UZS,KZT,0.0439754
2025-10-17,UZS,KZT,0.0440798
2025-10-18,UZS,KZT,0.0442375
2025-10-19,UZS,KZT,0.0442376
2025-10-20,UZS,KZT,0.0443182
2025-10-21,UZS,KZT,0.0445071
2025-10-22,UZS,KZT,0.0447603
2025-10-23,UZS,KZT,0.0446232
2025-10-24,UZS,KZT,0.0444283
2025-10-25,UZS,KZT,0.0443616
2025-10-26,UZS,KZT,0.0443632
2025-10-27,UZS,KZT,0.0444352
2025-10-28,UZS,KZT,0.0444061
2025-10-29,UZS,KZT,0.0441058
2025-10-30,UZS,KZT,0.044127
2025-10-31,UZS,KZT,0.044128
2025-11-01,UZS,KZT,0.0440558
2025-11-02,UZS,KZT,0.0440514
2025-11-03,UZS,KZT,0.04391
2025-11-04,UZS,KZT,0.0437968
2025-11-05,UZS,KZT,0.0437966
2025-11-06,UZS,KZT,0.0438924
2025-11-07,UZS,KZT,0.0437477
2025-11-08,UZS,KZT,0.043539
2025-11-09,UZS,KZT,0.0435384
2025-11-10,UZS,KZT,0.0435446
2025-11-11,UZS,KZT,0.0437034
2025-11-12,UZS,KZT,0.043787
2025-11-13,UZS,KZT,0.0436831
2025-11-14,UZS,KZT,0.0435521
