date,base,quote,rate
2021-01-28,UZS,USD,9.54576e-05
2021-01-29,UZS,USD,9.55198e-05
2021-01-30,UZS,USD,9.50364e-05
2021-01-31,UZS,USD,9.50364e-05
2021-02-01,UZS,USD,9.52598e-05
2021-02-02,UZS,USD,9.50242e-05
2021-02-03,UZS,USD,9.52237e-05
2021-02-04,UZS,USD,9.50208e-05
2021-02-05,UZS,USD,9.51136e-05
2021-02-06,UZS,USD,9.48852e-05
2021-02-07,UZS,USD,9.48852e-05
2021-02-08,UZS,USD,9.51032e-05
2021-02-09,UZS,USD,9.51106e-05
2021-02-10,UZS,USD,9.52564e-05
2021-02-11,UZS,USD,9.49358e-05
2021-02-12,UZS,USD,9.49225e-05
2021-02-13,UZS,USD,9.48852e-05
2021-02-14,UZS,USD,9.48852e-05
2021-02-15,UZS,USD,9.49144e-05
2021-02-16,UZS,USD,9.49154e-05
2021-02-17,UZS,USD,9.47374e-05
2021-02-18,UZS,USD,9.50144e-05
2021-02-19,UZS,USD,9.5097e-05
2021-02-20,UZS,USD,9.49573e-05
2021-02-21,UZS,USD,9.49573e-05
2021-02-22,UZS,USD,9.48461e-05
2021-02-23,UZS,USD,9.49461e-05
2021-02-24,UZS,USD,9.48279e-05
2021-02-25,UZS,USD,9.48364e-05
2021-02-26,UZS,USD,9.4977e-05
2021-02-27,UZS,USD,9.50356e-05
2021-02-28,UZS,USD,9.50356e-05
2021-03-01,UZS,USD,9.4978e-05
2021-03-02,UZS,USD,9.51158e-05
2021-03-03,UZS,USD,9.54986e-05
2021-03-04,UZS,USD,9.5507e-05
2021-03-05,UZS,USD,9.53688e-05
2021-03-06,UZS,USD,9.53376e-05
2021-03-07,UZS,USD,9.53376e-05
2021-03-08,UZS,USD,9.54773e-05
2021-03-09,UZS,USD,9.52462e-05
2021-03-10,UZS,USD,9.51838e-05
2021-03-11,UZS,USD,9.52602e-05
2021-03-12,UZS,USD,9.52232e-05
2021-03-13,UZS,USD,9.52605e-05
2021-03-14,UZS,USD,9.52605e-05
2021-03-15,UZS,USD,9.52112e-05
2021-03-16,UZS,USD,9.50658e-05
2021-03-17,UZS,USD,9.49334e-05
2021-03-18,UZS,USD,9.50237e-05
2021-03-19,UZS,USD,9.50526e-05
2021-03-20,UZS,USD,9.52467e-05
2021-03-21,UZS,USD,9.52436e-05
2021-03-22,UZS,USD,9.51903e-05
2021-03-23,UZS,USD,9.52862e-05
2021-03-24,UZS,USD,9.51238e-05
2021-03-25,UZS,USD,9.51136e-05
2021-03-26,UZS,USD,9.51986e-05
2021-03-27,UZS,USD,9.51488e-05
2021-03-28,UZS,USD,9.51488e-05
2021-03-29,UZS,USD,9.53524e-05
2021-03-30,UZS,USD,9.53715e-05
2021-03-31,UZS,USD,9.53562e-05
2021-04-01,UZS,USD,9.534e-05
2021-04-02,UZS,USD,9.55386e-05
