date,base,quote,rate
2021-01-28,XBT,AED,116766.0
2021-01-29,XBT,AED,128784.0
2021-01-30,XBT,AED,127108.0
2021-01-31,XBT,AED,126886.0
2021-02-01,XBT,AED,123820.0
2021-02-02,XBT,AED,127526.0
2021-02-03,XBT,AED,133326.0
2021-02-04,XBT,AED,137888.0
2021-02-05,XBT,AED,138209.0
2021-02-06,XBT,AED,139104.0
2021-02-07,XBT,AED,139278.0
2021-02-08,XBT,AED,151328.0
2021-02-09,XBT,AED,171512.0
2021-02-10,XBT,AED,168271.0
2021-02-11,XBT,AED,169985.0
2021-02-12,XBT,AED,174968.0
2021-02-13,XBT,AED,176163.0
2021-02-14,XBT,AED,176307.0
2021-02-15,XBT,AED,175878.0
2021-02-16,XBT,AED,179478.0
2021-02-17,XBT,AED,187039.0
2021-02-18,XBT,AED,190676.0
2021-02-19,XBT,AED,195036.0
2021-02-20,XBT,AED,204381.0
2021-02-21,XBT,AED,204663.0
2021-02-22,XBT,AED,201009.0
2021-02-23,XBT,AED,179906.0
2021-02-24,XBT,AED,182967.0
2021-02-25,XBT,AED,183603.0
2021-02-26,XBT,AED,171328.0
2021-02-27,XBT,AED,167792.0
2021-02-28,XBT,AED,167769.0
2021-03-01,XBT,AED,175008.0
2021-03-02,XBT,AED,178615.0
2021-03-03,XBT,AED,185246.0
2021-03-04,XBT,AED,181481.0
2021-03-05,XBT,AED,175294.0
2021-03-06,XBT,AED,180160.0
2021-03-07,XBT,AED,180457.0
2021-03-08,XBT,AED,186591.0
2021-03-09,XBT,AED,198269.0
2021-03-10,XBT,AED,203406.0
2021-03-11,XBT,AED,206718.0
2021-03-12,XBT,AED,208654.0
2021-03-13,XBT,AED,209216.0
2021-03-14,XBT,AED,210180.0
2021-03-15,XBT,AED,211250.0
2021-03-16,XBT,AED,203306.0
2021-03-17,XBT,AED,206311.0
2021-03-18,XBT,AED,214801.0
2021-03-19,XBT,AED,214092.0
2021-03-20,XBT,AED,214562.0
2021-03-21,XBT,AED,214334.0
2021-03-22,XBT,AED,208630.0
2021-03-23,XBT,AED,200965.0
2021-03-24,XBT,AED,203650.0
2021-03-25,XBT,AED,191460.0
2021-03-26,XBT,AED,195322.0
2021-03-27,XBT,AED,198396.0
2021-03-28,XBT,AED,198855.0
2021-03-29,XBT,AED,209062.0
2021-03-30,XBT,AED,214334.0
2021-03-31,XBT,AED,215679.0
2021-04-01,XBT,AED,216282.0
2021-04-02,XBT,AED,217635.0
2021-04-03,XBT,AED,215550.0
2021-04-04,XBT,AED,215386.0
2021-04-05,XBT,AED,213420.0
2021-04-06,XBT,AED,214761.0
2021-04-07,XBT,AED,209340.0
2021-04-08,XBT,AED,210090.0
2021-04-09,XBT,AED,213878.0
2021-04-10,XBT,AED,214225.0
2021-04-11,XBT,AED,214690.0
2021-04-12,XBT,AED,220734.0
2021-04-13,XBT,AED,228392.0
2021-04-14,XBT,AED,233052.0
2021-04-15,XBT,AED,231127.0
2021-04-16,XBT,AED,226953.0
2021-04-17,XBT,AED,227766.0
2021-04-18,XBT,AED,226084.0
2021-04-19,XBT,AED,207242.0
2021-04-20,XBT,AED,203997.0
2021-04-21,XBT,AED,204052.0
2021-04-22,XBT,AED,197608.0
2021-04-23,XBT,AED,183191.0
2021-04-24,XBT,AED,185744.0
2021-04-25,XBT,AED,185121.0
2021-04-26,XBT,AED,194812.0
2021-04-27,XBT,AED,200572.0
2021-04-28,XBT,AED,201292.0
2021-04-29,XBT,AED,197970.0
2021-04-30,XBT,AED,202966.0
2021-05-01,XBT,AED,208925.0
2021-05-02,XBT,AED,208816.0
2021-05-03,XBT,AED,212772.0
2021-05-04,XBT,AED,203127.0
2021-05-05,XBT,AED,205260.0
2021-05-06,XBT,AED,209310.0
2021-05-07,XBT,AED,208935.0
2021-05-08,XBT,AED,211928.0
2021-05-09,XBT,AED,212086.0
2021-05-10,XBT,AED,212186.0
2021-05-11,XBT,AED,205258.0
2021-05-12,XBT,AED,205429.0
2021-05-13,XBT,AED,182592.0
2021-05-14,XBT,AED,183148.0
2021-05-15,XBT,AED,180666.0
2021-05-16,XBT,AED,179632.0
2021-05-17,XBT,AED,162714.0
2021-05-18,XBT,AED,162304.0
2021-05-19,XBT,AED,143832.0
2021-05-20,XBT,AED,146435.0
2021-05-21,XBT,AED,143133.0
2021-05-22,XBT,AED,129628.0
2021-05-23,XBT,AED,129384.0
2021-05-24,XBT,AED,135990.0
2021-05-25,XBT,AED,139862.0
2021-05-26,XBT,AED,144220.0
2021-05-27,XBT,AED,142562.0
2021-05-28,XBT,AED,134490.0
2021-05-29,XBT,AED,129324.0
2021-05-30,XBT,AED,129496.0
2021-05-31,XBT,AED,132812.0
2021-06-01,XBT,AED,134362.0
2021-06-02,XBT,AED,136881.0
2021-06-03,XBT,AED,141544.0
2021-06-04,XBT,AED,136236.0
2021-06-05,XBT,AED,136066.0
2021-06-06,XBT,AED,135634.0
2021-06-07,XBT,AED,131820.0
2021-06-08,XBT,AED,120791.0
2021-06-09,XBT,AED,127955.0
2021-06-10,XBT,AED,135922.0
2021-06-11,XBT,AED,135904.0
2021-06-12,XBT,AED,136480.0
2021-06-13,XBT,AED,137006.0
2021-06-14,XBT,AED,145733.0
2021-06-15,XBT,AED,147722.0
2021-06-16,XBT,AED,144778.0
2021-06-17,XBT,AED,141800.0
2021-06-18,XBT,AED,135867.0
2021-06-19,XBT,AED,130431.0
2021-06-20,XBT,AED,130461.0
2021-06-21,XBT,AED,121724.0
2021-06-22,XBT,AED,117551.0
2021-06-23,XBT,AED,123976.0
2021-06-24,XBT,AED,123978.0
2021-06-25,XBT,AED,122802.0
2021-06-26,XBT,AED,118404.0
2021-06-27,XBT,AED,119006.0
2021-06-28,XBT,AED,126620.0
