date,base,quote,rate
2021-01-28,XBT,CHF,28265.0
2021-01-29,XBT,CHF,31191.0
2021-01-30,XBT,CHF,30821.2
2021-01-31,XBT,CHF,30768.7
2021-02-01,XBT,CHF,30149.4
2021-02-02,XBT,CHF,31157.6
2021-02-03,XBT,CHF,32618.8
2021-02-04,XBT,CHF,33859.4
2021-02-05,XBT,CHF,33937.2
2021-02-06,XBT,CHF,34048.2
2021-02-07,XBT,CHF,34091.2
2021-02-08,XBT,CHF,37065.5
2021-02-09,XBT,CHF,41768.7
2021-02-10,XBT,CHF,40814.4
2021-02-11,XBT,CHF,41197.0
2021-02-12,XBT,CHF,42468.0
2021-02-13,XBT,CHF,42776.7
2021-02-14,XBT,CHF,42811.0
2021-02-15,XBT,CHF,42649.1
2021-02-16,XBT,CHF,43503.0
2021-02-17,XBT,CHF,45629.8
2021-02-18,XBT,CHF,46584.2
2021-02-19,XBT,CHF,47559.8
2021-02-20,XBT,CHF,49876.4
2021-02-21,XBT,CHF,49946.3
2021-02-22,XBT,CHF,49100.1
2021-02-23,XBT,CHF,44079.1
2021-02-24,XBT,CHF,45176.9
2021-02-25,XBT,CHF,45267.6
2021-02-26,XBT,CHF,42287.2
2021-02-27,XBT,CHF,41508.6
2021-02-28,XBT,CHF,41501.0
2021-03-01,XBT,CHF,43453.0
2021-03-02,XBT,CHF,44542.6
2021-03-03,XBT,CHF,46249.4
2021-03-04,XBT,CHF,45644.0
2021-03-05,XBT,CHF,44361.8
2021-03-06,XBT,CHF,45643.6
2021-03-07,XBT,CHF,45718.6
2021-03-08,XBT,CHF,47427.9
2021-03-09,XBT,CHF,50316.5
2021-03-10,XBT,CHF,51501.0
2021-03-11,XBT,CHF,52159.8
2021-03-12,XBT,CHF,52753.4
2021-03-13,XBT,CHF,52943.4
2021-03-14,XBT,CHF,53185.4
2021-03-15,XBT,CHF,53421.0
2021-03-16,XBT,CHF,51263.5
2021-03-17,XBT,CHF,51997.0
2021-03-18,XBT,CHF,54160.2
2021-03-19,XBT,CHF,54124.8
2021-03-20,XBT,CHF,54277.0
2021-03-21,XBT,CHF,54222.0
2021-03-22,XBT,CHF,52614.5
2021-03-23,XBT,CHF,50857.0
2021-03-24,XBT,CHF,51853.4
2021-03-25,XBT,CHF,48854.6
2021-03-26,XBT,CHF,49979.5
2021-03-27,XBT,CHF,50722.8
2021-03-28,XBT,CHF,50840.6
2021-03-29,XBT,CHF,53449.2
2021-03-30,XBT,CHF,54933.6
2021-03-31,XBT,CHF,55387.2
2021-04-01,XBT,CHF,55580.2
2021-04-02,XBT,CHF,55813.2
2021-04-03,XBT,CHF,55332.8
2021-04-04,XBT,CHF,55289.6
2021-04-05,XBT,CHF,54611.2
2021-04-06,XBT,CHF,54677.4
2021-04-07,XBT,CHF,52980.0
2021-04-08,XBT,CHF,53011.9
2021-04-09,XBT,CHF,53868.8
2021-04-10,XBT,CHF,53919.7
2021-04-11,XBT,CHF,54042.0
2021-04-12,XBT,CHF,55527.0
2021-04-13,XBT,CHF,57380.6
2021-04-14,XBT,CHF,58468.4
2021-04-15,XBT,CHF,58057.0
2021-04-16,XBT,CHF,56874.5
2021-04-17,XBT,CHF,57046.0
2021-04-18,XBT,CHF,56627.0
2021-04-19,XBT,CHF,51723.6
2021-04-20,XBT,CHF,50831.8
2021-04-21,XBT,CHF,50940.8
2021-04-22,XBT,CHF,49318.0
2021-04-23,XBT,CHF,45652.1
2021-04-24,XBT,CHF,46204.6
2021-04-25,XBT,CHF,46049.6
2021-04-26,XBT,CHF,48479.0
2021-04-27,XBT,CHF,49940.6
2021-04-28,XBT,CHF,50067.6
2021-04-29,XBT,CHF,49015.4
2021-04-30,XBT,CHF,50322.1
2021-05-01,XBT,CHF,51936.2
2021-05-02,XBT,CHF,51908.0
2021-05-03,XBT,CHF,52853.8
2021-05-04,XBT,CHF,50525.2
2021-05-05,XBT,CHF,51055.9
2021-05-06,XBT,CHF,51872.4
2021-05-07,XBT,CHF,51467.7
2021-05-08,XBT,CHF,51957.8
2021-05-09,XBT,CHF,51997.2
2021-05-10,XBT,CHF,52022.8
2021-05-11,XBT,CHF,50415.0
2021-05-12,XBT,CHF,50693.8
2021-05-13,XBT,CHF,45099.2
2021-05-14,XBT,CHF,45050.0
2021-05-15,XBT,CHF,44343.7
2021-05-16,XBT,CHF,44090.6
2021-05-17,XBT,CHF,39958.8
2021-05-18,XBT,CHF,39717.0
2021-05-19,XBT,CHF,35263.4
2021-05-20,XBT,CHF,35909.0
2021-05-21,XBT,CHF,34974.6
2021-05-22,XBT,CHF,31686.8
2021-05-23,XBT,CHF,31627.3
2021-05-24,XBT,CHF,33222.4
2021-05-25,XBT,CHF,34103.8
2021-05-26,XBT,CHF,35186.6
2021-05-27,XBT,CHF,34843.0
2021-05-28,XBT,CHF,32923.6
2021-05-29,XBT,CHF,31683.5
2021-05-30,XBT,CHF,31724.9
2021-05-31,XBT,CHF,32522.0
2021-06-01,XBT,CHF,32841.7
2021-06-02,XBT,CHF,33485.6
2021-06-03,XBT,CHF,34733.2
2021-06-04,XBT,CHF,33451.3
2021-06-05,XBT,CHF,33306.8
2021-06-06,XBT,CHF,33202.4
2021-06-07,XBT,CHF,32246.8
2021-06-08,XBT,CHF,29499.2
2021-06-09,XBT,CHF,31211.0
2021-06-10,XBT,CHF,33141.4
2021-06-11,XBT,CHF,33172.4
2021-06-12,XBT,CHF,33363.6
2021-06-13,XBT,CHF,33493.4
2021-06-14,XBT,CHF,35671.8
2021-06-15,XBT,CHF,36146.6
2021-06-16,XBT,CHF,35515.0
2021-06-17,XBT,CHF,35278.5
2021-06-18,XBT,CHF,34030.7
2021-06-19,XBT,CHF,32765.8
2021-06-20,XBT,CHF,32771.8
2021-06-21,XBT,CHF,30499.2
2021-06-22,XBT,CHF,29420.2
2021-06-23,XBT,CHF,30994.6
2021-06-24,XBT,CHF,31005.4
2021-06-25,XBT,CHF,30663.2
2021-06-26,XBT,CHF,29561.4
2021-06-27,XBT,CHF,29712.6
2021-06-28,XBT,CHF,31677.4
2021-06-29,XBT,CHF,32738.8
2021-06-30,XBT,CHF,32251.9
2021-07-01,XBT,CHF,31214.6
2021-07-02,XBT,CHF,30717.0
2021-07-03,XBT,CHF,30516.0
2021-07-04,XBT,CHF,30605.0
2021-07-05,XBT,CHF,31436.3
2021-07-06,XBT,CHF,31528.0
2021-07-07,XBT,CHF,31949.7
2021-07-08,XBT,CHF,30234.7
2021-07-09,XBT,CHF,30317.4
2021-07-10,XBT,CHF,30630.8
2021-07-11,XBT,CHF,30696.6
2021-07-12,XBT,CHF,30829.7
2021-07-13,XBT,CHF,30109.8
2021-07-14,XBT,CHF,29788.3
2021-07-15,XBT,CHF,29402.6
2021-07-16,XBT,CHF,29202.6
2021-07-17,XBT,CHF,29272.8
2021-07-18,XBT,CHF,29256.8
2021-07-19,XBT,CHF,28654.4
2021-07-20,XBT,CHF,27449.1
2021-07-21,XBT,CHF,28700.2
2021-07-22,XBT,CHF,29507.4
2021-07-23,XBT,CHF,29841.8
2021-07-24,XBT,CHF,29881.2
2021-07-25,XBT,CHF,29904.4
2021-07-26,XBT,CHF,34945.2
2021-07-27,XBT,CHF,34499.3
2021-07-28,XBT,CHF,36430.8
2021-07-29,XBT,CHF,36182.1
2021-07-30,XBT,CHF,35841.2
2021-07-31,XBT,CHF,36827.2
2021-08-01,XBT,CHF,36804.5
2021-08-02,XBT,CHF,35856.8
2021-08-03,XBT,CHF,34780.0
2021-08-04,XBT,CHF,35031.7
2021-08-05,XBT,CHF,35748.6
2021-08-06,XBT,CHF,37681.8
2021-08-07,XBT,CHF,39107.8
2021-08-08,XBT,CHF,39223.8
2021-08-09,XBT,CHF,41197.0
2021-08-10,XBT,CHF,42027.8
2021-08-11,XBT,CHF,42510.4
2021-08-12,XBT,CHF,41446.0
2021-08-13,XBT,CHF,42490.2
2021-08-14,XBT,CHF,43579.0
2021-08-15,XBT,CHF,43544.6
2021-08-16,XBT,CHF,42873.0
2021-08-17,XBT,CHF,41974.6
2021-08-18,XBT,CHF,41331.0
2021-08-19,XBT,CHF,41517.8
2021-08-20,XBT,CHF,43775.2
2021-08-21,XBT,CHF,44629.0
2021-08-22,XBT,CHF,44667.4
2021-08-23,XBT,CHF,45637.4
2021-08-24,XBT,CHF,44639.6
2021-08-25,XBT,CHF,44116.0
2021-08-26,XBT,CHF,43399.2
2021-08-27,XBT,CHF,43677.2
2021-08-28,XBT,CHF,44567.6
2021-08-29,XBT,CHF,44595.1
2021-08-30,XBT,CHF,43984.0
2021-08-31,XBT,CHF,43282.8
2021-09-01,XBT,CHF,43697.2
2021-09-02,XBT,CHF,45455.6
2021-09-03,XBT,CHF,45633.4
2021-09-04,XBT,CHF,45821.6
2021-09-05,XBT,CHF,45943.6
2021-09-06,XBT,CHF,47403.5
