date,base,quote,rate
2021-01-28,XBT,EUR,26249.4
2021-01-29,XBT,EUR,28920.1
2021-01-30,XBT,EUR,28511.4
2021-01-31,XBT,EUR,28463.6
2021-02-01,XBT,EUR,27870.4
2021-02-02,XBT,EUR,28811.2
2021-02-03,XBT,EUR,30170.2
2021-02-04,XBT,EUR,31302.4
2021-02-05,XBT,EUR,31359.8
2021-02-06,XBT,EUR,31431.5
2021-02-07,XBT,EUR,31471.8
2021-02-08,XBT,EUR,34215.6
2021-02-09,XBT,EUR,38608.1
2021-02-10,XBT,EUR,37781.8
2021-02-11,XBT,EUR,38158.0
2021-02-12,XBT,EUR,39314.6
2021-02-13,XBT,EUR,39570.7
2021-02-14,XBT,EUR,39602.4
2021-02-15,XBT,EUR,39469.2
2021-02-16,XBT,EUR,40284.6
2021-02-17,XBT,EUR,42215.8
2021-02-18,XBT,EUR,43020.4
2021-02-19,XBT,EUR,43831.2
2021-02-20,XBT,EUR,45915.8
2021-02-21,XBT,EUR,45978.2
2021-02-22,XBT,EUR,45090.6
2021-02-23,XBT,EUR,40289.2
2021-02-24,XBT,EUR,40988.4
2021-02-25,XBT,EUR,40992.8
2021-02-26,XBT,EUR,38483.2
2021-02-27,XBT,EUR,37841.2
2021-02-28,XBT,EUR,37834.0
2021-03-01,XBT,EUR,39507.4
2021-03-02,XBT,EUR,40371.2
2021-03-03,XBT,EUR,41766.3
2021-03-04,XBT,EUR,41082.3
2021-03-05,XBT,EUR,39990.0
2021-03-06,XBT,EUR,41172.8
2021-03-07,XBT,EUR,41237.8
2021-03-08,XBT,EUR,42764.7
2021-03-09,XBT,EUR,45426.8
2021-03-10,XBT,EUR,46541.4
2021-03-11,XBT,EUR,47076.4
2021-03-12,XBT,EUR,47544.6
2021-03-13,XBT,EUR,47655.2
2021-03-14,XBT,EUR,47876.4
2021-03-15,XBT,EUR,48195.6
2021-03-16,XBT,EUR,46438.5
2021-03-17,XBT,EUR,47115.7
2021-03-18,XBT,EUR,48975.4
2021-03-19,XBT,EUR,48952.6
2021-03-20,XBT,EUR,49071.1
2021-03-21,XBT,EUR,49029.2
2021-03-22,XBT,EUR,47676.2
2021-03-23,XBT,EUR,46023.0
2021-03-24,XBT,EUR,46867.6
2021-03-25,XBT,EUR,44180.8
2021-03-26,XBT,EUR,45117.6
2021-03-27,XBT,EUR,45796.4
2021-03-28,XBT,EUR,45904.0
2021-03-29,XBT,EUR,48332.0
2021-03-30,XBT,EUR,49710.6
2021-03-31,XBT,EUR,50068.0
2021-04-01,XBT,EUR,50117.5
2021-04-02,XBT,EUR,50343.4
2021-04-03,XBT,EUR,49900.8
2021-04-04,XBT,EUR,49862.2
2021-04-05,XBT,EUR,49318.0
2021-04-06,XBT,EUR,49412.0
2021-04-07,XBT,EUR,47981.8
2021-04-08,XBT,EUR,48102.1
2021-04-09,XBT,EUR,48940.4
2021-04-10,XBT,EUR,49012.1
2021-04-11,XBT,EUR,49118.7
2021-04-12,XBT,EUR,50491.4
2021-04-13,XBT,EUR,52172.0
2021-04-14,XBT,EUR,53017.2
2021-04-15,XBT,EUR,52554.5
2021-04-16,XBT,EUR,51598.2
2021-04-17,XBT,EUR,51749.8
2021-04-18,XBT,EUR,51372.6
2021-04-19,XBT,EUR,46978.5
2021-04-20,XBT,EUR,46102.2
2021-04-21,XBT,EUR,46197.4
2021-04-22,XBT,EUR,44723.6
2021-04-23,XBT,EUR,41357.9
2021-04-24,XBT,EUR,41801.2
2021-04-25,XBT,EUR,41662.6
2021-04-26,XBT,EUR,43857.4
2021-04-27,XBT,EUR,45210.8
2021-04-28,XBT,EUR,45333.6
2021-04-29,XBT,EUR,44453.8
2021-04-30,XBT,EUR,45768.6
2021-05-01,XBT,EUR,47321.8
2021-05-02,XBT,EUR,47293.1
2021-05-03,XBT,EUR,48085.0
2021-05-04,XBT,EUR,45990.8
2021-05-05,XBT,EUR,46542.6
2021-05-06,XBT,EUR,47334.8
2021-05-07,XBT,EUR,46973.1
2021-05-08,XBT,EUR,47436.9
2021-05-09,XBT,EUR,47469.1
2021-05-10,XBT,EUR,47526.3
2021-05-11,XBT,EUR,45986.6
2021-05-12,XBT,EUR,46196.6
2021-05-13,XBT,EUR,41153.2
2021-05-14,XBT,EUR,41144.9
2021-05-15,XBT,EUR,40496.8
2021-05-16,XBT,EUR,40264.9
2021-05-17,XBT,EUR,36469.9
2021-05-18,XBT,EUR,36212.5
2021-05-19,XBT,EUR,32071.4
2021-05-20,XBT,EUR,32670.7
2021-05-21,XBT,EUR,31926.6
2021-05-22,XBT,EUR,28970.9
2021-05-23,XBT,EUR,28917.2
2021-05-24,XBT,EUR,30338.8
2021-05-25,XBT,EUR,31101.1
2021-05-26,XBT,EUR,32116.2
2021-05-27,XBT,EUR,31827.2
2021-05-28,XBT,EUR,30049.4
2021-05-29,XBT,EUR,28877.2
2021-05-30,XBT,EUR,28914.8
2021-05-31,XBT,EUR,29619.6
2021-06-01,XBT,EUR,29916.1
2021-06-02,XBT,EUR,30530.1
2021-06-03,XBT,EUR,31675.0
2021-06-04,XBT,EUR,30551.4
2021-06-05,XBT,EUR,30447.8
2021-06-06,XBT,EUR,30352.0
2021-06-07,XBT,EUR,29476.4
2021-06-08,XBT,EUR,27002.4
2021-06-09,XBT,EUR,28592.7
2021-06-10,XBT,EUR,30403.1
2021-06-11,XBT,EUR,30472.4
2021-06-12,XBT,EUR,30685.6
2021-06-13,XBT,EUR,30803.8
2021-06-14,XBT,EUR,32751.5
2021-06-15,XBT,EUR,33170.4
2021-06-16,XBT,EUR,32592.4
2021-06-17,XBT,EUR,32316.8
2021-06-18,XBT,EUR,31107.0
2021-06-19,XBT,EUR,29930.6
2021-06-20,XBT,EUR,29936.7
2021-06-21,XBT,EUR,27863.0
2021-06-22,XBT,EUR,26862.4
2021-06-23,XBT,EUR,28280.0
2021-06-24,XBT,EUR,28286.8
2021-06-25,XBT,EUR,27997.6
2021-06-26,XBT,EUR,27007.0
2021-06-27,XBT,EUR,27143.8
2021-06-28,XBT,EUR,28901.1
2021-06-29,XBT,EUR,29867.0
2021-06-30,XBT,EUR,29402.7
2021-07-01,XBT,EUR,28451.8
2021-07-02,XBT,EUR,28060.6
2021-07-03,XBT,EUR,27935.3
2021-07-04,XBT,EUR,28014.7
2021-07-05,XBT,EUR,28740.2
2021-07-06,XBT,EUR,28838.1
2021-07-07,XBT,EUR,29256.7
2021-07-08,XBT,EUR,27818.4
2021-07-09,XBT,EUR,27947.6
2021-07-10,XBT,EUR,28218.6
2021-07-11,XBT,EUR,28278.5
2021-07-12,XBT,EUR,28401.8
2021-07-13,XBT,EUR,27774.0
2021-07-14,XBT,EUR,27512.6
2021-07-15,XBT,EUR,27149.6
2021-07-16,XBT,EUR,26907.0
2021-07-17,XBT,EUR,26963.8
2021-07-18,XBT,EUR,26949.2
2021-07-19,XBT,EUR,26430.4
2021-07-20,XBT,EUR,25318.8
2021-07-21,XBT,EUR,26476.4
2021-07-22,XBT,EUR,27264.4
2021-07-23,XBT,EUR,27554.2
2021-07-24,XBT,EUR,27601.7
2021-07-25,XBT,EUR,27622.8
2021-07-26,XBT,EUR,32300.4
2021-07-27,XBT,EUR,31919.3
2021-07-28,XBT,EUR,33737.4
2021-07-29,XBT,EUR,33573.2
2021-07-30,XBT,EUR,33303.6
2021-07-31,XBT,EUR,34274.9
2021-08-01,XBT,EUR,34251.4
2021-08-02,XBT,EUR,33346.8
2021-08-03,XBT,EUR,32390.2
2021-08-04,XBT,EUR,32648.6
2021-08-05,XBT,EUR,33306.2
2021-08-06,XBT,EUR,35079.2
2021-08-07,XBT,EUR,36332.0
2021-08-08,XBT,EUR,36441.2
2021-08-09,XBT,EUR,38208.0
2021-08-10,XBT,EUR,38884.4
2021-08-11,XBT,EUR,39296.9
2021-08-12,XBT,EUR,38278.0
2021-08-13,XBT,EUR,39271.4
2021-08-14,XBT,EUR,40369.5
2021-08-15,XBT,EUR,40335.2
2021-08-16,XBT,EUR,39819.8
2021-08-17,XBT,EUR,39135.8
2021-08-18,XBT,EUR,38537.2
2021-08-19,XBT,EUR,38699.9
2021-08-20,XBT,EUR,40839.0
2021-08-21,XBT,EUR,41600.8
2021-08-22,XBT,EUR,41636.6
2021-08-23,XBT,EUR,42535.2
2021-08-24,XBT,EUR,41639.2
2021-08-25,XBT,EUR,41071.2
2021-08-26,XBT,EUR,40258.0
2021-08-27,XBT,EUR,40546.2
2021-08-28,XBT,EUR,41470.7
2021-08-29,XBT,EUR,41493.8
2021-08-30,XBT,EUR,40762.7
2021-08-31,XBT,EUR,40034.2
2021-09-01,XBT,EUR,40326.8
2021-09-02,XBT,EUR,41892.2
2021-09-03,XBT,EUR,42027.6
2021-09-04,XBT,EUR,42206.0
2021-09-05,XBT,EUR,42317.4
2021-09-06,XBT,EUR,43632.8
2021-09-07,XBT,EUR,42131.0
2021-09-08,XBT,EUR,39144.8
2021-09-09,XBT,EUR,39258.7
2021-09-10,XBT,EUR,38867.8
