date,base,quote,rate
2025-06-22,AED,AED,1.0
2025-06-22,AED,CHF,0.222745
2025-06-22,AED,CNY,1.95626
2025-06-22,AED,EUR,0.236427
2025-06-22,AED,GBP,0.202518
2025-06-22,AED,HKD,2.13758
2025-06-22,AED,INR,23.5816
2025-06-22,AED,KZT,141.906
2025-06-22,AED,RUB,21.3774
2025-06-22,AED,USD,0.272306
2025-06-22,BYN,AED,1.1215
2025-06-22,BYN,CHF,0.249807
2025-06-22,BYN,CNY,2.19394
2025-06-22,BYN,EUR,0.265152
2025-06-22,BYN,GBP,0.227122
2025-06-22,BYN,HKD,2.39728
2025-06-22,BYN,INR,26.4466
2025-06-22,BYN,KZT,159.148
2025-06-22,BYN,RUB,23.9746
2025-06-22,BYN,USD,0.30539
2025-06-22,CHF,AED,4.48944
2025-06-22,CHF,CHF,1.0
2025-06-22,CHF,CNY,8.78253
2025-06-22,CHF,EUR,1.06134
2025-06-22,CHF,GBP,0.908998
2025-06-22,CHF,HKD,9.59651
2025-06-22,CHF,INR,105.868
2025-06-22,CHF,KZT,637.078
2025-06-22,CHF,RUB,95.9724
2025-06-22,CHF,USD,1.2225
2025-06-22,CNY,AED,0.511178
2025-06-22,CNY,CHF,0.113862
2025-06-22,CNY,CNY,1.0
2025-06-22,CNY,EUR,0.120856
2025-06-22,CNY,GBP,0.103523
2025-06-22,CNY,HKD,1.09268
2025-06-22,CNY,INR,12.0544
2025-06-22,CNY,KZT,72.5392
2025-06-22,CNY,RUB,10.9276
2025-06-22,CNY,USD,0.139197
2025-06-22,EUR,AED,4.22964
2025-06-22,EUR,CHF,0.942204
2025-06-22,EUR,CNY,8.27428
2025-06-22,EUR,EUR,1.0
2025-06-22,EUR,GBP,0.856526
2025-06-22,EUR,HKD,9.04212
2025-06-22,EUR,INR,99.7413
2025-06-22,EUR,KZT,600.21
2025-06-22,EUR,RUB,90.4184
2025-06-22,EUR,USD,1.15176
2025-06-22,GBP,AED,4.93785
2025-06-22,GBP,CHF,1.10012
2025-06-22,GBP,CNY,9.65973
2025-06-22,GBP,EUR,1.16751
2025-06-22,GBP,GBP,1.0
2025-06-22,GBP,HKD,10.555
2025-06-22,GBP,INR,116.442
2025-06-22,GBP,KZT,700.71
2025-06-22,GBP,RUB,105.558
2025-06-22,GBP,USD,1.3446
2025-06-22,HKD,AED,0.46782
2025-06-22,HKD,CHF,0.104204
2025-06-22,HKD,CNY,0.915179
2025-06-22,HKD,EUR,0.110594
2025-06-22,HKD,GBP,0.0947417
2025-06-22,HKD,HKD,1.0
2025-06-22,HKD,INR,11.0319
2025-06-22,HKD,KZT,66.3864
2025-06-22,HKD,RUB,10.0008
2025-06-22,HKD,USD,0.12739
2025-06-22,INR,AED,0.0424062
2025-06-22,INR,CHF,0.00944574
2025-06-22,INR,CNY,0.0829576
2025-06-22,INR,EUR,0.010026
2025-06-22,INR,GBP,0.00858798
2025-06-22,INR,HKD,0.0906462
2025-06-22,INR,INR,1.0
2025-06-22,INR,KZT,6.0177
2025-06-22,INR,RUB,0.906532
2025-06-22,INR,USD,0.0115474
2025-06-22,JPY,AED,0.0251298
2025-06-22,JPY,CHF,0.00559834
2025-06-22,JPY,CNY,0.0491606
2025-06-22,JPY,EUR,0.00594124
2025-06-22,JPY,GBP,0.00508873
2025-06-22,JPY,HKD,0.0537169
2025-06-22,JPY,INR,0.5926
2025-06-22,JPY,KZT,3.56608
2025-06-22,JPY,RUB,0.53721
2025-06-22,JPY,USD,0.00684301
2025-06-22,KZT,AED,0.00704702
2025-06-22,KZT,CHF,0.00156968
2025-06-22,KZT,CNY,0.0137858
2025-06-22,KZT,EUR,0.0016661
2025-06-22,KZT,GBP,0.00142714
2025-06-22,KZT,HKD,0.0150635
2025-06-22,KZT,INR,0.16618
2025-06-22,KZT,KZT,1.0
2025-06-22,KZT,RUB,0.150647
2025-06-22,KZT,USD,0.00191894
2025-06-22,PLN,AED,0.990584
2025-06-22,PLN,CHF,0.220648
2025-06-22,PLN,CNY,1.93784
2025-06-22,PLN,EUR,0.23421
2025-06-22,PLN,GBP,0.20061
2025-06-22,PLN,HKD,2.11744
2025-06-22,PLN,INR,23.3595
2025-06-22,PLN,KZT,140.57
2025-06-22,PLN,RUB,21.1761
2025-06-22,PLN,USD,0.269742
2025-06-22,RUB,AED,0.0467786
2025-06-22,RUB,CHF,0.0104197
2025-06-22,RUB,CNY,0.0915112
2025-06-22,RUB,EUR,0.0110597
2025-06-22,RUB,GBP,0.00947348
2025-06-22,RUB,HKD,0.0999927
2025-06-22,RUB,INR,1.10311
2025-06-22,RUB,KZT,6.63818
2025-06-22,RUB,RUB,1.0
2025-06-22,RUB,USD,0.012738
2025-06-22,TRY,AED,0.0924884
2025-06-22,TRY,CHF,0.0206013
2025-06-22,TRY,CNY,0.180932
2025-06-22,TRY,EUR,0.0218667
2025-06-22,TRY,GBP,0.0187305
2025-06-22,TRY,HKD,0.1977
2025-06-22,TRY,INR,2.18102
2025-06-22,TRY,KZT,13.1246
2025-06-22,TRY,RUB,1.97716
2025-06-22,TRY,USD,0.0251851
2025-06-22,USD,AED,3.67234
2025-06-22,USD,CHF,0.817994
2025-06-22,USD,CNY,7.18406
2025-06-22,USD,EUR,0.86824
2025-06-22,USD,GBP,0.743712
2025-06-22,USD,HKD,7.8499
2025-06-22,USD,INR,86.5994
2025-06-22,USD,KZT,521.126
2025-06-22,USD,RUB,78.505
2025-06-22,USD,USD,1.0
2025-06-23,AED,AED,1.0
2025-06-23,AED,CHF,0.222144
2025-06-23,AED,CNY,1.95624
2025-06-23,AED,EUR,0.236374
2025-06-23,AED,GBP,0.202373
2025-06-23,AED,HKD,2.13751
2025-06-23,AED,INR,23.5936
2025-06-23,AED,KZT,142.29
2025-06-23,AED,RUB,21.3726
2025-06-23,AED,USD,0.272296
2025-06-23,BYN,AED,1.12117
2025-06-23,BYN,CHF,0.249062
2025-06-23,BYN,CNY,2.19328
2025-06-23,BYN,EUR,0.265016
2025-06-23,BYN,GBP,0.226894
2025-06-23,BYN,HKD,2.3965
2025-06-23,BYN,INR,26.4524
2025-06-23,BYN,KZT,159.532
2025-06-23,BYN,RUB,23.9623
2025-06-23,BYN,USD,0.305291
2025-06-23,CHF,AED,4.50158
2025-06-23,CHF,CHF,1.0
2025-06-23,CHF,CNY,8.80618
2025-06-23,CHF,EUR,1.06408
2025-06-23,CHF,GBP,0.910999
2025-06-23,CHF,HKD,9.62216
2025-06-23,CHF,INR,106.208
2025-06-23,CHF,KZT,640.532
2025-06-23,CHF,RUB,96.2103
2025-06-23,CHF,USD,1.22577
2025-06-23,CNY,AED,0.511184
2025-06-23,CNY,CHF,0.113557
2025-06-23,CNY,CNY,1.0
2025-06-23,CNY,EUR,0.120831
2025-06-23,CNY,GBP,0.10345
2025-06-23,CNY,HKD,1.09266
2025-06-23,CNY,INR,12.0606
2025-06-23,CNY,KZT,72.7366
2025-06-23,CNY,RUB,10.9254
2025-06-23,CNY,USD,0.139194
2025-06-23,EUR,AED,4.23058
2025-06-23,EUR,CHF,0.939776
2025-06-23,EUR,CNY,8.27604
2025-06-23,EUR,EUR,1.0
2025-06-23,EUR,GBP,0.856157
2025-06-23,EUR,HKD,9.0429
2025-06-23,EUR,INR,99.8144
2025-06-23,EUR,KZT,601.97
2025-06-23,EUR,RUB,90.4183
2025-06-23,EUR,USD,1.15198
2025-06-23,GBP,AED,4.94138
2025-06-23,GBP,CHF,1.0977
2025-06-23,GBP,CNY,9.66653
2025-06-23,GBP,EUR,1.16801
2025-06-23,GBP,GBP,1.0
2025-06-23,GBP,HKD,10.5622
2025-06-23,GBP,INR,116.584
2025-06-23,GBP,KZT,703.11
2025-06-23,GBP,RUB,105.61
2025-06-23,GBP,USD,1.34552
2025-06-23,HKD,AED,0.467834
2025-06-23,HKD,CHF,0.103927
2025-06-23,HKD,CNY,0.915198
2025-06-23,HKD,EUR,0.110584
2025-06-23,HKD,GBP,0.094677
2025-06-23,HKD,HKD,1.0
2025-06-23,HKD,INR,11.0379
2025-06-23,HKD,KZT,66.5683
2025-06-23,HKD,RUB,9.99882
2025-06-23,HKD,USD,0.12739
2025-06-23,INR,AED,0.0423844
2025-06-23,INR,CHF,0.00941546
2025-06-23,INR,CNY,0.0829143
2025-06-23,INR,EUR,0.0100186
2025-06-23,INR,GBP,0.00857746
2025-06-23,INR,HKD,0.0905972
2025-06-23,INR,INR,1.0
2025-06-23,INR,KZT,6.0309
2025-06-23,INR,RUB,0.905865
2025-06-23,INR,USD,0.0115412
2025-06-23,JPY,AED,0.0250202
2025-06-23,JPY,CHF,0.00555808
2025-06-23,JPY,CNY,0.0489456
2025-06-23,JPY,EUR,0.00591422
2025-06-23,JPY,GBP,0.0050635
2025-06-23,JPY,HKD,0.0534809
2025-06-23,JPY,INR,0.590316
2025-06-23,JPY,KZT,3.56013
2025-06-23,JPY,RUB,0.534746
2025-06-23,JPY,USD,0.00681292
2025-06-23,KZT,AED,0.00702796
2025-06-23,KZT,CHF,0.00156122
2025-06-23,KZT,CNY,0.0137484
2025-06-23,KZT,EUR,0.00166122
2025-06-23,KZT,GBP,0.00142226
2025-06-23,KZT,HKD,0.0150223
2025-06-23,KZT,INR,0.165814
2025-06-23,KZT,KZT,1.0
2025-06-23,KZT,RUB,0.150206
2025-06-23,KZT,USD,0.00191369
2025-06-23,PLN,AED,0.989744
2025-06-23,PLN,CHF,0.219866
2025-06-23,PLN,CNY,1.93618
2025-06-23,PLN,EUR,0.233954
2025-06-23,PLN,GBP,0.200297
2025-06-23,PLN,HKD,2.11559
2025-06-23,PLN,INR,23.3516
2025-06-23,PLN,KZT,140.831
2025-06-23,PLN,RUB,21.1534
2025-06-23,PLN,USD,0.269504
2025-06-23,RUB,AED,0.0467894
2025-06-23,RUB,CHF,0.010394
2025-06-23,RUB,CNY,0.0915314
2025-06-23,RUB,EUR,0.0110598
2025-06-23,RUB,GBP,0.0094689
2025-06-23,RUB,HKD,0.100012
2025-06-23,RUB,INR,1.10392
2025-06-23,RUB,KZT,6.65773
2025-06-23,RUB,RUB,1.0
2025-06-23,RUB,USD,0.0127406
2025-06-23,TRY,AED,0.0924911
2025-06-23,TRY,CHF,0.0205464
2025-06-23,TRY,CNY,0.180935
2025-06-23,TRY,EUR,0.0218626
2025-06-23,TRY,GBP,0.0187176
2025-06-23,TRY,HKD,0.1977
2025-06-23,TRY,INR,2.1822
2025-06-23,TRY,KZT,13.1606
2025-06-23,TRY,RUB,1.97678
2025-06-23,TRY,USD,0.025185
2025-06-23,USD,AED,3.67246
2025-06-23,USD,CHF,0.815816
2025-06-23,USD,CNY,7.18422
2025-06-23,USD,EUR,0.868076
2025-06-23,USD,GBP,0.743206
2025-06-23,USD,HKD,7.84992
2025-06-23,USD,INR,86.6464
2025-06-23,USD,KZT,522.556
2025-06-23,USD,RUB,78.49
2025-06-23,USD,USD,1.0
2025-06-24,AED,AED,1.0
2025-06-24,AED,CHF,0.220152
2025-06-24,AED,CNY,1.95388
2025-06-24,AED,EUR,0.234582
2025-06-24,AED,GBP,0.200253
2025-06-24,AED,HKD,2.1375
2025-06-24,AED,INR,23.4322
2025-06-24,AED,KZT,141.078
2025-06-24,AED,RUB,21.3662
2025-06-24,AED,USD,0.272294
2025-06-24,BYN,AED,1.1283
2025-06-24,BYN,CHF,0.248398
2025-06-24,BYN,CNY,2.20458
2025-06-24,BYN,EUR,0.26468
2025-06-24,BYN,GBP,0.225946
2025-06-24,BYN,HKD,2.41174
2025-06-24,BYN,INR,26.4386
2025-06-24,BYN,KZT,159.18
2025-06-24,BYN,RUB,24.1076
2025-06-24,BYN,USD,0.307231
2025-06-24,CHF,AED,4.54234
2025-06-24,CHF,CHF,1.0
2025-06-24,CHF,CNY,8.8752
2025-06-24,CHF,EUR,1.06556
2025-06-24,CHF,GBP,0.909642
2025-06-24,CHF,HKD,9.70922
2025-06-24,CHF,INR,106.437
2025-06-24,CHF,KZT,640.826
2025-06-24,CHF,RUB,97.0524
2025-06-24,CHF,USD,1.23685
2025-06-24,CNY,AED,0.511802
2025-06-24,CNY,CHF,0.112674
2025-06-24,CNY,CNY,1.0
2025-06-24,CNY,EUR,0.12006
2025-06-24,CNY,GBP,0.10249
2025-06-24,CNY,HKD,1.09397
2025-06-24,CNY,INR,11.9926
2025-06-24,CNY,KZT,72.2042
2025-06-24,CNY,RUB,10.9352
2025-06-24,CNY,USD,0.13936
2025-06-24,EUR,AED,4.26289
2025-06-24,EUR,CHF,0.93848
2025-06-24,EUR,CNY,8.32918
2025-06-24,EUR,EUR,1.0
2025-06-24,EUR,GBP,0.85367
2025-06-24,EUR,HKD,9.11195
2025-06-24,EUR,INR,99.8888
2025-06-24,EUR,KZT,601.402
2025-06-24,EUR,RUB,91.0816
2025-06-24,EUR,USD,1.16076
2025-06-24,GBP,AED,4.99368
2025-06-24,GBP,CHF,1.09934
2025-06-24,GBP,CNY,9.75706
2025-06-24,GBP,EUR,1.17141
2025-06-24,GBP,GBP,1.0
2025-06-24,GBP,HKD,10.674
2025-06-24,GBP,INR,117.013
2025-06-24,GBP,KZT,704.502
2025-06-24,GBP,RUB,106.696
2025-06-24,GBP,USD,1.35975
2025-06-24,HKD,AED,0.467838
2025-06-24,HKD,CHF,0.102995
2025-06-24,HKD,CNY,0.9141
2025-06-24,HKD,EUR,0.109746
2025-06-24,HKD,GBP,0.0936859
2025-06-24,HKD,HKD,1.0
2025-06-24,HKD,INR,10.9624
2025-06-24,HKD,KZT,66.0018
2025-06-24,HKD,RUB,9.9959
2025-06-24,HKD,USD,0.12739
2025-06-24,INR,AED,0.0426764
2025-06-24,INR,CHF,0.00939525
2025-06-24,INR,CNY,0.0833846
2025-06-24,INR,EUR,0.0100112
2025-06-24,INR,GBP,0.00854608
2025-06-24,INR,HKD,0.0912206
2025-06-24,INR,INR,1.0
2025-06-24,INR,KZT,6.02072
2025-06-24,INR,RUB,0.911832
2025-06-24,INR,USD,0.0116206
2025-06-24,JPY,AED,0.0253156
2025-06-24,JPY,CHF,0.00557321
2025-06-24,JPY,CNY,0.0494638
2025-06-24,JPY,EUR,0.00593861
2025-06-24,JPY,GBP,0.00506957
2025-06-24,JPY,HKD,0.054112
2025-06-24,JPY,INR,0.5932
2025-06-24,JPY,KZT,3.5715
2025-06-24,JPY,RUB,0.540898
2025-06-24,JPY,USD,0.0068933
2025-06-24,KZT,AED,0.0070883
2025-06-24,KZT,CHF,0.0015605
2025-06-24,KZT,CNY,0.0138497
2025-06-24,KZT,EUR,0.0016628
2025-06-24,KZT,GBP,0.00141946
2025-06-24,KZT,HKD,0.0151512
2025-06-24,KZT,INR,0.166094
2025-06-24,KZT,KZT,1.0
2025-06-24,KZT,RUB,0.15145
2025-06-24,KZT,USD,0.0019301
2025-06-24,PLN,AED,1.0007
2025-06-24,PLN,CHF,0.220304
2025-06-24,PLN,CNY,1.95524
2025-06-24,PLN,EUR,0.234746
2025-06-24,PLN,GBP,0.200392
2025-06-24,PLN,HKD,2.13898
2025-06-24,PLN,INR,23.4484
2025-06-24,PLN,KZT,141.177
