date,base,quote,rate
2025-06-22,BYN,CNY,2.19075
2025-06-23,BYN,CNY,2.19014
2025-06-24,BYN,CNY,2.2015
2025-06-25,BYN,CNY,2.19
2025-06-26,BYN,CNY,2.19519
2025-06-27,BYN,CNY,2.18666
2025-06-28,BYN,CNY,2.1896
2025-06-29,BYN,CNY,2.18959
2025-06-30,BYN,CNY,2.18744
2025-07-01,BYN,CNY,2.18588
2025-07-02,BYN,CNY,2.18667
2025-07-03,BYN,CNY,2.18922
2025-07-04,BYN,CNY,2.18532
2025-07-05,BYN,CNY,2.18722
2025-07-06,BYN,CNY,2.18721
2025-07-07,BYN,CNY,2.18778
2025-07-08,BYN,CNY,2.19131
2025-07-09,BYN,CNY,2.19046
2025-07-10,BYN,CNY,2.19292
2025-07-11,BYN,CNY,2.18799
2025-07-12,BYN,CNY,2.18801
2025-07-13,BYN,CNY,2.18801
2025-07-14,BYN,CNY,2.18764
2025-07-15,BYN,CNY,2.18561
2025-07-16,BYN,CNY,2.18343
2025-07-17,BYN,CNY,2.19173
2025-07-18,BYN,CNY,2.19465
2025-07-19,BYN,CNY,2.19119
2025-07-20,BYN,CNY,2.19121
2025-07-21,BYN,CNY,2.18926
2025-07-22,BYN,CNY,2.19273
2025-07-23,BYN,CNY,2.19021
2025-07-24,BYN,CNY,2.18703
2025-07-25,BYN,CNY,2.1845
2025-07-26,BYN,CNY,2.18383
2025-07-27,BYN,CNY,2.18381
2025-07-28,BYN,CNY,2.19012
2025-07-29,BYN,CNY,2.18883
2025-07-30,BYN,CNY,2.18996
2025-07-31,BYN,CNY,2.19398
2025-08-01,BYN,CNY,2.19849
2025-08-02,BYN,CNY,2.19846
2025-08-03,BYN,CNY,2.19862
2025-08-04,BYN,CNY,2.20389
2025-08-05,BYN,CNY,2.184
2025-08-06,BYN,CNY,2.18119
2025-08-07,BYN,CNY,2.17767
2025-08-08,BYN,CNY,2.17207
2025-08-09,BYN,CNY,2.17361
2025-08-10,BYN,CNY,2.17361
2025-08-11,BYN,CNY,2.17621
2025-08-12,BYN,CNY,2.1733
2025-08-13,BYN,CNY,2.16836
2025-08-14,BYN,CNY,2.16034
2025-08-15,BYN,CNY,2.15362
2025-08-16,BYN,CNY,2.15063
2025-08-17,BYN,CNY,2.15064
2025-08-18,BYN,CNY,2.14797
2025-08-19,BYN,CNY,2.14199
2025-08-20,BYN,CNY,2.13615
2025-08-21,BYN,CNY,2.13209
2025-08-22,BYN,CNY,2.12553
2025-08-23,BYN,CNY,2.1259
2025-08-24,BYN,CNY,2.1259
2025-08-25,BYN,CNY,2.12719
2025-08-26,BYN,CNY,2.10757
2025-08-27,BYN,CNY,2.10472
2025-08-28,BYN,CNY,2.09916
2025-08-29,BYN,CNY,2.09609
2025-08-30,BYN,CNY,2.09257
2025-08-31,BYN,CNY,2.09256
2025-09-01,BYN,CNY,2.10676
2025-09-02,BYN,CNY,2.11282
2025-09-03,BYN,CNY,2.1131
2025-09-04,BYN,CNY,2.11219
2025-09-05,BYN,CNY,2.10902
2025-09-06,BYN,CNY,2.10704
2025-09-07,BYN,CNY,2.1071
2025-09-08,BYN,CNY,2.11041
2025-09-09,BYN,CNY,2.10699
2025-09-10,BYN,CNY,2.09743
2025-09-11,BYN,CNY,2.10058
2025-09-12,BYN,CNY,2.10395
2025-09-13,BYN,CNY,2.09991
