date,base,quote,rate
2025-06-22,BYN,INR,26.3804
2025-06-23,BYN,INR,26.4106
2025-06-24,BYN,INR,26.3987
2025-06-25,BYN,INR,26.2551
2025-06-26,BYN,INR,26.2436
2025-06-27,BYN,INR,26.0772
2025-06-28,BYN,INR,26.0734
2025-06-29,BYN,INR,26.076
2025-06-30,BYN,INR,26.1343
2025-07-01,BYN,INR,26.116
2025-07-02,BYN,INR,26.133
2025-07-03,BYN,INR,26.104
2025-07-04,BYN,INR,26.0411
2025-07-05,BYN,INR,25.9416
2025-07-06,BYN,INR,25.9438
2025-07-07,BYN,INR,26.1735
2025-07-08,BYN,INR,26.1856
2025-07-09,BYN,INR,26.1621
2025-07-10,BYN,INR,26.177
2025-07-11,BYN,INR,26.1822
2025-07-12,BYN,INR,26.1972
2025-07-13,BYN,INR,26.1971
2025-07-14,BYN,INR,26.2148
2025-07-15,BYN,INR,26.1827
2025-07-16,BYN,INR,26.14
2025-07-17,BYN,INR,26.2505
2025-07-18,BYN,INR,26.326
2025-07-19,BYN,INR,26.2995
2025-07-20,BYN,INR,26.2995
2025-07-21,BYN,INR,26.3117
2025-07-22,BYN,INR,26.3855
2025-07-23,BYN,INR,26.4023
2025-07-24,BYN,INR,26.3996
2025-07-25,BYN,INR,26.3924
2025-07-26,BYN,INR,26.3783
2025-07-27,BYN,INR,26.3783
2025-07-28,BYN,INR,26.4692
2025-07-29,BYN,INR,26.5074
2025-07-30,BYN,INR,26.6649
2025-07-31,BYN,INR,26.724
2025-08-01,BYN,INR,26.6632
2025-08-02,BYN,INR,26.6131
2025-08-03,BYN,INR,26.6136
2025-08-04,BYN,INR,26.8659
2025-08-05,BYN,INR,26.7039
2025-08-06,BYN,INR,26.6324
2025-08-07,BYN,INR,26.5546
2025-08-08,BYN,INR,26.4914
2025-08-09,BYN,INR,26.5373
2025-08-10,BYN,INR,26.5329
2025-08-11,BYN,INR,26.5433
2025-08-12,BYN,INR,26.5087
2025-08-13,BYN,INR,26.4417
2025-08-14,BYN,INR,26.371
2025-08-15,BYN,INR,26.2565
2025-08-16,BYN,INR,26.2065
2025-08-17,BYN,INR,26.2069
2025-08-18,BYN,INR,26.1324
2025-08-19,BYN,INR,25.9777
2025-08-20,BYN,INR,25.9056
2025-08-21,BYN,INR,25.8967
2025-08-22,BYN,INR,25.8844
2025-08-23,BYN,INR,25.9105
2025-08-24,BYN,INR,25.9102
2025-08-25,BYN,INR,26.0048
2025-08-26,BYN,INR,25.8257
2025-08-27,BYN,INR,25.8056
2025-08-28,BYN,INR,25.7388
2025-08-29,BYN,INR,25.851
2025-08-30,BYN,INR,25.8682
2025-08-31,BYN,INR,25.8695
2025-09-01,BYN,INR,26.0257
2025-09-02,BYN,INR,26.0656
2025-09-03,BYN,INR,26.0562
2025-09-04,BYN,INR,26.0716
2025-09-05,BYN,INR,26.0569
2025-09-06,BYN,INR,26.0516
2025-09-07,BYN,INR,26.0514
2025-09-08,BYN,INR,26.0505
2025-09-09,BYN,INR,26.0647
