date,base,quote,rate
2025-06-22,BYN,KZT,158.411
2025-06-23,BYN,KZT,158.848
2025-06-24,BYN,KZT,158.507
2025-06-25,BYN,KZT,157.817
2025-06-26,BYN,KZT,158.019
2025-06-27,BYN,KZT,158.029
2025-06-28,BYN,KZT,158.102
2025-06-29,BYN,KZT,158.102
2025-06-30,BYN,KZT,158.247
2025-07-01,BYN,KZT,158.025
2025-07-02,BYN,KZT,157.855
2025-07-03,BYN,KZT,158.113
2025-07-04,BYN,KZT,158.046
2025-07-05,BYN,KZT,158.073
2025-07-06,BYN,KZT,158.073
2025-07-07,BYN,KZT,158.046
2025-07-08,BYN,KZT,158.159
2025-07-09,BYN,KZT,157.94
2025-07-10,BYN,KZT,157.962
2025-07-11,BYN,KZT,158.661
2025-07-12,BYN,KZT,159.215
2025-07-13,BYN,KZT,159.215
2025-07-14,BYN,KZT,159.371
2025-07-15,BYN,KZT,159.726
2025-07-16,BYN,KZT,160.172
2025-07-17,BYN,KZT,161.745
2025-07-18,BYN,KZT,162.37
2025-07-19,BYN,KZT,162.131
2025-07-20,BYN,KZT,162.13
2025-07-21,BYN,KZT,161.617
2025-07-22,BYN,KZT,162.145
2025-07-23,BYN,KZT,163.524
2025-07-24,BYN,KZT,164.831
2025-07-25,BYN,KZT,165.612
2025-07-26,BYN,KZT,165.776
2025-07-27,BYN,KZT,165.776
2025-07-28,BYN,KZT,165.523
2025-07-29,BYN,KZT,165.272
2025-07-30,BYN,KZT,165.391
2025-07-31,BYN,KZT,164.748
2025-08-01,BYN,KZT,164.975
2025-08-02,BYN,KZT,165.205
2025-08-03,BYN,KZT,165.093
2025-08-04,BYN,KZT,164.959
2025-08-05,BYN,KZT,163.324
2025-08-06,BYN,KZT,162.73
2025-08-07,BYN,KZT,162.714
2025-08-08,BYN,KZT,162.852
2025-08-09,BYN,KZT,163.116
2025-08-10,BYN,KZT,163.116
2025-08-11,BYN,KZT,163.897
2025-08-12,BYN,KZT,163.604
2025-08-13,BYN,KZT,162.511
2025-08-14,BYN,KZT,161.797
2025-08-15,BYN,KZT,161.667
2025-08-16,BYN,KZT,161.604
2025-08-17,BYN,KZT,161.612
2025-08-18,BYN,KZT,160.981
2025-08-19,BYN,KZT,160.176
2025-08-20,BYN,KZT,159.772
2025-08-21,BYN,KZT,159.303
2025-08-22,BYN,KZT,158.88
2025-08-23,BYN,KZT,158.966
2025-08-24,BYN,KZT,158.973
2025-08-25,BYN,KZT,158.473
2025-08-26,BYN,KZT,157.351
2025-08-27,BYN,KZT,157.69
2025-08-28,BYN,KZT,157.704
2025-08-29,BYN,KZT,157.633
2025-08-30,BYN,KZT,157.633
2025-08-31,BYN,KZT,157.633
2025-09-01,BYN,KZT,158.521
2025-09-02,BYN,KZT,159.265
2025-09-03,BYN,KZT,159.324
2025-09-04,BYN,KZT,159.236
2025-09-05,BYN,KZT,158.594
2025-09-06,BYN,KZT,158.197
2025-09-07,BYN,KZT,158.197
2025-09-08,BYN,KZT,157.957
2025-09-09,BYN,KZT,157.983
2025-09-10,BYN,KZT,158.166
2025-09-11,BYN,KZT,158.583
2025-09-12,BYN,KZT,159.005
2025-09-13,BYN,KZT,158.986
2025-09-14,BYN,KZT,158.986
2025-09-15,BYN,KZT,159.026
2025-09-16,BYN,KZT,159.026
2025-09-17,BYN,KZT,159.302
2025-09-18,BYN,KZT,159.105
2025-09-19,BYN,KZT,159.069
2025-09-20,BYN,KZT,159.188
2025-09-21,BYN,KZT,159.188
2025-09-22,BYN,KZT,159.579
2025-09-23,BYN,KZT,160.077
2025-09-24,BYN,KZT,159.654
2025-09-25,BYN,KZT,159.398
2025-09-26,BYN,KZT,159.795
2025-09-27,BYN,KZT,160.354
2025-09-28,BYN,KZT,160.355
2025-09-29,BYN,KZT,161.036
2025-09-30,BYN,KZT,161.379
2025-10-01,BYN,KZT,161.272
2025-10-02,BYN,KZT,160.922
2025-10-03,BYN,KZT,160.77
2025-10-04,BYN,KZT,160.721
2025-10-05,BYN,KZT,160.721
2025-10-06,BYN,KZT,160.13
2025-10-07,BYN,KZT,159.036
2025-10-08,BYN,KZT,158.293
2025-10-09,BYN,KZT,158.38
2025-10-10,BYN,KZT,157.784
2025-10-11,BYN,KZT,157.59
2025-10-12,BYN,KZT,157.611
2025-10-13,BYN,KZT,157.547
2025-10-14,BYN,KZT,157.608
2025-10-15,BYN,KZT,157.85
2025-10-16,BYN,KZT,157.178
2025-10-17,BYN,KZT,157.193
2025-10-18,BYN,KZT,157.27
2025-10-19,BYN,KZT,157.269
2025-10-20,BYN,KZT,157.233
2025-10-21,BYN,KZT,157.399
2025-10-22,BYN,KZT,157.465
2025-10-23,BYN,KZT,157.415
2025-10-24,BYN,KZT,157.348
2025-10-25,BYN,KZT,157.236
2025-10-26,BYN,KZT,157.241
2025-10-27,BYN,KZT,157.212
2025-10-28,BYN,KZT,156.314
2025-10-29,BYN,KZT,155.001
2025-10-30,BYN,KZT,154.794
2025-10-31,BYN,KZT,154.759
2025-11-01,BYN,KZT,154.689
2025-11-02,BYN,KZT,154.672
2025-11-03,BYN,KZT,153.855
2025-11-04,BYN,KZT,153.268
2025-11-05,BYN,KZT,153.337
2025-11-06,BYN,KZT,153.693
2025-11-07,BYN,KZT,153.628
2025-11-08,BYN,KZT,153.414
2025-11-09,BYN,KZT,153.413
2025-11-10,BYN,KZT,153.168
2025-11-11,BYN,KZT,153.217
2025-11-12,BYN,KZT,153.279
2025-11-13,BYN,KZT,152.993
2025-11-14,BYN,KZT,152.918
2025-11-15,BYN,KZT,153.066
2025-11-16,BYN,KZT,153.069
2025-11-17,BYN,KZT,152.704
2025-11-18,BYN,KZT,152.034
2025-11-19,BYN,KZT,151.443
2025-11-20,BYN,KZT,151.056
2025-11-21,BYN,KZT,151.581
2025-11-22,BYN,KZT,151.79
2025-11-23,BYN,KZT,151.794
2025-11-24,BYN,KZT,151.592
2025-11-25,BYN,KZT,151.178
2025-11-26,BYN,KZT,151.271
2025-11-27,BYN,KZT,150.834
2025-11-28,BYN,KZT,160.51
2025-11-29,BYN,KZT,175.745
2025-11-30,BYN,KZT,175.731
2025-12-01,BYN,KZT,175.493
2025-12-02,BYN,KZT,174.399
2025-12-03,BYN,KZT,172.785
2025-12-04,BYN,KZT,172.7
2025-12-05,BYN,KZT,174.345
2025-12-06,BYN,KZT,175.181
2025-12-07,BYN,KZT,175.186
2025-12-08,BYN,KZT,175.672
2025-12-09,BYN,KZT,176.905
2025-12-10,BYN,KZT,177.697
2025-12-11,BYN,KZT,177.479
2025-12-12,BYN,KZT,176.504
2025-12-13,BYN,KZT,176.063
2025-12-14,BYN,KZT,176.06
