date,base,quote,rate
2025-06-22,BYN,USD,0.304985
2025-06-23,BYN,USD,0.304885
2025-06-24,BYN,USD,0.306824
2025-06-25,BYN,USD,0.305329
2025-06-26,BYN,USD,0.306122
2025-06-27,BYN,USD,0.304993
2025-06-28,BYN,USD,0.305296
2025-06-29,BYN,USD,0.305296
2025-06-30,BYN,USD,0.30522
2025-07-01,BYN,USD,0.305141
2025-07-02,BYN,USD,0.305178
2025-07-03,BYN,USD,0.305541
2025-07-04,BYN,USD,0.305013
2025-07-05,BYN,USD,0.305275
2025-07-06,BYN,USD,0.305275
2025-07-07,BYN,USD,0.305098
2025-07-08,BYN,USD,0.305455
2025-07-09,BYN,USD,0.305176
2025-07-10,BYN,USD,0.305524
2025-07-11,BYN,USD,0.305118
2025-07-12,BYN,USD,0.305242
2025-07-13,BYN,USD,0.305242
2025-07-14,BYN,USD,0.305199
2025-07-15,BYN,USD,0.304795
2025-07-16,BYN,USD,0.304265
2025-07-17,BYN,USD,0.305264
2025-07-18,BYN,USD,0.30568
2025-07-19,BYN,USD,0.305284
2025-07-20,BYN,USD,0.305284
2025-07-21,BYN,USD,0.30512
2025-07-22,BYN,USD,0.305668
2025-07-23,BYN,USD,0.305676
2025-07-24,BYN,USD,0.305608
2025-07-25,BYN,USD,0.305101
2025-07-26,BYN,USD,0.304924
2025-07-27,BYN,USD,0.304924
2025-07-28,BYN,USD,0.305541
2025-07-29,BYN,USD,0.304975
2025-07-30,BYN,USD,0.304985
2025-07-31,BYN,USD,0.305172
2025-08-01,BYN,USD,0.305274
2025-08-02,BYN,USD,0.305258
2025-08-03,BYN,USD,0.305258
2025-08-04,BYN,USD,0.30661
2025-08-05,BYN,USD,0.304105
2025-08-06,BYN,USD,0.303607
2025-08-07,BYN,USD,0.30326
2025-08-08,BYN,USD,0.302457
2025-08-09,BYN,USD,0.302715
2025-08-10,BYN,USD,0.302715
2025-08-11,BYN,USD,0.30294
2025-08-12,BYN,USD,0.302491
2025-08-13,BYN,USD,0.302149
2025-08-14,BYN,USD,0.301127
2025-08-15,BYN,USD,0.299946
2025-08-16,BYN,USD,0.299475
2025-08-17,BYN,USD,0.299475
2025-08-18,BYN,USD,0.2991
2025-08-19,BYN,USD,0.298219
2025-08-20,BYN,USD,0.297597
2025-08-21,BYN,USD,0.297072
2025-08-22,BYN,USD,0.29624
2025-08-23,BYN,USD,0.296642
2025-08-24,BYN,USD,0.296642
2025-08-25,BYN,USD,0.297165
2025-08-26,BYN,USD,0.29464
2025-08-27,BYN,USD,0.294212
2025-08-28,BYN,USD,0.293824
2025-08-29,BYN,USD,0.293678
2025-08-30,BYN,USD,0.293473
2025-08-31,BYN,USD,0.293473
2025-09-01,BYN,USD,0.295373
2025-09-02,BYN,USD,0.296015
2025-09-03,BYN,USD,0.295894
2025-09-04,BYN,USD,0.29578
2025-09-05,BYN,USD,0.295504
2025-09-06,BYN,USD,0.295415
2025-09-07,BYN,USD,0.295415
2025-09-08,BYN,USD,0.295947
2025-09-09,BYN,USD,0.295721
2025-09-10,BYN,USD,0.294531
2025-09-11,BYN,USD,0.295022
2025-09-12,BYN,USD,0.29545
2025-09-13,BYN,USD,0.294777
2025-09-14,BYN,USD,0.294776
2025-09-15,BYN,USD,0.29491
2025-09-16,BYN,USD,0.295006
2025-09-17,BYN,USD,0.295538
2025-09-18,BYN,USD,0.294642
2025-09-19,BYN,USD,0.294492
2025-09-20,BYN,USD,0.294855
2025-09-21,BYN,USD,0.294855
2025-09-22,BYN,USD,0.294637
2025-09-23,BYN,USD,0.294834
2025-09-24,BYN,USD,0.294735
2025-09-25,BYN,USD,0.294723
2025-09-26,BYN,USD,0.294259
2025-09-27,BYN,USD,0.295687
2025-09-28,BYN,USD,0.295687
2025-09-29,BYN,USD,0.29543
2025-09-30,BYN,USD,0.294757
2025-10-01,BYN,USD,0.294816
2025-10-02,BYN,USD,0.294817
2025-10-03,BYN,USD,0.294562
2025-10-04,BYN,USD,0.294449
2025-10-05,BYN,USD,0.294449
2025-10-06,BYN,USD,0.294317
2025-10-07,BYN,USD,0.294395
2025-10-08,BYN,USD,0.293559
2025-10-09,BYN,USD,0.293252
2025-10-10,BYN,USD,0.293161
2025-10-11,BYN,USD,0.294437
2025-10-12,BYN,USD,0.294437
2025-10-13,BYN,USD,0.294068
2025-10-14,BYN,USD,0.29327
2025-10-15,BYN,USD,0.293945
2025-10-16,BYN,USD,0.293198
2025-10-17,BYN,USD,0.293606
2025-10-18,BYN,USD,0.292354
2025-10-19,BYN,USD,0.292355
2025-10-20,BYN,USD,0.2928
2025-10-21,BYN,USD,0.293121
2025-10-22,BYN,USD,0.293171
2025-10-23,BYN,USD,0.293435
2025-10-24,BYN,USD,0.293393
2025-10-25,BYN,USD,0.293045
2025-10-26,BYN,USD,0.29307
2025-10-27,BYN,USD,0.293194
2025-10-28,BYN,USD,0.292846
2025-10-29,BYN,USD,0.292905
2025-10-30,BYN,USD,0.292955
2025-10-31,BYN,USD,0.292584
2025-11-01,BYN,USD,0.292719
2025-11-02,BYN,USD,0.292719
2025-11-03,BYN,USD,0.292489
2025-11-04,BYN,USD,0.29301
2025-11-05,BYN,USD,0.293053
2025-11-06,BYN,USD,0.293111
2025-11-07,BYN,USD,0.293309
2025-11-08,BYN,USD,0.293158
2025-11-09,BYN,USD,0.293158
2025-11-10,BYN,USD,0.293105
2025-11-11,BYN,USD,0.292924
2025-11-12,BYN,USD,0.292934
2025-11-13,BYN,USD,0.292876
2025-11-14,BYN,USD,0.292924
2025-11-15,BYN,USD,0.292952
2025-11-16,BYN,USD,0.292952
2025-11-17,BYN,USD,0.292646
2025-11-18,BYN,USD,0.29265
2025-11-19,BYN,USD,0.292513
2025-11-20,BYN,USD,0.291772
2025-11-21,BYN,USD,0.292711
2025-11-22,BYN,USD,0.292471
2025-11-23,BYN,USD,0.292471
2025-11-24,BYN,USD,0.292362
2025-11-25,BYN,USD,0.292151
2025-11-26,BYN,USD,0.292925
2025-11-27,BYN,USD,0.292753
2025-11-28,BYN,USD,0.313131
2025-11-29,BYN,USD,0.343672
2025-11-30,BYN,USD,0.343672
2025-12-01,BYN,USD,0.344095
2025-12-02,BYN,USD,0.343661
2025-12-03,BYN,USD,0.34372
2025-12-04,BYN,USD,0.343774
2025-12-05,BYN,USD,0.345795
2025-12-06,BYN,USD,0.347438
2025-12-07,BYN,USD,0.347438
2025-12-08,BYN,USD,0.346382
2025-12-09,BYN,USD,0.345165
2025-12-10,BYN,USD,0.344472
2025-12-11,BYN,USD,0.343134
2025-12-12,BYN,USD,0.339781
2025-12-13,BYN,USD,0.338636
2025-12-14,BYN,USD,0.338636
2025-12-15,BYN,USD,0.340213
2025-12-16,BYN,USD,0.341178
2025-12-17,BYN,USD,0.339358
2025-12-18,BYN,USD,0.339511
