date,base,quote,rate
2025-06-22,CHF,EUR,1.06107
2025-06-23,CHF,EUR,1.06395
2025-06-24,CHF,EUR,1.06544
2025-06-25,CHF,EUR,1.06798
2025-06-26,CHF,EUR,1.06648
2025-06-27,CHF,EUR,1.06794
2025-06-28,CHF,EUR,1.06805
2025-06-29,CHF,EUR,1.06793
2025-06-30,CHF,EUR,1.06922
2025-07-01,CHF,EUR,1.07147
2025-07-02,CHF,EUR,1.07113
2025-07-03,CHF,EUR,1.06986
2025-07-04,CHF,EUR,1.06971
2025-07-05,CHF,EUR,1.06847
2025-07-06,CHF,EUR,1.06846
2025-07-07,CHF,EUR,1.06926
2025-07-08,CHF,EUR,1.06991
2025-07-09,CHF,EUR,1.07262
2025-07-10,CHF,EUR,1.07299
2025-07-11,CHF,EUR,1.07371
2025-07-12,CHF,EUR,1.07371
2025-07-13,CHF,EUR,1.07383
2025-07-14,CHF,EUR,1.07412
2025-07-15,CHF,EUR,1.07484
2025-07-16,CHF,EUR,1.07338
2025-07-17,CHF,EUR,1.07228
2025-07-18,CHF,EUR,1.0722
2025-07-19,CHF,EUR,1.07266
2025-07-20,CHF,EUR,1.07268
2025-07-21,CHF,EUR,1.07232
2025-07-22,CHF,EUR,1.07258
2025-07-23,CHF,EUR,1.07327
2025-07-24,CHF,EUR,1.0707
2025-07-25,CHF,EUR,1.07023
2025-07-26,CHF,EUR,1.07105
2025-07-27,CHF,EUR,1.07078
2025-07-28,CHF,EUR,1.07171
2025-07-29,CHF,EUR,1.07412
2025-07-30,CHF,EUR,1.07488
2025-07-31,CHF,EUR,1.07622
2025-08-01,CHF,EUR,1.07443
2025-08-02,CHF,EUR,1.0731
2025-08-03,CHF,EUR,1.07309
2025-08-04,CHF,EUR,1.07034
2025-08-05,CHF,EUR,1.06956
2025-08-06,CHF,EUR,1.06693
2025-08-07,CHF,EUR,1.06347
2025-08-08,CHF,EUR,1.06267
2025-08-09,CHF,EUR,1.06227
2025-08-10,CHF,EUR,1.06231
2025-08-11,CHF,EUR,1.06104
2025-08-12,CHF,EUR,1.06127
2025-08-13,CHF,EUR,1.06141
2025-08-14,CHF,EUR,1.06181
2025-08-15,CHF,EUR,1.06115
2025-08-16,CHF,EUR,1.05849
2025-08-17,CHF,EUR,1.0585
2025-08-18,CHF,EUR,1.06083
2025-08-19,CHF,EUR,1.06262
2025-08-20,CHF,EUR,1.06475
2025-08-21,CHF,EUR,1.0656
2025-08-22,CHF,EUR,1.06488
2025-08-23,CHF,EUR,1.06424
2025-08-24,CHF,EUR,1.0642
2025-08-25,CHF,EUR,1.06557
2025-08-26,CHF,EUR,1.06761
2025-08-27,CHF,EUR,1.07017
2025-08-28,CHF,EUR,1.06976
2025-08-29,CHF,EUR,1.06858
2025-08-30,CHF,EUR,1.0687
2025-08-31,CHF,EUR,1.06865
2025-09-01,CHF,EUR,1.06693
2025-09-02,CHF,EUR,1.06736
2025-09-03,CHF,EUR,1.06686
2025-09-04,CHF,EUR,1.06593
2025-09-05,CHF,EUR,1.06669
2025-09-06,CHF,EUR,1.06889
2025-09-07,CHF,EUR,1.06884
2025-09-08,CHF,EUR,1.07116
2025-09-09,CHF,EUR,1.07165
2025-09-10,CHF,EUR,1.07056
2025-09-11,CHF,EUR,1.07022
2025-09-12,CHF,EUR,1.07016
2025-09-13,CHF,EUR,1.06945
2025-09-14,CHF,EUR,1.06951
2025-09-15,CHF,EUR,1.06991
2025-09-16,CHF,EUR,1.07077
2025-09-17,CHF,EUR,1.07234
2025-09-18,CHF,EUR,1.07139
2025-09-19,CHF,EUR,1.0701
2025-09-20,CHF,EUR,1.06971
2025-09-21,CHF,EUR,1.06977
2025-09-22,CHF,EUR,1.06965
2025-09-23,CHF,EUR,1.06953
2025-09-24,CHF,EUR,1.07054
2025-09-25,CHF,EUR,1.07072
2025-09-26,CHF,EUR,1.07115
2025-09-27,CHF,EUR,1.07072
2025-09-28,CHF,EUR,1.07072
2025-09-29,CHF,EUR,1.06996
2025-09-30,CHF,EUR,1.06932
2025-10-01,CHF,EUR,1.06921
2025-10-02,CHF,EUR,1.06936
2025-10-03,CHF,EUR,1.07
2025-10-04,CHF,EUR,1.0707
2025-10-05,CHF,EUR,1.07065
2025-10-06,CHF,EUR,1.07283
2025-10-07,CHF,EUR,1.0743
2025-10-08,CHF,EUR,1.07386
2025-10-09,CHF,EUR,1.07281
2025-10-10,CHF,EUR,1.07335
2025-10-11,CHF,EUR,1.07594
2025-10-12,CHF,EUR,1.0757
2025-10-13,CHF,EUR,1.07423
2025-10-14,CHF,EUR,1.07551
2025-10-15,CHF,EUR,1.07608
2025-10-16,CHF,EUR,1.07768
2025-10-17,CHF,EUR,1.08126
2025-10-18,CHF,EUR,1.08137
