date,base,quote,rate
2025-06-22,CHF,INR,105.71
2025-06-23,CHF,INR,106.168
2025-06-24,CHF,INR,106.405
2025-06-25,CHF,INR,106.758
2025-06-26,CHF,INR,106.995
2025-06-27,CHF,INR,106.919
2025-06-28,CHF,INR,106.854
2025-06-29,CHF,INR,106.872
2025-06-30,CHF,INR,107.507
2025-07-01,CHF,INR,108.141
2025-07-02,CHF,INR,108.112
2025-07-03,CHF,INR,107.643
2025-07-04,CHF,INR,107.534
2025-07-05,CHF,INR,106.894
2025-07-06,CHF,INR,106.91
2025-07-07,CHF,INR,107.679
2025-07-08,CHF,INR,107.581
2025-07-09,CHF,INR,107.716
2025-07-10,CHF,INR,107.695
2025-07-11,CHF,INR,107.676
2025-07-12,CHF,INR,107.723
2025-07-13,CHF,INR,107.715
2025-07-14,CHF,INR,107.732
2025-07-15,CHF,INR,107.536
2025-07-16,CHF,INR,107.167
2025-07-17,CHF,INR,106.962
2025-07-18,CHF,INR,107.408
2025-07-19,CHF,INR,107.428
2025-07-20,CHF,INR,107.437
2025-07-21,CHF,INR,107.836
2025-07-22,CHF,INR,108.449
2025-07-23,CHF,INR,108.882
2025-07-24,CHF,INR,108.796
2025-07-25,CHF,INR,108.67
2025-07-26,CHF,INR,108.788
2025-07-27,CHF,INR,108.78
2025-07-28,CHF,INR,108.288
2025-07-29,CHF,INR,107.921
2025-07-30,CHF,INR,108.127
2025-07-31,CHF,INR,107.726
2025-08-01,CHF,INR,107.784
2025-08-02,CHF,INR,108.411
2025-08-03,CHF,INR,108.411
2025-08-04,CHF,INR,108.524
2025-08-05,CHF,INR,108.574
2025-08-06,CHF,INR,108.691
2025-08-07,CHF,INR,108.553
2025-08-08,CHF,INR,108.443
2025-08-09,CHF,INR,108.38
2025-08-10,CHF,INR,108.373
2025-08-11,CHF,INR,108.154
2025-08-12,CHF,INR,108.262
2025-08-13,CHF,INR,108.691
2025-08-14,CHF,INR,108.546
2025-08-15,CHF,INR,108.546
2025-08-16,CHF,INR,108.371
2025-08-17,CHF,INR,108.382
2025-08-18,CHF,INR,108.264
2025-08-19,CHF,INR,107.951
2025-08-20,CHF,INR,107.951
2025-08-21,CHF,INR,108.051
2025-08-22,CHF,INR,108.399
2025-08-23,CHF,INR,108.954
2025-08-24,CHF,INR,108.944
2025-08-25,CHF,INR,108.876
2025-08-26,CHF,INR,108.931
2025-08-27,CHF,INR,109.043
2025-08-28,CHF,INR,109.295
2025-08-29,CHF,INR,109.841
2025-08-30,CHF,INR,110.067
2025-08-31,CHF,INR,110.075
2025-09-01,CHF,INR,110.093
2025-09-02,CHF,INR,109.587
2025-09-03,CHF,INR,109.445
2025-09-04,CHF,INR,109.452
2025-09-05,CHF,INR,110.055
2025-09-06,CHF,INR,110.48
2025-09-07,CHF,INR,110.464
