date,base,quote,rate
2025-06-22,CHF,KZT,634.775
2025-06-23,CHF,KZT,638.554
2025-06-24,CHF,KZT,638.891
2025-06-25,CHF,KZT,641.716
2025-06-26,CHF,KZT,644.245
2025-06-27,CHF,KZT,647.934
2025-06-28,CHF,KZT,647.938
2025-06-29,CHF,KZT,647.977
2025-06-30,CHF,KZT,650.97
2025-07-01,CHF,KZT,654.346
2025-07-02,CHF,KZT,653.046
2025-07-03,CHF,KZT,652.0
2025-07-04,CHF,KZT,652.632
2025-07-05,CHF,KZT,651.35
2025-07-06,CHF,KZT,651.395
2025-07-07,CHF,KZT,650.207
2025-07-08,CHF,KZT,649.779
2025-07-09,CHF,KZT,650.277
2025-07-10,CHF,KZT,649.87
2025-07-11,CHF,KZT,652.503
2025-07-12,CHF,KZT,654.695
2025-07-13,CHF,KZT,654.645
2025-07-14,CHF,KZT,654.95
2025-07-15,CHF,KZT,656.016
2025-07-16,CHF,KZT,656.663
2025-07-17,CHF,KZT,659.059
2025-07-18,CHF,KZT,662.456
2025-07-19,CHF,KZT,662.271
2025-07-20,CHF,KZT,662.323
2025-07-21,CHF,KZT,662.373
2025-07-22,CHF,KZT,666.442
2025-07-23,CHF,KZT,674.369
2025-07-24,CHF,KZT,679.293
2025-07-25,CHF,KZT,681.906
2025-07-26,CHF,KZT,683.681
2025-07-27,CHF,KZT,683.633
2025-07-28,CHF,KZT,677.167
2025-07-29,CHF,KZT,672.883
2025-07-30,CHF,KZT,670.666
2025-07-31,CHF,KZT,664.111
2025-08-01,CHF,KZT,666.902
2025-08-02,CHF,KZT,672.979
2025-08-03,CHF,KZT,672.507
2025-08-04,CHF,KZT,666.352
2025-08-05,CHF,KZT,664.051
2025-08-06,CHF,KZT,664.127
2025-08-07,CHF,KZT,665.161
2025-08-08,CHF,KZT,666.641
2025-08-09,CHF,KZT,666.177
2025-08-10,CHF,KZT,666.247
2025-08-11,CHF,KZT,667.818
2025-08-12,CHF,KZT,668.159
2025-08-13,CHF,KZT,668.017
