date,base,quote,rate
2025-06-22,CHF,RUB,95.8054
2025-06-23,CHF,RUB,95.9146
2025-06-24,CHF,RUB,97.0168
2025-06-25,CHF,RUB,97.1645
2025-06-26,CHF,RUB,97.9437
2025-06-27,CHF,RUB,98.2713
2025-06-28,CHF,RUB,98.2074
2025-06-29,CHF,RUB,98.1437
2025-06-30,CHF,RUB,98.1395
2025-07-01,CHF,RUB,99.0153
2025-07-02,CHF,RUB,99.3797
2025-07-03,CHF,RUB,99.464
2025-07-04,CHF,RUB,99.4061
2025-07-05,CHF,RUB,99.0612
2025-07-06,CHF,RUB,98.9977
2025-07-07,CHF,RUB,98.5638
2025-07-08,CHF,RUB,98.4285
2025-07-09,CHF,RUB,98.3049
2025-07-10,CHF,RUB,96.9984
2025-07-11,CHF,RUB,97.6865
2025-07-12,CHF,RUB,97.8994
2025-07-13,CHF,RUB,97.832
2025-07-14,CHF,RUB,97.8112
2025-07-15,CHF,RUB,97.6602
2025-07-16,CHF,RUB,97.4976
2025-07-17,CHF,RUB,97.1662
2025-07-18,CHF,RUB,97.6439
2025-07-19,CHF,RUB,97.8899
2025-07-20,CHF,RUB,97.8321
2025-07-21,CHF,RUB,97.6705
2025-07-22,CHF,RUB,98.3863
2025-07-23,CHF,RUB,98.8816
2025-07-24,CHF,RUB,99.4568
2025-07-25,CHF,RUB,99.7742
2025-07-26,CHF,RUB,99.7858
2025-07-27,CHF,RUB,99.6839
2025-07-28,CHF,RUB,100.161
2025-07-29,CHF,RUB,101.337
2025-07-30,CHF,RUB,100.488
2025-07-31,CHF,RUB,99.2603
2025-08-01,CHF,RUB,99.1599
2025-08-02,CHF,RUB,99.4779
2025-08-03,CHF,RUB,99.3201
2025-08-04,CHF,RUB,98.7016
2025-08-05,CHF,RUB,98.8367
2025-08-06,CHF,RUB,99.1793
2025-08-07,CHF,RUB,98.4967
2025-08-08,CHF,RUB,98.6105
2025-08-09,CHF,RUB,98.9029
2025-08-10,CHF,RUB,98.7449
2025-08-11,CHF,RUB,98.0102
2025-08-12,CHF,RUB,98.323
2025-08-13,CHF,RUB,98.7619
2025-08-14,CHF,RUB,98.7216
2025-08-15,CHF,RUB,99.1812
2025-08-16,CHF,RUB,99.2211
2025-08-17,CHF,RUB,99.1158
2025-08-18,CHF,RUB,99.1875
2025-08-19,CHF,RUB,99.9013
2025-08-20,CHF,RUB,99.8068
2025-08-21,CHF,RUB,99.7725
2025-08-22,CHF,RUB,99.9065
2025-08-23,CHF,RUB,100.473
2025-08-24,CHF,RUB,100.233
2025-08-25,CHF,RUB,99.7801
2025-08-26,CHF,RUB,100.018
2025-08-27,CHF,RUB,99.8886
2025-08-28,CHF,RUB,100.305
2025-08-29,CHF,RUB,100.298
2025-08-30,CHF,RUB,99.9692
2025-08-31,CHF,RUB,99.8669
2025-09-01,CHF,RUB,100.261
2025-09-02,CHF,RUB,100.251
2025-09-03,CHF,RUB,100.411
2025-09-04,CHF,RUB,100.778
2025-09-05,CHF,RUB,101.449
2025-09-06,CHF,RUB,101.773
2025-09-07,CHF,RUB,101.76
2025-09-08,CHF,RUB,103.016
2025-09-09,CHF,RUB,104.745
2025-09-10,CHF,RUB,105.676
2025-09-11,CHF,RUB,106.147
2025-09-12,CHF,RUB,105.554
2025-09-13,CHF,RUB,105.414
2025-09-14,CHF,RUB,105.284
2025-09-15,CHF,RUB,103.996
2025-09-16,CHF,RUB,104.989
2025-09-17,CHF,RUB,105.986
2025-09-18,CHF,RUB,105.462
2025-09-19,CHF,RUB,104.914
2025-09-20,CHF,RUB,104.944
2025-09-21,CHF,RUB,104.83
2025-09-22,CHF,RUB,104.952
2025-09-23,CHF,RUB,105.521
2025-09-24,CHF,RUB,105.421
2025-09-25,CHF,RUB,105.067
2025-09-26,CHF,RUB,104.648
2025-09-27,CHF,RUB,104.415
2025-09-28,CHF,RUB,104.286
2025-09-29,CHF,RUB,103.931
2025-09-30,CHF,RUB,103.776
2025-10-01,CHF,RUB,103.015
2025-10-02,CHF,RUB,102.786
2025-10-03,CHF,RUB,103.186
2025-10-04,CHF,RUB,103.378
2025-10-05,CHF,RUB,103.285
2025-10-06,CHF,RUB,103.693
2025-10-07,CHF,RUB,103.171
2025-10-08,CHF,RUB,101.857
2025-10-09,CHF,RUB,101.128
2025-10-10,CHF,RUB,101.179
2025-10-11,CHF,RUB,102.066
2025-10-12,CHF,RUB,101.781
2025-10-13,CHF,RUB,100.368
2025-10-14,CHF,RUB,99.6331
2025-10-15,CHF,RUB,98.7226
2025-10-16,CHF,RUB,100.078
2025-10-17,CHF,RUB,102.27
2025-10-18,CHF,RUB,102.237
2025-10-19,CHF,RUB,102.194
2025-10-20,CHF,RUB,101.972
2025-10-21,CHF,RUB,102.092
2025-10-22,CHF,RUB,102.385
2025-10-23,CHF,RUB,102.133
2025-10-24,CHF,RUB,101.249
2025-10-25,CHF,RUB,100.166
2025-10-26,CHF,RUB,100.145
2025-10-27,CHF,RUB,99.727
2025-10-28,CHF,RUB,100.041
2025-10-29,CHF,RUB,99.8528
