date,base,quote,rate
2025-06-22,CHF,USD,1.22212
2025-06-23,CHF,USD,1.22561
2025-06-24,CHF,USD,1.23671
2025-06-25,CHF,USD,1.24153
2025-06-26,CHF,USD,1.24806
2025-06-27,CHF,USD,1.2505
2025-06-28,CHF,USD,1.25117
2025-06-29,CHF,USD,1.25125
2025-06-30,CHF,USD,1.25556
2025-07-01,CHF,USD,1.26352
2025-07-02,CHF,USD,1.26252
2025-07-03,CHF,USD,1.25994
2025-07-04,CHF,USD,1.25952
2025-07-05,CHF,USD,1.25791
2025-07-06,CHF,USD,1.25799
2025-07-07,CHF,USD,1.25518
2025-07-08,CHF,USD,1.25493
2025-07-09,CHF,USD,1.25648
2025-07-10,CHF,USD,1.25695
2025-07-11,CHF,USD,1.25482
2025-07-12,CHF,USD,1.25516
2025-07-13,CHF,USD,1.25506
2025-07-14,CHF,USD,1.25424
2025-07-15,CHF,USD,1.25184
2025-07-16,CHF,USD,1.24741
2025-07-17,CHF,USD,1.24386
2025-07-18,CHF,USD,1.24715
2025-07-19,CHF,USD,1.24702
2025-07-20,CHF,USD,1.24713
2025-07-21,CHF,USD,1.25051
2025-07-22,CHF,USD,1.25635
2025-07-23,CHF,USD,1.2606
2025-07-24,CHF,USD,1.25945
2025-07-25,CHF,USD,1.25625
2025-07-26,CHF,USD,1.25755
2025-07-27,CHF,USD,1.25746
2025-07-28,CHF,USD,1.24999
2025-07-29,CHF,USD,1.24167
2025-07-30,CHF,USD,1.23672
2025-07-31,CHF,USD,1.23017
2025-08-01,CHF,USD,1.23405
2025-08-02,CHF,USD,1.2435
2025-08-03,CHF,USD,1.24347
2025-08-04,CHF,USD,1.23855
2025-08-05,CHF,USD,1.23645
2025-08-06,CHF,USD,1.23907
2025-08-07,CHF,USD,1.2397
2025-08-08,CHF,USD,1.23812
2025-08-09,CHF,USD,1.23631
2025-08-10,CHF,USD,1.23644
2025-08-11,CHF,USD,1.23436
2025-08-12,CHF,USD,1.23537
2025-08-13,CHF,USD,1.24201
2025-08-14,CHF,USD,1.23948
2025-08-15,CHF,USD,1.24
2025-08-16,CHF,USD,1.23841
2025-08-17,CHF,USD,1.23851
2025-08-18,CHF,USD,1.23914
2025-08-19,CHF,USD,1.23926
2025-08-20,CHF,USD,1.24011
2025-08-21,CHF,USD,1.2395
2025-08-22,CHF,USD,1.2406
2025-08-23,CHF,USD,1.24738
2025-08-24,CHF,USD,1.24728
2025-08-25,CHF,USD,1.24416
2025-08-26,CHF,USD,1.24277
2025-08-27,CHF,USD,1.24321
2025-08-28,CHF,USD,1.24767
2025-08-29,CHF,USD,1.24784
2025-08-30,CHF,USD,1.2487
2025-08-31,CHF,USD,1.24873
2025-09-01,CHF,USD,1.24948
2025-09-02,CHF,USD,1.24453
2025-09-03,CHF,USD,1.24286
2025-09-04,CHF,USD,1.24173
2025-09-05,CHF,USD,1.2481
2025-09-06,CHF,USD,1.2528
2025-09-07,CHF,USD,1.25263
2025-09-08,CHF,USD,1.25707
2025-09-09,CHF,USD,1.25832
2025-09-10,CHF,USD,1.25316
2025-09-11,CHF,USD,1.25348
2025-09-12,CHF,USD,1.25505
2025-09-13,CHF,USD,1.25496
2025-09-14,CHF,USD,1.25496
2025-09-15,CHF,USD,1.2571
2025-09-16,CHF,USD,1.26553
2025-09-17,CHF,USD,1.27016
2025-09-18,CHF,USD,1.26441
2025-09-19,CHF,USD,1.25842
2025-09-20,CHF,USD,1.25676
2025-09-21,CHF,USD,1.25675
2025-09-22,CHF,USD,1.25877
2025-09-23,CHF,USD,1.26239
2025-09-24,CHF,USD,1.25931
2025-09-25,CHF,USD,1.25372
2025-09-26,CHF,USD,1.2516
2025-09-27,CHF,USD,1.25249
2025-09-28,CHF,USD,1.25259
2025-09-29,CHF,USD,1.25464
2025-09-30,CHF,USD,1.25503
2025-10-01,CHF,USD,1.25522
2025-10-02,CHF,USD,1.25442
2025-10-03,CHF,USD,1.25549
2025-10-04,CHF,USD,1.25707
2025-10-05,CHF,USD,1.25672
2025-10-06,CHF,USD,1.25548
2025-10-07,CHF,USD,1.25424
2025-10-08,CHF,USD,1.24821
2025-10-09,CHF,USD,1.24447
2025-10-10,CHF,USD,1.24371
2025-10-11,CHF,USD,1.25044
2025-10-12,CHF,USD,1.24996
2025-10-13,CHF,USD,1.24488
2025-10-14,CHF,USD,1.24561
2025-10-15,CHF,USD,1.25146
2025-10-16,CHF,USD,1.25753
2025-10-17,CHF,USD,1.26343
2025-10-18,CHF,USD,1.25976
2025-10-19,CHF,USD,1.2598
2025-10-20,CHF,USD,1.26152
2025-10-21,CHF,USD,1.25853
2025-10-22,CHF,USD,1.25612
2025-10-23,CHF,USD,1.25525
2025-10-24,CHF,USD,1.25663
2025-10-25,CHF,USD,1.25616
2025-10-26,CHF,USD,1.25608
2025-10-27,CHF,USD,1.25639
2025-10-28,CHF,USD,1.25952
2025-10-29,CHF,USD,1.25515
2025-10-30,CHF,USD,1.24909
2025-10-31,CHF,USD,1.24507
2025-11-01,CHF,USD,1.24265
2025-11-02,CHF,USD,1.24262
2025-11-03,CHF,USD,1.23966
2025-11-04,CHF,USD,1.23565
