date,base,quote,rate
2025-06-22,CNY,CHF,0.113812
2025-06-23,CNY,CHF,0.113531
2025-06-24,CNY,CHF,0.112653
2025-06-25,CNY,CHF,0.112256
2025-06-26,CNY,CHF,0.111692
2025-06-27,CNY,CHF,0.111494
2025-06-28,CNY,CHF,0.111352
2025-06-29,CNY,CHF,0.111348
2025-06-30,CNY,CHF,0.111095
2025-07-01,CNY,CHF,0.110439
2025-07-02,CNY,CHF,0.110496
2025-07-03,CNY,CHF,0.110728
2025-07-04,CNY,CHF,0.11075
2025-07-05,CNY,CHF,0.110726
2025-07-06,CNY,CHF,0.110737
2025-07-07,CNY,CHF,0.111064
2025-07-08,CNY,CHF,0.11104
2025-07-09,CNY,CHF,0.110842
2025-07-10,CNY,CHF,0.110807
2025-07-11,CNY,CHF,0.111092
2025-07-12,CNY,CHF,0.111083
2025-07-13,CNY,CHF,0.11109
2025-07-14,CNY,CHF,0.111187
2025-07-15,CNY,CHF,0.111364
2025-07-16,CNY,CHF,0.111675
2025-07-17,CNY,CHF,0.111937
2025-07-18,CNY,CHF,0.111644
2025-07-19,CNY,CHF,0.111663
2025-07-20,CNY,CHF,0.111649
2025-07-21,CNY,CHF,0.111412
2025-07-22,CNY,CHF,0.110917
2025-07-23,CNY,CHF,0.110672
2025-07-24,CNY,CHF,0.110907
2025-07-25,CNY,CHF,0.111134
2025-07-26,CNY,CHF,0.110943
2025-07-27,CNY,CHF,0.110955
2025-07-28,CNY,CHF,0.111572
2025-07-29,CNY,CHF,0.11218
2025-07-30,CNY,CHF,0.112561
2025-07-31,CNY,CHF,0.113025
2025-08-01,CNY,CHF,0.112482
2025-08-02,CNY,CHF,0.111611
2025-08-03,CNY,CHF,0.111601
2025-08-04,CNY,CHF,0.112283
2025-08-05,CNY,CHF,0.112568
2025-08-06,CNY,CHF,0.112292
2025-08-07,CNY,CHF,0.112288
2025-08-08,CNY,CHF,0.112409
2025-08-09,CNY,CHF,0.11245
2025-08-10,CNY,CHF,0.112451
2025-08-11,CNY,CHF,0.112728
2025-08-12,CNY,CHF,0.112616
2025-08-13,CNY,CHF,0.112145
2025-08-14,CNY,CHF,0.112403
2025-08-15,CNY,CHF,0.112256
2025-08-16,CNY,CHF,0.112256
2025-08-17,CNY,CHF,0.112256
2025-08-18,CNY,CHF,0.112329
2025-08-19,CNY,CHF,0.112303
2025-08-20,CNY,CHF,0.112278
2025-08-21,CNY,CHF,0.112367
2025-08-22,CNY,CHF,0.112292
2025-08-23,CNY,CHF,0.111755
2025-08-24,CNY,CHF,0.111765
2025-08-25,CNY,CHF,0.112233
2025-08-26,CNY,CHF,0.112441
2025-08-27,CNY,CHF,0.112386
2025-08-28,CNY,CHF,0.112138
2025-08-29,CNY,CHF,0.11223
2025-08-30,CNY,CHF,0.112211
2025-08-31,CNY,CHF,0.112211
2025-09-01,CNY,CHF,0.112171
2025-09-02,CNY,CHF,0.112531
2025-09-03,CNY,CHF,0.112621
2025-09-04,CNY,CHF,0.112728
2025-09-05,CNY,CHF,0.112225
2025-09-06,CNY,CHF,0.111847
2025-09-07,CNY,CHF,0.111857
2025-09-08,CNY,CHF,0.111513
2025-09-09,CNY,CHF,0.111494
2025-09-10,CNY,CHF,0.112012
2025-09-11,CNY,CHF,0.112004
2025-09-12,CNY,CHF,0.111847
2025-09-13,CNY,CHF,0.111778
2025-09-14,CNY,CHF,0.111776
2025-09-15,CNY,CHF,0.111662
2025-09-16,CNY,CHF,0.111001
2025-09-17,CNY,CHF,0.11072
2025-09-18,CNY,CHF,0.111233
2025-09-19,CNY,CHF,0.11166
2025-09-20,CNY,CHF,0.111743
2025-09-21,CNY,CHF,0.111743
2025-09-22,CNY,CHF,0.111635
2025-09-23,CNY,CHF,0.111321
2025-09-24,CNY,CHF,0.111467
2025-09-25,CNY,CHF,0.111816
2025-09-26,CNY,CHF,0.111949
2025-09-27,CNY,CHF,0.111842
2025-09-28,CNY,CHF,0.111832
2025-09-29,CNY,CHF,0.111828
2025-09-30,CNY,CHF,0.111872
2025-10-01,CNY,CHF,0.111851
2025-10-02,CNY,CHF,0.111932
2025-10-03,CNY,CHF,0.111833
2025-10-04,CNY,CHF,0.11165
2025-10-05,CNY,CHF,0.111685
2025-10-06,CNY,CHF,0.111827
2025-10-07,CNY,CHF,0.111941
2025-10-08,CNY,CHF,0.112477
2025-10-09,CNY,CHF,0.112749
2025-10-10,CNY,CHF,0.112742
2025-10-11,CNY,CHF,0.111969
2025-10-12,CNY,CHF,0.112022
2025-10-13,CNY,CHF,0.11262
2025-10-14,CNY,CHF,0.112448
2025-10-15,CNY,CHF,0.112015
2025-10-16,CNY,CHF,0.111564
2025-10-17,CNY,CHF,0.111046
2025-10-18,CNY,CHF,0.111311
2025-10-19,CNY,CHF,0.111309
2025-10-20,CNY,CHF,0.111246
2025-10-21,CNY,CHF,0.11155
2025-10-22,CNY,CHF,0.111708
2025-10-23,CNY,CHF,0.111778
2025-10-24,CNY,CHF,0.11167
2025-10-25,CNY,CHF,0.111698
2025-10-26,CNY,CHF,0.111709
2025-10-27,CNY,CHF,0.111859
2025-10-28,CNY,CHF,0.111754
2025-10-29,CNY,CHF,0.112215
2025-10-30,CNY,CHF,0.11266
2025-10-31,CNY,CHF,0.112893
2025-11-01,CNY,CHF,0.113121
2025-11-02,CNY,CHF,0.11312
2025-11-03,CNY,CHF,0.113228
2025-11-04,CNY,CHF,0.113586
2025-11-05,CNY,CHF,0.113645
2025-11-06,CNY,CHF,0.113443
2025-11-07,CNY,CHF,0.113186
2025-11-08,CNY,CHF,0.112943
2025-11-09,CNY,CHF,0.112962
2025-11-10,CNY,CHF,0.113136
2025-11-11,CNY,CHF,0.112698
2025-11-12,CNY,CHF,0.112281
2025-11-13,CNY,CHF,0.111936
2025-11-14,CNY,CHF,0.11154
2025-11-15,CNY,CHF,0.111772
2025-11-16,CNY,CHF,0.11178
2025-11-17,CNY,CHF,0.111957
2025-11-18,CNY,CHF,0.112123
2025-11-19,CNY,CHF,0.112858
2025-11-20,CNY,CHF,0.113375
2025-11-21,CNY,CHF,0.113453
2025-11-22,CNY,CHF,0.113726
2025-11-23,CNY,CHF,0.11373
2025-11-24,CNY,CHF,0.113724
2025-11-25,CNY,CHF,0.113944
2025-11-26,CNY,CHF,0.113751
2025-11-27,CNY,CHF,0.113599
2025-11-28,CNY,CHF,0.113664
2025-11-29,CNY,CHF,0.113506
2025-11-30,CNY,CHF,0.113511
2025-12-01,CNY,CHF,0.113558
2025-12-02,CNY,CHF,0.113693
2025-12-03,CNY,CHF,0.113285
2025-12-04,CNY,CHF,0.11334
2025-12-05,CNY,CHF,0.113633
2025-12-06,CNY,CHF,0.113709
2025-12-07,CNY,CHF,0.113713
2025-12-08,CNY,CHF,0.113865
2025-12-09,CNY,CHF,0.114046
2025-12-10,CNY,CHF,0.113759
2025-12-11,CNY,CHF,0.112811
2025-12-12,CNY,CHF,0.11268
2025-12-13,CNY,CHF,0.112764
2025-12-14,CNY,CHF,0.112761
2025-12-15,CNY,CHF,0.112892
2025-12-16,CNY,CHF,0.112893
2025-12-17,CNY,CHF,0.112988
2025-12-18,CNY,CHF,0.112844
