date,base,quote,rate
2025-06-22,CNY,INR,12.0387
2025-06-23,CNY,INR,12.0564
2025-06-24,CNY,INR,11.9896
2025-06-25,CNY,INR,11.9871
2025-06-26,CNY,INR,11.9535
2025-06-27,CNY,INR,11.924
2025-06-28,CNY,INR,11.9063
2025-06-29,CNY,INR,11.9075
2025-06-30,CNY,INR,11.9461
2025-07-01,CNY,INR,11.9458
2025-07-02,CNY,INR,11.9488
2025-07-03,CNY,INR,11.922
2025-07-04,CNY,INR,11.9146
2025-07-05,CNY,INR,11.8583
2025-07-06,CNY,INR,11.8593
2025-07-07,CNY,INR,11.9619
2025-07-08,CNY,INR,11.9486
2025-07-09,CNY,INR,11.9426
2025-07-10,CNY,INR,11.936
2025-07-11,CNY,INR,11.9646
2025-07-12,CNY,INR,11.971
2025-07-13,CNY,INR,11.971
2025-07-14,CNY,INR,11.9812
2025-07-15,CNY,INR,11.9782
2025-07-16,CNY,INR,11.9705
2025-07-17,CNY,INR,11.9755
2025-07-18,CNY,INR,11.9941
2025-07-19,CNY,INR,12.0014
2025-07-20,CNY,INR,12.0013
2025-07-21,CNY,INR,12.0169
2025-07-22,CNY,INR,12.0314
2025-07-23,CNY,INR,12.053
2025-07-24,CNY,INR,12.069
2025-07-25,CNY,INR,12.08
2025-07-26,CNY,INR,12.0774
2025-07-27,CNY,INR,12.0775
2025-07-28,CNY,INR,12.0845
2025-07-29,CNY,INR,12.1093
2025-07-30,CNY,INR,12.1737
2025-07-31,CNY,INR,12.1786
2025-08-01,CNY,INR,12.1263
2025-08-02,CNY,INR,12.1036
2025-08-03,CNY,INR,12.103
2025-08-04,CNY,INR,12.1882
2025-08-05,CNY,INR,12.2248
2025-08-06,CNY,INR,12.2078
2025-08-07,CNY,INR,12.1922
2025-08-08,CNY,INR,12.1946
2025-08-09,CNY,INR,12.2075
2025-08-10,CNY,INR,12.2055
2025-08-11,CNY,INR,12.1948
2025-08-12,CNY,INR,12.1948
2025-08-13,CNY,INR,12.1921
2025-08-14,CNY,INR,12.2039
2025-08-15,CNY,INR,12.1892
2025-08-16,CNY,INR,12.1831
2025-08-17,CNY,INR,12.1833
2025-08-18,CNY,INR,12.1639
2025-08-19,CNY,INR,12.1261
2025-08-20,CNY,INR,12.1232
2025-08-21,CNY,INR,12.1443
2025-08-22,CNY,INR,12.1755
2025-08-23,CNY,INR,12.1851
2025-08-24,CNY,INR,12.1849
2025-08-25,CNY,INR,12.2224
2025-08-26,CNY,INR,12.2512
2025-08-27,CNY,INR,12.2575
2025-08-28,CNY,INR,12.2589
2025-08-29,CNY,INR,12.3307
2025-08-30,CNY,INR,12.3605
2025-08-31,CNY,INR,12.3611
2025-09-01,CNY,INR,12.3519
2025-09-02,CNY,INR,12.3347
2025-09-03,CNY,INR,12.3287
2025-09-04,CNY,INR,12.3411
2025-09-05,CNY,INR,12.3537
2025-09-06,CNY,INR,12.3628
2025-09-07,CNY,INR,12.3623
2025-09-08,CNY,INR,12.3419
2025-09-09,CNY,INR,12.3682
2025-09-10,CNY,INR,12.3691
2025-09-11,CNY,INR,12.3963
2025-09-12,CNY,INR,12.3962
2025-09-13,CNY,INR,12.3888
2025-09-14,CNY,INR,12.3884
2025-09-15,CNY,INR,12.3802
2025-09-16,CNY,INR,12.3667
2025-09-17,CNY,INR,12.3525
2025-09-18,CNY,INR,12.3938
2025-09-19,CNY,INR,12.3894
2025-09-20,CNY,INR,12.3818
2025-09-21,CNY,INR,12.3815
2025-09-22,CNY,INR,12.4034
2025-09-23,CNY,INR,12.4647
2025-09-24,CNY,INR,12.4601
2025-09-25,CNY,INR,12.4394
2025-09-26,CNY,INR,12.4298
2025-09-27,CNY,INR,12.426
2025-09-28,CNY,INR,12.4256
2025-09-29,CNY,INR,12.4491
2025-09-30,CNY,INR,12.4702
2025-10-01,CNY,INR,12.4564
2025-10-02,CNY,INR,12.4607
2025-10-03,CNY,INR,12.4639
2025-10-04,CNY,INR,12.4629
2025-10-05,CNY,INR,12.4619
2025-10-06,CNY,INR,12.4622
2025-10-07,CNY,INR,12.4614
2025-10-08,CNY,INR,12.465
2025-10-09,CNY,INR,12.4641
2025-10-10,CNY,INR,12.4435
2025-10-11,CNY,INR,12.4438
2025-10-12,CNY,INR,12.4428
2025-10-13,CNY,INR,12.4361
2025-10-14,CNY,INR,12.4356
2025-10-15,CNY,INR,12.3604
2025-10-16,CNY,INR,12.3342
2025-10-17,CNY,INR,12.3436
2025-10-18,CNY,INR,12.3451
2025-10-19,CNY,INR,12.3446
2025-10-20,CNY,INR,12.3383
2025-10-21,CNY,INR,12.3543
2025-10-22,CNY,INR,12.315
2025-10-23,CNY,INR,12.326
2025-10-24,CNY,INR,12.322
2025-10-25,CNY,INR,12.3284
2025-10-26,CNY,INR,12.3287
2025-10-27,CNY,INR,12.3867
2025-10-28,CNY,INR,12.4248
2025-10-29,CNY,INR,12.4288
2025-10-30,CNY,INR,12.4663
2025-10-31,CNY,INR,12.469
2025-11-01,CNY,INR,12.4497
2025-11-02,CNY,INR,12.4523
2025-11-03,CNY,INR,12.4594
2025-11-04,CNY,INR,12.449
2025-11-05,CNY,INR,12.4372
2025-11-06,CNY,INR,12.4418
2025-11-07,CNY,INR,12.4521
2025-11-08,CNY,INR,12.4437
2025-11-09,CNY,INR,12.4434
2025-11-10,CNY,INR,12.4551
2025-11-11,CNY,INR,12.4411
2025-11-12,CNY,INR,12.4505
2025-11-13,CNY,INR,12.4861
2025-11-14,CNY,INR,12.4876
2025-11-15,CNY,INR,12.487
2025-11-16,CNY,INR,12.4869
2025-11-17,CNY,INR,12.4776
2025-11-18,CNY,INR,12.4617
2025-11-19,CNY,INR,12.4487
2025-11-20,CNY,INR,12.4703
2025-11-21,CNY,INR,12.5551
2025-11-22,CNY,INR,12.6074
2025-11-23,CNY,INR,12.6068
2025-11-24,CNY,INR,12.5561
2025-11-25,CNY,INR,12.5684
2025-11-26,CNY,INR,12.5952
2025-11-27,CNY,INR,12.608
2025-11-28,CNY,INR,12.6286
2025-11-29,CNY,INR,12.6236
2025-11-30,CNY,INR,12.623
2025-12-01,CNY,INR,12.6576
2025-12-02,CNY,INR,12.7044
2025-12-03,CNY,INR,12.7505
2025-12-04,CNY,INR,12.7288
2025-12-05,CNY,INR,12.7156
2025-12-06,CNY,INR,12.7062
2025-12-07,CNY,INR,12.7067
2025-12-08,CNY,INR,12.7394
2025-12-09,CNY,INR,12.7209
2025-12-10,CNY,INR,12.7222
2025-12-11,CNY,INR,12.7716
2025-12-12,CNY,INR,12.8169
2025-12-13,CNY,INR,12.8317
2025-12-14,CNY,INR,12.8311
2025-12-15,CNY,INR,12.8589
2025-12-16,CNY,INR,12.9026
2025-12-17,CNY,INR,12.8432
2025-12-18,CNY,INR,12.8138
