date,base,quote,rate
2025-06-22,CNY,KZT,72.2906
2025-06-23,CNY,KZT,72.5142
2025-06-24,CNY,KZT,71.9895
2025-06-25,CNY,KZT,72.0537
2025-06-26,CNY,KZT,71.9749
2025-06-27,CNY,KZT,72.2601
2025-06-28,CNY,KZT,72.1969
2025-06-29,CNY,KZT,72.197
2025-06-30,CNY,KZT,72.3356
2025-07-01,CNY,KZT,72.2828
2025-07-02,CNY,KZT,72.176
2025-07-03,CNY,KZT,72.2122
2025-07-04,CNY,KZT,72.3106
2025-07-05,CNY,KZT,72.2577
2025-07-06,CNY,KZT,72.2579
2025-07-07,CNY,KZT,72.2308
2025-07-08,CNY,KZT,72.1682
2025-07-09,CNY,KZT,72.0971
2025-07-10,CNY,KZT,72.026
2025-07-11,CNY,KZT,72.5039
2025-07-12,CNY,KZT,72.7545
2025-07-13,CNY,KZT,72.7545
2025-07-14,CNY,KZT,72.8389
2025-07-15,CNY,KZT,73.0723
2025-07-16,CNY,KZT,73.3488
2025-07-17,CNY,KZT,73.7883
2025-07-18,CNY,KZT,73.9756
2025-07-19,CNY,KZT,73.9863
2025-07-20,CNY,KZT,73.9851
2025-07-21,CNY,KZT,73.8124
2025-07-22,CNY,KZT,73.9356
2025-07-23,CNY,KZT,74.6511
2025-07-24,CNY,KZT,75.3557
2025-07-25,CNY,KZT,75.8022
2025-07-26,CNY,KZT,75.9013
2025-07-27,CNY,KZT,75.9015
2025-07-28,CNY,KZT,75.569
2025-07-29,CNY,KZT,75.5004
2025-07-30,CNY,KZT,75.5084
2025-07-31,CNY,KZT,75.0789
2025-08-01,CNY,KZT,75.0298
2025-08-02,CNY,KZT,75.1351
2025-08-03,CNY,KZT,75.079
2025-08-04,CNY,KZT,74.8367
2025-08-05,CNY,KZT,74.7679
2025-08-06,CNY,KZT,74.5921
2025-08-07,CNY,KZT,74.7084
2025-08-08,CNY,KZT,74.9647
2025-08-09,CNY,KZT,75.0358
2025-08-10,CNY,KZT,75.0358
2025-08-11,CNY,KZT,75.2995
2025-08-12,CNY,KZT,75.2625
2025-08-13,CNY,KZT,74.9326
2025-08-14,CNY,KZT,74.8757
2025-08-15,CNY,KZT,75.0518
2025-08-16,CNY,KZT,75.128
2025-08-17,CNY,KZT,75.1314
2025-08-18,CNY,KZT,74.9318
2025-08-19,CNY,KZT,74.7685
2025-08-20,CNY,KZT,74.7697
2025-08-21,CNY,KZT,74.705
2025-08-22,CNY,KZT,74.734
2025-08-23,CNY,KZT,74.7574
2025-08-24,CNY,KZT,74.7609
2025-08-25,CNY,KZT,74.4828
2025-08-26,CNY,KZT,74.6441
2025-08-27,CNY,KZT,74.9018
2025-08-28,CNY,KZT,75.1116
2025-08-29,CNY,KZT,75.1896
2025-08-30,CNY,KZT,75.3212
2025-08-31,CNY,KZT,75.3208
2025-09-01,CNY,KZT,75.2348
2025-09-02,CNY,KZT,75.3668
2025-09-03,CNY,KZT,75.3851
2025-09-04,CNY,KZT,75.3749
2025-09-05,CNY,KZT,75.1901
2025-09-06,CNY,KZT,75.0724
2025-09-07,CNY,KZT,75.0702
2025-09-08,CNY,KZT,74.835
2025-09-09,CNY,KZT,74.9663
2025-09-10,CNY,KZT,75.3958
2025-09-11,CNY,KZT,75.4829
2025-09-12,CNY,KZT,75.5628
2025-09-13,CNY,KZT,75.6922
2025-09-14,CNY,KZT,75.6929
2025-09-15,CNY,KZT,75.7089
2025-09-16,CNY,KZT,75.7409
2025-09-17,CNY,KZT,75.8216
2025-09-18,CNY,KZT,75.9646
2025-09-19,CNY,KZT,75.919
2025-09-20,CNY,KZT,75.8784
2025-09-21,CNY,KZT,75.8772
2025-09-22,CNY,KZT,76.1259
2025-09-23,CNY,KZT,76.3173
2025-09-24,CNY,KZT,76.0541
2025-09-25,CNY,KZT,75.8354
2025-09-26,CNY,KZT,76.1062
2025-09-27,CNY,KZT,76.0075
2025-09-28,CNY,KZT,76.0081
2025-09-29,CNY,KZT,76.4963
2025-09-30,CNY,KZT,76.8884
2025-10-01,CNY,KZT,76.819
2025-10-02,CNY,KZT,76.6572
2025-10-03,CNY,KZT,76.6516
2025-10-04,CNY,KZT,76.6622
2025-10-05,CNY,KZT,76.6622
2025-10-06,CNY,KZT,76.4032
2025-10-07,CNY,KZT,75.8621
2025-10-08,CNY,KZT,75.7199
2025-10-09,CNY,KZT,75.7992
2025-10-10,CNY,KZT,75.4932
2025-10-11,CNY,KZT,75.0392
2025-10-12,CNY,KZT,75.0483
2025-10-13,CNY,KZT,75.1288
2025-10-14,CNY,KZT,75.2906
2025-10-15,CNY,KZT,75.2945
2025-10-16,CNY,KZT,75.2279
2025-10-17,CNY,KZT,75.1311
2025-10-18,CNY,KZT,75.4705
2025-10-19,CNY,KZT,75.4704
2025-10-20,CNY,KZT,75.3783
2025-10-21,CNY,KZT,75.4018
2025-10-22,CNY,KZT,75.3824
2025-10-23,CNY,KZT,75.2868
2025-10-24,CNY,KZT,75.277
2025-10-25,CNY,KZT,75.3386
2025-10-26,CNY,KZT,75.3344
2025-10-27,CNY,KZT,75.3722
2025-10-28,CNY,KZT,75.1485
2025-10-29,CNY,KZT,74.5501
2025-10-30,CNY,KZT,74.3714
2025-10-31,CNY,KZT,74.3635
2025-11-01,CNY,KZT,74.321
2025-11-02,CNY,KZT,74.3115
2025-11-03,CNY,KZT,73.8497
2025-11-04,CNY,KZT,73.4307
2025-11-05,CNY,KZT,73.4122
2025-11-06,CNY,KZT,73.6141
2025-11-07,CNY,KZT,73.5573
2025-11-08,CNY,KZT,73.4761
2025-11-09,CNY,KZT,73.4757
2025-11-10,CNY,KZT,73.3923
2025-11-11,CNY,KZT,73.4905
2025-11-12,CNY,KZT,73.5351
2025-11-13,CNY,KZT,73.523
2025-11-14,CNY,KZT,73.4868
2025-11-15,CNY,KZT,73.5901
2025-11-16,CNY,KZT,73.5962
2025-11-17,CNY,KZT,73.4637
2025-11-18,CNY,KZT,73.0885
2025-11-19,CNY,KZT,72.8226
2025-11-20,CNY,KZT,72.8128
2025-11-21,CNY,KZT,72.8567
2025-11-22,CNY,KZT,73.019
2025-11-23,CNY,KZT,73.0239
2025-11-24,CNY,KZT,72.9773
2025-11-25,CNY,KZT,72.9484
2025-11-26,CNY,KZT,72.9155
2025-11-27,CNY,KZT,72.7422
2025-11-28,CNY,KZT,72.4078
2025-11-29,CNY,KZT,72.2498
2025-11-30,CNY,KZT,72.2458
2025-12-01,CNY,KZT,72.0942
2025-12-02,CNY,KZT,71.7499
2025-12-03,CNY,KZT,71.1178
2025-12-04,CNY,KZT,71.0612
2025-12-05,CNY,KZT,71.2916
2025-12-06,CNY,KZT,71.2652
2025-12-07,CNY,KZT,71.2711
2025-12-08,CNY,KZT,71.7204
2025-12-09,CNY,KZT,72.5008
2025-12-10,CNY,KZT,73.0095
2025-12-11,CNY,KZT,73.2415
2025-12-12,CNY,KZT,73.606
2025-12-13,CNY,KZT,73.6849
2025-12-14,CNY,KZT,73.6844
2025-12-15,CNY,KZT,73.2666
2025-12-16,CNY,KZT,72.9686
2025-12-17,CNY,KZT,72.8824
2025-12-18,CNY,KZT,72.8879
