date,base,quote,rate
2025-06-22,CNY,RUB,10.9107
2025-06-23,CNY,RUB,10.8921
2025-06-24,CNY,RUB,10.9317
2025-06-25,CNY,RUB,10.9099
2025-06-26,CNY,RUB,10.9422
2025-06-27,CNY,RUB,10.9596
2025-06-28,CNY,RUB,10.9428
2025-06-29,CNY,RUB,10.9351
2025-06-30,CNY,RUB,10.9052
2025-07-01,CNY,RUB,10.9378
2025-07-02,CNY,RUB,10.9836
2025-07-03,CNY,RUB,11.0161
2025-07-04,CNY,RUB,11.0141
2025-07-05,CNY,RUB,10.9894
2025-07-06,CNY,RUB,10.9816
2025-07-07,CNY,RUB,10.9493
2025-07-08,CNY,RUB,10.932
2025-07-09,CNY,RUB,10.8992
2025-07-10,CNY,RUB,10.7505
2025-07-11,CNY,RUB,10.8546
2025-07-12,CNY,RUB,10.8793
2025-07-13,CNY,RUB,10.8726
2025-07-14,CNY,RUB,10.8779
2025-07-15,CNY,RUB,10.8782
2025-07-16,CNY,RUB,10.8904
2025-07-17,CNY,RUB,10.8787
2025-07-18,CNY,RUB,10.9038
2025-07-19,CNY,RUB,10.9359
2025-07-20,CNY,RUB,10.9284
2025-07-21,CNY,RUB,10.884
2025-07-22,CNY,RUB,10.915
2025-07-23,CNY,RUB,10.946
2025-07-24,CNY,RUB,11.033
2025-07-25,CNY,RUB,11.0911
2025-07-26,CNY,RUB,11.0781
2025-07-27,CNY,RUB,11.0676
2025-07-28,CNY,RUB,11.1775
2025-07-29,CNY,RUB,11.3705
2025-07-30,CNY,RUB,11.3137
2025-07-31,CNY,RUB,11.2216
2025-08-01,CNY,RUB,11.156
2025-08-02,CNY,RUB,11.1063
2025-08-03,CNY,RUB,11.0882
2025-08-04,CNY,RUB,11.085
2025-08-05,CNY,RUB,11.1284
2025-08-06,CNY,RUB,11.1394
2025-08-07,CNY,RUB,11.0628
2025-08-08,CNY,RUB,11.0889
2025-08-09,CNY,RUB,11.1401
2025-08-10,CNY,RUB,11.1211
2025-08-11,CNY,RUB,11.0511
2025-08-12,CNY,RUB,11.0753
2025-08-13,CNY,RUB,11.0783
2025-08-14,CNY,RUB,11.0993
2025-08-15,CNY,RUB,11.1376
2025-08-16,CNY,RUB,11.1545
2025-08-17,CNY,RUB,11.1417
2025-08-18,CNY,RUB,11.1441
2025-08-19,CNY,RUB,11.2219
2025-08-20,CNY,RUB,11.2086
2025-08-21,CNY,RUB,11.2138
2025-08-22,CNY,RUB,11.2216
2025-08-23,CNY,RUB,11.2366
2025-08-24,CNY,RUB,11.2106
2025-08-25,CNY,RUB,11.2013
2025-08-26,CNY,RUB,11.2488
2025-08-27,CNY,RUB,11.2284
2025-08-28,CNY,RUB,11.2505
2025-08-29,CNY,RUB,11.2594
2025-08-30,CNY,RUB,11.2265
2025-08-31,CNY,RUB,11.2148
2025-09-01,CNY,RUB,11.2488
2025-09-02,CNY,RUB,11.2838
2025-09-03,CNY,RUB,11.311
2025-09-04,CNY,RUB,11.3631
2025-09-05,CNY,RUB,11.3877
2025-09-06,CNY,RUB,11.3884
2025-09-07,CNY,RUB,11.3882
2025-09-08,CNY,RUB,11.4901
2025-09-09,CNY,RUB,11.6809
2025-09-10,CNY,RUB,11.8394
2025-09-11,CNY,RUB,11.8915
2025-09-12,CNY,RUB,11.8086
