date,base,quote,rate
2025-06-22,CNY,USD,0.139179
2025-06-23,CNY,USD,0.13918
2025-06-24,CNY,USD,0.139351
2025-06-25,CNY,USD,0.139402
2025-06-26,CNY,USD,0.139433
2025-06-27,CNY,USD,0.13946
2025-06-28,CNY,USD,0.139413
2025-06-29,CNY,USD,0.139413
2025-06-30,CNY,USD,0.139518
2025-07-01,CNY,USD,0.139576
2025-07-02,CNY,USD,0.139536
2025-07-03,CNY,USD,0.139544
2025-07-04,CNY,USD,0.139553
2025-07-05,CNY,USD,0.139546
2025-07-06,CNY,USD,0.139547
2025-07-07,CNY,USD,0.139437
2025-07-08,CNY,USD,0.13938
2025-07-09,CNY,USD,0.139308
2025-07-10,CNY,USD,0.13931
2025-07-11,CNY,USD,0.139431
2025-07-12,CNY,USD,0.139483
2025-07-13,CNY,USD,0.139483
2025-07-14,CNY,USD,0.139488
2025-07-15,CNY,USD,0.139439
2025-07-16,CNY,USD,0.139335
2025-07-17,CNY,USD,0.139262
2025-07-18,CNY,USD,0.139268
2025-07-19,CNY,USD,0.139313
2025-07-20,CNY,USD,0.139311
2025-07-21,CNY,USD,0.139352
2025-07-22,CNY,USD,0.13938
2025-07-23,CNY,USD,0.139545
2025-07-24,CNY,USD,0.139714
2025-07-25,CNY,USD,0.139647
2025-07-26,CNY,USD,0.139611
2025-07-27,CNY,USD,0.139611
2025-07-28,CNY,USD,0.139494
2025-07-29,CNY,USD,0.13932
2025-07-30,CNY,USD,0.139239
2025-07-31,CNY,USD,0.139073
2025-08-01,CNY,USD,0.138837
2025-08-02,CNY,USD,0.138832
2025-08-03,CNY,USD,0.138822
2025-08-04,CNY,USD,0.139099
2025-08-05,CNY,USD,0.139216
2025-08-06,CNY,USD,0.139167
2025-08-07,CNY,USD,0.139238
2025-08-08,CNY,USD,0.139228
2025-08-09,CNY,USD,0.139253
2025-08-10,CNY,USD,0.139253
2025-08-11,CNY,USD,0.13918
2025-08-12,CNY,USD,0.139155
2025-08-13,CNY,USD,0.139318
2025-08-14,CNY,USD,0.139354
2025-08-15,CNY,USD,0.139246
2025-08-16,CNY,USD,0.139222
2025-08-17,CNY,USD,0.139222
2025-08-18,CNY,USD,0.139222
2025-08-19,CNY,USD,0.139206
2025-08-20,CNY,USD,0.139269
2025-08-21,CNY,USD,0.139312
2025-08-22,CNY,USD,0.139345
2025-08-23,CNY,USD,0.139503
2025-08-24,CNY,USD,0.139503
2025-08-25,CNY,USD,0.139669
2025-08-26,CNY,USD,0.139771
2025-08-27,CNY,USD,0.139748
2025-08-28,CNY,USD,0.139943
2025-08-29,CNY,USD,0.140082
2025-08-30,CNY,USD,0.140229
2025-08-31,CNY,USD,0.140229
2025-09-01,CNY,USD,0.140185
2025-09-02,CNY,USD,0.140079
2025-09-03,CNY,USD,0.140004
2025-09-04,CNY,USD,0.140009
2025-09-05,CNY,USD,0.1401
2025-09-06,CNY,USD,0.140189
2025-09-07,CNY,USD,0.140185
2025-09-08,CNY,USD,0.140211
2025-09-09,CNY,USD,0.140326
2025-09-10,CNY,USD,0.140399
2025-09-11,CNY,USD,0.140426
2025-09-12,CNY,USD,0.140405
2025-09-13,CNY,USD,0.140342
2025-09-14,CNY,USD,0.140342
2025-09-15,CNY,USD,0.1404
2025-09-16,CNY,USD,0.140506
2025-09-17,CNY,USD,0.140665
2025-09-18,CNY,USD,0.140677
2025-09-19,CNY,USD,0.140553
2025-09-20,CNY,USD,0.140545
2025-09-21,CNY,USD,0.140543
2025-09-22,CNY,USD,0.140554
2025-09-23,CNY,USD,0.140563
2025-09-24,CNY,USD,0.140403
2025-09-25,CNY,USD,0.140217
2025-09-26,CNY,USD,0.140148
