date,base,quote,rate
2025-06-22,EUR,CHF,0.941963
2025-06-23,EUR,CHF,0.939661
2025-06-24,EUR,CHF,0.938377
2025-06-25,EUR,CHF,0.936136
2025-06-26,EUR,CHF,0.937448
2025-06-27,EUR,CHF,0.936185
2025-06-28,EUR,CHF,0.936
2025-06-29,EUR,CHF,0.936066
2025-06-30,EUR,CHF,0.935065
2025-07-01,EUR,CHF,0.933093
2025-07-02,EUR,CHF,0.933384
2025-07-03,EUR,CHF,0.93448
2025-07-04,EUR,CHF,0.934508
2025-07-05,EUR,CHF,0.93467
2025-07-06,EUR,CHF,0.934744
2025-07-07,EUR,CHF,0.935027
2025-07-08,EUR,CHF,0.934447
2025-07-09,EUR,CHF,0.932078
2025-07-10,EUR,CHF,0.931783
2025-07-11,EUR,CHF,0.931172
2025-07-12,EUR,CHF,0.9311
2025-07-13,EUR,CHF,0.930989
2025-07-14,EUR,CHF,0.930799
2025-07-15,EUR,CHF,0.930177
2025-07-16,EUR,CHF,0.931438
2025-07-17,EUR,CHF,0.932404
2025-07-18,EUR,CHF,0.93244
2025-07-19,EUR,CHF,0.93166
2025-07-20,EUR,CHF,0.931627
2025-07-21,EUR,CHF,0.932365
2025-07-22,EUR,CHF,0.932137
2025-07-23,EUR,CHF,0.931524
2025-07-24,EUR,CHF,0.933765
2025-07-25,EUR,CHF,0.93419
2025-07-26,EUR,CHF,0.93331
2025-07-27,EUR,CHF,0.933533
2025-07-28,EUR,CHF,0.932889
2025-07-29,EUR,CHF,0.930804
2025-07-30,EUR,CHF,0.930148
2025-07-31,EUR,CHF,0.928971
2025-08-01,EUR,CHF,0.930536
2025-08-02,EUR,CHF,0.93151
2025-08-03,EUR,CHF,0.931499
2025-08-04,EUR,CHF,0.934082
2025-08-05,EUR,CHF,0.934765
2025-08-06,EUR,CHF,0.937085
2025-08-07,EUR,CHF,0.940112
2025-08-08,EUR,CHF,0.940801
2025-08-09,EUR,CHF,0.94076
2025-08-10,EUR,CHF,0.940721
2025-08-11,EUR,CHF,0.94227
2025-08-12,EUR,CHF,0.94207
2025-08-13,EUR,CHF,0.941925
2025-08-14,EUR,CHF,0.941589
2025-08-15,EUR,CHF,0.94211
2025-08-16,EUR,CHF,0.94381
2025-08-17,EUR,CHF,0.943837
2025-08-18,EUR,CHF,0.942472
2025-08-19,EUR,CHF,0.940868
2025-08-20,EUR,CHF,0.938995
2025-08-21,EUR,CHF,0.938234
2025-08-22,EUR,CHF,0.938864
2025-08-23,EUR,CHF,0.93913
2025-08-24,EUR,CHF,0.939164
2025-08-25,EUR,CHF,0.938268
2025-08-26,EUR,CHF,0.936471
2025-08-27,EUR,CHF,0.934245
2025-08-28,EUR,CHF,0.93458
2025-08-29,EUR,CHF,0.93562
2025-08-30,EUR,CHF,0.93527
2025-08-31,EUR,CHF,0.935307
2025-09-01,EUR,CHF,0.937081
2025-09-02,EUR,CHF,0.936699
2025-09-03,EUR,CHF,0.937142
2025-09-04,EUR,CHF,0.937958
2025-09-05,EUR,CHF,0.937285
2025-09-06,EUR,CHF,0.93509
2025-09-07,EUR,CHF,0.935128
2025-09-08,EUR,CHF,0.933386
2025-09-09,EUR,CHF,0.932954
2025-09-10,EUR,CHF,0.933912
2025-09-11,EUR,CHF,0.934199
2025-09-12,EUR,CHF,0.934249
2025-09-13,EUR,CHF,0.93465
2025-09-14,EUR,CHF,0.934585
2025-09-15,EUR,CHF,0.934476
2025-09-16,EUR,CHF,0.933719
2025-09-17,EUR,CHF,0.932354
2025-09-18,EUR,CHF,0.933169
2025-09-19,EUR,CHF,0.934277
2025-09-20,EUR,CHF,0.93425
2025-09-21,EUR,CHF,0.934196
2025-09-22,EUR,CHF,0.93469
2025-09-23,EUR,CHF,0.934802
2025-09-24,EUR,CHF,0.933909
2025-09-25,EUR,CHF,0.933758
2025-09-26,EUR,CHF,0.933399
2025-09-27,EUR,CHF,0.93365
2025-09-28,EUR,CHF,0.933609
2025-09-29,EUR,CHF,0.93444
2025-09-30,EUR,CHF,0.934977
2025-10-01,EUR,CHF,0.93508
2025-10-02,EUR,CHF,0.934948
2025-10-03,EUR,CHF,0.934393
2025-10-04,EUR,CHF,0.93358
2025-10-05,EUR,CHF,0.933614
2025-10-06,EUR,CHF,0.931924
2025-10-07,EUR,CHF,0.930656
2025-10-08,EUR,CHF,0.931024
2025-10-09,EUR,CHF,0.93193
2025-10-10,EUR,CHF,0.93137
2025-10-11,EUR,CHF,0.92819
2025-10-12,EUR,CHF,0.928472
2025-10-13,EUR,CHF,0.93072
2025-10-14,EUR,CHF,0.929597
2025-10-15,EUR,CHF,0.929115
2025-10-16,EUR,CHF,0.927728
2025-10-17,EUR,CHF,0.924666
2025-10-18,EUR,CHF,0.92439
2025-10-19,EUR,CHF,0.924437
2025-10-20,EUR,CHF,0.923766
2025-10-21,EUR,CHF,0.922986
2025-10-22,EUR,CHF,0.923646
2025-10-23,EUR,CHF,0.924271
2025-10-24,EUR,CHF,0.924403
2025-10-25,EUR,CHF,0.9248
2025-10-26,EUR,CHF,0.92495
2025-10-27,EUR,CHF,0.926047
2025-10-28,EUR,CHF,0.925271
2025-10-29,EUR,CHF,0.926565
2025-10-30,EUR,CHF,0.927915
2025-10-31,EUR,CHF,0.927644
2025-11-01,EUR,CHF,0.92802
2025-11-02,EUR,CHF,0.927989
2025-11-03,EUR,CHF,0.929407
2025-11-04,EUR,CHF,0.930388
2025-11-05,EUR,CHF,0.930424
2025-11-06,EUR,CHF,0.931213
2025-11-07,EUR,CHF,0.931276
2025-11-08,EUR,CHF,0.93077
2025-11-09,EUR,CHF,0.930799
2025-11-10,EUR,CHF,0.931275
2025-11-11,EUR,CHF,0.928412
2025-11-12,EUR,CHF,0.925315
2025-11-13,EUR,CHF,0.923781
2025-11-14,EUR,CHF,0.921353
2025-11-15,EUR,CHF,0.92246
2025-11-16,EUR,CHF,0.922447
2025-11-17,EUR,CHF,0.922309
2025-11-18,EUR,CHF,0.923591
2025-11-19,EUR,CHF,0.927766
2025-11-20,EUR,CHF,0.929105
2025-11-21,EUR,CHF,0.929226
2025-11-22,EUR,CHF,0.93071
2025-11-23,EUR,CHF,0.930694
2025-11-24,EUR,CHF,0.931211
2025-11-25,EUR,CHF,0.933212
2025-11-26,EUR,CHF,0.933219
2025-11-27,EUR,CHF,0.932972
2025-11-28,EUR,CHF,0.93236
2025-11-29,EUR,CHF,0.93206
2025-11-30,EUR,CHF,0.932053
2025-12-01,EUR,CHF,0.933032
2025-12-02,EUR,CHF,0.933771
2025-12-03,EUR,CHF,0.933295
2025-12-04,EUR,CHF,0.934309
2025-12-05,EUR,CHF,0.936166
2025-12-06,EUR,CHF,0.93674
2025-12-07,EUR,CHF,0.936708
2025-12-08,EUR,CHF,0.937707
2025-12-09,EUR,CHF,0.938214
2025-12-10,EUR,CHF,0.936213
2025-12-11,EUR,CHF,0.93367
2025-12-12,EUR,CHF,0.933317
2025-12-13,EUR,CHF,0.93426
2025-12-14,EUR,CHF,0.934217
2025-12-15,EUR,CHF,0.934945
2025-12-16,EUR,CHF,0.935231
2025-12-17,EUR,CHF,0.933951
2025-12-18,EUR,CHF,0.932414
