date,base,quote,rate
2025-06-22,EUR,RUB,90.2806
2025-06-23,EUR,RUB,90.1456
2025-06-24,EUR,RUB,91.0518
2025-06-25,EUR,RUB,90.9739
2025-06-26,EUR,RUB,91.8326
2025-06-27,EUR,RUB,92.0139
2025-06-28,EUR,RUB,91.9474
2025-06-29,EUR,RUB,91.8954
2025-06-30,EUR,RUB,91.78
2025-07-01,EUR,RUB,92.4044
2025-07-02,EUR,RUB,92.7748
2025-07-03,EUR,RUB,92.9634
2025-07-04,EUR,RUB,92.9222
2025-07-05,EUR,RUB,92.7037
2025-07-06,EUR,RUB,92.6448
2025-07-07,EUR,RUB,92.1733
2025-07-08,EUR,RUB,91.9908
2025-07-09,EUR,RUB,91.643
2025-07-10,EUR,RUB,90.3951
2025-07-11,EUR,RUB,90.9746
2025-07-12,EUR,RUB,91.1751
2025-07-13,EUR,RUB,91.1008
2025-07-14,EUR,RUB,91.055
2025-07-15,EUR,RUB,90.8548
2025-07-16,EUR,RUB,90.8257
2025-07-17,EUR,RUB,90.6101
2025-07-18,EUR,RUB,91.0597
2025-07-19,EUR,RUB,91.2259
2025-07-20,EUR,RUB,91.1702
2025-07-21,EUR,RUB,91.0779
2025-07-22,EUR,RUB,91.7233
2025-07-23,EUR,RUB,92.1238
2025-07-24,EUR,RUB,92.8837
2025-07-25,EUR,RUB,93.2206
2025-07-26,EUR,RUB,93.1542
2025-07-27,EUR,RUB,93.0813
2025-07-28,EUR,RUB,93.4538
2025-07-29,EUR,RUB,94.337
2025-07-30,EUR,RUB,93.4662
2025-07-31,EUR,RUB,92.2207
2025-08-01,EUR,RUB,92.2875
2025-08-02,EUR,RUB,92.6882
2025-08-03,EUR,RUB,92.5433
2025-08-04,EUR,RUB,92.2087
2025-08-05,EUR,RUB,92.4036
2025-08-06,EUR,RUB,92.9509
2025-08-07,EUR,RUB,92.6136
2025-08-08,EUR,RUB,92.7909
2025-08-09,EUR,RUB,93.1119
2025-08-10,EUR,RUB,92.9598
2025-08-11,EUR,RUB,92.3666
2025-08-12,EUR,RUB,92.6408
2025-08-13,EUR,RUB,93.0413
2025-08-14,EUR,RUB,92.9707
2025-08-15,EUR,RUB,93.4625
2025-08-16,EUR,RUB,93.7493
2025-08-17,EUR,RUB,93.6496
2025-08-18,EUR,RUB,93.4947
2025-08-19,EUR,RUB,94.0076
2025-08-20,EUR,RUB,93.7317
2025-08-21,EUR,RUB,93.6243
2025-08-22,EUR,RUB,93.8166
2025-08-23,EUR,RUB,94.4079
2025-08-24,EUR,RUB,94.1843
2025-08-25,EUR,RUB,93.6353
2025-08-26,EUR,RUB,93.6778
2025-08-27,EUR,RUB,93.3335
2025-08-28,EUR,RUB,93.7571
2025-08-29,EUR,RUB,93.8557
2025-08-30,EUR,RUB,93.5401
2025-08-31,EUR,RUB,93.448
2025-09-01,EUR,RUB,93.9655
2025-09-02,EUR,RUB,93.9182
2025-09-03,EUR,RUB,94.1122
2025-09-04,EUR,RUB,94.5396
2025-09-05,EUR,RUB,95.097
2025-09-06,EUR,RUB,95.1711
2025-09-07,EUR,RUB,95.1688
2025-09-08,EUR,RUB,96.1677
2025-09-09,EUR,RUB,97.7355
2025-09-10,EUR,RUB,98.7048
2025-09-11,EUR,RUB,99.1765
2025-09-12,EUR,RUB,98.6274
2025-09-13,EUR,RUB,98.5561
2025-09-14,EUR,RUB,98.4297
2025-09-15,EUR,RUB,97.1964
2025-09-16,EUR,RUB,98.0448
2025-09-17,EUR,RUB,98.8313
2025-09-18,EUR,RUB,98.4288
2025-09-19,EUR,RUB,98.0287
