date,base,quote,rate
2025-06-22,EUR,USD,1.15164
2025-06-23,EUR,USD,1.15189
2025-06-24,EUR,USD,1.16067
2025-06-25,EUR,USD,1.16243
2025-06-26,EUR,USD,1.17019
2025-06-27,EUR,USD,1.17087
2025-06-28,EUR,USD,1.17142
2025-06-29,EUR,USD,1.17159
2025-06-30,EUR,USD,1.1742
2025-07-01,EUR,USD,1.17916
2025-07-02,EUR,USD,1.17861
2025-07-03,EUR,USD,1.17759
2025-07-04,EUR,USD,1.17736
2025-07-05,EUR,USD,1.17718
2025-07-06,EUR,USD,1.17727
2025-07-07,EUR,USD,1.1738
2025-07-08,EUR,USD,1.17285
2025-07-09,EUR,USD,1.17133
2025-07-10,EUR,USD,1.17139
2025-07-11,EUR,USD,1.1686
2025-07-12,EUR,USD,1.16895
2025-07-13,EUR,USD,1.16871
2025-07-14,EUR,USD,1.16761
2025-07-15,EUR,USD,1.1646
2025-07-16,EUR,USD,1.16205
2025-07-17,EUR,USD,1.15993
2025-07-18,EUR,USD,1.16306
2025-07-19,EUR,USD,1.16213
2025-07-20,EUR,USD,1.1622
2025-07-21,EUR,USD,1.1661
2025-07-22,EUR,USD,1.17126
2025-07-23,EUR,USD,1.17445
2025-07-24,EUR,USD,1.17622
2025-07-25,EUR,USD,1.17373
2025-07-26,EUR,USD,1.17397
2025-07-27,EUR,USD,1.17417
2025-07-28,EUR,USD,1.16629
2025-07-29,EUR,USD,1.1559
2025-07-30,EUR,USD,1.1503
2025-07-31,EUR,USD,1.14292
2025-08-01,EUR,USD,1.14852
2025-08-02,EUR,USD,1.15863
2025-08-03,EUR,USD,1.15863
2025-08-04,EUR,USD,1.15707
2025-08-05,EUR,USD,1.15597
2025-08-06,EUR,USD,1.16126
2025-08-07,EUR,USD,1.16565
2025-08-08,EUR,USD,1.16505
2025-08-09,EUR,USD,1.16392
2025-08-10,EUR,USD,1.164
2025-08-11,EUR,USD,1.16329
2025-08-12,EUR,USD,1.16398
2025-08-13,EUR,USD,1.17007
2025-08-14,EUR,USD,1.16727
2025-08-15,EUR,USD,1.1685
2025-08-16,EUR,USD,1.17011
2025-08-17,EUR,USD,1.17021
2025-08-18,EUR,USD,1.16803
2025-08-19,EUR,USD,1.16615
2025-08-20,EUR,USD,1.16463
2025-08-21,EUR,USD,1.16312
2025-08-22,EUR,USD,1.16498
2025-08-23,EUR,USD,1.17208
2025-08-24,EUR,USD,1.17201
2025-08-25,EUR,USD,1.16754
2025-08-26,EUR,USD,1.16399
2025-08-27,EUR,USD,1.16162
2025-08-28,EUR,USD,1.16623
2025-08-29,EUR,USD,1.16768
2025-08-30,EUR,USD,1.1684
2025-08-31,EUR,USD,1.16847
2025-09-01,EUR,USD,1.17103
2025-09-02,EUR,USD,1.16592
2025-09-03,EUR,USD,1.16489
2025-09-04,EUR,USD,1.16486
2025-09-05,EUR,USD,1.16996
2025-09-06,EUR,USD,1.17154
2025-09-07,EUR,USD,1.17149
2025-09-08,EUR,USD,1.1735
2025-09-09,EUR,USD,1.17412
2025-09-10,EUR,USD,1.1705
2025-09-11,EUR,USD,1.17116
2025-09-12,EUR,USD,1.17269
2025-09-13,EUR,USD,1.17331
2025-09-14,EUR,USD,1.17326
2025-09-15,EUR,USD,1.1749
2025-09-16,EUR,USD,1.18182
2025-09-17,EUR,USD,1.18442
2025-09-18,EUR,USD,1.18008
2025-09-19,EUR,USD,1.17584
2025-09-20,EUR,USD,1.17416
2025-09-21,EUR,USD,1.17415
2025-09-22,EUR,USD,1.17673
2025-09-23,EUR,USD,1.18025
2025-09-24,EUR,USD,1.17625
2025-09-25,EUR,USD,1.17084
2025-09-26,EUR,USD,1.16842
2025-09-27,EUR,USD,1.16993
2025-09-28,EUR,USD,1.16998
2025-09-29,EUR,USD,1.17254
2025-09-30,EUR,USD,1.1736
2025-10-01,EUR,USD,1.1739
2025-10-02,EUR,USD,1.17298
2025-10-03,EUR,USD,1.17331
2025-10-04,EUR,USD,1.17419
2025-10-05,EUR,USD,1.17388
2025-10-06,EUR,USD,1.17019
2025-10-07,EUR,USD,1.16742
2025-10-08,EUR,USD,1.16228
2025-10-09,EUR,USD,1.15996
2025-10-10,EUR,USD,1.15861
2025-10-11,EUR,USD,1.16173
2025-10-12,EUR,USD,1.16157
2025-10-13,EUR,USD,1.1588
2025-10-14,EUR,USD,1.15809
2025-10-15,EUR,USD,1.16292
2025-10-16,EUR,USD,1.16683
2025-10-17,EUR,USD,1.16843
2025-10-18,EUR,USD,1.16501
2025-10-19,EUR,USD,1.1651
2025-10-20,EUR,USD,1.16552
2025-10-21,EUR,USD,1.16177
2025-10-22,EUR,USD,1.16037
2025-10-23,EUR,USD,1.16036
2025-10-24,EUR,USD,1.16185
2025-10-25,EUR,USD,1.16257
2025-10-26,EUR,USD,1.16262
2025-10-27,EUR,USD,1.16362
2025-10-28,EUR,USD,1.16555
2025-10-29,EUR,USD,1.16313
2025-10-30,EUR,USD,1.1592
2025-10-31,EUR,USD,1.15514
2025-11-01,EUR,USD,1.15355
2025-11-02,EUR,USD,1.15351
2025-11-03,EUR,USD,1.1523
2025-11-04,EUR,USD,1.14977
2025-11-05,EUR,USD,1.14859
2025-11-06,EUR,USD,1.15234
2025-11-07,EUR,USD,1.15537
2025-11-08,EUR,USD,1.15651
2025-11-09,EUR,USD,1.15639
2025-11-10,EUR,USD,1.15599
2025-11-11,EUR,USD,1.15738
2025-11-12,EUR,USD,1.15806
2025-11-13,EUR,USD,1.16146
2025-11-14,EUR,USD,1.16268
2025-11-15,EUR,USD,1.16207
2025-11-16,EUR,USD,1.16206
2025-11-17,EUR,USD,1.15973
2025-11-18,EUR,USD,1.1588
2025-11-19,EUR,USD,1.15621
2025-11-20,EUR,USD,1.15245
2025-11-21,EUR,USD,1.15221
2025-11-22,EUR,USD,1.15119
2025-11-23,EUR,USD,1.15117
2025-11-24,EUR,USD,1.15238
2025-11-25,EUR,USD,1.15446
2025-11-26,EUR,USD,1.15829
2025-11-27,EUR,USD,1.15944
2025-11-28,EUR,USD,1.15856
2025-11-29,EUR,USD,1.15942
2025-11-30,EUR,USD,1.15944
2025-12-01,EUR,USD,1.16135
2025-12-02,EUR,USD,1.16113
2025-12-03,EUR,USD,1.16544
2025-12-04,EUR,USD,1.16597
2025-12-05,EUR,USD,1.16483
2025-12-06,EUR,USD,1.16428
2025-12-07,EUR,USD,1.16426
2025-12-08,EUR,USD,1.1645
2025-12-09,EUR,USD,1.16363
2025-12-10,EUR,USD,1.16469
2025-12-11,EUR,USD,1.17188
2025-12-12,EUR,USD,1.17355
2025-12-13,EUR,USD,1.17388
2025-12-14,EUR,USD,1.17386
2025-12-15,EUR,USD,1.17436
2025-12-16,EUR,USD,1.17574
2025-12-17,EUR,USD,1.17333
2025-12-18,EUR,USD,1.17307
