date,base,quote,rate
2025-06-22,GBP,CHF,1.09968
2025-06-23,GBP,CHF,1.09748
2025-06-24,GBP,CHF,1.09913
2025-06-25,GBP,CHF,1.09755
2025-06-26,GBP,CHF,1.09939
2025-06-27,GBP,CHF,1.09724
2025-06-28,GBP,CHF,1.09566
2025-06-29,GBP,CHF,1.0956
2025-06-30,GBP,CHF,1.09195
2025-07-01,GBP,CHF,1.08737
2025-07-02,GBP,CHF,1.08301
2025-07-03,GBP,CHF,1.0829
2025-07-04,GBP,CHF,1.08344
2025-07-05,GBP,CHF,1.08172
2025-07-06,GBP,CHF,1.082
2025-07-07,GBP,CHF,1.08453
2025-07-08,GBP,CHF,1.08338
2025-07-09,GBP,CHF,1.08115
2025-07-10,GBP,CHF,1.08077
2025-07-11,GBP,CHF,1.07758
2025-07-12,GBP,CHF,1.07439
2025-07-13,GBP,CHF,1.07443
2025-07-14,GBP,CHF,1.07303
2025-07-15,GBP,CHF,1.07156
2025-07-16,GBP,CHF,1.07427
2025-07-17,GBP,CHF,1.0773
2025-07-18,GBP,CHF,1.07663
2025-07-19,GBP,CHF,1.07461
2025-07-20,GBP,CHF,1.07456
2025-07-21,GBP,CHF,1.07607
2025-07-22,GBP,CHF,1.07406
2025-07-23,GBP,CHF,1.07452
2025-07-24,GBP,CHF,1.07511
2025-07-25,GBP,CHF,1.07103
2025-07-26,GBP,CHF,1.068
2025-07-27,GBP,CHF,1.06804
2025-07-28,GBP,CHF,1.07206
2025-07-29,GBP,CHF,1.0744
2025-07-30,GBP,CHF,1.07654
2025-07-31,GBP,CHF,1.07539
2025-08-01,GBP,CHF,1.07126
2025-08-02,GBP,CHF,1.06705
2025-08-03,GBP,CHF,1.06709
2025-08-04,GBP,CHF,1.07241
2025-08-05,GBP,CHF,1.07452
2025-08-06,GBP,CHF,1.07514
2025-08-07,GBP,CHF,1.08045
2025-08-08,GBP,CHF,1.08522
2025-08-09,GBP,CHF,1.08566
2025-08-10,GBP,CHF,1.08566
2025-08-11,GBP,CHF,1.08857
2025-08-12,GBP,CHF,1.09006
2025-08-13,GBP,CHF,1.09069
2025-08-14,GBP,CHF,1.09359
2025-08-15,GBP,CHF,1.09258
2025-08-16,GBP,CHF,1.09294
2025-08-17,GBP,CHF,1.09295
2025-08-18,GBP,CHF,1.0919
2025-08-19,GBP,CHF,1.08925
2025-08-20,GBP,CHF,1.08627
2025-08-21,GBP,CHF,1.08397
2025-08-22,GBP,CHF,1.08442
2025-08-23,GBP,CHF,1.08366
2025-08-24,GBP,CHF,1.08366
2025-08-25,GBP,CHF,1.08406
2025-08-26,GBP,CHF,1.08383
2025-08-27,GBP,CHF,1.08298
2025-08-28,GBP,CHF,1.08249
2025-08-29,GBP,CHF,1.08097
2025-08-30,GBP,CHF,1.08068
2025-08-31,GBP,CHF,1.08067
2025-09-01,GBP,CHF,1.08284
2025-09-02,GBP,CHF,1.07903
2025-09-03,GBP,CHF,1.07866
2025-09-04,GBP,CHF,1.0816
2025-09-05,GBP,CHF,1.0804
2025-09-06,GBP,CHF,1.07752
2025-09-07,GBP,CHF,1.07754
2025-09-08,GBP,CHF,1.07566
2025-09-09,GBP,CHF,1.07665
2025-09-10,GBP,CHF,1.07982
2025-09-11,GBP,CHF,1.08025
2025-09-12,GBP,CHF,1.07983
2025-09-13,GBP,CHF,1.07962
2025-09-14,GBP,CHF,1.07959
2025-09-15,GBP,CHF,1.08069
2025-09-16,GBP,CHF,1.07732
2025-09-17,GBP,CHF,1.07415
2025-09-18,GBP,CHF,1.07465
2025-09-19,GBP,CHF,1.07242
2025-09-20,GBP,CHF,1.07108
2025-09-21,GBP,CHF,1.07108
2025-09-22,GBP,CHF,1.0717
2025-09-23,GBP,CHF,1.07041
2025-09-24,GBP,CHF,1.06954
2025-09-25,GBP,CHF,1.06869
2025-09-26,GBP,CHF,1.06833
2025-09-27,GBP,CHF,1.06918
2025-09-28,GBP,CHF,1.06913
2025-09-29,GBP,CHF,1.07042
2025-09-30,GBP,CHF,1.07076
2025-10-01,GBP,CHF,1.07299
2025-10-02,GBP,CHF,1.07293
2025-10-03,GBP,CHF,1.07168
2025-10-04,GBP,CHF,1.07128
2025-10-05,GBP,CHF,1.07122
2025-10-06,GBP,CHF,1.07159
2025-10-07,GBP,CHF,1.07145
2025-10-08,GBP,CHF,1.07352
2025-10-09,GBP,CHF,1.07271
2025-10-10,GBP,CHF,1.07029
2025-10-11,GBP,CHF,1.06661
2025-10-12,GBP,CHF,1.06698
2025-10-13,GBP,CHF,1.07123
2025-10-14,GBP,CHF,1.06817
2025-10-15,GBP,CHF,1.06772
2025-10-16,GBP,CHF,1.06766
2025-10-17,GBP,CHF,1.06282
2025-10-18,GBP,CHF,1.06476
2025-10-19,GBP,CHF,1.06479
2025-10-20,GBP,CHF,1.0635
2025-10-21,GBP,CHF,1.06304
2025-10-22,GBP,CHF,1.06269
2025-10-23,GBP,CHF,1.06206
2025-10-24,GBP,CHF,1.05935
2025-10-25,GBP,CHF,1.05837
2025-10-26,GBP,CHF,1.05864
2025-10-27,GBP,CHF,1.06083
2025-10-28,GBP,CHF,1.05643
2025-10-29,GBP,CHF,1.05325
2025-10-30,GBP,CHF,1.05458
2025-10-31,GBP,CHF,1.05512
2025-11-01,GBP,CHF,1.05753
2025-11-02,GBP,CHF,1.05744
2025-11-03,GBP,CHF,1.05944
2025-11-04,GBP,CHF,1.0577
2025-11-05,GBP,CHF,1.05574
2025-11-06,GBP,CHF,1.05788
2025-11-07,GBP,CHF,1.0587
2025-11-08,GBP,CHF,1.05895
2025-11-09,GBP,CHF,1.05902
2025-11-10,GBP,CHF,1.06046
2025-11-11,GBP,CHF,1.05541
2025-11-12,GBP,CHF,1.04902
2025-11-13,GBP,CHF,1.04645
2025-11-14,GBP,CHF,1.04229
2025-11-15,GBP,CHF,1.04502
2025-11-16,GBP,CHF,1.04499
2025-11-17,GBP,CHF,1.0466
2025-11-18,GBP,CHF,1.0481
2025-11-19,GBP,CHF,1.0516
2025-11-20,GBP,CHF,1.05355
2025-11-21,GBP,CHF,1.05526
2025-11-22,GBP,CHF,1.05849
2025-11-23,GBP,CHF,1.0585
2025-11-24,GBP,CHF,1.05845
2025-11-25,GBP,CHF,1.06228
2025-11-26,GBP,CHF,1.06339
2025-11-27,GBP,CHF,1.0653
2025-11-28,GBP,CHF,1.06435
2025-11-29,GBP,CHF,1.06261
2025-11-30,GBP,CHF,1.06266
2025-12-01,GBP,CHF,1.06269
2025-12-02,GBP,CHF,1.06198
2025-12-03,GBP,CHF,1.06411
2025-12-04,GBP,CHF,1.06899
2025-12-05,GBP,CHF,1.07183
2025-12-06,GBP,CHF,1.07229
2025-12-07,GBP,CHF,1.07223
2025-12-08,GBP,CHF,1.07298
2025-12-09,GBP,CHF,1.07375
2025-12-10,GBP,CHF,1.07122
2025-12-11,GBP,CHF,1.06664
2025-12-12,GBP,CHF,1.06376
2025-12-13,GBP,CHF,1.06365
2025-12-14,GBP,CHF,1.06362
2025-12-15,GBP,CHF,1.06459
2025-12-16,GBP,CHF,1.06599
2025-12-17,GBP,CHF,1.06437
2025-12-18,GBP,CHF,1.06318
