date,base,quote,rate
2025-06-22,GBP,EUR,1.1672
2025-06-23,GBP,EUR,1.16789
2025-06-24,GBP,EUR,1.17129
2025-06-25,GBP,EUR,1.17237
2025-06-26,GBP,EUR,1.17269
2025-06-27,GBP,EUR,1.17194
2025-06-28,GBP,EUR,1.17043
2025-06-29,GBP,EUR,1.1703
2025-06-30,GBP,EUR,1.16773
2025-07-01,GBP,EUR,1.16531
2025-07-02,GBP,EUR,1.16025
2025-07-03,GBP,EUR,1.15875
2025-07-04,GBP,EUR,1.15929
2025-07-05,GBP,EUR,1.1571
2025-07-06,GBP,EUR,1.15729
2025-07-07,GBP,EUR,1.15985
2025-07-08,GBP,EUR,1.15934
2025-07-09,GBP,EUR,1.15989
2025-07-10,GBP,EUR,1.15984
2025-07-11,GBP,EUR,1.15715
2025-07-12,GBP,EUR,1.15378
2025-07-13,GBP,EUR,1.15399
2025-07-14,GBP,EUR,1.15275
2025-07-15,GBP,EUR,1.15195
2025-07-16,GBP,EUR,1.15329
2025-07-17,GBP,EUR,1.15535
2025-07-18,GBP,EUR,1.15453
2025-07-19,GBP,EUR,1.15311
2025-07-20,GBP,EUR,1.15315
2025-07-21,GBP,EUR,1.15408
2025-07-22,GBP,EUR,1.15219
2025-07-23,GBP,EUR,1.15344
2025-07-24,GBP,EUR,1.1513
2025-07-25,GBP,EUR,1.14637
2025-07-26,GBP,EUR,1.14401
2025-07-27,GBP,EUR,1.14384
2025-07-28,GBP,EUR,1.14914
2025-07-29,GBP,EUR,1.15424
2025-07-30,GBP,EUR,1.15754
2025-07-31,GBP,EUR,1.15762
2025-08-01,GBP,EUR,1.15118
2025-08-02,GBP,EUR,1.14563
2025-08-03,GBP,EUR,1.14566
2025-08-04,GBP,EUR,1.14802
2025-08-05,GBP,EUR,1.14943
2025-08-06,GBP,EUR,1.1473
2025-08-07,GBP,EUR,1.1492
2025-08-08,GBP,EUR,1.15344
2025-08-09,GBP,EUR,1.15397
2025-08-10,GBP,EUR,1.15398
2025-08-11,GBP,EUR,1.15519
2025-08-12,GBP,EUR,1.15705
2025-08-13,GBP,EUR,1.15786
2025-08-14,GBP,EUR,1.16136
