date,base,quote,rate
2025-06-22,GBP,INR,116.268
2025-06-23,GBP,INR,116.545
2025-06-24,GBP,INR,116.981
2025-06-25,GBP,INR,117.196
2025-06-26,GBP,INR,117.655
2025-06-27,GBP,INR,117.341
2025-06-28,GBP,INR,117.15
2025-06-29,GBP,INR,117.161
2025-06-30,GBP,INR,117.416
2025-07-01,GBP,INR,117.615
2025-07-02,GBP,INR,117.113
2025-07-03,GBP,INR,116.591
2025-07-04,GBP,INR,116.559
2025-07-05,GBP,INR,115.888
2025-07-06,GBP,INR,115.911
2025-07-07,GBP,INR,116.804
2025-07-08,GBP,INR,116.578
2025-07-09,GBP,INR,116.482
2025-07-10,GBP,INR,116.414
2025-07-11,GBP,INR,116.045
2025-07-12,GBP,INR,115.752
2025-07-13,GBP,INR,115.751
2025-07-14,GBP,INR,115.622
2025-07-15,GBP,INR,115.254
2025-07-16,GBP,INR,115.146
2025-07-17,GBP,INR,115.252
2025-07-18,GBP,INR,115.657
2025-07-19,GBP,INR,115.483
2025-07-20,GBP,INR,115.491
2025-07-21,GBP,INR,116.062
2025-07-22,GBP,INR,116.501
2025-07-23,GBP,INR,117.018
2025-07-24,GBP,INR,116.99
2025-07-25,GBP,INR,116.407
2025-07-26,GBP,INR,116.218
2025-07-27,GBP,INR,116.218
2025-07-28,GBP,INR,116.115
2025-07-29,GBP,INR,115.974
2025-07-30,GBP,INR,116.425
2025-07-31,GBP,INR,115.872
2025-08-01,GBP,INR,115.491
2025-08-02,GBP,INR,115.753
2025-08-03,GBP,INR,115.756
2025-08-04,GBP,INR,116.403
2025-08-05,GBP,INR,116.687
2025-08-06,GBP,INR,116.88
2025-08-07,GBP,INR,117.31
2025-08-08,GBP,INR,117.726
2025-08-09,GBP,INR,117.875
2025-08-10,GBP,INR,117.85
2025-08-11,GBP,INR,117.756
2025-08-12,GBP,INR,118.036
2025-08-13,GBP,INR,118.571
2025-08-14,GBP,INR,118.728
2025-08-15,GBP,INR,118.622
2025-08-16,GBP,INR,118.541
2025-08-17,GBP,INR,118.553
2025-08-18,GBP,INR,118.235
2025-08-19,GBP,INR,117.607
2025-08-20,GBP,INR,117.285
2025-08-21,GBP,INR,117.16
2025-08-22,GBP,INR,117.584
2025-08-23,GBP,INR,118.101
2025-08-24,GBP,INR,118.093
2025-08-25,GBP,INR,118.05
