date,base,quote,rate
2025-06-22,GBP,KZT,698.175
2025-06-23,GBP,KZT,700.966
2025-06-24,GBP,KZT,702.393
2025-06-25,GBP,KZT,704.456
2025-06-26,GBP,KZT,708.427
2025-06-27,GBP,KZT,711.091
2025-06-28,GBP,KZT,710.37
2025-06-29,GBP,KZT,710.364
2025-06-30,GBP,KZT,710.974
2025-07-01,GBP,KZT,711.674
2025-07-02,GBP,KZT,707.414
2025-07-03,GBP,KZT,706.193
2025-07-04,GBP,KZT,707.404
2025-07-05,GBP,KZT,706.155
2025-07-06,GBP,KZT,706.232
2025-07-07,GBP,KZT,705.311
2025-07-08,GBP,KZT,704.12
2025-07-09,GBP,KZT,703.201
2025-07-10,GBP,KZT,702.485
2025-07-11,GBP,KZT,703.221
2025-07-12,GBP,KZT,703.49
2025-07-13,GBP,KZT,703.484
2025-07-14,GBP,KZT,702.913
2025-07-15,GBP,KZT,703.1
2025-07-16,GBP,KZT,705.556
2025-07-17,GBP,KZT,710.135
2025-07-18,GBP,KZT,713.333
2025-07-19,GBP,KZT,711.93
2025-07-20,GBP,KZT,711.97
2025-07-21,GBP,KZT,712.897
2025-07-22,GBP,KZT,715.928
2025-07-23,GBP,KZT,724.761
2025-07-24,GBP,KZT,730.452
2025-07-25,GBP,KZT,730.454
2025-07-26,GBP,KZT,730.379
2025-07-27,GBP,KZT,730.381
2025-07-28,GBP,KZT,726.113
2025-07-29,GBP,KZT,723.088
2025-07-30,GBP,KZT,722.136
2025-07-31,GBP,KZT,714.329
2025-08-01,GBP,KZT,714.587
2025-08-02,GBP,KZT,718.551
2025-08-03,GBP,KZT,718.072
2025-08-04,GBP,KZT,714.729
2025-08-05,GBP,KZT,713.668
2025-08-06,GBP,KZT,714.166
2025-08-07,GBP,KZT,718.82
2025-08-08,GBP,KZT,723.706
2025-08-09,GBP,KZT,724.54
2025-08-10,GBP,KZT,724.508
2025-08-11,GBP,KZT,727.108
2025-08-12,GBP,KZT,728.479
2025-08-13,GBP,KZT,728.739
2025-08-14,GBP,KZT,728.445
2025-08-15,GBP,KZT,730.386
2025-08-16,GBP,KZT,730.993
2025-08-17,GBP,KZT,731.089
2025-08-18,GBP,KZT,728.352
2025-08-19,GBP,KZT,725.155
2025-08-20,GBP,KZT,723.35
2025-08-21,GBP,KZT,720.706
2025-08-22,GBP,KZT,721.738
2025-08-23,GBP,KZT,724.572
2025-08-24,GBP,KZT,724.568
2025-08-25,GBP,KZT,719.397
2025-08-26,GBP,KZT,719.462
2025-08-27,GBP,KZT,721.74
2025-08-28,GBP,KZT,725.033
2025-08-29,GBP,KZT,724.126
2025-08-30,GBP,KZT,725.007
2025-08-31,GBP,KZT,725.031
2025-09-01,GBP,KZT,726.246
2025-09-02,GBP,KZT,722.647
2025-09-03,GBP,KZT,721.981
2025-09-04,GBP,KZT,723.173
2025-09-05,GBP,KZT,723.816
2025-09-06,GBP,KZT,723.081
2025-09-07,GBP,KZT,723.01
2025-09-08,GBP,KZT,721.83
2025-09-09,GBP,KZT,723.89
2025-09-10,GBP,KZT,726.795
2025-09-11,GBP,KZT,727.978
2025-09-12,GBP,KZT,729.487
2025-09-13,GBP,KZT,731.063
2025-09-14,GBP,KZT,731.06
2025-09-15,GBP,KZT,732.7
2025-09-16,GBP,KZT,735.076
2025-09-17,GBP,KZT,735.546
2025-09-18,GBP,KZT,733.874
2025-09-19,GBP,KZT,729.086
2025-09-20,GBP,KZT,727.039
2025-09-21,GBP,KZT,727.039
2025-09-22,GBP,KZT,730.775
2025-09-23,GBP,KZT,733.784
2025-09-24,GBP,KZT,729.709
2025-09-25,GBP,KZT,724.781
2025-09-26,GBP,KZT,726.238
2025-09-27,GBP,KZT,726.507
2025-09-28,GBP,KZT,726.543
2025-09-29,GBP,KZT,732.175
2025-09-30,GBP,KZT,735.881
2025-10-01,GBP,KZT,736.889
2025-10-02,GBP,KZT,734.768
2025-10-03,GBP,KZT,734.497
2025-10-04,GBP,KZT,735.501
2025-10-05,GBP,KZT,735.231
2025-10-06,GBP,KZT,732.108
2025-10-07,GBP,KZT,726.086
2025-10-08,GBP,KZT,722.664
2025-10-09,GBP,KZT,721.138
2025-10-10,GBP,KZT,716.64
2025-10-11,GBP,KZT,714.762
2025-10-12,GBP,KZT,714.755
2025-10-13,GBP,KZT,714.582
2025-10-14,GBP,KZT,715.171
2025-10-15,GBP,KZT,717.67
2025-10-16,GBP,KZT,719.894
2025-10-17,GBP,KZT,719.039
2025-10-18,GBP,KZT,721.847
2025-10-19,GBP,KZT,721.891
2025-10-20,GBP,KZT,720.579
2025-10-21,GBP,KZT,718.525
2025-10-22,GBP,KZT,717.091
2025-10-23,GBP,KZT,715.306
2025-10-24,GBP,KZT,714.087
2025-10-25,GBP,KZT,713.879
2025-10-26,GBP,KZT,713.947
2025-10-27,GBP,KZT,714.777
2025-10-28,GBP,KZT,710.36
2025-10-29,GBP,KZT,699.698
2025-10-30,GBP,KZT,696.147
2025-10-31,GBP,KZT,694.98
2025-11-01,GBP,KZT,694.724
2025-11-02,GBP,KZT,694.591
2025-11-03,GBP,KZT,690.96
2025-11-04,GBP,KZT,683.752
2025-11-05,GBP,KZT,681.961
2025-11-06,GBP,KZT,686.437
2025-11-07,GBP,KZT,687.981
2025-11-08,GBP,KZT,688.622
2025-11-09,GBP,KZT,688.575
2025-11-10,GBP,KZT,687.904
2025-11-11,GBP,KZT,688.207
2025-11-12,GBP,KZT,686.997
2025-11-13,GBP,KZT,687.319
2025-11-14,GBP,KZT,686.666
2025-11-15,GBP,KZT,687.99
2025-11-16,GBP,KZT,687.975
2025-11-17,GBP,KZT,686.722
2025-11-18,GBP,KZT,683.188
2025-11-19,GBP,KZT,678.535
2025-11-20,GBP,KZT,676.594
2025-11-21,GBP,KZT,677.622
2025-11-22,GBP,KZT,679.532
2025-11-23,GBP,KZT,679.561
2025-11-24,GBP,KZT,679.186
2025-11-25,GBP,KZT,680.05
2025-11-26,GBP,KZT,681.621
2025-11-27,GBP,KZT,682.122
2025-11-28,GBP,KZT,678.007
2025-11-29,GBP,KZT,676.317
2025-11-30,GBP,KZT,676.29
