date,base,quote,rate
2025-06-22,GBP,RUB,105.374
2025-06-23,GBP,RUB,105.289
2025-06-24,GBP,RUB,106.66
2025-06-25,GBP,RUB,106.664
2025-06-26,GBP,RUB,107.701
2025-06-27,GBP,RUB,107.85
2025-06-28,GBP,RUB,107.67
2025-06-29,GBP,RUB,107.593
2025-06-30,GBP,RUB,107.186
2025-07-01,GBP,RUB,107.69
2025-07-02,GBP,RUB,107.653
2025-07-03,GBP,RUB,107.731
2025-07-04,GBP,RUB,107.749
2025-07-05,GBP,RUB,107.396
2025-07-06,GBP,RUB,107.332
2025-07-07,GBP,RUB,106.917
2025-07-08,GBP,RUB,106.66
2025-07-09,GBP,RUB,106.306
2025-07-10,GBP,RUB,104.852
2025-07-11,GBP,RUB,105.279
2025-07-12,GBP,RUB,105.196
2025-07-13,GBP,RUB,105.131
2025-07-14,GBP,RUB,104.974
2025-07-15,GBP,RUB,104.67
2025-07-16,GBP,RUB,104.757
2025-07-17,GBP,RUB,104.696
2025-07-18,GBP,RUB,105.143
2025-07-19,GBP,RUB,105.23
2025-07-20,GBP,RUB,105.166
2025-07-21,GBP,RUB,105.121
2025-07-22,GBP,RUB,105.692
2025-07-23,GBP,RUB,106.27
2025-07-24,GBP,RUB,106.947
2025-07-25,GBP,RUB,106.877
2025-07-26,GBP,RUB,106.602
2025-07-27,GBP,RUB,106.5
2025-07-28,GBP,RUB,107.4
2025-07-29,GBP,RUB,108.898
2025-07-30,GBP,RUB,108.2
2025-07-31,GBP,RUB,106.766
2025-08-01,GBP,RUB,106.25
2025-08-02,GBP,RUB,106.214
2025-08-03,GBP,RUB,106.049
2025-08-04,GBP,RUB,105.867
2025-08-05,GBP,RUB,106.222
2025-08-06,GBP,RUB,106.652
2025-08-07,GBP,RUB,106.443
2025-08-08,GBP,RUB,107.052
2025-08-09,GBP,RUB,107.568
2025-08-10,GBP,RUB,107.38
2025-08-11,GBP,RUB,106.712
2025-08-12,GBP,RUB,107.199
2025-08-13,GBP,RUB,107.739
2025-08-14,GBP,RUB,107.982
2025-08-15,GBP,RUB,108.388
2025-08-16,GBP,RUB,108.533
2025-08-17,GBP,RUB,108.417
2025-08-18,GBP,RUB,108.323
2025-08-19,GBP,RUB,108.837
2025-08-20,GBP,RUB,108.436
2025-08-21,GBP,RUB,108.184
2025-08-22,GBP,RUB,108.372
2025-08-23,GBP,RUB,108.909
2025-08-24,GBP,RUB,108.651
2025-08-25,GBP,RUB,108.188
2025-08-26,GBP,RUB,108.422
2025-08-27,GBP,RUB,108.195
2025-08-28,GBP,RUB,108.599
2025-08-29,GBP,RUB,108.436
2025-08-30,GBP,RUB,108.061
2025-08-31,GBP,RUB,107.952
2025-09-01,GBP,RUB,108.585
2025-09-02,GBP,RUB,108.194
2025-09-03,GBP,RUB,108.328
2025-09-04,GBP,RUB,109.021
2025-09-05,GBP,RUB,109.623
2025-09-06,GBP,RUB,109.69
2025-09-07,GBP,RUB,109.681
2025-09-08,GBP,RUB,110.829
2025-09-09,GBP,RUB,112.794
2025-09-10,GBP,RUB,114.129
2025-09-11,GBP,RUB,114.685
2025-09-12,GBP,RUB,114.0
2025-09-13,GBP,RUB,113.857
2025-09-14,GBP,RUB,113.715
2025-09-15,GBP,RUB,112.408
2025-09-16,GBP,RUB,113.127
2025-09-17,GBP,RUB,113.865
2025-09-18,GBP,RUB,113.355
2025-09-19,GBP,RUB,112.531
2025-09-20,GBP,RUB,112.451
2025-09-21,GBP,RUB,112.329
2025-09-22,GBP,RUB,112.496
2025-09-23,GBP,RUB,112.97
2025-09-24,GBP,RUB,112.771
2025-09-25,GBP,RUB,112.306
2025-09-26,GBP,RUB,111.818
2025-09-27,GBP,RUB,111.681
2025-09-28,GBP,RUB,111.539
2025-09-29,GBP,RUB,111.269
2025-09-30,GBP,RUB,111.14
2025-10-01,GBP,RUB,110.554
2025-10-02,GBP,RUB,110.301
2025-10-03,GBP,RUB,110.604
2025-10-04,GBP,RUB,110.813
2025-10-05,GBP,RUB,110.704
2025-10-06,GBP,RUB,111.137
2025-10-07,GBP,RUB,110.56
2025-10-08,GBP,RUB,109.364
2025-10-09,GBP,RUB,108.504
2025-10-10,GBP,RUB,108.322
2025-10-11,GBP,RUB,109.005
2025-10-12,GBP,RUB,108.727
2025-10-13,GBP,RUB,107.537
2025-10-14,GBP,RUB,106.444
2025-10-15,GBP,RUB,105.426
2025-10-16,GBP,RUB,106.871
2025-10-17,GBP,RUB,108.713
2025-10-18,GBP,RUB,108.9
